科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,482,692,110.80","1,568,709,817.10","1,641,032,325.29","840,063,294.27","1,267,805,267.20","1,740,392,508.63","556,636,661.37","966,479,742.54","1,456,846,298.29","1,969,208,972.47"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,
收到的税费返还,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,
收到其他与经营活动有关的现金,"41,676,347.45","47,129,884.22","37,823,071.49","15,684,387.49","31,050,715.45","47,421,520.82","8,902,280.91","17,257,710.38","25,448,370.07","39,918,358.73"
投资活动现金流出小计,"224,411,955.70","107,267,545.51","61,515,246.49","25,771,623.00","55,907,067.59","92,236,667.24","92,608,621.70","121,631,104.90","136,797,844.81","291,200,808.15"
经营活动现金流入小计,"1,524,368,458.25","1,615,839,701.32","1,678,855,396.78","855,747,681.76","1,298,855,982.65","1,787,814,029.45","565,538,942.28","983,737,452.92","1,482,294,668.36","2,009,127,331.20"
投资活动产生的现金流量净额,"-199,992,541.70","-103,251,548.51","-60,308,246.49","-24,771,623.00","-54,807,067.59","-91,136,667.24","-36,965,655.26","-65,988,138.46","-81,148,222.37","-176,222,852.71"
购买商品、接受劳务支付的现金,"1,117,658,388.92","1,304,905,989.36","1,288,954,135.30","641,975,464.34","959,142,663.59","1,357,094,779.10","415,119,447.65","772,884,021.95","1,145,568,753.26","1,539,671,768.98"
吸收投资收到的现金,,,,,"215,700,000.00","215,700,000.00",,,,
支付给职工以及为职工支付的现金,"96,132,935.23","113,526,038.21","112,841,379.85","63,376,065.24","87,958,894.21","116,320,173.46","43,922,197.56","75,996,183.21","108,629,580.22","146,316,939.05"
取得借款收到的现金,"470,290,000.00","450,000,000.00","494,961,850.00","198,000,000.00","308,000,000.00","398,000,000.00","52,000,000.00","180,000,000.00","270,000,000.00","360,000,000.00"
支付的各项税费,"70,758,957.24","59,970,246.95","66,805,414.93","41,053,029.32","59,633,811.30","74,235,404.74","27,453,674.96","44,958,721.96","63,787,770.23","76,492,031.03"
