科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"1,538,423,602.31","2,499,008,143.45","3,094,996,696.99","1,659,594,695.12","2,438,195,771.79","3,364,793,196.32","563,059,604.38","1,581,253,400.12","2,360,590,888.87","3,088,099,439.44","581,641,786.51","1,426,468,466.54","2,099,172,802.62","3,050,264,428.50","398,306,805.47","1,164,728,796.86","1,818,051,862.01","2,594,827,679.16","504,257,985.37","1,065,216,321.02","1,660,018,060.08","2,351,760,250.50","383,300,515.84","1,175,594,586.45","1,918,526,130.73","2,783,914,360.60","614,232,707.27","1,399,763,291.33"
二、营业利润,"199,118,859.92","171,202,586.40","436,970,735.55","235,800,328.62","356,481,495.88","490,091,516.84","56,408,612.43","194,153,759.31","304,655,577.75","350,782,778.98","72,387,164.94","203,437,762.09","351,147,101.89","271,798,458.62","42,118,625.94","89,492,328.21","181,165,383.06","290,094,726.59","53,695,007.24","161,519,073.44","260,927,890.50","285,514,342.49","17,349,220.84","89,586,412.49","103,761,336.27","85,587,021.72","-21,393,902.15","-13,687,083.68"
减:营业成本,"972,171,464.86","1,681,263,835.37","2,002,449,179.09","1,071,536,894.73","1,582,493,706.82","2,226,964,899.20","388,379,472.93","1,068,255,671.46","1,609,265,717.02","2,091,578,118.98","381,060,862.45","920,253,217.62","1,346,041,657.20","1,952,488,096.18","255,466,548.60","744,759,688.24","1,135,019,127.47","1,601,522,813.27","314,623,607.67","632,729,975.17","986,227,622.88","1,438,694,443.50","250,095,184.59","725,852,931.69","1,193,137,029.01","1,760,207,253.18","375,792,855.86","889,593,651.78"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"11,096,701.30","16,990,743.97","22,271,984.38","14,808,515.64","20,396,066.79","28,307,769.95","3,627,207.55","9,383,705.91","14,483,191.32","20,276,263.35","4,303,467.07","13,315,158.63","26,457,681.68","29,429,361.25","2,280,100.13","9,315,793.46","15,677,756.75","25,014,790.81","4,103,282.27","8,289,582.36","12,715,598.45","23,464,604.55","4,257,949.68","12,766,149.75","22,138,438.71","30,056,781.30","6,475,664.26","15,254,387.65"
营业外收入,"14,247,558.91","8,952,477.70","17,790,632.68","17,930,532.61","19,990,279.11","23,051,085.01","4,289,741.29","6,035,581.37","22,826,851.18","23,460,073.74","2,683,986.87","4,518,516.65","10,786,421.41","13,902,004.97","2,667,459.11","10,592,443.32","12,626,918.15","25,933,255.73","3,543,267.11","5,726,371.49","11,739,413.73","15,707,100.58","6,216,628.84","11,883,751.65","13,203,297.37","1,418,603.66","895,367.34","923,218.89"
销售费用,"302,535,371.53","413,556,091.92","483,388,667.44","273,026,951.56","378,422,665.72","520,864,488.04","107,361,357.74","296,831,041.94","410,206,700.61","542,782,739.09","132,067,827.33","294,873,541.59","386,499,397.30","585,133,979.44","103,430,273.37","335,906,478.83","476,811,283.38","654,034,590.17","125,182,478.30","258,826,469.15","377,129,787.47","520,519,392.78","100,759,839.77","278,581,348.67","459,870,626.58","694,632,599.12","204,350,383.81","380,631,554.20"
减:营业外支出,"8,238,345.17","5,315,039.32","7,347,592.35","2,314,118.76","2,636,341.61","9,133,100.82","127,839.02","4,173,724.87","5,550,371.99","11,196,584.17","185,894.90","1,335,146.56","10,731,640.97","18,915,367.28","4,271,828.36","5,140,399.40","8,441,055.07","10,808,164.75","2,899,113.88","6,366,062.83","6,842,476.36","11,389,281.13","2,169,935.14","5,675,110.85","6,066,670.66","9,323,254.13","529,805.91","673,608.54"
管理费用,"50,329,850.83","221,441,021.57","150,791,248.87","68,178,069.99","105,014,831.05","148,251,914.51","32,802,482.38","73,576,184.14","112,400,055.20","180,662,279.25","31,642,801.52","69,710,844.52","111,454,373.85","170,203,221.41","30,837,441.13","77,966,248.95","130,823,744.05","191,148,996.26","34,373,657.60","77,107,811.37","121,627,025.08","195,808,694.99","29,589,318.71","117,808,733.50","191,195,846.40","260,360,027.83","64,699,286.91","135,182,431.33"
其中:非流动资产处置净损失,"1,957,337.97","2,198,071.99","1,049,220.34",,,,,,,,,,,"3,711,953.29",,,,"5,293,813.76",,,,"6,492,437.68",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-1,729,780.57","-1,886,924.84","-4,144,191.80","-5,413,365.35","-7,937,606.86","-57,808,255.09","-25,061,194.78","-63,431,889.61","-90,870,419.73","-82,327,108.55","-17,850,717.62","-35,358,454.64","-52,076,252.00","-64,208,633.70","-12,521,857.22","-52,333,912.79","-53,966,192.97","-66,406,128.25","1,259,859.93","-4,015,039.30","-8,731,428.98","4,260,039.77","2,705,260.87","11,760,929.82","25,406,221.10","42,679,089.31","4,695,966.62","7,975,687.80"
三、利润总额,"205,128,073.66","174,840,024.78","447,413,775.88","251,416,742.47","373,835,433.38","504,009,501.03","60,570,514.70","196,015,615.81","321,932,056.94","363,046,268.55","74,885,256.91","206,621,132.18","351,201,882.33","266,785,096.31","40,514,256.69","94,944,372.13","185,351,246.14","305,219,817.57","54,339,160.47","160,879,382.10","265,824,827.87","289,832,161.94","21,395,914.54","95,795,053.29","110,897,962.98","77,682,371.25","-21,028,340.72","-13,437,473.33"
