科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"2,626,960,818.74","2,862,166,625.43","7,028,270,114.24","4,099,032,119.47","3,109,164,456.69","4,793,905,192.36","4,718,929,760.75","4,448,263,147.44","4,582,665,316.54","4,322,899,608.32","4,124,283,026.26","2,354,155,847.82","2,831,269,179.19","4,199,693,133.99","3,793,449,600.47"
短期借款,"9,598,562,825.89","11,421,036,179.75","18,896,433,020.01","15,234,790,406.19","13,994,061,817.60","12,901,020,694.25","13,032,672,129.77","12,770,973,899.52","13,110,892,885.49","13,547,315,800.28","14,603,789,477.72","14,839,752,201.44","13,335,688,804.07","12,647,541,480.96","12,242,888,718.39"
交易性金融资产,,"800,959.50","113,914,149.40","39,173,351.20","39,731,866.30","101,504,232.45","97,911,352.83","85,656,638.83","97,260,227.11","94,069,202.69","80,672,924.54","100,005,232.39","98,977,616.81","57,157,257.44","5,298,217.52"
交易性金融负债,"5,682,300.00","8,606,542.50",,"20,421,876.00","8,868,555.00","7,824,714.99","361,557.00","361,557.00","361,557.00",,,"307,948.80","686,865.80",,"720,626.20"
应收票据,"131,531,712.45","127,542,253.83","119,232,097.46","226,628,177.25","132,691,309.31","171,694,592.58","226,402,064.23","217,975,978.37","268,740,276.63","261,502,703.82","344,924,288.26","268,393,573.75","273,496,597.75","102,851,624.47","89,005,056.82"
应付票据,,"162,115,775.06","104,881,363.81","36,259,586.63","30,024,009.95","328,560,000.00","330,900,000.00","130,531,645.70","159,998,176.70","40,466,531.00","18,820,000.00","40,100,000.00",,"291,698,996.80",
应收账款,"632,889,219.35","2,692,388,905.66","5,746,643,363.44","4,095,367,056.61","1,332,402,061.74","2,422,016,145.40","952,150,755.82","2,121,409,462.53","661,324,346.57","536,492,146.45","594,641,370.29","753,066,773.81","498,227,809.54",,"635,771,913.24"
应付账款,"3,565,078,642.42","1,640,137,124.06","4,328,713,665.38","2,623,573,485.05","1,744,455,511.06","3,909,424,163.01","6,455,983,653.61","4,649,549,269.32","3,390,382,460.42","1,589,829,801.45","1,784,993,320.28","1,824,214,316.06",,"1,505,001,197.96",
预付款项,"751,142,044.14","770,615,032.32","1,393,675,816.53","3,597,241,989.97","1,781,529,131.93","3,161,623,310.84","6,790,324,899.61","3,684,344,859.88","3,018,664,242.33","867,553,191.39","1,888,281,623.77","2,000,539,166.07","1,317,061,930.73","1,393,655,374.67","2,121,796,795.46"
预收款项,"413,512,416.98","337,456,768.69","343,721,123.08","1,734,919,841.28","1,099,991,504.65","463,792,351.57","1,498,319,166.31","1,672,977,317.94","1,323,609,606.87","619,680,687.32","1,235,301,256.10","881,283,565.55","973,902,586.58","383,273,624.93","590,291,173.64"
