科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度
销售商品、提供劳务收到的现金,"800,013,684.31","1,417,327,660.62","1,594,226,374.52","296,301,958.24","668,409,617.72","1,149,151,027.73","1,568,472,803.31","373,123,930.45","957,943,358.11","1,057,570,186.07","1,485,669,565.43","358,151,046.42","925,316,488.83","1,219,107,074.84","1,722,633,268.77","303,931,712.76","757,894,114.96","1,030,943,457.35","1,210,669,353.34","220,431,920.91","483,870,844.06","721,099,065.86","1,112,837,596.18"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,"3,465,000,057.86","3,465,000,057.86","3,465,000,057.86"
收到的税费返还,"6,460,517.30","5,151,809.93","480,668.48","280,810.68","716,927.00","716,927.00","956,350.71","281,718.48","281,718.48","2,200,983.58","2,200,983.58",,,,,,,,"3,766,827.37",,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,"1,182,063.90",,,"1,000,000.00","9,396,372.56",
收到其他与经营活动有关的现金,"2,177,155.09","19,409,790.06","3,256,013.32","832,660.60","2,678,609.61","12,439,194.66","23,981,919.44","2,843,228.58","3,079,692.65","6,625,949.08","7,475,248.09","1,883,597.87","4,694,828.86","5,465,209.42","8,807,085.30","4,524,197.23","6,541,310.56","10,524,418.82","11,222,596.49","806,710.00","246,951,050.17","896,126,229.03","71,627,280.71"
投资活动现金流出小计,"44,500,146.55","39,295,038.66","58,648,255.24","5,401,040.90","22,455,108.47","37,641,608.55","80,641,075.33","17,214,162.06","37,420,624.98","65,840,433.66","81,243,517.81","6,761,290.58","16,954,878.23","30,649,288.32","47,820,672.43","5,744,502.93","12,090,345.78","17,281,904.33","25,878,390.48","1,034,240.43","3,567,806,266.19","3,721,052,884.08","3,941,347,524.97"
经营活动现金流入小计,"808,651,356.70","1,441,889,260.61","1,597,963,056.32","297,415,429.52","671,805,154.33","1,162,307,149.39","1,593,411,073.46","376,248,877.51","961,304,769.24","1,066,397,118.73","1,495,345,797.10","360,034,644.29","930,011,317.69","1,224,572,284.26","1,731,440,354.07","308,455,909.99","764,435,425.52","1,041,467,876.17","1,225,658,777.20","221,238,630.91","696,258,229.04","2,077,227,322.61","3,838,908,741.28"
投资活动产生的现金流量净额,"-14,710,461.18","-39,031,338.66","-58,648,255.24","-5,401,040.90","-22,455,108.47","-37,604,408.55","-80,641,075.33","-17,214,162.06","-37,420,624.98","-65,750,279.66","-81,153,363.81","-6,760,965.58","-16,942,983.23","-30,621,020.82","-47,716,263.43","-5,673,391.43","-12,015,573.28","-17,201,783.83","-25,773,228.50","-956,777.43","5,565,706,567.34","5,458,697,031.90","5,224,982,683.32"
购买商品、接受劳务支付的现金,"698,596,419.17","1,211,980,951.26","1,502,816,170.99","322,046,677.41","693,267,662.98","1,040,551,248.98","1,347,274,016.44","368,956,292.10","872,631,769.84","1,088,638,526.63","1,420,788,905.27","360,060,639.32","770,376,155.83","1,078,633,985.38","1,386,037,382.72","237,249,195.13","559,681,229.02","769,787,916.01","752,266,646.32","162,195,384.89","340,849,611.64","539,064,446.84","686,154,779.27"
吸收投资收到的现金,,"61,056,078.56",,,"347,000,000.00","347,000,000.00","347,000,000.00",,,,,,,,,,"3,000,000.00","6,000,000.00","6,000,000.00",,"6,900,599,978.50","6,900,599,978.50","6,865,006,352.39"
