科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,"53,033,000,000.00","156,349,000,000.00","22,704,000,000.00","50,723,000,000.00","83,146,000,000.00","134,253,000,000.00","59,099,000,000.00","156,929,000,000.00","217,795,000,000.00","290,953,000,000.00","114,891,000,000.00","161,103,000,000.00","178,394,000,000.00","264,890,000,000.00","44,590,000,000.00","93,417,000,000.00","113,602,000,000.00","175,470,000,000.00","62,859,000,000.00","120,466,000,000.00","154,007,000,000.00","203,835,000,000.00","112,704,000,000.00","170,370,000,000.00","286,172,000,000.00","375,534,000,000.00","88,313,000,000.00","166,123,000,000.00","304,246,000,000.00","490,917,000,000.00","166,394,000,000.00","387,554,000,000.00","584,551,000,000.00","655,846,000,000.00","176,442,000,000.00","337,365,000,000.00","442,771,000,000.00","761,937,000,000.00","190,638,000,000.00","399,542,000,000.00","676,688,000,000.00","896,625,000,000.00","191,851,000,000.00","330,122,000,000.00"
客户存款和同业存放款项净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"19,782,000,000.00","39,321,000,000.00","4,878,000,000.00","21,935,000,000.00","38,942,000,000.00","39,797,000,000.00","8,383,000,000.00","16,141,000,000.00","30,144,000,000.00","36,175,000,000.00","10,829,000,000.00","18,614,000,000.00","31,127,000,000.00","43,866,000,000.00","12,212,000,000.00","24,143,000,000.00","35,107,000,000.00","55,171,000,000.00","14,958,000,000.00","28,697,000,000.00","41,150,000,000.00","66,022,000,000.00","18,506,000,000.00","34,382,000,000.00","49,064,000,000.00","75,528,000,000.00","20,167,000,000.00","38,170,000,000.00","53,773,000,000.00","83,161,000,000.00","24,778,000,000.00","47,423,000,000.00","68,615,000,000.00","90,516,000,000.00","30,802,000,000.00","50,843,000,000.00","72,568,000,000.00","99,280,000,000.00","25,517,000,000.00","60,692,000,000.00","94,099,000,000.00","127,026,000,000.00","33,386,000,000.00","67,732,000,000.00"
向中央银行借款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,"5,145,000,000.00",,,,"8,000,000.00",,,,"89,000,000.00",,"46,000,000.00",,,"257,000,000.00","1,360,000,000.00","2,387,000,000.00","1,476,000,000.00",,,,,"3,179,000,000.00","6,989,000,000.00","1,464,000,000.00",,"12,142,000,000.00","10,839,000,000.00","3,859,000,000.00","3,875,000,000.00",,,"3,938,000,000.00",,"4,041,000,000.00","21,892,000,000.00","11,982,000,000.00","6,975,000,000.00","15,682,000,000.00","26,563,000,000.00"
向其他金融机构拆入资金净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"72,847,000,000.00","195,802,000,000.00","27,621,000,000.00","72,738,000,000.00","122,197,000,000.00","179,442,000,000.00","67,540,000,000.00","173,147,000,000.00","248,046,000,000.00","327,556,000,000.00","125,746,000,000.00","179,799,000,000.00","209,623,000,000.00","309,085,000,000.00","56,812,000,000.00","117,661,000,000.00","148,773,000,000.00","230,899,000,000.00","78,077,000,000.00","150,571,000,000.00","197,600,000,000.00","271,551,000,000.00","131,239,000,000.00","204,790,000,000.00","335,298,000,000.00","451,221,000,000.00","111,663,000,000.00","211,432,000,000.00","359,658,000,000.00","574,515,000,000.00","203,323,000,000.00","445,849,000,000.00","657,101,000,000.00","750,436,000,000.00","207,343,000,000.00","388,300,000,000.00","519,445,000,000.00","861,332,000,000.00","220,217,000,000.00","482,148,000,000.00","783,592,000,000.00","1,030,729,000,000.00","240,932,000,000.00","424,452,000,000.00"
收取利息、手续费及佣金的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资支付的现金,"107,792,000,000.00","286,081,000,000.00","52,425,000,000.00","118,154,000,000.00","224,926,000,000.00","289,670,000,000.00","100,261,000,000.00","207,122,000,000.00","306,428,000,000.00","483,497,000,000.00","129,353,000,000.00","251,860,000,000.00","304,522,000,000.00","430,027,000,000.00","99,782,000,000.00","192,039,000,000.00","244,256,000,000.00","348,668,000,000.00","89,342,000,000.00","219,375,000,000.00","315,861,000,000.00","462,490,000,000.00","120,686,000,000.00","234,915,000,000.00","335,639,000,000.00","480,046,000,000.00","127,198,000,000.00","264,708,000,000.00","378,137,000,000.00","621,619,000,000.00","181,550,000,000.00","424,454,000,000.00","601,886,000,000.00","654,095,000,000.00","179,912,000,000.00","327,377,000,000.00","560,413,000,000.00","931,203,000,000.00","349,675,000,000.00","670,177,000,000.00","915,924,000,000.00","1,178,872,000,000.00","243,158,000,000.00","438,148,000,000.00"
处置交易性金融资产净增加额,"14,452,000,000.00","36,027,000,000.00",,,"19,350,000,000.00","5,249,000,000.00","1,162,000,000.00","4,755,000,000.00","1,724,000,000.00","6,758,000,000.00","4,714,000,000.00",,,,,,,,,,,,,,,"1,428,000,000.00",,,,,,,,,,,,,,,"80,879,000,000.00",,,
质押贷款净增加额,"1,238,000,000.00","3,409,000,000.00","414,000,000.00","1,250,000,000.00","2,014,000,000.00","2,732,000,000.00","790,000,000.00","1,910,000,000.00","3,489,000,000.00","4,549,000,000.00","2,264,000,000.00","4,788,000,000.00",,,,,,,,,,,,,,,,,,"13,478,000,000.00",,,,,,"2,314,000,000.00","4,571,000,000.00","7,483,000,000.00","1,597,000,000.00","4,464,000,000.00","8,753,000,000.00","15,515,000,000.00","8,556,000,000.00","18,132,000,000.00"
拆入资金净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
购建固定资产、无形资产和其他长期资产支付的现金,"1,736,000,000.00","3,310,000,000.00","211,000,000.00","1,292,000,000.00","1,719,000,000.00","2,950,000,000.00","531,000,000.00","893,000,000.00","993,000,000.00","3,261,000,000.00","474,000,000.00","1,411,000,000.00","2,913,000,000.00","4,849,000,000.00","1,558,000,000.00","2,585,000,000.00","3,124,000,000.00","5,108,000,000.00","258,000,000.00","1,375,000,000.00","1,791,000,000.00","5,293,000,000.00","497,000,000.00","961,000,000.00","2,117,000,000.00","3,724,000,000.00","1,237,000,000.00","1,794,000,000.00","2,646,000,000.00","5,048,000,000.00","703,000,000.00","1,238,000,000.00","1,876,000,000.00","8,384,000,000.00","821,000,000.00","1,458,000,000.00","2,460,000,000.00","5,310,000,000.00","2,016,000,000.00","3,602,000,000.00","6,726,000,000.00","9,619,000,000.00","2,344,000,000.00","7,367,000,000.00"
回购业务资金净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,"2,000,000,000.00","7,365,000,000.00",,"19,190,000,000.00","116,000,000.00","8,311,000,000.00","10,146,000,000.00","2,532,000,000.00","5,530,000,000.00","7,957,000,000.00","10,714,000,000.00","1,066,000,000.00","3,248,000,000.00","5,688,000,000.00","7,572,000,000.00","9,455,000,000.00","14,431,000,000.00","32,562,000,000.00","27,684,000,000.00","6,319,000,000.00","6,803,000,000.00","9,742,000,000.00","3,627,000,000.00","170,000,000.00","5,631,000,000.00","16,652,000,000.00","20,910,000,000.00","14,317,000,000.00","48,133,000,000.00",,"22,039,000,000.00",,"399,000,000.00","399,000,000.00","399,000,000.00","1,052,000,000.00","1,074,000,000.00"
销售商品、提供劳务收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计,"110,766,000,000.00","292,800,000,000.00","53,050,000,000.00","120,696,000,000.00","228,659,000,000.00","295,352,000,000.00","101,582,000,000.00","211,925,000,000.00","318,275,000,000.00","491,307,000,000.00","151,281,000,000.00","258,175,000,000.00","315,746,000,000.00","445,022,000,000.00","103,872,000,000.00","200,154,000,000.00","255,337,000,000.00","364,490,000,000.00","90,666,000,000.00","223,998,000,000.00","323,340,000,000.00","475,355,000,000.00","130,638,000,000.00","250,307,000,000.00","370,318,000,000.00","511,454,000,000.00","134,754,000,000.00","273,305,000,000.00","390,525,000,000.00","643,772,000,000.00","182,423,000,000.00","431,323,000,000.00","620,414,000,000.00","683,389,000,000.00","195,050,000,000.00","379,282,000,000.00","567,444,000,000.00","966,035,000,000.00","353,288,000,000.00","678,642,000,000.00","931,802,000,000.00","1,204,405,000,000.00","255,110,000,000.00","464,721,000,000.00"
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动产生的现金流量净额,"-37,919,000,000.00","-96,998,000,000.00","-25,429,000,000.00","-47,958,000,000.00","-106,462,000,000.00","-115,910,000,000.00","-34,042,000,000.00","-38,778,000,000.00","-70,229,000,000.00","-163,751,000,000.00","-25,535,000,000.00","-78,376,000,000.00","-106,123,000,000.00","-135,937,000,000.00","-47,060,000,000.00","-82,493,000,000.00","-106,564,000,000.00","-133,591,000,000.00","-12,589,000,000.00","-73,427,000,000.00","-125,740,000,000.00","-203,804,000,000.00","601,000,000.00","-45,517,000,000.00","-35,020,000,000.00","-60,233,000,000.00","-23,091,000,000.00","-61,873,000,000.00","-30,867,000,000.00","-69,257,000,000.00","20,900,000,000.00","14,526,000,000.00","36,687,000,000.00","67,047,000,000.00","12,293,000,000.00","9,018,000,000.00","-47,999,000,000.00","-104,703,000,000.00","-133,071,000,000.00","-196,494,000,000.00","-148,210,000,000.00","-173,676,000,000.00","-14,178,000,000.00","-40,269,000,000.00"
收到原保险合同保费取得的现金,"117,611,000,000.00","196,582,000,000.00","98,903,000,000.00","176,950,000,000.00","245,667,000,000.00","295,022,000,000.00","99,141,000,000.00","166,317,000,000.00","233,742,000,000.00","275,275,000,000.00","104,730,000,000.00","176,725,000,000.00","252,295,000,000.00","317,288,000,000.00","118,235,000,000.00","188,253,000,000.00","257,781,000,000.00","318,318,000,000.00","105,422,000,000.00","176,969,000,000.00","254,984,000,000.00","320,953,000,000.00","103,357,000,000.00","193,540,000,000.00","269,866,000,000.00","328,866,000,000.00","120,946,000,000.00","183,362,000,000.00","257,992,000,000.00","339,186,000,000.00","133,516,000,000.00","208,268,000,000.00","285,810,000,000.00","379,802,000,000.00","162,362,000,000.00","247,237,000,000.00","333,487,000,000.00","432,979,000,000.00","203,514,000,000.00","296,893,000,000.00","405,749,000,000.00","496,075,000,000.00","207,189,000,000.00","322,478,000,000.00"
三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保业务现金净额,"1,000,000.00",,"18,000,000.00","14,000,000.00","269,000,000.00","150,000,000.00","120,000,000.00","78,000,000.00","70,000,000.00","59,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
