科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"3,094,059,222.93","3,603,918,430.41","4,050,904,561.73","1,168,812,176.83","1,933,052,914.64","2,742,838,640.29","3,920,175,363.65","1,208,803,401.52","1,854,628,885.32","2,942,843,786.08","4,050,733,638.80","1,393,574,237.74","2,408,395,765.86","3,959,108,903.95"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,
收到的税费返还,"253,645,287.70","314,752,709.71","297,277,195.12","95,546,527.61","157,209,995.36","217,477,754.05","317,521,575.37","69,170,219.61","118,158,438.11","189,009,033.41","271,780,073.00","79,984,159.80","162,264,125.59","263,328,341.44"
支付其他与投资活动有关的现金,"5,428,200.00","1,703,000.00","988,000.00","210,000.00","250,000.00","273,877,708.67","620,000.00","70,000.00","140,000.00","300,000.00","920,000.00","2,766,000.00","4,839,607.09","5,766,000.00"
收到其他与经营活动有关的现金,"31,184,781.28","40,673,946.16","39,487,802.67","8,940,500.15","29,365,212.66","55,607,118.67","49,763,459.71","47,635,091.82","14,450,453.85","52,661,560.44","43,990,813.33","10,075,621.80","26,453,243.35","43,825,947.70"
投资活动现金流出小计,"281,033,224.90","148,050,791.64","90,039,952.53","33,260,265.23","650,517,329.62","1,060,658,629.64","1,862,397,189.65","387,821,282.10","608,535,636.02","1,386,456,109.50","1,758,122,380.24","691,170,053.65","2,489,837,683.32","2,601,745,814.79"
经营活动现金流入小计,"3,378,889,291.91","3,959,345,086.28","4,387,669,559.52","1,273,299,204.59","2,119,628,122.66","3,015,923,513.01","4,287,460,398.73","1,325,608,712.95","1,987,237,777.28","3,184,514,379.93","4,366,504,525.13","1,483,634,019.34","2,597,113,134.80","4,266,263,193.09"
投资活动产生的现金流量净额,"-272,893,833.25","-144,724,393.73","-88,528,841.90","-32,441,358.50","-649,144,947.02","-832,538,362.05","-440,699,054.00","-144,365,924.50","-32,804,304.12","-597,637,851.61","-196,730,549.77","188,449,837.05","278,834,055.39","385,755,210.09"
购买商品、接受劳务支付的现金,"2,361,259,117.75","2,829,012,468.54","2,985,814,768.33","927,645,352.23","1,412,152,770.48","2,222,503,606.31","2,836,528,291.15","1,011,310,331.69","1,290,571,998.79","2,177,758,615.98","2,792,012,138.62","1,263,605,888.44","1,838,804,292.30","3,256,627,447.50"
吸收投资收到的现金,,,,,"752,004,273.94","753,380,959.39","758,004,273.94",,,,,,,"2,000,000.00"
