科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"201,410,717.83","233,121,013.31","128,794,092.66","220,375,751.31","318,865,907.33","88,828,302.12","222,850,668.67","343,968,726.91","477,351,403.46","116,403,402.53","312,408,486.40","488,944,968.14","654,283,748.86","141,292,535.98","316,822,008.09","497,207,550.77","661,194,103.73","152,679,380.29","332,608,131.93","508,981,341.57","684,352,214.02","166,138,302.62","362,244,029.90","554,629,247.38","756,781,962.10","171,945,586.91","395,214,866.94","647,940,654.02","934,256,739.68","299,010,544.24","683,984,986.67","1,117,924,915.80","1,589,213,791.43","388,513,577.18","788,419,974.59","1,274,629,627.74","1,815,626,791.80"
二、营业利润,"29,898,461.76","35,939,960.17","29,044,539.38","50,355,073.91","70,382,663.38","13,146,071.08","48,111,565.54","71,215,860.73","108,479,552.58","28,012,516.14","69,131,087.21","105,251,148.21","144,403,434.73","29,265,722.09","67,385,855.40","107,966,804.08","148,787,291.90","27,985,188.55","58,903,324.07","96,963,028.51","141,362,996.49","35,508,381.85","77,977,775.30","116,487,611.41","157,025,010.88","15,262,981.71","49,152,514.05","95,463,421.37","149,701,690.71","63,776,827.65","146,451,940.12","222,249,414.31","290,637,862.75","78,201,040.97","144,925,824.81","234,154,661.62","326,330,250.61"
减:营业成本,"153,978,549.25","173,624,784.28","83,105,666.05","142,290,403.42","206,878,888.88","61,619,238.99","151,448,446.47","233,879,015.58","325,447,747.45","79,267,638.82","210,188,083.90","326,596,873.73","430,923,037.34","91,220,955.51","203,810,058.47","322,729,003.89","427,357,848.35","105,673,541.33","228,964,788.85","343,902,055.19","453,992,917.40","105,533,794.52","226,461,724.61","351,355,695.56","484,133,415.18","122,455,528.34","270,082,932.36","429,457,373.28","603,088,053.89","176,520,264.35","391,803,455.28","678,680,086.23","974,671,568.84","237,887,450.41","495,318,062.11","806,008,940.62","1,170,821,375.47"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"304,236.02","452,526.80","375,656.49","585,994.82","832,588.68","139,232.38","454,349.26","744,383.53","1,483,159.15","269,907.44","1,173,486.79","2,724,151.97","4,310,817.53","867,836.47","2,045,630.63","3,845,805.35","4,731,057.33","773,786.46","1,718,747.84","2,434,550.14","3,650,819.70","1,097,305.96","2,425,731.59","4,039,640.91","5,549,094.55","1,112,560.77","2,839,483.07","4,737,134.53","7,145,274.85","2,128,147.86","4,569,232.04","6,824,288.73","13,563,937.93","2,990,774.16","7,110,456.61","11,269,261.73","16,112,613.76"
营业外收入,"225,336.84","1,121,346.64","478,204.35","495,934.42","544,940.62","1,010,419.79","1,188,499.16","1,710,848.59","2,810,221.91","366,987.10","1,029,086.31","1,641,772.28","1,991,974.83","1,221,736.07","3,761,492.77","4,336,270.29","4,726,515.65","888,584.84","2,568,773.11","3,131,174.90","3,544,670.52","693,764.95","1,240,695.64","2,050,447.35","3,640,942.95","453,238.63","3,376,693.62","4,000,190.04","7,289,041.81","1,485,998.50","5,095,963.08","6,747,857.03","15,799,628.63","4,003,779.90","7,831,593.08","10,140,547.75","1,269,561.61"
销售费用,"4,560,103.25","7,552,419.89","4,545,407.01","7,867,042.26","12,039,104.91","4,054,335.55","8,765,953.14","12,330,383.14","17,141,192.38","3,581,266.11","9,524,060.62","15,290,049.70","20,224,086.10","4,853,751.80","10,993,301.42","16,437,262.72","23,244,028.76","5,606,217.28","12,961,938.83","18,751,719.61","25,567,972.68","6,716,978.07","15,104,515.72","22,640,255.24","31,237,180.59","8,528,206.86","17,718,950.69","27,631,621.33","40,346,905.32","11,549,224.53","24,925,351.22","37,456,477.29","54,722,967.71","15,420,899.66","29,224,896.21","48,286,382.59","75,798,937.51"
减:营业外支出,"178,839.89","208,593.53","35,615.86","40,689.82","74,281.17","11,944.20","64,522.24","106,234.56","326,491.29","179,758.46","236,302.46","246,639.63","279,418.72",476.17,"83,748.49","346,290.57","437,720.60","238,546.02","377,011.03","653,348.33","892,197.15","133,631.81","285,194.81","311,612.38","1,319,826.85","217,376.82","767,782.35","1,548,745.73","2,425,201.27","383,820.62","767,822.64","1,044,898.08","2,589,100.75","151,158.68","282,266.28","393,773.28","270,099.68"
管理费用,"10,168,208.73","13,821,534.95","7,520,817.33","13,192,880.82","21,447,842.76","6,947,307.51","15,217,594.38","23,213,025.06","37,366,652.14","11,688,603.78","29,454,431.01","46,962,839.09","72,000,788.77","12,662,891.05","32,644,294.52","47,593,878.19","67,017,636.00","14,378,158.00","33,821,757.47","54,676,552.50","76,500,589.22","19,613,149.56","44,337,201.78","68,848,853.05","97,019,570.49","26,353,711.27","59,854,335.62","98,920,841.89","146,424,712.41","43,751,613.73","102,710,925.56","156,880,407.62","245,739,101.33","54,181,804.13","108,441,566.39","158,204,741.24","222,395,996.64"
其中:非流动资产处置净损失,287.84,"4,602.85","1,345.51",,"5,734.99","3,630.72","4,743.12","22,067.71","33,867.44",662.61,"1,160.36","10,254.26","40,680.85",,"5,198.62","7,240.70","98,445.42","219,631.07","234,378.80","261,445.68","369,675.40","4,131.81","25,955.42","50,222.35","854,660.07","115,499.92","384,184.21","427,079.06","803,956.20","233,309.55","500,395.00","530,361.64","1,812,369.41","10,988.64","57,613.80","166,838.51",
