科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"145,358,111.40","247,113,483.84","259,743,795.78","137,833,994.63","195,965,134.65","368,265,722.43","90,910,723.90","226,063,397.18","345,475,212.01","583,843,613.48","102,121,582.21","244,496,293.77","371,515,278.99","572,001,958.37","111,597,617.98","261,929,998.42","407,857,500.84","630,552,239.24","106,442,599.73","281,684,472.65","429,887,536.81","650,579,472.46","151,403,046.93","319,263,759.84","518,312,680.35","806,492,717.65","178,015,892.43","502,429,274.15","639,715,337.21","989,501,987.91","202,004,182.84","413,679,772.40","649,472,778.69","1,000,566,196.87"
取得子公司及其他营业单位支付的现金净额,,,,,,"24,578,252.26",,"5,866,942.15","5,866,942.15","2,509,842.15",,"1,141,742.29","9,978,554.99","9,978,554.99",,,,,,,,,,"24,380,315.69","26,970,531.68","94,692,546.39",,,,,,,,
收到的税费返还,,"3,690,619.51",,,,"286,479.76","1,134,562.00","1,485,394.03","1,785,946.75","1,785,946.75","794,754.19","1,398,506.97","1,398,506.97","1,939,330.66","461,396.98","559,263.75","971,916.84","1,082,357.94","378,671.60","751,023.67","956,686.27","956,686.27","134,692.21","94,692.21","623,480.14","896,076.83","77,722.77","128,286.89","1,256,759.28","1,382,911.96","278,410.59","445,733.91","553,235.92","591,904.45"
支付其他与投资活动有关的现金,,,,,,,,"44,662.00","44,662.00","44,662.00",,,,,"5,030,447.59","2,230,447.59","2,230,447.59","103,030,457.59",,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"25,202,099.20","38,784,733.63","16,742,217.97","12,274,796.75","16,286,435.83","39,503,999.50","12,308,538.54","11,926,150.06","30,026,196.54","37,018,182.39","9,188,869.72","19,134,895.51","35,369,988.29","68,756,153.92","12,298,468.91","24,065,293.10","40,074,924.96","58,964,801.82","47,023,141.33","63,981,336.86","77,626,009.13","90,118,897.11","7,181,057.18","21,995,529.77","20,755,456.21","39,843,484.55","11,725,417.08","23,312,986.44","29,566,939.02","46,496,904.11","9,954,846.99","20,179,459.70","31,327,492.22","66,096,862.71"
投资活动现金流出小计,"34,393,881.45","52,377,131.04","35,855,132.76","45,184,210.81","68,065,988.24","121,281,520.90","58,970,777.91","52,829,836.08","91,632,023.69","203,354,966.31","21,381,550.58","60,324,883.89","183,983,186.61","257,416,496.77","56,217,057.75","136,262,236.29","195,737,994.84","354,632,740.85","38,798,730.54","107,479,113.39","142,361,712.32","203,107,077.65","164,701,903.55","338,215,141.21","691,305,758.20","1,046,911,810.70","95,852,333.47","343,564,560.13","709,036,001.54","1,004,570,261.13","316,549,735.01","998,980,082.77","1,277,193,754.04","1,788,040,623.76"
经营活动现金流入小计,"170,560,210.60","289,588,836.98","276,486,013.75","150,108,791.38","212,251,570.48","408,056,201.69","104,353,824.44","239,474,941.27","377,287,355.30","622,647,742.62","112,105,206.12","265,029,696.25","408,283,774.25","642,697,442.95","124,357,483.87","286,554,555.27","448,904,342.64","690,599,399.00","153,844,412.66","346,416,833.18","508,470,232.21","741,655,055.84","158,718,796.32","341,353,981.82","539,691,616.70","847,232,279.03","189,819,032.28","525,870,547.48","670,539,035.51","1,037,381,803.98","212,237,440.42","434,304,966.01","681,353,506.83","1,067,254,964.03"
投资活动产生的现金流量净额,"-16,873,771.45","-52,286,613.64","-35,818,304.64","-45,182,672.35","-68,064,449.78","-121,279,982.44","-58,970,777.91","-52,829,836.08","-91,632,023.69","-203,350,966.31","-21,381,550.58","-60,284,761.59","-183,943,064.31","-257,376,374.47","-56,217,057.75","-136,004,028.09","-195,207,020.05","-354,101,766.06","11,201,289.46","-7,071,093.39","-41,952,492.32","-102,692,257.65","-164,701,790.75","-242,106,811.91","-415,126,777.46","-552,278,274.89","-20,061,902.67","-94,289,236.07","-306,958,398.83","-449,984,332.16","117,018,786.27","-44,686,426.23","-14,039,695.98","-58,323,256.69"
购买商品、接受劳务支付的现金,"64,347,028.25","59,105,023.92","66,049,293.01","38,797,254.34","60,154,768.22","99,287,689.79","42,426,768.50","110,748,648.97","159,017,330.64","236,410,735.44","52,664,218.36","118,452,621.68","180,594,636.00","237,171,660.07","55,268,159.67","103,941,278.17","162,633,112.10","234,228,731.67","50,150,034.32","95,634,389.42","145,069,168.56","207,908,559.53","60,270,027.42","116,727,280.29","175,019,900.80","237,139,607.57","80,601,246.31","254,465,415.43","248,706,775.51","364,685,072.11","114,893,198.53","212,832,346.78","291,461,498.72","411,436,698.70"
吸收投资收到的现金,"10,800,000.00","55,649,145.58",,,"1,064,714,915.77","1,064,714,915.77",,,,,,"15,030,000.00","16,500,000.00","22,100,000.00","19,655,625.60","25,255,625.60","25,255,625.60","25,255,625.60","20,923,800.48","20,923,800.48","20,923,800.48","22,223,800.48","5,420,000.00","5,420,000.00","5,420,000.00","5,420,000.00",,"20,482,886.00","243,301,886.00","244,649,386.00",,,"16,800,000.00","16,800,000.00"
