科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"2,771,601,462.56","2,872,435,625.54","440,601,515.33","2,456,913,465.00","510,080,906.08","1,150,910,897.73","1,570,626,857.19","2,911,417,414.66","562,934,178.94","1,264,303,700.58","1,829,946,457.81","3,426,693,706.73","695,480,142.92","1,781,458,851.87","2,780,824,787.31","3,777,088,704.98","796,818,658.17","1,780,744,224.31","2,801,166,352.94","3,135,933,797.02","591,195,857.99","1,356,582,685.95","2,152,942,901.09","3,034,550,130.73","604,833,605.52","1,346,626,678.62","2,071,058,583.94","2,713,440,558.09","501,548,264.60","1,232,383,552.59","1,919,132,513.13","2,691,310,371.40","693,185,138.84","1,623,196,854.75","2,791,131,480.60"
取得子公司及其他营业单位支付的现金净额,,"5,028,317.28",,"11,800,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"43,475,293.22","28,322,353.64","9,945,597.00","11,430,241.54","1,314,156.45","3,177,900.31","3,905,225.66","3,810,115.63",,"1,473,510.84","1,586,372.16","6,748,683.58","266,957.03","779,621.37","1,030,008.37","9,207,052.57",,"562,399.38","1,883,977.46","5,842,099.68",,"1,317,049.35","3,808,701.08","3,808,701.08",,"349,616.47","1,445,681.98","1,270,809.56",,"1,532,221.92","2,437,452.12","2,437,452.12",,"572,558.71","3,801,751.83"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,837.58",,,,
收到其他与经营活动有关的现金,"604,673,295.74","497,450,326.73","152,463,611.15","349,841,293.35","28,953,106.67","66,306,089.45","117,764,024.81","157,768,778.96","35,659,998.56","92,350,368.47","189,607,067.91","132,574,745.70","5,496,185.67","136,208,794.94","237,674,371.37","155,288,658.67","82,090,066.35","66,096,783.71","306,033,353.69","266,711,523.79","66,163,117.84","126,870,229.70","213,131,534.92","119,499,799.87","41,130,067.71","79,111,968.77","120,489,352.11","32,946,334.62","30,219,480.85","61,341,538.97","100,796,990.37","49,650,487.49","25,843,708.75","65,828,839.98","106,243,969.01"
投资活动现金流出小计,"19,693,094.88","44,443,603.12","6,357,918.21","46,271,244.45","6,445,762.72","21,181,135.53","24,608,287.05","34,785,992.14","8,774,232.69","11,731,303.09","17,382,975.95","93,049,419.87","31,781,829.46","38,952,227.22","107,519,496.95","150,438,492.00","149,660,632.51","182,076,101.83","437,269,485.86","1,087,867,244.38","280,834,969.70","438,389,824.76","756,256,340.65","1,091,971,846.33","146,529,526.65","211,024,800.96","403,415,941.02","1,276,908,658.38","632,656,111.62","1,162,260,139.17","1,713,686,648.07","2,911,048,764.91","330,607,419.45","694,855,324.28","1,042,078,926.06"
经营活动现金流入小计,"3,419,750,051.52","3,398,208,305.91","603,010,723.48","2,818,184,999.89","540,348,169.20","1,220,394,887.49","1,692,296,107.66","3,072,996,309.25","598,594,177.50","1,358,127,579.89","2,021,139,897.88","3,566,017,136.01","701,243,285.62","1,918,447,268.18","3,019,529,167.05","3,941,584,416.22","878,908,724.52","1,847,403,407.40","3,109,083,684.09","3,408,487,420.49","657,358,975.83","1,484,769,965.00","2,369,883,137.09","3,157,858,631.68","645,963,673.23","1,426,088,263.86","2,192,993,618.03","2,747,657,702.27","531,767,745.45","1,295,257,313.48","2,022,366,955.62","2,743,398,311.01","719,028,847.59","1,689,598,253.44","2,901,177,201.44"
投资活动产生的现金流量净额,"36,014,995.52","-31,387,816.44","-4,483,769.51","-41,258,617.32","-5,063,227.57","-18,507,327.23","-19,391,829.06","-25,452,061.99","-8,774,232.69","-5,288,497.63","-9,135,227.02","-72,938,966.01","-25,165,466.97","-26,918,824.69","-93,167,290.87","-132,360,510.04","-148,034,611.83","-178,333,362.49","-429,404,886.28","-545,058,822.46","33,171,542.62","-60,614,796.40","-188,998,935.66","-126,262,452.65","35,361,311.96","4,821,984.22","-118,487,251.73","-394,908,532.86","-87,164,361.88","-136,657,726.44","-263,542,966.20","-360,950,825.66","23,349,952.27","193,667,738.10","480,647,109.99"
购买商品、接受劳务支付的现金,"2,619,672,384.82","2,493,574,993.44","441,033,743.96","2,210,145,329.83","597,791,498.78","1,087,931,163.26","1,471,329,198.04","2,750,037,971.61","587,952,104.11","1,114,160,191.66","1,671,327,852.67","3,200,521,781.15","783,677,972.07","1,745,707,185.75","2,815,351,414.16","3,512,484,703.04","917,345,711.65","1,648,552,049.05","2,800,787,834.47","2,978,663,787.43","617,032,465.96","1,144,467,190.72","2,074,241,310.77","2,588,730,876.11","486,542,150.16","1,095,981,202.72","1,666,413,902.99","1,964,001,006.72","403,234,866.95","985,276,986.54","1,652,817,097.90","2,307,947,824.72","744,143,559.20","1,579,379,504.87","2,839,298,344.64"
吸收投资收到的现金,,,,,,"721,890,000.00","721,890,000.00","721,890,000.00",,,,,,,,,,"483,188,960.00","483,188,960.00","483,188,960.00",,,,,,,,,,,,,,,
