科目,2011年度,2012年度,2013年1-3月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"3,088,025,276.86","3,247,750,213.66","681,653,188.61","3,187,217,218.45","718,863,503.94","1,655,216,682.39","2,413,138,510.63","3,346,260,133.71","697,169,579.76","1,568,254,824.86","2,299,014,378.53","3,155,352,101.65","663,390,352.91","1,483,503,648.21","2,231,861,934.87","3,261,196,844.49","593,442,075.37","1,451,197,526.02","2,297,560,612.65"
二、营业利润,"156,400,918.07","168,024,185.91","20,876,147.66","154,318,449.53","25,053,579.96","82,645,140.16","136,074,399.48","162,379,939.17","26,037,632.89","75,281,999.84","122,083,533.94","145,813,758.04","25,062,027.79","66,619,177.81","97,631,293.25","126,378,296.81","25,575,926.23","83,859,490.68","129,419,507.13"
减:营业成本,"2,331,479,972.84","2,441,714,552.98","517,214,893.44","2,360,174,952.00","538,666,835.76","1,234,249,098.92","1,790,699,674.48","2,485,355,001.22","516,054,034.41","1,154,608,099.64","1,664,271,435.56","2,301,935,382.70","464,009,172.50","1,028,478,759.33","1,544,475,689.35","2,297,330,664.68","408,329,673.46","992,770,295.46","1,573,782,533.19"
加:补贴收入,,,,,,,,,,,,,,,,,,,
营业税金及附加,"20,855,528.15","19,619,342.36","3,576,162.25","20,560,473.36","4,539,516.64","9,784,145.39","13,618,220.01","20,477,024.55","4,736,131.18","9,763,721.60","14,836,293.26","20,316,844.72","5,537,061.53","9,613,066.56","13,092,698.67","24,412,812.31","5,402,444.44","12,987,563.52","20,312,140.56"
营业外收入,"76,975,075.82","12,367,364.88","1,677,409.90","17,085,006.77","2,491,545.50","5,933,806.39","7,914,080.48","18,895,059.13","2,221,388.81","6,233,227.32","9,743,871.19","31,292,504.31","2,932,526.26","8,251,150.87","12,511,895.81","25,770,275.67","3,165,936.04","877,237.26","903,652.40"
销售费用,"283,059,876.84","306,724,064.06","65,496,314.20","327,514,664.94","66,180,662.07","155,993,614.47","233,913,457.76","333,685,544.54","70,315,769.94","154,478,701.16","242,532,209.09","344,656,506.51","80,037,132.15","181,568,080.08","285,626,105.87","398,749,260.18","65,993,164.49","166,378,971.30","269,479,206.17"
减:营业外支出,"1,216,232.88","2,612,468.13","332,616.50","937,244.84","123,200.39","893,091.95","1,202,187.29","3,414,807.18","106,198.50","1,077,871.68","2,569,323.31","3,768,398.25","946,609.62","2,363,047.62","3,270,056.00","7,366,539.59","662,628.62","1,992,804.19","3,501,829.46"
管理费用,"247,409,102.54","287,948,239.08","63,905,127.41","306,675,749.95","67,185,892.86","143,636,594.11","218,103,528.97","308,675,303.35","70,414,982.40","144,964,280.49","226,461,710.34","308,678,007.31","68,451,664.18","144,984,161.95","228,562,824.34","339,546,614.57","75,576,419.96","172,148,181.06","280,317,424.85"
其中:非流动资产处置净损失,"894,177.00","1,288,299.56","324,017.63","811,468.15","74,333.19","222,944.33","446,871.46","1,892,445.94","69,892.46","78,190.64","173,455.80","680,843.96","510,571.04","760,354.88","946,591.83","1,228,356.05","54,053.42","111,672.64","471,285.66"
