科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"63,519,115.10","90,322,348.36","269,530,639.15","191,699,184.88","179,779,879.99","366,715,493.62","135,892,481.51","178,299,295.79","158,632,897.90","158,641,618.14","148,901,666.25","196,838,850.70","113,039,252.10","151,493,704.98","121,646,031.09","104,929,405.90","78,655,538.14","104,697,936.50","123,437,148.12","98,066,961.85","83,385,291.84","81,773,877.10","94,793,330.44","69,879,325.21","97,846,848.75","580,130,812.40","234,664,280.29","83,895,624.68","107,542,859.75","87,486,245.63","147,265,952.95","164,086,050.37","166,072,277.35","796,953,374.10","604,282,184.56","601,219,860.04","817,348,572.46","318,604,671.64","279,431,629.66","446,526,420.99","244,554,882.65","240,113,816.53"
短期借款,"177,569,696.73","214,713,274.12","203,763,865.21","211,014,801.99","174,895,910.00","209,115,135.00","110,652,200.36","118,060,830.76","238,768,982.70","286,511,554.23","291,182,190.98","447,649,495.92","446,895,388.46","594,222,524.92","729,106,789.28","916,976,753.79","789,405,262.37","760,530,773.75","727,587,643.14","725,891,919.05","624,977,326.57","636,319,000.79","676,887,260.90","613,158,345.32","684,238,925.70","754,558,017.79","405,636,435.87","296,135,226.18","279,961,874.29","191,304,818.49","172,888,964.34","130,178,975.71","83,561,825.64","80,000,000.00","268,215,089.57","381,927,895.77","627,300,902.53","460,188,803.33","507,227,819.01","931,628,412.71","836,897,583.47","950,331,524.94"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,951,102.80","1,831,024.88","5,211,163.23","6,912,392.15","1,493,115.73","3,717,054.35","1,753,895.87","3,005,125.73","8,452,837.35","7,675,535.98","7,710,367.65","4,741,886.37","9,777,228.87","18,764,637.67","16,141,952.98","11,834,318.85","10,958,982.44","11,405,879.51","13,133,091.57","12,655,973.23","18,052,605.58","25,233,583.40","28,886,791.97","24,438,152.12","48,330,938.94","66,852,118.33","48,880,172.43","42,186,780.06","97,441,978.33","80,564,390.39","122,867,967.16","152,072,412.38","198,707,518.51","83,543,029.88","49,974,424.11","102,912,820.86","172,351,479.12","128,259,897.71","243,101,365.49","416,825,607.95","798,282,827.31","810,676,717.48"
应付票据,"1,000,000.00",,,,"10,000,000.00","10,000,000.00",,,,,,,,,,"2,250,000.00","5,869,626.00","1,939,626.00","6,400,000.00","12,737,073.10","30,101,646.07","44,636,816.97","26,649,128.91","34,842,299.25","30,003,857.12","6,910,884.50","12,167,148.98","22,900,947.13","31,853,798.15","18,940,000.00","15,922,395.50","6,000,000.00","40,100,173.97","23,193,883.47","89,252,275.03","68,285,005.86","279,678,485.85","352,283,409.83","268,926,883.33","349,217,755.98","367,188,321.35","500,053,924.89"
应收账款,"152,367,152.68","156,671,731.35","157,099,753.76","188,995,604.28","161,000,869.06","94,871,238.56","152,969,167.87","164,693,768.26","190,682,906.88","208,256,643.66","260,370,333.30","271,191,801.00","255,122,230.11","303,660,723.37","381,478,241.25","478,792,799.33","453,987,125.04","389,275,248.65","392,939,475.98","391,069,086.14","357,782,040.80","271,177,415.97","298,558,671.55","341,968,878.56","373,224,570.58","328,130,795.08","330,568,610.50","392,337,181.39","396,002,125.68","406,495,366.00","378,708,379.06","308,316,483.98","314,322,342.56","313,682,559.42","437,565,226.38","428,039,253.39","631,825,795.95","755,897,192.47","987,067,023.16","1,188,879,936.00","1,029,921,880.79","1,118,679,986.99"
应付账款,"93,257,151.47","105,132,983.14","149,022,203.87","132,960,432.74","43,368,659.43","44,387,421.47","31,621,898.27","79,664,669.82","79,858,454.43","72,163,381.46","109,637,876.44","56,992,699.70","33,892,189.12","34,475,249.01","45,627,541.14","75,668,267.43","42,226,198.75","70,509,141.38","40,536,377.65","54,634,085.44","40,143,186.01","26,534,551.17","29,962,892.02","32,525,467.26","37,660,253.60","73,005,026.94","59,645,661.79","132,957,331.93","127,129,875.71","145,747,716.55","96,368,399.00","102,154,538.17","84,287,266.54","108,377,699.49","178,695,007.16","250,000,575.78","328,602,092.16","337,558,542.69","401,192,921.59","513,334,373.71","477,190,987.02","487,698,368.45"
预付款项,"13,827,893.73","2,511,622.25","49,746,161.19","36,062,630.67","17,298,187.65","25,759,458.26","17,796,532.76","17,777,877.08","37,970,135.45","35,016,057.64","26,997,639.26","70,486,625.34","49,066,333.52","63,993,418.49","74,093,887.74","140,949,314.49","79,685,674.56","152,531,127.51","136,585,371.89","145,357,870.61","71,176,021.52","129,424,646.53","126,248,715.28","151,223,978.09","86,356,061.17","97,448,419.94","123,036,836.20","118,542,940.26","49,948,051.29","38,890,377.92","69,773,989.40","53,768,666.71","42,439,944.75","70,231,551.53","81,767,183.27","278,937,690.20","92,261,652.74","193,620,261.81","124,928,108.98","394,916,395.79","80,337,478.40","181,311,222.01"
预收款项,"1,598,920.22","2,998,864.73","7,869,652.28","9,747,299.14","2,908,917.05","2,503,271.27","5,234,336.14","7,783,789.09","8,791,882.91","5,439,414.24","5,970,488.04","7,585,033.88","10,317,421.09","8,126,703.38","8,353,302.00","15,030,899.01","10,246,166.49","13,098,329.95","8,452,647.92","11,991,975.52","12,545,171.64","16,241,224.20","17,980,722.95","18,848,507.98","21,366,006.92","19,657,747.52","20,424,999.83","24,649,255.49","29,736,874.06","34,427,259.98","41,271,192.74","28,778,763.54","19,359,870.56","40,501,413.56","47,737,993.12","48,391,057.59","24,360,473.56","34,157,040.47","59,917,842.42","48,882,746.85","35,889,357.92","23,074,452.50"
