科目,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"44,476,563,820.00","63,042,320,830.00","77,338,957,340.00","19,194,300,030.00","50,376,575,360.00","78,057,006,280.00","105,499,096,710.00","25,578,062,670.00","60,039,034,870.00","92,229,531,230.00","125,902,444,000.00","32,056,847,000.00","67,859,148,000.00","112,216,632,000.00","153,324,273,000.00","47,125,873,000.00","99,984,184,000.00","148,783,253,000.00","195,820,338,000.00","55,069,088,000.00","101,192,080,000.00"
取得子公司及其他营业单位支付的现金净额,,,,"1,876,490.00","14,878,110.00","695,044,890.00","2,368,060.00",,"-2,895,340.00","-2,895,340.00","283,731,000.00",,"1,856,787,000.00","1,856,787,000.00","2,900,256,000.00","25,213,227,000.00","25,331,546,000.00","25,633,208,000.00","25,850,170,000.00","148,287,000.00","142,604,000.00"
收到的税费返还,"1,676,850,990.00","2,976,349,070.00","3,794,588,680.00","957,556,720.00","1,916,846,950.00","2,909,213,400.00","3,661,666,980.00","1,121,281,800.00","2,127,729,600.00","3,216,937,110.00","3,900,819,000.00","1,588,785,000.00","2,797,186,000.00","4,124,618,000.00","5,124,402,000.00","1,384,056,000.00","2,593,364,000.00","4,440,425,000.00","5,476,543,000.00","1,855,685,000.00","3,648,098,000.00"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"1,205,495,720.00","2,742,269,140.00","3,391,608,140.00","1,293,884,960.00","1,553,767,460.00","2,199,443,450.00","3,054,701,940.00","1,347,729,230.00","2,125,934,830.00","3,700,556,130.00","3,210,987,000.00","1,835,117,000.00","1,558,511,000.00","2,327,881,000.00","3,139,286,000.00","1,160,334,000.00","2,485,847,000.00","3,370,638,000.00","4,771,036,000.00","1,561,374,000.00","3,556,377,000.00"
投资活动现金流出小计,"1,268,893,550.00","1,819,298,910.00","2,149,610,840.00","903,934,730.00","27,892,630,060.00","31,601,888,020.00","31,481,322,620.00","1,679,548,220.00","10,079,222,760.00","11,599,120,240.00","62,730,329,000.00","26,815,848,000.00","46,226,607,000.00","68,534,169,000.00","96,104,411,000.00","54,134,380,000.00","69,512,207,000.00","77,719,398,000.00","124,035,694,000.00","19,500,194,000.00","41,811,802,000.00"
经营活动现金流入小计,"47,358,910,530.00","68,760,939,040.00","84,525,154,160.00","21,445,741,710.00","53,847,189,770.00","83,165,663,130.00","112,215,465,630.00","28,047,073,700.00","64,292,699,300.00","99,875,481,210.00","134,278,290,000.00","35,738,626,000.00","72,753,728,000.00","119,454,075,000.00","162,658,812,000.00","49,950,601,000.00","105,680,618,000.00","157,579,847,000.00","207,315,612,000.00","58,951,804,000.00","109,083,699,000.00"
投资活动产生的现金流量净额,"-569,313,880.00","-453,029,520.00","-466,681,940.00","257,253,680.00","-22,486,720,020.00","-24,179,641,660.00","-28,862,397,490.00","-1,175,368,570.00","-8,825,100,100.00","-9,849,714,920.00","-17,989,193,000.00","-9,560,260,000.00","-16,336,731,000.00","-17,770,441,000.00","-19,781,084,000.00","-26,909,489,000.00","-26,751,897,000.00","-18,327,750,000.00","-34,739,608,000.00","-7,250,092,000.00","-8,943,677,000.00"
购买商品、接受劳务支付的现金,"24,606,772,880.00","35,561,619,900.00","41,495,028,890.00","9,236,942,090.00","23,640,077,670.00","38,895,396,310.00","51,280,771,610.00","16,100,503,330.00","32,721,673,090.00","53,838,373,360.00","71,733,220,000.00","17,512,729,000.00","39,448,768,000.00","63,672,706,000.00","89,440,654,000.00","26,421,269,000.00","58,343,060,000.00","87,143,944,000.00","116,508,042,000.00","35,207,473,000.00","62,574,802,000.00"
吸收投资收到的现金,"11,596,040.00","11,596,040.00","16,804,070.00",,,,"7,927,910.00",,"1,493,431,290.00","1,651,108,790.00","1,701,630,000.00","19,234,000.00","45,552,000.00","651,628,000.00","814,845,000.00","161,107,000.00","629,854,000.00","1,365,855,000.00","1,668,205,000.00","1,013,304,000.00","1,711,968,000.00"
支付给职工以及为职工支付的现金,"4,713,708,270.00","6,692,571,590.00","8,207,434,880.00","3,240,584,650.00","5,562,772,470.00","7,876,851,140.00","10,426,381,020.00","3,472,711,350.00","6,130,766,110.00","8,776,444,530.00","10,493,582,000.00","3,254,369,000.00","5,660,543,000.00","8,673,520,000.00","11,652,740,000.00","6,338,017,000.00","11,456,781,000.00","17,042,705,000.00","22,740,541,000.00","7,569,431,000.00","13,600,798,000.00"
