科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"378,724,087.12","373,713,646.48","533,494,577.95","267,978,638.22","1,918,779,638.25","1,714,784,447.48","1,841,772,740.90","2,069,167,522.04","2,446,742,219.56","2,554,539,262.19","2,419,489,333.41","1,724,298,752.41","1,613,499,049.80","1,438,858,708.93","1,901,201,751.10","1,413,067,735.73","1,181,550,876.83","1,423,248,526.32","1,869,154,364.49","1,997,427,431.77","967,931,279.08","1,287,706,832.27","935,893,023.71","631,439,791.05","631,913,574.72","1,227,568,235.67","990,445,556.48","543,601,474.10","558,858,512.04","594,748,008.04","697,048,212.00","990,503,753.27","2,429,723,667.25","2,478,399,499.65","4,540,374,083.11","4,709,793,251.96","5,107,378,253.69","3,996,539,679.23","3,864,467,743.63","3,700,323,502.14"
短期借款,"44,067,856.96","134,806,890.70","141,451,109.48","56,683,353.72",,,,"307,168,777.20","664,754,516.47","1,248,638,075.81","1,414,868,362.59","600,389,793.80","675,802,605.04","782,099,244.36","1,004,191,332.71","1,120,849,233.86","1,364,184,741.29","1,827,629,874.83","2,140,834,325.75","1,960,351,791.42","1,565,085,891.34","1,604,373,826.54","1,212,621,715.58","1,692,040,200.71","2,247,114,791.89","3,022,585,080.55","2,624,073,437.92","2,101,997,271.99","2,126,716,260.05","1,997,031,681.74","1,753,721,289.15","2,377,922,989.65","2,705,031,263.77","3,003,976,076.60","3,823,950,858.68","3,953,554,063.89","4,232,527,432.97","3,973,337,011.35","4,301,999,880.57","5,021,994,023.69"
交易性金融资产,,,,,,,,,,,,,,,,,,,"20,890,331.85","5,577,980.52",,,,"11,081,496.65","28,176,534.74",,"3,241,808.00","3,241,808.00","3,241,808.00",,,,,,"138,356.17",,,,"1,035,782.83","142,886,215.99"
交易性金融负债,,,,,,,,,,,"434,816.92","434,816.92",,,,,,,,,,,"3,686,250.00",,,"6,833,488.51","21,277,429.60","14,744,214.60","7,017,475.00",,,,,,,,,,,"1,747,800.30"
应收票据,,"34,900,000.00",,,"1,510,000.00","25,388,198.94","20,849,550.87","48,619,160.34","61,593,507.37","95,486,356.49","249,362,652.29","121,513,593.99","125,072,335.52","154,286,999.88","172,534,079.89","286,402,928.11","201,473,137.78","170,141,715.08","332,504,657.80","76,433,939.12","135,697,096.02","114,161,014.96","121,994,868.97","401,465,387.77","451,451,846.98","163,519,942.37","302,133,627.20","345,635,278.19","584,245,581.84","158,048,124.76","159,234,961.19","979,320,725.22","1,019,446,652.04","705,423,887.17","938,050,501.52","1,638,198,351.93","1,669,993,287.35","1,351,134,314.70","1,089,582,342.48","1,210,301,234.07"
应付票据,,,"4,875,710.17","2,935,737.39","2,056,053.00","1,392,377.04","649,416.49","649,416.49",,,,"19,980,000.00","34,750,000.00","1,944,469.09","1,475,858.05","1,634,097.58","1,174,304.62",,,,,"479,240.00","479,240.00","100,000.00","270,000.00","370,000.00","1,000,000.00","1,054,788.27","317,920,277.27","313,158,082.61","426,667,476.32","375,267,545.33","483,590,696.67","570,781,530.23","542,872,996.99","506,534,385.14","434,468,053.69",,"656,539,294.93",
应收账款,"200,247,307.86","114,237,694.04","224,601,994.94","241,570,198.45","244,061,736.93","421,170,063.00","412,398,040.74","333,773,335.89","421,923,417.87","719,547,802.09","749,591,117.18","569,344,752.17","668,782,129.81","1,154,108,547.02","916,178,330.63","669,892,974.09","841,249,469.96","1,361,955,595.96","1,090,049,696.58","1,216,774,092.07","1,131,922,026.48","1,406,485,790.62","1,381,947,162.86","1,002,612,323.24","1,237,572,498.13","1,617,072,803.18","1,715,957,108.18","1,915,735,749.13","1,577,383,381.68","2,225,435,742.39","2,634,625,763.47","2,297,990,634.90","2,203,835,417.25","2,575,364,070.99","2,742,214,463.43","2,399,232,369.49","2,352,471,089.83","2,854,388,142.72","3,087,145,696.55","1,900,448,234.22"
应付账款,"506,255,550.62","280,447,406.29","465,922,978.00","344,375,660.17","298,571,509.02","383,381,149.52","406,001,874.58","338,635,769.52","423,816,810.10","550,778,953.24","648,872,467.61","551,708,000.27","712,604,278.30","925,109,529.14","823,856,978.95","655,808,237.08","566,692,322.57","923,404,469.58","919,371,592.68","834,193,270.25","838,584,750.62","927,832,842.65","851,554,865.74","897,334,343.32","826,585,023.95","987,576,280.39","1,203,701,873.76","1,255,504,231.08","1,190,209,028.80","1,432,054,572.24","1,713,557,878.23","1,785,581,632.47","1,621,044,396.95","2,031,214,756.02","1,684,274,451.68","1,765,785,152.42","1,631,966,903.80",,"1,851,698,509.20",
预付款项,"8,328,656.93","6,099,210.03","10,826,901.64","60,138,006.05","101,646,975.63","126,830,692.11","70,412,218.18","136,953,431.12","160,398,301.22","158,495,956.52","202,478,929.16","219,003,493.29","198,584,763.04","209,905,209.23","264,453,504.06","213,566,163.24","403,332,884.19","353,451,887.41","425,644,898.20","223,318,253.25","163,368,362.16","153,986,553.92","190,582,688.88","30,031,729.10","253,752,991.03","911,870,054.26","37,930,802.03","47,181,304.68","255,706,396.53","213,663,502.29","164,365,183.94","173,543,775.29","198,524,387.51","471,133,525.03","487,907,905.18","95,287,166.40","212,842,598.07","170,435,093.77","277,365,489.19","239,954,396.02"
预收款项,"10,373,763.14","8,914,778.87","16,061,336.05","24,764,734.14","19,628,118.19","11,377,793.91","15,102,240.94","17,281,658.72","16,237,515.78","15,430,018.76","19,631,839.80","21,871,140.27","24,513,911.27","23,111,803.77","20,060,194.98","25,860,709.50","21,858,055.09","21,142,386.41","23,680,822.07","22,027,611.06","20,434,197.22","22,269,297.85","30,039,801.32","11,382,198.09","21,314,261.91","38,286,803.23","60,278,859.13","75,848,150.20","84,683,595.51","69,221,563.91","57,136,426.42","56,707,892.40","127,181,971.68","19,599,510.64","88,002,265.89","54,550,210.47","93,035,243.85","65,418,688.47","187,086,724.25","234,359,523.37"
