科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"224,311,466.49","287,837,973.74","279,071,301.16","136,152,690.77","221,448,894.63","332,406,937.69","81,233,637.45","188,746,704.74","305,128,787.19","446,718,080.22","117,953,603.88"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"7,880,833.34","7,366,473.76","8,510,704.66","4,282,046.49","5,414,846.49","9,894,846.49","3,353,600.00","5,555,200.00","10,054,240.00","12,469,120.00","4,802,240.00"
支付其他与投资活动有关的现金,,,,,,,,"139,000,000.00","179,000,000.00","279,000,000.00",
收到其他与经营活动有关的现金,"4,006,755.82","3,211,216.93","13,571,053.75","9,138,396.84","23,741,823.54","25,881,791.14","776,846.91","15,615,982.72","27,083,714.36","27,858,628.76","721,437.62"
投资活动现金流出小计,"14,454,690.41","9,369,032.14","8,843,128.51","2,935,126.40","23,792,452.77","32,821,048.47","11,322,966.09","168,816,306.45","236,009,042.59","342,679,254.47","104,030,947.26"
经营活动现金流入小计,"236,199,055.65","298,415,664.43","301,153,059.57","149,573,134.10","250,605,564.66","368,183,575.32","85,364,084.36","209,917,887.46","342,266,741.55","487,045,828.98","123,477,281.50"
投资活动产生的现金流量净额,"-14,354,690.41","-9,349,032.14","-8,690,151.65","-2,453,597.85","-23,012,966.76","-32,041,562.46","-11,322,966.09","-168,708,306.45","-225,901,042.59","-251,277,965.70","-73,621,508.90"
购买商品、接受劳务支付的现金,"103,152,375.02","140,794,754.95","100,050,769.03","58,623,251.49","93,436,559.02","145,152,828.38","76,691,712.03","150,534,158.80","229,855,809.62","295,045,781.32","95,463,421.74"
吸收投资收到的现金,"47,600,000.00","400,000.00","200,000.00",,,,"235,250,000.00","264,250,000.00","264,250,000.00","264,250,000.00",
