科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"338,367,025.74","553,017,956.01","723,877,218.97","325,848,740.61","701,082,851.00","178,947,614.28","720,003,324.09","1,189,779,189.68","1,972,556,960.54","441,199,418.23","903,636,858.16","1,419,978,581.98","1,871,081,066.80","554,102,253.13","1,270,302,200.23","2,117,639,197.62","3,429,854,363.31","1,124,794,941.38","3,161,089,553.61","5,519,538,109.21"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"300,000,000.00","300,000,000.00","235,518,163.41","300,000.00","300,000.00","300,000.00",,,"96,000,000.00","96,000,000.00"
收到的税费返还,,,,,,,,,,"32,516.01","84,654.59","264,321.15",,,"17,704.49","285,804.24",,"83,162.41","206,096.00","9,401,007.52"
支付其他与投资活动有关的现金,,"1,500,000.00",,,,,,,"565,035,679.00",,"280,100,000.00","303,612,987.80","220,000,000.00","8,000,000.00","108,000,000.00","236,000,000.00","280,530,309.70","10,000,000.00","10,000,000.00","56,930,544.24"
收到其他与经营活动有关的现金,"6,856,475.31","48,661,684.19","7,606,136.99","1,749,263.39","3,848,453.28","6,704,594.39","107,496,701.75","121,225,319.04","14,036,956.18","16,478,714.25","108,236,918.26","35,715,779.27","173,575,379.12","178,209,891.34","481,567,465.12","590,848,476.90","9,195,198.81","106,376,068.09","151,372,990.72","357,203,716.25"
投资活动现金流出小计,"60,157,663.37","174,164,158.03","14,797,537.03","4,977,456.60","10,649,423.27","11,500,949.14","54,115,366.97","75,255,217.46","686,462,934.02","2,096,957.10","609,526,158.25","635,639,805.91","540,495,310.73","17,080,166.98","118,082,699.87","248,978,334.84","307,063,950.97","22,891,092.98","121,283,526.93","170,802,546.91"
经营活动现金流入小计,"345,223,501.05","601,679,640.20","731,483,355.96","327,598,004.00","704,931,304.28","185,652,208.67","827,500,025.84","1,311,004,508.72","1,986,593,916.72","457,710,648.49","1,011,958,431.01","1,455,958,682.40","2,146,797,700.50","732,312,144.47","1,805,606,766.71","2,786,805,826.97","3,546,391,510.76","1,254,294,777.42","3,360,667,332.47","5,960,392,554.60"
投资活动产生的现金流量净额,"-8,753,886.41","-173,414,158.03","-12,514,844.72","-4,216,993.68","-9,888,960.35","-9,988,949.14","-52,603,366.97","-73,743,217.46","-673,951,032.71","274,086,413.20","16,318,922.74","-4,785,101.53","49,481,892.44","74,086,692.05","-8,870,847.11","-34,181,747.94","58,000,070.91","35,999,396.73","-47,047,312.55","16,393,348.61"
购买商品、接受劳务支付的现金,"71,149,886.77","333,269,805.51","456,694,043.81","277,216,564.19","486,407,955.39","231,511,028.00","773,018,825.99","1,380,666,709.21","1,851,058,790.65","251,336,212.68","647,136,912.47","676,191,703.64","1,586,373,726.78","513,316,802.39","1,138,100,380.00","1,808,398,295.62","3,148,631,708.12","1,191,142,830.32","3,145,975,000.75","5,445,215,540.63"
吸收投资收到的现金,,,,,,"543,419,515.81","528,529,904.92","538,972,872.52","540,069,404.40",,,,,"18,000,000.00","18,000,000.00","18,000,000.00","18,000,000.00",,,
支付给职工以及为职工支付的现金,"17,769,144.92","25,589,580.67","24,452,785.17","17,923,552.87","33,311,425.59","9,434,071.59","18,139,337.04","26,005,843.85","36,020,669.88","11,886,081.48","22,094,765.51","32,305,393.74","45,722,094.49","41,317,396.25","54,165,310.51","66,935,624.30","84,023,490.10","17,688,673.61","33,022,330.45","50,485,947.96"
取得借款收到的现金,"440,000,000.00","290,000,000.00","300,000,000.00","110,000,000.00","300,000,000.00","40,000,000.00","110,000,000.00","110,000,000.00","370,000,000.00","15,000,000.00","147,150,000.00","197,150,000.00","488,877,253.00","222,128,000.00","507,688,162.78","858,002,362.77","1,227,635,332.69","256,655,362.59","594,176,938.76","985,676,938.76"
支付的各项税费,"36,029,711.47","41,271,391.77","57,807,238.38","29,046,940.91","66,116,414.08","12,609,018.82","24,909,793.98","42,605,730.32","53,237,392.95","21,402,977.86","40,124,837.92","66,550,811.83","116,392,037.00","46,810,007.50","86,734,222.13","129,167,511.88","157,731,952.12","55,616,468.29","97,012,560.91","176,013,709.10"
收到其他与筹资活动有关的现金,,"1,000,000.00","11,143,970.00",,,,,,,"301,192.42",,,,,,"20,000,000.00","20,000,000.00",,,"1,000,178.39"
支付其他与经营活动有关的现金,"98,988,613.21","6,239,772.58","8,269,568.29","2,933,195.52","10,163,395.61","9,110,542.74","49,311,843.15","82,826,363.50","17,625,566.19","71,799,861.03","10,638,168.54","201,909,217.54","18,364,186.19","285,638,196.64","468,688,506.43","638,516,657.01","115,225,085.36","107,898,944.05","168,752,210.28","394,494,518.10"
筹资活动现金流入小计,"440,000,000.00","291,000,000.00","311,143,970.00","110,000,000.00","300,000,000.00","583,419,515.81","638,529,904.92","648,972,872.52","910,069,404.40","15,301,192.42","147,150,000.00","197,150,000.00","488,877,253.00","240,128,000.00","525,688,162.78","896,002,362.77","1,265,635,332.69","256,655,362.59","594,176,938.76","986,677,117.15"
经营活动现金流出小计,"223,937,356.37","406,370,550.53","547,223,635.65","327,120,253.49","595,999,190.67","262,664,661.15","865,379,800.16","1,532,104,646.88","1,957,942,419.67","356,425,133.05","719,994,684.44","1,061,815,252.43","1,842,746,394.41","913,232,732.79","1,869,625,493.05","2,849,121,554.66","3,691,864,600.15","1,387,945,128.32","3,486,960,546.06","6,125,001,930.64"
偿还债务支付的现金,"374,439,629.34","301,300,000.00","277,202,937.14","102,413,977.29","306,994,451.14","40,354,428.64","94,502,611.72","94,502,611.72","359,502,611.72","10,000,000.00","145,000,000.00","215,000,000.00","528,091,861.00","185,077,253.00","472,877,753.00","762,885,253.00","1,164,732,978.02","209,655,520.33","464,266,420.59","651,081,420.59"
经营活动产生的现金流量净额,"121,286,144.68","195,309,089.67","184,259,720.31","477,750.51","108,932,113.61","-77,012,452.48","-37,879,774.32","-221,100,138.16","28,651,497.05","101,285,515.44","291,963,746.57","394,143,429.97","304,051,306.09","-180,920,588.32","-64,018,726.34","-62,315,727.69","-145,473,089.39","-133,650,350.90","-126,293,213.59","-164,609,376.04"
分配股利、利润或偿还利息支付的现金,"16,213,049.82","20,517,227.91","23,029,940.76","11,491,442.32","22,540,387.56","4,994,718.80","9,380,087.58","57,247,836.93","66,424,818.64","5,750,179.44","11,608,890.75","17,374,854.11","51,458,875.93","2,588,427.97","30,775,830.82","37,209,919.34","45,015,057.63","6,895,139.61","20,391,036.80","124,396,534.28"
收回投资收到的现金,"50,588,312.43",,,,,,,,,"24,420,288.00","24,420,288.00","24,420,288.00",,,,,,,,
支付其他与筹资活动有关的现金,"533,479.80","2,634,606.00","2,145,980.15","548,966.74","792,624.74",,"177,712.00",,,"9,674.73",,,"300,000,000.00","5,400,365.53","1,143,608.75","3,281,925.50","6,072,625.00","3,046,127.78","7,831,577.21","13,337,909.49"
取得投资收益收到的现金,"450,000.00","750,000.00","600,000.00","756,000.00","756,000.00","1,512,000.00","1,512,000.00","1,512,000.00","12,511,901.31","1,710,720.00","1,710,720.00","1,710,720.00","1,710,720.00",,"2,682,807.96","2,682,807.96","7,626,503.83","2,644,482.04","2,644,482.04","2,644,482.04"
筹资活动现金流出小计,"391,186,158.96","324,451,833.91","302,378,858.05","114,454,386.35","330,327,463.44","45,349,147.44","104,060,411.30","151,750,448.65","425,927,430.36","15,759,854.17","156,608,890.75","232,374,854.11","879,550,736.93","193,066,046.50","504,797,192.57","803,377,097.84","1,215,820,660.65","219,596,787.72","492,489,034.60","788,815,864.36"
处置固定资产、无形资产和其他长期资产收回的现金净额,"365,464.53",,"182,692.31","4,462.92","4,462.92",,,,,"26,780,000.00","26,810,000.00","26,810,000.00","26,809,417.48","-68,625.00","5,332,693.85","5,332,693.85","31,000.00","24,800.00","24,800.00","-115,394.00"
筹资活动产生的现金流量净额,"48,813,841.04","-33,451,833.91","8,765,111.95","-4,454,386.35","-30,327,463.44","538,070,368.37","534,469,493.62","497,222,423.87","484,141,974.04","-458,661.75","-9,458,890.75","-35,224,854.11","-390,673,483.93","47,061,953.50","20,890,970.21","92,625,264.93","49,814,672.04","37,058,574.87","101,687,904.16","197,861,252.79"
