科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度
销售商品、提供劳务收到的现金,"667,190,392.78","1,404,364,699.63","2,123,548,208.68","3,092,218,845.77","852,333,287.37","1,777,688,277.33","2,121,781,938.75","2,920,949,968.03","704,479,286.01","1,523,428,792.00","2,172,452,689.67","3,117,147,399.17","920,763,284.26","1,856,788,268.65","2,816,156,728.13","3,882,823,566.22","985,288,457.45","2,140,269,996.66","2,872,606,384.38","4,305,510,963.12","999,941,118.63","2,492,288,154.27","3,916,644,680.35","5,091,712,145.44"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,"90,171.72",,"153,771.72",,,,,,,,,
支付其他与投资活动有关的现金,,,,"6,601,843.06",,,,,,,,,,,"50,000.00",,,,,,,,,
收到其他与经营活动有关的现金,"26,123,308.88","36,554,874.06","43,615,536.90","118,978,882.37","28,643,082.63","41,437,677.84","56,675,277.15","62,423,306.35","15,230,329.46","32,414,645.48","80,785,727.47","123,887,698.44","31,975,933.98","84,112,844.89","116,650,890.29","140,767,614.78","27,178,155.12","55,334,742.95","75,594,854.25","92,467,252.35","21,905,147.29","51,490,009.01","78,875,126.88","106,461,878.24"
投资活动现金流出小计,"9,171,620.67","14,541,242.18","28,646,838.42","68,981,234.06","10,995,308.21","19,611,669.70","19,889,054.87","31,849,613.34","9,521,278.73","15,066,709.34","23,853,889.54","28,015,523.73","7,822,938.73","19,828,762.30","48,217,808.64","84,818,815.30","17,059,235.57","34,714,653.72","48,041,013.98","67,220,744.34","17,271,469.21","48,540,365.53","76,715,498.93","137,240,220.81"
经营活动现金流入小计,"693,313,701.66","1,440,919,573.69","2,167,163,745.58","3,211,197,728.14","880,976,370.00","1,819,125,955.17","2,178,457,215.90","2,983,373,274.38","719,709,615.47","1,555,843,437.48","2,253,238,417.14","3,241,035,097.61","952,829,389.96","1,940,901,113.54","2,932,961,390.14","4,023,591,181.00","1,012,466,612.57","2,195,604,739.61","2,948,201,238.63","4,397,978,215.47","1,021,846,265.92","2,543,778,163.28","3,995,519,807.23","5,198,174,023.68"
投资活动产生的现金流量净额,"19,041,154.42","21,698,022.07","37,594,073.99","-22,555,562.86","-9,575,256.30","25,608,268.96","39,294,437.34","38,937,678.87","18,876,410.02","21,605,468.41","13,920,575.37","32,828,304.18","15,030,787.80","6,975,000.23","-24,915,172.57","-46,168,211.17","-16,970,855.77","-34,599,323.92","-27,857,780.04","-41,686,499.57","-17,141,419.21","-26,187,735.68","-34,333,637.63","-94,750,591.51"
购买商品、接受劳务支付的现金,"407,557,498.95","801,150,807.51","1,269,564,546.93","1,912,141,984.24","508,734,377.93","1,118,689,469.46","1,299,924,305.80","1,791,988,422.70","396,548,632.24","890,171,529.33","1,183,415,466.19","1,737,423,458.90","532,549,753.00","1,083,236,456.60","1,647,459,134.40","2,298,831,542.09","601,376,379.83","1,294,481,079.71","1,581,324,038.26","2,624,196,872.88","513,768,390.64","1,420,106,363.28","2,264,193,036.15","2,859,077,881.34"
吸收投资收到的现金,,,,"76,851,843.06",,,,,,,,,,,,,,,,,,,,
