科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"54,270,754.60","55,831,616.64","70,535,623.43","55,490,014.86","90,740,076.65","235,340,413.87","196,350,609.46","194,366,391.62","211,727,606.85","230,592,010.77","178,080,230.75","110,442,875.41"
短期借款,"84,990,000.00","70,000,000.00","40,000,000.00","48,000,000.00","48,000,000.00","18,000,000.00","20,000,000.00","20,000,000.00","15,000,000.00","25,000,000.00","105,000,000.00","105,000,000.00"
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,"64,000,000.00","8,541,418.00","6,000,000.00","21,551,966.66","2,500,000.00","17,540,000.00","50,127,396.84","4,225,313.87","19,485,893.87","27,380,580.00","32,415,580.00","33,985,808.48"
应付票据,"112,116,716.89","72,588,140.45","143,392,050.23","143,409,364.75","159,806,319.47","113,542,801.95","79,173,458.10","80,723,627.69","124,921,080.00","226,080,244.60","81,188,581.84","81,787,931.27"
应收账款,"245,854,931.92","326,798,445.07","355,870,855.85","324,001,220.86","285,540,703.45","263,203,357.43","240,098,602.21","237,186,848.28","244,660,370.77","218,014,840.31","344,894,883.30","284,075,682.15"
应付账款,"168,621,842.16","204,513,891.31","186,852,561.82","163,412,394.68","188,723,323.55","170,674,113.82","206,163,575.15","152,612,776.20","162,627,619.76","139,876,538.22","220,248,729.71","175,492,736.71"
预付款项,"18,461,014.98","17,730,463.88","36,905,165.91","39,979,354.81","42,527,087.61","15,549,194.05","14,554,578.62","13,655,625.37","37,966,153.78","148,411,567.62","12,696,681.46","82,444,219.53"
预收款项,"39,087,648.04","22,975,306.36","8,068,742.98","19,534,517.74","22,139,192.17","22,090,712.46","19,999,302.60","19,738,742.70","35,960,664.77","46,338,083.41","20,450,940.67","28,214,018.34"
其他应收款,"3,686,354.90","2,791,369.56","6,290,891.47","10,922,606.24","12,483,811.61","15,392,400.83","15,133,115.71","16,954,213.89","15,153,649.67","13,954,347.33","13,277,782.54","15,444,435.14"
应付职工薪酬,"2,271,730.56","3,836,988.93","3,551,187.49","159,086.23","1,702,474.06","5,281,922.90","4,168,721.88","2,221,011.95","1,987,081.87","1,428,335.83","3,904,724.80","1,122,415.97"
