科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,181,553,852.01","1,270,756,420.22","1,772,345,814.69","754,043,610.29","1,151,798,760.36","1,852,963,895.74","389,631,129.40","897,927,021.38","1,250,997,038.90","1,803,290,811.20","446,180,532.15","910,026,781.05","1,506,871,648.55","2,342,236,333.81","597,455,306.99","1,272,384,761.36","1,988,530,926.48","2,896,810,447.42","665,125,956.73","1,293,188,442.16","1,919,143,355.43","2,958,535,563.08","661,999,312.95","1,443,284,296.69","2,125,658,399.44","3,387,155,875.36","1,118,847,628.09","2,037,752,350.08","2,944,333,132.63","4,547,944,950.28","1,173,880,070.32","2,357,534,896.28"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"130,636,700.13",,,,,,,"21,865,492.40","22,733,357.91",,"35,353,431.13","36,181,634.40","5,964,081.10",,,,"18,458,724.96",,
收到的税费返还,"192,315,659.75","125,618,951.13","217,443,321.22","150,211,504.92","199,449,116.72","270,778,327.34","82,917,817.40","104,386,344.98","167,874,718.23","232,537,119.77","68,018,649.00","107,554,858.43","161,406,562.83","241,657,698.75","56,619,238.54","103,927,775.08","153,723,668.44","197,430,956.73","102,770,413.38","179,609,817.77","249,016,781.02","349,163,994.21","50,441,194.47","112,527,148.88","198,072,649.24","310,173,618.63","63,987,339.19","136,313,257.36","225,158,096.15","319,344,629.89","73,093,580.84","160,715,190.83"
支付其他与投资活动有关的现金,,"4,233.89",,,,"953,598,000.00","99,500,000.00","562,800,000.00","720,305,413.24","585,582,422.92",0.01,"701,152,631.00","809,897,589.03","311,071,250.00","184,000,000.00","217,311,352.11","203,814,007.11","1,660,915,028.42","9,938,833.88","25,188,017.37","29,362,276.29","2,270,790,719.78","15,581,713.23","225,558,854.26","282,851,605.74","264,000,000.00",,"75,663,946.45","81,870,036.29","279,000,000.00",,"643,247,658.49"
收到其他与经营活动有关的现金,"7,729,306.81","13,054,261.28","17,099,835.38","14,329,518.73","23,965,802.14","17,338,869.87","8,864,391.79","21,780,192.41","25,558,631.39","12,085,912.67","6,347,281.54","20,555,181.33","20,788,917.03","22,660,503.25","11,479,690.42","33,803,627.66","40,357,506.91","23,928,243.87","11,980,144.65","12,661,479.32","15,699,188.56","13,258,987.09","15,824,872.16","9,643,443.55","51,812,238.11","24,115,684.40","27,934,996.45","16,763,987.28","63,608,942.57","21,161,366.64","22,777,781.21","30,028,824.09"
投资活动现金流出小计,"72,387,435.79","25,312,656.13","80,854,022.59","44,425,093.59","30,340,207.25","1,037,210,183.34","121,564,456.84","633,796,077.49","850,987,777.89","761,576,761.89","16,336,071.72","721,754,514.15","843,313,034.30","1,551,241,517.90","226,661,721.25","445,557,091.73","1,015,936,159.39","2,383,355,875.31","166,311,420.27","375,660,505.76","752,258,440.58","2,891,590,697.42","140,618,123.85","397,711,174.49","495,236,327.70","526,600,663.36","32,687,846.29","244,992,016.31","281,157,984.19","447,844,883.11","310,514,214.83","1,095,567,750.52"
经营活动现金流入小计,"1,381,598,818.57","1,409,429,632.63","2,006,888,971.29","918,584,633.94","1,375,213,679.22","2,141,081,092.95","481,413,338.59","1,024,093,558.77","1,444,430,388.52","2,047,913,843.64","520,546,462.69","1,038,136,820.81","1,689,067,128.41","2,606,554,535.81","665,554,235.95","1,410,116,164.10","2,182,612,101.83","3,118,169,648.02","779,876,514.76","1,485,459,739.25","2,183,859,325.01","3,320,958,544.38","728,265,379.58","1,565,454,889.12","2,375,543,286.79","3,721,445,178.39","1,210,769,963.73","2,190,829,594.72","3,233,100,171.35","4,888,450,946.81","1,269,751,432.37","2,548,278,911.20"
投资活动产生的现金流量净额,"-66,692,374.94","-20,599,850.17","-77,917,956.23","-44,191,622.75","-30,112,267.14","-1,036,597,511.19","-21,941,922.60","-99,389,789.65","-301,504,587.57","-353,845,118.62","95,435,876.81","-34,972,944.91","-89,926,286.03","-210,396,401.70","-154,438,436.58","-318,845,197.02","-347,439,587.79","-282,458,736.12","45,069,344.14","22,258,561.09","-118,766,930.10","-222,354,148.21","-78,307,146.05","-132,114,551.97","-137,527,358.70","-136,433,362.81","-30,659,809.35","-46,232,240.32","-77,253,271.96","-121,935,997.42","-51,309,445.79","-207,471,484.28"
购买商品、接受劳务支付的现金,"1,001,096,492.97","934,941,276.58","1,402,601,228.73","752,669,489.13","1,165,308,325.18","1,689,449,109.31","413,329,629.82","798,191,396.05","1,081,617,271.32","1,427,573,656.95","350,142,973.45","684,672,580.01","1,077,544,794.28","1,638,102,018.72","389,084,507.08","801,463,084.32","1,255,884,235.25","1,822,704,850.82","473,219,693.34","865,281,440.89","1,285,019,525.30","1,973,369,638.92","444,223,188.06","898,380,167.08","1,499,237,073.89","2,201,460,678.35","706,051,092.28","1,265,487,895.33","1,958,095,662.12","2,851,672,227.24","801,987,664.72","1,358,187,239.11"
吸收投资收到的现金,,,,,"1,486,900,000.00","1,475,392,000.00",,,"4,000,000.00","5,973,820.30",,,,"3,300,000.00",,,"2,250,000.00","2,250,000.00","71,120,900.00","73,125,900.00","72,575,900.00","71,838,900.00","2,147,800.00","2,287,800.00","2,179,620.00","2,884,800.00",,,"56,995,260.00","55,245,260.00",,"10,291,080.00"
支付给职工以及为职工支付的现金,"165,229,638.06","180,434,075.80","249,534,971.17","153,477,418.24","261,472,593.22","334,701,017.49","70,344,681.04","190,935,935.31","285,413,947.56","375,663,423.90","90,550,392.63","185,075,811.66","295,648,086.02","419,100,661.38","137,769,017.05","266,875,765.36","418,847,732.50","542,782,383.24","154,399,155.50","290,191,434.85","435,324,409.36","575,743,222.70","149,120,680.41","312,911,333.55","480,872,523.45","660,059,820.01","188,672,903.23","368,459,524.56","554,710,963.09","770,403,140.69","246,347,600.00","465,698,525.66"
取得借款收到的现金,"152,000,000.00","384,607,717.25","85,699,829.30","47,183,889.56","98,174,042.39","206,461,299.39",,,"101,324,717.97","251,462,072.48",,,"442,808,000.00","505,775,075.95",,"61,775,954.22","87,474,810.65","186,804,928.97","7,755,157.71","29,086,574.76","96,627,957.47","644,097,551.98","79,818,028.45","285,178,137.90","434,579,345.09","672,538,612.97","121,750,200.55","279,445,269.41","452,874,672.03","509,995,934.85","329,490,628.95","386,705,027.00"
支付的各项税费,"68,623,387.08","59,397,191.37","103,753,211.36","30,375,823.83","51,236,370.43","89,412,155.52","19,210,473.58","36,087,656.93","53,435,338.61","68,772,889.19","17,835,322.17","43,146,865.56","66,013,298.37","115,026,483.71","30,852,095.47","69,027,625.19","103,120,980.62","179,763,097.52","40,134,227.88","84,868,634.24","132,741,199.37","214,320,450.15","47,883,971.09","93,769,101.25","135,602,437.29","225,556,952.61","63,612,513.60","133,556,065.95","187,893,267.47","297,394,976.41","90,780,663.21","171,533,251.55"
收到其他与筹资活动有关的现金,,"1,776,657.28","617,031.11","3,638.30","1,045,174.09","1,067,057.24","2,535,660.98",,,"368,919.25",,,"402,535.19","402,535.19",,"1,207,035.19","804,500.00","804,516.39",,"3,026,269.44","3,026,269.44",,,,"357,033.88",,"18,542,054.57","15,167,514.44",,"11,323,810.89",,"14,162,614.59"
支付其他与经营活动有关的现金,"67,967,038.21","86,856,268.95","104,944,915.56","53,833,773.03","74,967,944.36","97,285,835.77","30,988,675.65","68,416,154.45","111,471,583.97","127,249,119.45","56,738,144.85","119,359,798.65","198,166,448.88","205,445,185.74","118,298,053.78","237,789,832.05","373,185,873.39","430,363,649.23","177,976,209.63","248,885,048.32","355,719,054.36","415,563,866.48","198,071,951.17","226,683,895.09","385,586,082.09","515,205,223.83","153,960,920.16","335,270,862.66","456,107,706.40","666,246,767.15","256,403,602.22","437,613,188.63"
筹资活动现金流入小计,"152,000,000.00","386,384,374.53","86,316,860.41","47,187,527.86","1,586,119,216.48","1,682,920,356.63","2,535,660.98",,"105,324,717.97","257,804,812.03",,,"443,210,535.19","509,477,611.14",,"62,982,989.41","90,529,310.65","189,859,445.36","78,876,057.71","105,238,744.20","172,230,126.91","715,936,451.98","81,965,828.45","287,465,937.90","437,115,998.97","675,423,412.97","140,292,255.12","294,612,783.85","509,869,932.03","576,565,005.74","329,490,628.95","411,158,721.59"
