科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"365,272,561.57","545,943,926.52","625,917,119.21","311,654,779.31","440,010,564.92","548,384,676.25","161,761,106.91","313,749,840.37","486,879,951.13","674,596,299.70","189,650,861.81","394,679,944.00","587,497,205.48","811,241,906.13","206,684,886.28","442,723,463.64","623,320,524.05","837,719,325.84","250,113,011.04","531,577,028.72","774,816,017.98","1,136,399,277.71","283,122,491.74","546,225,847.81","782,817,445.19","1,154,256,267.96","283,955,279.96","591,578,777.31"
二、营业利润,"72,685,501.29","115,217,342.27","121,629,857.42","55,283,410.02","64,364,721.08","61,095,402.73","13,746,554.39","36,965,464.02","44,072,649.93","43,611,908.32","12,978,103.88","25,819,076.54","34,707,319.22","39,424,215.47","16,676,269.14","38,716,172.84","51,154,089.01","54,871,594.97","19,202,041.22","45,258,432.58","56,553,661.17","69,612,605.17","17,550,076.09","46,481,467.23","45,662,313.46","32,456,539.67","-8,822,928.94","-10,240,290.88"
减:营业成本,"228,733,404.21","349,894,180.37","403,887,118.40","208,157,763.51","301,575,619.83","379,802,713.65","121,041,344.18","228,227,679.02","356,237,882.41","496,308,510.32","138,052,594.16","286,843,808.96","432,552,116.71","593,984,877.42","154,374,072.52","326,123,440.42","456,346,335.41","620,617,460.76","194,617,106.77","408,626,363.05","600,558,400.26","878,619,909.18","223,332,649.61","430,712,361.43","630,322,934.78","949,375,060.68","242,780,321.55","498,024,626.88"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,280,412.85","1,599,061.69","5,156,884.62","2,340,817.49","2,819,376.13","3,427,055.31","970,036.17","1,863,989.77","2,505,016.60","3,532,722.11","1,189,777.08","2,271,553.30","3,296,113.95","4,414,843.67","1,433,524.44","2,706,588.83","3,237,500.54","4,781,339.02","933,122.20","1,841,506.05","3,077,268.03","7,684,971.78","2,102,441.29","4,104,919.05","5,745,761.57","10,062,932.55","2,848,498.43","4,901,519.39"
营业外收入,"4,250,166.52","4,469,816.98","5,406,050.02","3,139,412.78","3,950,921.97","20,899,618.87","1,125,443.72","2,013,654.87","4,312,064.32","8,212,352.15","1,253,683.17","3,700,447.93","5,317,499.79","9,378,178.39","2,520,965.21","3,983,556.80","5,756,406.02","7,410,140.32","1,858,519.15","4,116,405.78","7,662,051.17","12,410,931.47","3,526,829.66","108,632.29","239,992.90","264,753.45","32,247.89","567,420.78"
销售费用,"25,644,613.95","37,508,370.58","35,881,539.03","15,833,875.00","23,337,456.29","33,163,289.07","7,509,541.23","18,452,268.19","31,300,752.62","50,068,677.27","10,253,347.26","25,261,994.55","34,788,143.92","55,003,757.42","8,425,440.38","24,904,879.91","34,851,666.03","49,576,514.32","10,708,725.21","27,285,116.63","43,240,612.57","70,548,830.53","15,419,273.99","28,443,663.40","43,657,419.29","71,112,952.13","19,769,471.92","40,528,863.33"
减:营业外支出,"289,367.07","1,025,627.63","1,141,411.63","264,423.82","617,960.86","2,498,499.60","103,648.80","1,343,333.16","1,572,032.91","1,068,073.47","128,014.97","364,814.73","488,305.53","6,644,502.88","185,920.24","1,562,720.72","1,826,094.98","2,409,878.33","416,094.08","889,283.31","1,175,104.08","1,430,860.19","307,236.75","784,026.27","869,859.62","403,128.52","382,798.86","414,554.01"
管理费用,"35,085,470.88","43,877,501.37","54,553,179.60","27,489,435.93","41,905,069.35","61,988,355.05","15,874,589.68","33,820,122.86","54,944,227.59","78,930,895.74","23,145,898.95","45,726,310.59","68,797,313.35","98,093,231.08","24,788,882.69","51,520,842.49","80,582,244.25","112,288,632.34","26,918,310.75","51,478,217.09","76,448,111.32","114,656,640.40","26,591,014.27","50,639,675.06","76,549,822.82","112,815,376.43","32,609,187.17","67,817,744.24"
其中:非流动资产处置净损失,"52,909.64","126,458.03","318,526.97","5,216.20","130,308.26","163,092.08",750.00,"4,563.81","79,406.06","275,462.61","6,531.69","6,531.70","12,596.09","5,242,813.64","35,235.78","1,208,726.88","1,250,850.43","1,452,300.17","199,506.12","307,057.20","431,423.17","555,548.54","208,307.33","661,976.23","720,490.15",,,
