科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"481,457,177.89","635,393,876.79","1,454,067,491.41","581,712,381.73","1,028,234,051.82","1,472,120,361.58","1,955,922,613.32","512,433,061.70","1,082,362,479.75","1,624,492,046.93","2,104,770,874.97","461,468,573.66","1,092,610,072.41","1,743,091,245.11","2,454,679,888.87","528,598,251.12","1,174,865,865.87","1,738,645,804.19","2,265,477,342.41","469,867,512.65","1,036,453,944.93","1,672,546,443.54","2,380,537,380.43","584,337,606.79","1,183,927,860.29","1,844,500,547.79","2,552,739,886.66","602,781,495.42","1,329,911,244.25","2,066,010,528.47"
二、营业利润,"18,618,481.78","64,650,251.74","434,745,173.10","164,251,917.50","258,267,549.36","311,066,268.68","394,889,322.15","79,558,878.59","97,570,879.35","109,431,151.44","115,346,913.18","14,096,599.37","33,910,408.68","53,206,142.92","72,681,921.16","27,266,272.13","60,326,274.93","95,745,198.64","91,870,214.48","36,472,732.74","54,877,057.79","90,902,028.38","90,047,569.77","40,746,276.15","85,558,903.49","121,273,704.89","124,620,697.67","38,824,208.62","105,362,204.44","129,938,776.91"
减:营业成本,"423,742,034.98","523,167,523.77","919,562,932.16","388,032,382.72","719,510,629.51","1,104,033,735.28","1,475,774,568.97","416,102,951.55","944,597,813.74","1,445,145,145.54","1,884,687,490.26","422,405,375.90","998,896,156.70","1,592,799,159.93","2,241,266,624.40","465,567,642.51","1,043,502,660.40","1,553,008,302.41","2,061,272,641.76","417,365,063.24","930,909,215.07","1,494,073,595.72","2,136,085,572.60","501,166,753.53","1,007,820,922.08","1,582,334,624.46","2,227,353,485.46","500,566,711.77","1,135,443,037.78","1,800,624,665.22"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,654,093.46","1,434,776.08","675,641.73","1,656,821.20","2,618,836.15",,"3,509,574.34",,"679,207.96","679,207.96","679,207.96",,,,,,,"44,751.77","44,751.77",,,"54,747.69","105,782.10","247,005.17","441,128.47","501,382.48","8,235,867.33","23,780.66","23,780.66","95,134.13"
营业外收入,"2,816,322.66","5,822,268.63","8,470,777.16","10,513,666.68","39,071,333.36","56,290,760.04","98,856,315.56","400,000.00","2,892,747.00","14,951,747.00","19,441,747.00","8,153,000.00","13,581,500.00","14,001,500.00","29,907,400.00","8,051,611.00","11,243,011.00","11,243,011.04","22,946,711.04","5,000.00","23,386,400.00","27,658,366.99","46,231,249.37","3,462,391.50","9,388,760.79","11,072,663.70","28,345,842.85","12,062,722.67","2,021,322.67","20,123,322.67"
销售费用,"11,635,940.91","13,325,303.10","16,046,878.83","3,093,251.47","5,091,277.55","6,974,983.20","16,092,205.77","4,227,386.00","9,445,261.30","18,181,161.59","26,373,751.22","6,718,783.99","11,933,276.53","24,740,240.84","36,413,321.64","8,716,134.98","17,242,749.43","25,845,601.69","35,748,261.02","6,731,367.55","21,590,151.49","32,836,350.10","48,057,070.95","15,771,878.16","31,884,471.07","51,980,097.35","66,885,487.45","24,478,417.75","46,700,838.56","64,215,632.94"
减:营业外支出,"444,474.85","619,867.22","246,370.90",,,"90,000.00","130,000.00",,,,"250,000.00",,,"90,000.00","153,200.00",,,,,,,"26,758.00","36,703.60","100,003.60","114,623.60","140,438.50","289,748.98","57,542.46","103,661.25","106,379.97"
管理费用,"15,759,778.62","24,819,444.62","67,441,128.75","19,317,580.36","33,878,966.96","53,059,082.94","82,744,825.51","19,400,409.09","38,922,709.44","60,624,447.87","88,483,006.27","20,604,948.29","52,858,382.43","77,071,796.58","108,839,788.71","26,611,591.52","54,166,793.41","75,934,073.23","97,548,648.45","22,620,801.68","48,046,109.94","79,185,976.20","117,264,594.66","26,671,636.58","55,759,599.74","86,342,748.64","118,853,631.21","34,038,360.34","67,027,527.00","104,786,800.47"
其中:非流动资产处置净损失,,,"138,883.42",,,,,,,,,,,,,,,,,,,,,"12,970.00","27,390.00","27,390.00","81,634.30",,,
