科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"8,553,706.18","30,901,124.84","9,164,761.08","4,693,064.31","204,461,218.35","175,838,339.13","134,682,448.68","120,275,449.25","157,586,360.96","160,813,896.93","117,119,767.88","85,970,659.91","109,828,413.65","95,645,098.43","59,822,008.84","92,402,098.40","147,037,254.42","98,679,441.00","113,458,392.05","140,842,020.31","160,988,931.50","99,095,321.17","86,812,799.41","85,849,490.31","174,660,865.16","122,077,718.53","131,802,391.77","125,738,176.42","242,405,476.55","120,393,230.61","95,102,371.06","101,755,168.54","270,315,874.62","309,950,721.67","230,751,732.15","119,186,504.34","287,931,059.67","158,411,955.06"
短期借款,"5,000,000.00","5,000,000.00","15,000,000.00","15,000,000.00","23,600,000.00",,,,,"57,000,000.00","66,000,000.00","86,000,000.00","98,000,000.00","171,174,000.00","165,174,000.00","193,000,000.00","192,000,000.00","199,000,000.00","186,000,000.00","181,950,000.00","164,500,000.00","148,200,000.00","192,200,000.00","256,000,000.00","314,900,000.00","327,100,000.00","381,400,000.00","453,500,000.00","507,000,000.00","502,500,000.00","528,100,000.00","567,835,059.06","691,463,013.05","677,600,000.00","698,600,000.00","664,239,536.99","865,362,179.24","853,369,632.08"
交易性金融资产,"2,905.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112,705,500.00","112,705,500.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112,705,500.00","112,705,500.00"
应收票据,"2,376,000.00",,,,,,,,,,,,"245,000.00","3,189,440.99","8,093,774.00",,,,,,,,"400,000.00",,"6,260,497.86","4,325,053.09","200,000.00","5,644,891.42","1,549,336.00",,,"300,000.00","20,073,728.43",,,,,"483,000.00"
应付票据,,,,,,,,,"8,290,491.17","13,158,510.37","25,330,621.75","32,176,888.35","18,238,625.80","6,524,340.00",,,,,,"1,800,000.00","2,335,000.00","3,967,493.90","4,366,843.90","3,011,748.47","6,166,083.95","5,490,539.50","1,104,066.00",,"4,000,000.00","1,500,000.00",,,,,,,,"5,500,000.00"
应收账款,"28,646,479.99","38,756,978.17","61,292,276.84","73,152,345.71","73,652,815.38","75,745,588.44","115,672,432.91","133,810,089.68","150,302,772.86","257,678,748.79","317,884,146.66","370,183,224.48","400,727,053.77","454,113,380.18","470,289,550.71","498,930,045.77","532,389,215.17","542,154,634.34","544,403,117.56","624,815,903.91","773,375,345.64","788,696,697.00","857,132,359.86","977,926,195.65","1,126,210,962.10","1,128,753,782.01","1,178,117,868.35","1,229,597,487.67","1,368,447,056.19","1,307,839,084.69","1,413,087,464.42","1,429,032,303.39","1,531,850,054.79","1,485,434,183.86","1,503,692,973.74","1,502,018,184.87","1,403,085,711.47","1,387,975,440.79"
应付账款,"6,683,377.41","3,839,451.65","10,826,385.51","14,799,224.37","8,518,953.96","9,500,693.60","13,040,492.08","14,168,830.64","20,218,878.08","42,059,297.98","89,294,555.25","86,744,051.97","119,865,253.13","101,629,103.00","108,328,253.52","133,635,018.98","163,958,079.67","137,186,054.60","136,150,733.96","178,884,756.54","250,190,006.27","220,961,673.72","237,963,298.36","290,273,160.69","387,854,477.63","373,190,391.09","367,695,982.74","384,471,782.48","558,875,343.32","475,159,941.46","549,806,070.14","549,548,083.81","622,364,797.73","563,391,764.91","590,734,640.09","605,475,561.50","706,711,521.82","668,673,342.39"
预付款项,"348,615.03","507,601.78","605,396.50","923,809.42","384,518.10","1,372,320.42","1,906,921.48","2,042,277.12","8,984,198.74","18,460,981.45","23,127,723.76","26,508,015.80","10,993,147.97","6,397,287.09","5,735,889.17","5,547,091.41","1,248,027.88","3,151,622.14","5,314,343.30","7,079,897.76","3,587,776.22","4,743,372.51","4,281,163.74","7,599,032.42","3,934,547.80","10,362,518.06","10,476,327.12","8,259,705.12","5,813,853.98","16,925,342.67","15,014,102.20","21,184,491.87","23,562,473.89","38,997,213.51","49,177,482.96","24,020,487.20","15,252,646.49","20,493,873.35"
预收款项,"1,194,571.00","1,911,896.65","500,707.00","1,045,151.26","2,041,347.00","1,812,286.50","298,734.00","515,034.00","5,503,783.00","9,188,507.88","7,724,541.11","7,419,503.29","8,997,765.52","12,640,997.32","9,750,567.77","10,972,730.29","7,710,445.69","12,664,731.17","18,068,655.39","21,401,043.50","9,467,334.68","11,908,928.73","12,634,515.90","15,858,175.76","6,294,128.07","9,296,618.31","16,185,612.09","23,806,619.03","12,504,075.98","20,119,581.73","33,618,958.22","50,288,093.68","35,137,633.77","54,707,968.20","77,389,899.65","80,838,530.76","61,698,000.41","83,762,803.42"
