科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"276,865,418.25","397,108,576.78","646,007,703.53","497,680,829.71","768,149,723.33","1,049,141,141.47","298,042,461.99","535,457,272.09","850,907,218.43","1,255,705,993.85","371,140,294.59","683,021,726.84","1,069,906,456.04","1,489,698,228.89","337,470,789.20","661,494,332.43","1,023,609,040.21","1,392,214,763.34","370,664,201.00","840,699,506.87","1,152,402,089.25","1,315,489,253.49","290,330,185.41","527,866,391.87","865,014,188.48","1,423,304,207.11","561,160,158.12","1,146,655,507.24","1,718,712,127.54","2,495,077,362.92","640,068,764.24"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,"327,200,000.00","163,914,509.18",,,"892,216.00","72,000,000.00","194,964,493.00"
收到的税费返还,,,,,,,,,"32,525.27",,,,"4,440,123.84",,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,"1,596,181,515.15",,,,,,"206,000,000.00","961,000,000.00","1,075,500,000.00","861,200,000.00","1,004,280,000.00","962,117,000.00","759,900,000.00","1,188,000,000.00","750,000,000.00","975,143,750.00","359,000,000.00","483,000,000.00","449,000,000.00","465,400,000.00","729,662,829.13","1,524,538,944.58","1,386,540,000.00","340,322,618.40","250,780,000.00","487,230,000.00"
收到其他与经营活动有关的现金,"197,620.09","2,372,736.61","3,994,769.53","2,551,404.10","4,095,768.14","12,254,580.32","18,889,122.27","13,724,357.50","20,419,030.46","16,364,626.27","3,834,810.65","9,971,198.89","23,029,355.93","20,024,427.21","16,181,006.18","17,245,262.95","17,761,246.79","157,897,466.98","1,258,309.43","42,022,909.64","43,214,496.42","17,752,969.91","815,352.74","1,134,465.79","111,948,546.78","69,172,295.53","7,681,244.57","14,274,810.54","58,272,433.36","73,311,997.26","30,662,434.14"
投资活动现金流出小计,"5,999,492.59","4,478,360.76","81,721,863.33","60,953,568.19","65,648,988.08","1,698,791,822.06","2,530,411.40","234,576,813.46","252,118,300.67","265,349,385.86","2,620,399.00","216,875,244.75","973,532,721.91","1,182,534,951.13","863,882,636.85","1,009,505,354.00","981,055,645.91","1,096,111,879.01","1,188,705,806.59","907,521,594.27","1,135,745,101.88","889,950,743.43","489,456,361.00","575,789,325.21","834,979,953.44","956,063,225.81","1,578,847,248.14","1,477,813,265.23","2,319,749,581.61","2,939,689,120.78","881,710,027.80"
经营活动现金流入小计,"277,063,038.34","399,481,313.39","650,002,473.06","500,232,233.81","772,245,491.47","1,061,395,721.79","316,931,584.26","549,181,629.59","871,358,774.16","1,272,070,620.12","374,975,105.24","692,992,925.73","1,097,375,935.81","1,509,722,656.10","353,651,795.38","678,739,595.38","1,041,370,287.00","1,550,112,230.32","371,922,510.43","882,722,416.51","1,195,616,585.67","1,333,242,223.40","291,145,538.15","529,000,857.66","976,962,735.26","1,492,476,502.64","568,841,402.69","1,160,930,317.78","1,776,984,560.90","2,568,389,360.18","670,731,198.38"
投资活动产生的现金流量净额,"-5,999,492.59","-4,478,360.76","-81,721,863.33","-60,945,928.59","-65,118,348.48","-1,696,078,267.31","-2,254,911.40","163,592,483.47","146,050,996.26","166,182,290.38","196,389,288.98","-22,325,551.25","319,048,266.10","79,229,736.60","25,698,204.83","91,650,522.38","130,460,860.24","35,299,417.69","-144,012,155.22","-136,230,463.23","-358,972,081.19","-85,782,319.35","-129,391,288.36","-214,518,707.44","-463,764,255.78","-311,490,483.35","-635,317,988.23","-973,371,355.77","-1,770,344,835.65","-2,356,842,958.74","-472,142,393.59"
购买商品、接受劳务支付的现金,"135,066,235.66","227,004,607.59","295,970,054.57","224,533,867.10","400,916,699.28","597,647,950.76","116,477,195.43","233,710,618.06","415,265,677.56","671,047,740.41","161,091,507.11","306,082,083.14","459,918,465.28","673,148,937.78","109,071,239.50","218,224,613.77","351,608,182.37","561,173,445.14","99,377,652.76","150,126,093.24","281,085,355.55","457,895,148.36","73,932,058.70","162,460,607.55","337,411,471.55","575,032,545.13","194,396,518.25","551,589,601.34","983,961,728.11","1,198,467,044.14","221,770,875.71"
吸收投资收到的现金,,"23,500,000.00","80,000,000.00",,"1,666,935,000.00","1,666,935,000.00",,,,,,,,,,,,,,,,,,,,,"150,000,000.00","250,000,000.00","250,000,000.00","260,388,000.00","330,161,400.00"
