科目,2011年度,2012年度,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"604,615,260.33","727,723,099.02","798,964,317.76","428,077,348.16","884,901,700.31","171,164,668.46","438,467,057.07","577,648,083.23","839,515,616.15","209,826,920.64","446,037,564.11","770,319,450.75","1,184,346,088.48","362,195,274.82","889,602,884.85","1,495,871,763.51","1,843,269,597.67","438,365,247.51"
二、营业利润,"79,853,004.66","99,634,717.72","119,181,132.58","54,192,771.00","116,223,130.07","15,685,663.51","48,068,706.96","63,446,354.96","89,464,264.68","13,416,334.41","25,169,331.34","54,044,647.39","41,432,718.29","-3,880,971.76","-11,735,837.73","65,306,988.11","67,885,886.14","20,246,663.57"
减:营业成本,"476,446,796.33","557,372,310.16","613,274,923.92","333,325,429.68","685,957,632.42","134,742,768.88","340,290,031.36","446,508,852.10","662,125,694.83","180,070,708.32","378,005,153.75","651,292,226.34","1,045,239,594.87","327,325,049.85","821,447,266.16","1,375,739,424.45","1,679,068,916.04","372,498,018.30"
加:补贴收入,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,479,543.62","3,804,098.87","3,635,606.76","1,780,034.20","3,610,031.64","905,469.05","1,825,842.45","2,434,560.33","3,355,117.95","893,024.25","1,491,997.96","2,108,928.85","3,288,385.20",,"2,204,775.55","4,492,929.63","7,463,920.58","1,065,213.12"
营业外收入,"269,428.94","864,215.89","3,100,417.47","277,117.98","2,561,361.10","257,430.54","897,839.58","1,945,665.48","3,762,009.50","37,322.03","504,444.59","864,207.19","39,833,874.51","18,568,144.31","56,862,806.22","22,016,456.24","26,366,544.27","72,545.81"
销售费用,"29,159,862.41","41,719,054.95","34,667,195.19","22,411,227.59","43,077,481.76","11,603,691.56","26,996,946.36","36,807,707.94","50,432,348.75","9,377,274.71","25,962,196.65","39,016,479.12","56,597,159.67","22,654,369.63","43,533,025.63","66,824,015.04","88,228,302.19","24,878,738.38"
减:营业外支出,"304,544.34","400,000.00","336,640.00",,"209,162.64",,300.00,"301,742.50","358,442.50","5,000.00","5,028.10","272,989.27","2,572,989.27",,,"180,430.23","506,914.47","187,816.95"
管理费用,"11,925,081.01","15,973,451.41","17,811,343.90","9,121,434.95","18,742,350.21","5,420,387.45","10,375,565.88","16,470,903.76","22,435,734.00","4,867,047.25","13,638,595.04","19,446,614.72","25,451,229.17","12,274,756.82","25,457,712.07","40,731,162.28","56,744,017.23","17,884,203.34"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,
堪探费用,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,
财务费用,"3,142,214.42","8,231,734.87","9,241,000.24","5,960,963.69","13,476,813.55","2,806,688.01","5,017,090.01","6,086,830.09","5,473,838.08","1,112,676.69","652,097.56","3,722,124.35","10,842,512.66","2,980,101.06","3,775,379.17","8,497,721.81","19,077,556.95","8,075,106.52"
三、利润总额,"79,817,889.26","100,098,933.61","121,944,910.05","54,469,888.98","118,575,328.53","15,943,094.05","48,966,246.54","65,090,277.94","92,867,831.68","13,448,656.44","25,668,747.83","54,635,865.31","78,693,603.53","14,687,172.55","45,126,968.49","87,143,014.12","93,745,515.94","20,131,392.43"
资产减值损失,"608,757.88","987,731.04","1,153,115.17","1,285,487.05","3,814,260.66",,"5,892,874.06","5,892,874.06","5,945,433.08",,"1,157,296.62","1,157,296.62","2,751,765.63",,"4,783,475.38","4,869,270.81","13,373,475.27","20,790.93"
减:所得税,"19,630,977.23","26,745,413.93","30,964,600.02","14,385,569.96","31,201,633.76","4,368,878.99","13,818,344.53","18,489,483.52","25,489,044.48","4,364,229.06","7,539,861.70","15,080,923.56","20,897,831.94","3,018,960.47","12,050,976.43","22,272,683.07","25,753,587.85","7,347,340.58"
加:公允价值变动净收益,,,,,,,,,,,,,"974,092.23",,"1,100,872.01","-203,112.99","615,128.03","1,188,503.40"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,"-283,184.78","-89,855.01","39,104.81","234,433.32","283,184.78",,"-1,237,960.63","-692,400.68","1,695,514.71","-124,848.62"
四、净利润,"60,186,912.03","73,353,519.68","90,980,310.03","40,084,319.02","87,373,694.77","11,574,215.06","35,147,902.01","46,600,794.42","67,378,787.20","9,084,427.38","18,128,886.13","39,554,941.75","57,795,771.59","11,668,212.08","33,075,992.06","64,870,331.05","67,991,928.09","12,784,051.85"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,"234,433.32",,,,,"-148,117.16"
归属于母公司所有者的净利润,"60,186,912.03","73,353,519.68","90,980,310.03","40,084,319.02","87,373,694.77","11,574,215.06","35,147,902.01","46,600,794.42","67,378,787.20","9,084,427.38","18,128,886.13","39,554,941.75","57,795,771.59","11,668,212.08","31,218,449.13","60,882,711.65","60,340,707.79","9,486,629.75"
影响营业利润的其他科目,,,,,,,0.01,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,"1,857,542.93","3,987,619.40","7,651,220.30","3,297,422.10"
