科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"112,016,505.01","263,010,449.11","405,237,041.61","526,630,466.51","135,712,941.22","291,807,331.64","464,343,856.21","588,396,102.05","75,594,364.36","141,199,707.78","218,136,658.37","312,917,084.51","80,500,588.42","150,659,188.44","215,328,569.08","302,841,822.90","77,757,446.23","142,878,350.80","215,117,325.68","321,582,354.60","50,248,147.61","101,660,105.41","149,065,398.23","235,410,972.14","50,042,699.52","94,579,463.20","149,577,555.91","222,705,027.95","75,769,121.20","99,190,479.22","148,188,441.55","684,724,455.70","42,791,243.42","102,641,601.15","140,189,280.05","189,551,955.84","36,016,395.16","54,325,022.43","182,777,045.75","312,643,090.20","27,390,691.69","76,101,745.96","320,043,325.48","523,917,948.55","224,795,010.59"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"159,169.25","159,169.25","504,461.17",,"189,072.52","429,232.46","7,253,844.05",,"221,595.28","394,318.04","675,172.54","114,342.97","146,492.19","308,948.43","494,990.59","140,738.54","253,005.13","429,185.90","1,453,294.07","149,975.61","349,116.04","512,038.21","794,559.20","93,356.30","442,410.86","690,253.18","976,439.88","1,686.50","261,632.87","261,632.87","447,411.54",,"9,397.20","14,055.73",,,,,,,,,,
支付其他与投资活动有关的现金,"596,770.24","596,770.24","596,770.23","596,770.24",,,,,,,,,,,,"14,387,445.35",,"5,318,426.02",,"7,360,164.24",,"25,302,624.36","29,021,563.33","34,453,260.49",,"2,634,007.48",,"5,405,441.14",,,,,,,,,,,,,,,,"11,508,021.56",
收到其他与经营活动有关的现金,"19,601,387.37","19,348,654.87","24,270,818.81","43,319,975.72","72,178,868.64","91,934,242.08","88,533,177.70","121,745,067.04","42,619,708.49","45,475,491.38","58,287,687.59","34,962,968.57","57,067,247.75","56,665,102.37","89,820,545.88","10,978,034.54","39,107,183.91","4,110,407.17","78,713,716.74","26,443,737.13","2,409,499.23","11,196,956.27","4,857,264.55","6,875,648.91","1,782,801.67","2,808,521.35","15,398,067.09","7,651,155.51","1,378,542.47","4,156,222.02","5,693,760.30","1,708,256.69","199,144.06","1,529,232.99","7,585,220.73","93,223,943.38","894,796.59","1,198,857.28","1,780,483.82","986,929.38","1,044,038.36","1,239,834.28","435,282.69","982,841.14","201,156.29"
投资活动现金流出小计,"14,569,760.27","25,902,526.40","36,194,347.34","45,588,442.76","796,832.78","3,154,637.55","4,707,809.13","5,478,607.47","1,814,313.48","2,095,923.95","2,644,304.41","6,882,433.38","580,798.20","1,943,511.21","3,685,383.76","70,800,930.55","602,111.50","10,108,382.61","7,987,443.12","22,137,525.10","508,887.03","28,971,214.05","33,123,985.89","37,962,599.64","230,061.41","3,439,505.32","944,214.95","7,630,605.03","662,874.79","1,689,330.46","2,069,018.48","2,596,846.73","65,765.00","304,294.74","480,902.28","655,458.91","28,717.94","400,017.94","459,341.21","1,493,022.16","12,000.00","12,000.00","12,000.00","11,787,169.20",
经营活动现金流入小计,"131,617,892.38","282,518,273.23","429,667,029.67","570,454,903.40","207,891,809.86","383,930,646.24","553,306,266.37","717,395,013.14","118,214,072.85","186,896,794.44","276,818,664.00","348,555,225.62","137,682,179.14","207,470,783.00","305,458,063.39","314,314,848.03","117,005,368.68","147,241,763.10","294,260,228.32","349,479,385.80","52,807,622.45","113,206,177.72","154,434,700.99","243,081,180.25","51,918,857.49","97,830,395.41","165,665,876.18","231,332,623.34","77,149,350.17","103,608,334.11","154,143,834.72","686,880,123.93","42,990,387.48","104,180,231.34","147,788,556.51","282,775,899.22","36,911,191.75","55,523,879.71","184,557,529.57","313,630,019.58","28,434,730.05","77,341,580.24","320,478,608.17","524,900,789.69","224,996,166.88"
投资活动产生的现金流量净额,"-7,573,371.76","-8,895,864.31","23,890,570.45","102,067,254.87","-343,462.96","22,607,329.87","24,090,578.29","-1,258,153.20","-1,680,580.21","-1,627,807.52","3,964,900.55","17,080,481.16","-559,656.19","-908,400.72","-1,953,998.46","-25,642,835.11","3,281,190.24","-792,580.87","-747,328.55","-12,008,074.66","3,631,112.97","-22,370,339.05","-23,261,110.89","-30,448,899.64","-230,061.41","-3,439,505.32","-846,214.95","7,406,974.97","-662,874.79","-1,683,106.74","17,788,445.24","18,577,416.99","-65,765.00","-304,294.74","-480,902.28","-595,258.91","129,877.95","-210,137.05","-46,262.15","9,917,697.79","-12,000.00","500,000.00","835,102.00","168,882,613.22",
购买商品、接受劳务支付的现金,"92,700,181.73","198,789,274.03","307,533,585.98","431,806,313.89","108,051,246.31","241,595,863.81","382,641,537.55","490,458,288.80","54,002,279.33","98,991,121.73","143,464,365.74","198,515,305.18","63,588,151.09","113,993,540.53","160,875,181.46","214,966,714.82","44,475,358.93","102,429,635.96","150,457,997.62","204,034,279.35","54,810,412.22","70,838,091.15","95,488,985.53","171,795,235.58","46,139,216.66","77,416,512.55","117,815,399.75","168,278,791.46","41,995,621.39","71,694,499.94","109,365,969.92","631,916,560.52","37,505,517.53","80,079,221.70","91,847,290.32","128,444,752.36","27,554,792.40","37,374,221.19","169,902,674.76","293,639,602.68","46,974,607.70","62,810,793.69","292,159,466.59","606,412,187.82","276,752,311.71"
吸收投资收到的现金,,,,,,,,,,,"13,800,000.00","13,848,000.00",,,,"10,996,828.99","27,000,000.00",,,"3,200,000.00",,,,,,,,,,,"4,500,000.00","4,500,000.00",,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"13,993,891.57","32,419,244.27","46,820,491.57","64,204,790.24","17,015,800.21","33,403,363.97","49,835,851.00","66,963,667.04","18,253,622.52","32,674,793.96","48,119,606.03","62,545,029.09","18,321,416.63","30,697,074.51","39,272,257.94","57,036,172.60","12,973,955.36","28,864,019.01","44,860,769.43","59,852,984.95","11,870,039.20","21,203,046.59","31,922,168.46","37,271,144.13","12,171,851.37","19,635,716.13","31,948,632.71","39,351,211.28","9,872,748.30","18,489,640.62","27,906,009.13","37,873,819.37","10,480,267.52","18,956,387.34","27,958,916.18","38,400,045.80","9,076,594.11","17,258,916.03","26,293,672.69","35,155,846.78","9,948,831.12","19,086,020.99","28,366,113.41","38,708,921.41","1,224,760.72"
取得借款收到的现金,"9,150,000.00","9,150,000.00","9,150,000.00","12,150,000.00",,"3,000,000.00","3,000,000.00","4,600,000.00",,"3,000,000.00","3,000,000.00","3,000,000.00",,,"13,500,000.00",,,"64,000,000.00","73,929,832.91","89,500,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","35,000,000.00","35,000,000.00","48,000,000.00","48,000,000.00",,"35,000,000.00","35,000,000.00","35,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,,"30,000,000.00","30,000,000.00",
支付的各项税费,"3,178,368.74","11,314,915.01","15,944,295.81","17,519,702.73","4,308,642.47","9,914,871.93","17,980,481.94","25,162,598.56","4,589,567.76","9,517,148.06","16,066,538.81","35,598,507.38","5,118,423.03","8,697,119.99","11,996,815.07","16,625,418.53","4,165,095.42","8,732,053.58","13,407,734.24","17,230,241.16","2,729,263.08","6,274,251.09","9,292,900.34","12,707,209.41","2,694,271.27","5,646,195.90","7,721,911.87","9,629,528.60","1,857,681.12","4,355,759.27","7,178,654.45","8,432,855.20","1,335,132.85","3,634,295.49","5,725,384.67","8,992,534.07","16,660,286.10","19,142,877.26","20,595,788.40","20,843,051.88","4,277,486.07","5,025,433.67","5,454,141.98","7,079,833.54","122,515.99"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,"95,450,000.00",,"88,350,000.00","89,850,000.00","85,350,000.00",,,,,,,,,,,,,,,,"1,120,000.00",,,,,,,,,
支付其他与经营活动有关的现金,"10,209,623.30","22,723,264.83","35,069,406.32","38,157,250.08","10,568,825.44","25,688,369.97","38,765,645.16","45,221,004.23","8,936,511.57","16,525,904.59","39,562,796.34","56,469,603.22","16,285,286.08","30,270,293.95","85,162,195.88","40,591,064.34","52,767,125.14","19,432,537.88","101,287,413.35","67,736,434.89","14,689,583.93","28,499,654.90","43,518,836.71","37,728,077.37","7,757,712.19","13,057,687.44","32,191,010.93","31,437,080.66","5,619,041.93","10,273,134.87","33,759,231.06","16,469,561.82","3,521,644.91","6,133,388.29","12,731,689.97","9,762,661.76","2,842,446.23","4,565,534.15","6,735,228.20","21,815,209.65","2,002,838.91","3,885,931.64","6,819,133.19","17,269,555.37","600,319.43"
筹资活动现金流入小计,"9,150,000.00","9,150,000.00","9,150,000.00","12,150,000.00",,"3,000,000.00","3,000,000.00","4,600,000.00",,"3,000,000.00","16,800,000.00","16,848,000.00",,,"13,500,000.00","106,446,828.99","27,000,000.00","152,350,000.00","163,779,832.91","178,050,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","35,000,000.00","35,000,000.00","48,000,000.00","48,000,000.00",,"35,000,000.00","39,500,000.00","39,500,000.00",,"30,000,000.00","30,000,000.00","31,120,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,,"30,000,000.00","30,000,000.00",
经营活动现金流出小计,"120,082,065.34","265,246,698.14","405,367,779.68","551,688,056.94","139,944,514.43","310,602,469.68","489,223,515.65","627,805,558.63","85,781,981.18","157,708,968.34","247,213,306.92","353,128,444.87","103,313,276.83","183,658,028.98","297,306,450.35","329,219,370.29","114,381,534.85","159,458,246.43","310,013,914.64","348,853,940.35","84,099,298.43","126,815,043.73","180,222,891.04","259,501,666.49","68,763,051.49","115,756,112.02","189,676,955.26","248,696,612.00","59,345,092.74","104,813,034.70","178,209,864.56","694,692,796.91","52,842,562.81","108,803,292.82","138,263,281.14","185,599,993.99","56,134,118.84","78,341,548.63","223,527,364.05","371,453,710.99","63,203,763.80","90,808,179.99","332,798,855.17","669,470,498.14","278,699,907.85"
偿还债务支付的现金,"8,361,136.22","20,561,136.22","58,061,136.22","132,263,036.22","59,800,000.00","77,800,000.00","77,800,000.00","78,401,294.00","31,352,006.64","34,559,706.64","43,359,706.64","12,470,700.00","33,346,239.80","36,346,239.80","3,000,000.00","8,000,000.00","35,946,000.00","110,896,000.00","115,331,100.00","130,831,100.00","27,000,000.00","27,000,000.00","27,000,000.00","27,000,000.00","30,295,080.00","30,000,000.00","30,535,080.00","30,000,000.00","35,000,000.00","35,000,000.00","48,000,000.00","48,000,000.00",,"35,000,000.00","35,000,000.00","35,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",
经营活动产生的现金流量净额,"11,535,827.04","17,271,575.09","24,299,249.99","18,766,846.46","67,947,295.43","73,328,176.56","64,082,750.72","89,589,454.51","32,432,091.67","29,187,826.10","29,605,357.08","-4,573,219.25","34,368,902.31","23,812,754.02","8,151,613.04","-14,904,522.26","2,623,833.83","-12,216,483.33","-15,753,686.32","625,445.45","-31,291,675.98","-13,608,866.01","-25,788,190.05","-16,420,486.24","-16,844,194.00","-17,925,716.61","-24,011,079.08","-17,363,988.66","17,804,257.43","-1,204,700.59","-24,066,029.84","-7,812,672.98","-9,852,175.33","-4,623,061.48","9,525,275.37","97,175,905.23","-19,222,927.09","-22,817,668.92","-38,969,834.48","-57,823,691.41","-34,769,033.75","-13,466,599.75","-12,320,247.00","-144,569,708.45","-53,703,740.97"
分配股利、利润或偿还利息支付的现金,"411,994.26","710,553.34","1,126,941.95","8,006,610.27","14,662,144.77","17,611,183.03","17,682,561.46","17,782,376.41","79,486.84","139,260.30","640,612.12","722,722.30",,"77,764.97","77,764.97","1,392,937.32","1,292,515.44","3,835,682.99","5,021,458.88","7,459,554.75","561,217.11","1,210,766.44","1,839,663.11","2,431,163.11","540,150.00","1,192,316.67","1,978,166.67","3,286,437.85","919,750.00","2,101,206.67","2,785,408.00","3,582,788.00","630,000.00","1,135,900.00","1,628,100.00","2,114,950.00","486,850.00","880,767.50","1,220,937.50","18,667,637.36","332,775.00","473,280.00","473,280.00","1,064,280.00",
收回投资收到的现金,"4,777,410.57","13,295,593.30","20,920,041.24","20,019,850.48","314,712.80","270,146.73","820,222.80","1,307,673.08","60,891.20","123,785.40","5,696,322.01","9,817,744.25","19,000.00","633,830.24","1,247,895.24","101,640.24","383,301.74","332,000.00","403,801.74","332,000.00",,,,,,,,"14,940,000.00",,,,"20,496,240.00",,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,"1,648.84",,,"25,272.00","25,272.00","25,272.00",,,,,,,,,"55,000,000.00",,"5,000,000.00","6,000,000.00","340,000.00","250,462.02",662.02,863.24,,,,,"21,741.95",,,,,,,,,,,,,,,"181,500.00",,
取得投资收益收到的现金,"818,977.94","3,561,068.79","6,967,876.55","7,147,964.22","113,657.02","158,223.09","2,644,567.02","2,721,231.19","2,842.07","221,831.03","583,282.95",,"2,142.01","121,480.25","203,390.06","371,907.44",,"51,301.74",112.83,"51,414.57",,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"8,773,130.48","21,273,338.40","59,188,078.17","140,269,646.49","74,487,416.77","95,436,455.03","95,507,833.46","96,183,670.41","31,431,493.48","34,698,966.94","44,000,318.76","13,193,422.30","33,346,239.80","36,424,004.77","3,077,764.97","64,392,937.32","37,238,515.44","119,731,682.99","126,352,558.88","138,630,654.75","27,811,679.13","28,211,428.46","28,840,526.35","29,431,163.11","30,835,230.00","31,192,316.67","32,513,246.67","33,308,179.80","35,919,750.00","37,101,206.67","50,785,408.00","51,582,788.00","630,000.00","36,135,900.00","36,628,100.00","37,114,950.00","486,850.00","30,880,767.50","31,220,937.50","48,667,637.36","332,775.00","30,473,280.00","30,654,780.00","31,064,280.00",
处置固定资产、无形资产和其他长期资产收回的现金净额,,"150,000.00","32,197,000.00","119,087,882.93","25,000.00","25,333,597.60","25,333,597.60","191,550.00","70,000.00","122,500.00","329,600.00","14,145,170.29",,"279,800.00","280,100.00","345,100.00","3,500,000.00","3,511,200.00","3,636,200.00","9,546,035.87","4,140,000.00","6,600,875.00","6,600,875.00","4,234,700.00",,,"98,000.00","97,580.00",,"6,223.72","481,223.72","678,023.72",,,,"60,200.00","158,595.89","189,880.89","413,079.06","410,719.95",,"512,000.00","847,102.00","847,102.00",
筹资活动产生的现金流量净额,"376,869.52","-12,123,338.40","-50,038,078.17","-128,119,646.49","-74,487,416.77","-92,436,455.03","-92,507,833.46","-91,583,670.41","-31,431,493.48","-31,698,966.94","-27,200,318.76","3,654,577.70","-33,346,239.80","-36,424,004.77","10,422,235.03","42,053,891.67","-10,238,515.44","32,618,317.01","37,427,274.03","39,419,345.25","2,188,320.87","1,788,571.54","1,159,473.65","568,836.89","4,164,770.00","3,807,683.33","15,486,753.33","14,691,820.20","-35,919,750.00","-2,101,206.67","-11,285,408.00","-12,082,788.00","-630,000.00","-6,135,900.00","-6,628,100.00","-5,994,950.00","-486,850.00","-880,767.50","-1,220,937.50","-18,667,637.36","-332,775.00","-30,473,280.00","-654,780.00","-1,064,280.00",
处置子公司及其他营业单位收到的现金净额,"1,400,000.00",,,"1,400,000.00",,,,,,,,,,,,"409,277.47",,,,,,,"3,262,000.00","3,279,000.00",,,,,,,"19,376,240.00",,,,,,,,,,,,,"167,941,122.42",
四、汇率变动对现金的影响,"-18,673.20","-76,731.20","-89,475.66","-193,679.41",-480.36,"-203,177.17",-480.36,"-350,588.46",427.61,963.67,963.67,"-11,377.35","2,018.78","-3,733.28","-7,569.70","-243,908.39","-1,149.08","-2,151.29","-3,741.59","521,905.58",-303.38,-292.46,-286.28,"-121,207.03",,"-126,825.60",,"-357,812.01",,,,"-359,197.75",,,,"3,984.02",,,,"22,119.68",,,,"-35,083.39",
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,"43,930,170.29",,"5,421,300.00","3,200,000.00","200,000.00",,,,,,,,,,,,,,,,,,,,"11,000,000.00",,,,"11,881,558.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"6,996,388.51","17,006,662.09","60,084,917.79","147,655,697.63","453,369.82","25,761,967.42","28,798,387.42","4,220,454.27","133,733.27","468,116.43","6,609,204.96","23,962,914.54","21,142.01","1,035,110.49","1,731,385.30","45,158,095.44","3,883,301.74","9,315,801.74","7,240,114.57","10,129,450.44","4,140,000.00","6,600,875.00","9,862,875.00","7,513,700.00",,,"98,000.00","15,037,580.00",,"6,223.72","19,857,463.72","21,174,263.72",,,,"60,200.00","158,595.89","189,880.89","413,079.06","11,410,719.95",,"512,000.00","847,102.00","180,669,782.42",
五、现金及现金等价物净增加额,"4,320,651.60","-3,824,358.82","-1,937,733.39","-7,479,224.57","-6,884,064.66","3,295,874.23","-4,334,984.81","-3,602,957.56","-679,554.41","-4,137,984.69","6,370,902.54","16,150,462.26","465,025.10","-13,523,384.75","16,612,279.91","1,262,625.91","-4,334,640.45","19,607,101.52","20,922,517.57","28,558,621.62","-25,472,545.52","-34,190,925.98","-47,890,113.57","-46,421,756.02","-12,909,485.41","-17,684,364.20","-9,370,540.70","4,376,994.50","-18,778,367.36","-4,989,014.00","-17,562,992.60","-1,677,241.74","-10,547,940.33","-11,063,256.22","2,416,273.09","90,589,680.34","-19,579,899.14","-23,908,573.47","-40,237,034.13","-66,551,511.30","-35,113,808.75","-43,439,879.75","-12,139,925.00","23,213,541.38","-53,703,740.97"
购建固定资产、无形资产和其他长期资产支付的现金,"2,223,318.93","7,178,662.71","11,958,926.09","13,805,372.37","796,832.78","3,154,637.55","4,707,809.13","5,129,753.12","1,690,528.08","1,972,138.55","2,496,839.01","3,649,258.52","580,798.20","1,411,321.21","2,539,128.76","45,325,485.20","602,111.50","4,789,956.59","7,966,943.12","14,777,360.86","508,887.03","3,668,589.69","4,102,422.56","3,109,339.15","230,061.41","805,497.84","944,214.95","2,225,163.89","662,874.79","1,689,330.46","2,069,018.48","2,596,846.73","65,765.00","304,294.74","480,902.28","655,458.91","28,717.94","400,017.94","459,341.21","1,493,022.16","12,000.00","12,000.00","12,000.00","279,147.64",
期初现金及现金等价物余额,"31,111,532.67","35,682,440.09","35,682,440.09","35,682,440.09","28,310,836.12","28,308,936.12","28,308,936.12","28,308,936.12","24,705,978.56","24,705,978.56","24,705,978.56","24,705,978.56","40,856,440.82","40,856,440.82","37,132,999.51","40,856,440.82","42,119,066.73","42,119,066.73","42,119,066.73","42,119,066.73","47,178,499.43","70,677,688.35","72,481,123.79","70,677,688.35","25,886,589.94","24,255,932.33","24,255,932.33","24,255,932.33","30,177,505.70","28,632,926.83","28,632,926.83","28,632,926.83","26,955,685.09","26,955,685.09","26,955,685.09","26,955,685.09","117,597,574.28","117,545,365.43","117,545,365.43","117,545,365.43","50,993,854.13","50,993,854.13","50,993,854.13","50,993,854.13","74,207,395.51"
投资支付的现金,"11,749,671.10","18,127,093.45","23,638,651.02","31,186,300.15",,,,"348,854.35","123,785.40","123,785.40","147,465.40","3,233,174.86",,"532,190.00","1,146,255.00","11,088,000.00",,,"20,500.00",,,,,"400,000.00",,,,,,,,,,,,,,,,,,,,,
期末现金及现金等价物余额,"35,432,184.27","31,858,081.27","33,744,706.70","28,203,215.52","21,426,771.46","31,604,810.35","23,973,951.31","24,705,978.56","24,026,424.15","20,567,993.87","31,076,881.10","40,856,440.82","41,321,465.92","27,333,056.07","53,745,279.42","42,119,066.73","37,784,426.28","61,726,168.25","63,041,584.30","70,677,688.35","21,705,953.91","36,486,762.37","24,591,010.22","24,255,932.33","12,977,104.53","6,571,568.13","14,885,391.63","28,632,926.83","11,399,138.34","23,643,912.83","11,069,934.23","26,955,685.09","16,407,744.76","15,892,428.87","29,371,958.18","117,545,365.43","98,017,675.14","93,636,791.96","77,308,331.30","50,993,854.13","15,880,045.38","7,553,974.38","38,853,929.13","74,207,395.51","20,503,654.54"
