科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"265,554,180.78","209,357,341.51","243,765,443.80","134,001,144.92","202,474,261.35","269,830,777.35","42,662,477.36","134,836,071.35","206,551,810.13","257,440,510.31","42,614,527.88","139,594,986.92","225,991,055.16","328,498,464.80","74,994,979.10","202,474,108.91","339,929,970.55","477,762,957.35","132,946,593.02","324,882,218.63"
二、营业利润,"44,513,317.14","21,286,405.18","32,359,261.54","17,588,628.53","23,739,765.80","28,411,242.77","1,549,365.50","16,700,912.29","24,902,491.18","26,995,533.94","324,639.14","18,201,371.64","27,480,112.06","43,988,639.89","6,882,237.71","35,319,576.23","57,620,900.67","93,031,262.97","23,594,217.38","61,165,813.27"
减:营业成本,"155,580,054.46","126,603,430.37","149,370,181.09","80,580,282.08","123,349,274.15","164,633,140.50","25,518,287.76","81,107,920.83","124,261,946.57","155,672,411.37","26,250,494.06","81,873,088.94","136,963,030.22","198,791,674.05","43,122,131.92","115,723,200.94","193,942,763.31","274,206,089.25","80,741,608.38","201,190,568.77"
加:补贴收入,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,147,746.16","2,225,976.85","1,869,520.07","1,306,846.43","1,825,540.36","2,394,376.16","480,515.26","1,271,743.73","2,091,784.63","2,672,257.46","385,340.65","1,047,862.86","1,608,289.44","3,178,376.00","896,300.07","2,167,701.07","3,666,031.04","4,925,953.63","1,341,958.50","3,002,003.05"
营业外收入,"3,915,338.00","11,685,715.50","7,998,577.94","3,439,945.16","4,438,503.89","8,861,801.62","3,168,054.05","5,342,696.68","6,048,440.61","10,157,994.97","1,224,969.15","5,653,432.20","9,058,217.99","17,184,053.89","2,589,889.24","819,632.70","4,121,297.70","61,363.00",,"20,000.00"
销售费用,"32,348,279.13","24,867,776.44","28,879,440.68","16,684,430.35","25,652,618.64","35,909,939.71","6,365,070.55","16,442,402.42","25,667,358.18","32,949,251.78","6,243,962.94","15,630,453.76","26,276,476.75","35,953,009.84","10,472,209.94","27,080,613.85","45,342,384.31","61,913,259.26","14,278,958.65","33,007,127.29"
减:营业外支出,"608,168.00","27,731.24","48,531.50","110,158.75","110,258.75","140,258.75","2,231.69","2,591.69","105,831.16","256,510.67",353.84,"5,857.68","1,062,829.67","1,082,214.62",,"10,233.82","1,510,806.47","1,557,787.93",100.00,"21,449.39"
管理费用,"27,092,577.56","30,705,097.15","31,642,656.02","16,027,054.44","25,645,758.54","35,895,946.98","9,320,569.98","19,354,263.18","29,922,809.41","40,240,914.94","9,168,063.72","20,460,935.69","31,530,130.67","43,423,396.71","12,144,055.32","24,676,887.28","38,807,523.83","49,554,302.54","15,586,620.98","32,309,693.61"
其中:非流动资产处置净损失,,,,,,678.75,"2,031.69","2,031.69",,"255,650.67",153.84,"5,657.68","61,493.77","79,578.72",,"10,233.82","10,806.47",,,
