科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
其他应收款,"26,942,475.94","56,000,026.98","55,248,136.28","29,340,706.92","33,205,601.45","32,850,248.48","34,670,017.27","18,452,091.78","13,789,790.04","18,445,236.95","33,432,237.62","63,268,184.46","71,662,765.87","69,026,616.76","30,231,112.16","19,109,109.80","21,953,624.74","26,470,455.87","38,378,016.72","14,486,653.95","16,405,032.32","20,025,463.04","20,082,986.78","11,735,767.35","14,285,280.13","19,000,715.42","27,982,064.17","17,983,721.93","30,942,356.33","25,345,976.74","27,402,586.14","19,123,932.49","24,936,287.36","22,789,472.63","25,680,235.78","13,877,608.38","20,781,906.62","16,636,566.24","17,703,851.41","19,604,424.35","24,607,513.82","26,382,885.37","21,182,223.81","16,864,164.84","27,365,637.88","24,155,087.77"
应付职工薪酬,"21,776,418.45","20,138,325.00","18,801,538.53","12,740,587.54","14,873,287.31","11,260,367.05","11,938,286.02","9,389,178.06","8,906,847.39","8,076,532.93","7,969,567.61","3,539,435.01","3,152,607.46","1,797,754.88","3,812,329.17","9,039,822.56","6,390,381.56","4,379,669.46","5,158,261.36","9,195,001.58","6,054,149.90","5,540,737.12","6,791,858.11","10,523,864.70","4,702,823.63","6,921,467.28","8,160,585.76","14,809,891.00","6,707,390.87","14,215,689.08","17,715,066.52","15,508,583.51","8,881,421.02","8,850,466.52","11,620,278.94","15,342,182.81","10,119,217.38","11,303,659.77","16,406,065.58","18,534,318.75","14,614,463.12","15,101,790.36","19,698,740.74","21,668,786.79","12,942,391.60","11,666,027.54"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"42,227,327.75","9,086,603.31","7,412,145.75","7,085,505.37","9,810,693.58","9,049,809.23","8,496,125.83","-347,522.31","7,210,242.60","11,022,507.75","16,430,568.71","6,096,103.31","7,474,004.25","6,830,006.09","5,688,084.24","10,800,765.96","3,531,777.94","187,176.04","160,342.35","-9,118,963.52","-668,723.54","3,699,073.36","2,375,211.18","-3,897,924.14","-8,537,688.38","-5,929,248.24","-7,659,693.60","-6,511,871.78","-3,998,794.43","5,501,105.86","2,258,985.01","8,887,554.58","8,385,559.04","15,054,136.07","7,306,759.98","14,359,961.66","14,462,527.37","15,504,476.62","26,177,138.91","13,630,008.79","13,217,766.69","16,571,270.90","25,152,166.25","15,878,018.10","15,920,136.27","19,467,677.03"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,"533,835.62","1,447,671.24","2,361,506.86","3,271,780.83","533,835.62","1,447,671.24","2,361,506.86","3,271,780.84","533,835.62","1,435,171.21","2,674,701.30","3,469,533.21","491,888.19","468,356.47","382,571.20","374,779.94","405,478.50","478,734.59","462,548.84","575,986.92","438,007.52","455,327.46","509,357.98","447,994.70","524,080.88"
应收股利,,,,"840,000.00",,,,,,,"16,432,911.23",,,,,,,,,,,,,,,,,,,,,"1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00",,,,,,,,"6,206,871.60"
应付股利,"4,000,953.17","3,596,392.93","19,965,399.34","2,366,482.64","2,502,802.19","766,850.87","358,241.27","336,406.45","728,988.48","2,827,704.32","291,099.19","291,099.31","283,148.42","380,700.02","365,700.02","320,700.02","320,700.02","428,192.82","352,568.82","352,568.82","352,568.82","2,759,102.22","2,684,662.22","390,702.22","390,702.22","390,702.22","411,624.56","273,962.10","261,311.10","318,779.41","297,279.41","297,279.41","297,279.41","2,403,356.55","361,772.26","297,279.41","281,872.13","275,372.13","289,339.41","56,487.04","56,487.04","56,487.04","56,487.04","56,487.04","56,487.04","56,487.04"
存货,"374,480,513.13","380,768,278.47","389,668,936.49","407,062,609.89","399,450,232.22","382,653,065.10","388,126,318.04","416,560,691.57","379,002,552.09","363,154,681.09","331,886,804.08","342,499,812.65","336,576,603.30","371,524,411.16","441,700,020.60","502,135,834.62","518,234,837.28","553,927,451.88","515,912,442.59","571,984,211.37","507,404,234.88","486,597,627.88","453,727,518.38","556,153,768.95","500,701,407.94","533,662,667.33","549,548,537.84","652,712,225.87","614,659,891.07","632,617,105.99","611,492,247.25","669,084,674.32","636,290,435.38","654,730,689.80","662,523,902.14","712,759,329.98","700,616,104.69","735,443,688.99","726,317,998.84","832,262,565.32","866,745,122.10","878,416,018.05","893,040,962.17","989,814,706.30","921,211,755.20","879,959,519.39"
其他应付款,"83,252,560.16","88,713,401.54","98,275,234.78","67,476,696.37","69,354,557.52","71,474,257.44","77,449,992.87","53,683,968.31","48,561,046.64","47,203,555.76","46,413,272.46","38,269,861.81","38,967,154.79","47,989,072.49","46,269,352.18","38,768,132.43","38,499,123.66","43,424,747.18","28,787,388.43","21,065,804.09","20,285,453.76","18,316,934.00","18,950,023.16","22,110,875.10","17,524,232.08","23,751,185.78","26,028,695.16","24,897,343.14","23,457,209.94","24,536,127.93","30,494,220.35","22,576,313.10","20,197,862.37","19,982,775.79","24,994,994.01","22,898,428.57","18,751,961.71","18,247,235.47","20,356,627.70","18,851,135.83","17,186,181.36","20,378,772.80","20,487,213.21","21,170,346.02","29,912,173.88","19,463,651.62"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"26,000,000.00","26,000,000.00",,,,,,,,,,,,,,,,,,"40,000,000.00","40,000,000.00",,,,,,,,,,,"49,832,301.38","49,974,356.19",,,,,,,,,,,,,
其他流动资产,"1,924,681.41","1,516,153.37","1,408,951.12","313,211.91","674,772.79","111,467.84","1,301,465.99","411,735.36","376,741.77","129,149.13","30,400.00","13,583.00","970,786.80","805,729.99","389,857.30","240,280.44","664,348.00","443,223.39","61,552.00",,,"363,751.66","612,078.36",,,"20,737.56",,,,,,"11,323,556.07","5,778,250.28","4,058,193.26","5,939,921.92","6,105,004.74","5,260,558.25","1,992,639.73","1,077,106.34","9,944,852.32","10,805,426.68","13,249,520.68","4,870,224.13","9,466,547.19","10,039,409.21","9,343,998.55"
其他流动负债,"7,748,103.61","12,573,150.04","9,584,698.40","975,533.75","5,124,438.97","436,900.00",,"75,000.00","4,509.07","1,915,882.65","832,575.82",,"1,847,500.00","802,861.97","712,549.66","2,846,778.55","2,342,029.55","1,637,280.55","951,531.55","3,148,637.39","2,441,420.68","1,734,207.97","707,216.71","5,223,349.39","3,997,457.68","2,771,565.97","1,545,674.26","8,336,461.89","6,332,115.05","4,327,670.22","3,176,972.22","11,534,872.68","8,827,886.43","6,839,030.97","3,609,052.44","11,176,048.12","8,748,783.43","10,987,686.03","5,832,990.17","10,727,628.50","10,477,222.56","11,062,353.60","10,114,438.83","12,632,817.39","13,199,621.39","12,189,135.13"
