科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"656,635,955.18","667,664,432.78","282,475,818.77","398,666,231.22","622,072,184.94","141,214,561.60","258,879,255.06","360,257,102.98","512,613,963.24","113,160,958.19","263,413,647.93","389,880,038.56","531,198,415.54","135,915,680.99","256,687,318.56","371,251,747.05","453,283,520.14","139,972,266.51","313,703,402.82","469,841,685.47","672,276,167.96","187,191,160.71","366,945,236.92","490,266,227.23","721,326,326.06","150,304,655.71","184,581,964.98","280,399,877.15","354,219,700.64","68,126,657.20","125,520,585.80","231,938,623.60","374,633,068.82","34,463,508.92","177,063,035.92","385,114,048.00"
二、营业利润,"168,718,061.36","84,540,071.76","45,546,102.16","59,551,538.19","97,939,976.18","21,729,004.17","28,564,578.61","40,696,067.19","71,299,830.21","9,466,554.32","20,959,790.12","24,078,452.00","20,059,864.07","6,621,102.90","1,243,844.22","1,567,011.21","-11,107,267.68","7,058,836.68","23,111,463.79","29,678,010.84","36,998,348.80","13,590,109.06","20,112,413.32","26,255,706.70","46,860,960.14","10,650,434.52","-25,798,246.36","-35,788,775.15","-105,436,202.87","-12,761,334.56","-26,166,595.10","-34,389,394.25","-15,696,291.83","-9,700,776.66","-10,103,399.96","7,088,220.53"
减:营业成本,"406,973,606.10","460,595,596.10","193,713,023.53","276,470,967.57","428,180,581.15","96,322,919.93","183,898,814.94","254,530,814.72","355,084,021.86","88,119,931.68","204,589,250.11","308,214,345.57","422,030,536.19","105,823,861.04","201,248,620.68","294,238,162.33","362,946,778.64","114,058,204.76","245,567,079.29","368,786,961.43","525,373,107.31","147,351,924.69","293,773,122.54","387,241,236.28","568,723,038.39","110,990,017.35","132,819,645.08","212,063,238.40","261,525,449.66","50,203,096.84","83,455,093.65","152,812,126.89","231,549,941.80","14,949,322.62","98,720,011.52","255,386,942.26"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,376,777.04","1,512,541.53","3,129,237.08","4,371,132.81","7,226,791.69","58,717.22","1,869,306.32","2,132,048.68","2,561,681.51","23,029.94","990,157.33","1,460,260.81","2,149,440.31","564,773.39","874,045.47","1,020,233.26","1,239,745.96","168,713.00","907,578.43","1,837,410.18","3,314,350.77","116,528.15","1,812,412.53","2,405,319.42","3,302,279.53","943,777.43","1,376,123.20","1,856,587.07","4,472,007.37","1,205,124.45","1,515,782.50","1,955,720.38","5,177,024.78","102,156.06","1,175,174.45","1,387,578.76"
营业外收入,"19,651,579.37","21,124,579.07","6,676,408.34","8,849,239.86","16,499,445.92","1,525,130.46","16,803,486.05","17,179,563.77","38,963,114.72","2,891,024.14","7,398,291.55","9,094,416.34","18,994,485.76","1,131,519.15","17,354,679.13","17,922,124.19","23,721,810.81","1,105,890.55","1,945,632.76","10,211,661.73","18,626,278.66","376,673.00","9,193,679.47","15,217,965.53","16,845,511.79","4,287,957.97","6,534,891.50","10,765,006.30","18,599,991.35","4,334,857.28","6,604,277.66","30,206,556.95","38,609,668.26","3,122,566.02","54,281,097.23","55,448,563.32"
销售费用,"34,002,751.23","45,970,609.50","12,566,044.70","17,983,328.20","23,123,597.47","5,287,063.87","10,984,627.26","16,882,467.78","27,530,931.37","9,068,788.34","16,720,562.38","23,172,797.42","33,367,359.92","10,516,196.52","18,752,412.40","27,460,142.13","34,349,299.46","8,712,958.48","18,205,932.89","27,784,999.77","36,856,347.95","10,100,337.71","25,304,898.44","35,641,123.83","47,753,956.72","9,595,322.23","22,689,312.83","31,064,553.67","38,564,792.49","7,887,699.85","14,280,807.28","21,250,896.99","38,003,906.65","7,040,876.28","20,527,596.42","30,667,211.48"
减:营业外支出,"174,592.59","1,432,506.18","308,688.77","370,297.72","474,722.53",,"89,789.72","600,968.70","3,715,182.64","96,548.17","85,971.17","392,569.08","1,127,790.64","2,100.00","55,729.20","401,377.98","440,717.57","95,224.32","165,843.58","172,004.54","211,556.52","500,000.00","617,700.32","617,700.32","618,100.32","7,081.00","307,281.00","2,498,101.07","7,493,382.91","276,996.67","377,196.67","423,303.56","426,357.58","4,315.61","134,136.36","135,361.36"
管理费用,"37,189,460.39","69,145,026.23","25,017,901.42","36,931,792.45","48,816,050.22","16,937,140.89","32,896,068.50","46,553,880.99","68,365,672.19","14,905,772.01","33,148,843.10","48,675,601.52","69,745,172.71","17,012,870.75","41,485,017.41","58,270,161.65","76,023,929.56","15,824,568.10","31,778,718.56","48,555,379.87","69,362,998.83","17,412,521.17","37,857,400.46","55,702,557.21","80,140,795.18","19,396,208.01","41,811,899.19","62,535,859.75","83,648,206.49","16,276,017.07","42,286,202.93","69,561,734.15","74,353,451.79","19,194,048.32","41,934,532.99","61,302,437.14"
其中:非流动资产处置净损失,,,,,,,,,"1,535,772.04","83,971.17",,"390,569.08","441,003.64",,,,"19,339.59","93,224.32","133,843.58","136,093.84","156,070.08",,,,,,,,"43,125.34",,,,,,"29,134.75","29,134.75"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-680,320.18","1,942,970.51","1,010,829.96","1,864,792.08","4,421,460.85","879,715.52","1,077,967.62","-126,068.19","-10,918,923.26","-7,234,556.46","-13,454,018.73","-16,180,482.38","-18,852,607.61","-4,320,890.73","-8,796,199.78","-12,428,341.68","-14,599,063.66","-3,823,913.14","-5,175,417.11","-5,506,989.40","-5,554,670.32","-1,444,128.15","-3,833,769.01","-8,985,796.37","-9,349,770.95","-1,376,421.00","-1,370,648.76","-5,988,722.50","-8,625,566.21","1,018,925.07","-1,231,412.26","-1,890,929.71","-7,094,943.71","1,205,867.29","5,805,748.95","10,749,553.19"
三、利润总额,"188,195,048.14","104,232,144.65","51,913,821.73","68,030,480.33","113,964,699.57","23,254,134.63","45,278,274.94","57,274,662.26","106,547,762.29","12,261,030.29","28,272,110.50","32,780,299.26","37,926,559.19","7,750,522.05","18,542,794.15","19,087,757.42","12,173,825.56","8,069,502.91","24,891,252.97","39,717,668.03","55,413,070.94","13,466,782.06","28,688,392.47","40,855,971.91","63,088,371.61","14,931,311.49","-19,570,635.86","-27,521,869.92","-94,329,594.43","-8,703,473.95","-19,939,514.11","-4,606,140.86","22,487,018.85","-6,582,526.25","44,043,560.91","62,401,422.49"
