科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"278,493,889.67","283,253,335.97","258,400,942.33","207,444,396.20","966,617,442.01","704,915,072.28","782,183,154.50","714,692,879.80","854,122,305.54","799,069,510.65","735,542,480.15","481,337,169.73","601,683,858.03","481,289,290.90","564,334,062.54","409,311,474.97","796,706,085.31","340,319,472.46","186,788,192.57","253,922,018.77","240,763,840.59","151,958,877.53","165,778,068.28","167,598,523.16","153,275,341.41","91,769,374.26","190,845,663.09","201,307,731.13","220,848,622.73","200,856,732.44","176,739,682.92","187,807,298.96","258,835,764.05","169,478,662.29"
短期借款,"392,750,000.00","365,200,000.00","291,000,000.00","407,700,000.00","422,700,000.00","275,700,000.00","258,700,000.00","277,000,000.00","353,700,000.00","365,930,000.00","305,630,000.00","324,680,000.00","294,790,000.00","362,000,000.00","336,000,000.00","533,000,000.00","351,000,000.00","286,000,000.00","248,000,000.00","371,000,000.00","304,000,000.00","549,350,000.00","276,600,000.00","233,700,000.00","237,850,000.00","198,850,000.00","381,850,000.00","494,500,000.00","543,500,000.00","706,500,000.00","765,200,000.00","927,200,000.00","807,200,000.00","618,500,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,365,014.07","238,406,507.24","190,779,249.04","156,023,296.32","154,535,597.32",,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"8,471,368.64","12,628,916.69","39,151,267.39","13,762,761.75","21,543,355.88","19,089,737.67","18,087,759.65","24,811,775.72","47,175,081.56","60,215,975.20","32,161,335.50","32,018,398.10","25,633,423.76","24,567,741.37","46,635,325.78","11,343,033.74","30,274,968.41","28,590,181.00","30,009,177.82","55,328,215.80","49,520,966.53","46,806,196.00","47,893,139.57","45,141,387.90","57,163,507.99","55,038,917.17","73,642,705.64","54,428,647.71","56,805,442.80","33,291,086.73","47,698,611.00","52,903,496.15","92,145,310.47","78,692,614.47"
应付票据,"283,430,000.00","232,882,000.00","116,500,000.00","197,720,000.00","210,006,700.00","222,486,700.00","214,840,000.00","369,320,000.00","481,680,000.00","506,650,000.00","269,400,000.00","176,600,000.00","408,100,000.00","429,550,000.00","230,600,000.00","315,550,000.00","336,000,000.00","141,226,490.00","103,226,490.00","190,900,000.00","126,900,000.00","49,000,000.00","73,000,000.00","39,000,000.00","15,000,000.00",,"18,580,000.00","16,450,000.00",,,,,,
应收账款,"165,999,414.04","181,318,740.03","156,969,146.30","195,832,040.94","232,694,616.59","257,388,701.68","207,805,920.42","226,779,547.84","201,812,458.10","240,881,645.19","217,084,780.21","229,959,670.15","262,888,922.83","307,783,157.62","334,137,460.95","334,818,048.83","391,512,119.44","348,934,871.62","432,397,999.65","350,728,952.91","335,890,069.19","344,555,026.12","372,874,094.60","350,980,796.79","371,381,333.68","326,320,526.64","346,344,444.69","327,042,204.77","350,502,614.81","326,056,693.44","415,197,413.54","393,338,027.61","431,783,464.81","531,854,540.65"
应付账款,"107,905,496.98","164,375,908.11","80,800,302.30","78,883,379.26","67,783,174.47","66,104,880.07","66,897,388.47","51,552,297.08","135,015,616.39","208,742,190.50","91,535,130.93","133,175,767.23","78,588,944.69","69,653,908.83","111,971,364.38","76,011,277.84","168,731,709.40","116,765,718.45","112,533,190.80","93,395,587.62","92,412,184.48","66,326,022.49","95,069,846.04","78,014,263.66","65,520,453.94","85,788,416.84","101,100,449.49","91,571,479.11","98,702,259.88","89,852,634.79","95,357,368.69","80,156,571.59","96,452,796.69","126,351,828.03"
预付款项,"142,632,612.85","110,647,923.79","93,501,769.27","170,410,812.31","130,386,160.65","196,806,655.39","169,247,757.57","264,728,121.34","354,438,207.24","299,540,702.12","225,846,881.31","330,805,589.90","335,796,861.15","422,538,317.67","132,772,411.71","340,276,872.70","202,952,718.45","233,593,851.21","224,756,753.65","296,041,400.06","160,879,382.31","288,406,759.35","153,038,470.14","111,569,153.99","136,818,717.17","143,502,991.37","91,106,179.40","116,005,163.24","79,696,993.61","173,851,666.12","151,775,479.16","166,238,489.23","161,860,650.76","300,792,734.54"
预收款项,"60,596,599.20","71,444,700.79","83,671,896.56","45,389,014.26","52,783,939.77","48,021,920.43","41,841,837.21","51,352,590.56","57,592,610.76","49,774,396.86","56,142,630.22","116,452,879.05","41,934,412.99","45,452,410.91","59,310,021.64","81,212,709.64","43,542,044.40","90,308,408.24","53,905,615.07","55,438,124.28","42,745,036.60","47,754,193.61","36,802,261.40","40,298,332.23","44,672,535.07","43,747,076.35","37,032,776.77","48,001,647.80","59,044,988.44","56,228,076.58","43,651,817.05","51,155,102.27","57,884,149.40","83,820,452.40"
其他应收款,"6,495,514.72","5,213,253.64","5,428,934.61","22,514,948.89","6,192,433.44","6,170,145.01","9,419,056.56","19,722,674.69","24,109,537.00","25,583,043.15","19,391,415.00","25,484,047.34","29,185,191.63","30,320,334.71","26,207,052.17","27,954,298.32","27,048,241.80","28,134,954.62","23,706,126.55","19,504,786.10","15,374,942.91","20,060,527.94","16,627,402.17","20,595,825.56","20,424,778.47","21,889,453.40","22,331,783.25","17,064,836.45","17,052,345.81","46,560,134.62","21,855,082.06","23,534,943.54","320,523,406.63","24,011,685.33"
