科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"571,866,794.25","733,086,405.46","643,182,048.53","419,960,656.78","566,391,539.99","111,381,334.23","241,593,788.18","379,373,538.47","434,257,534.31","82,440,472.78","196,448,174.10","309,656,691.05","440,227,786.98","113,267,939.15","261,624,792.18","411,128,472.04","574,881,974.75","134,618,165.39"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"21,216,374.63","187,200,000.00","186,861,162.70","187,314,118.91","187,150,802.30",
收到的税费返还,,,"512,590.76","702,147.84","702,147.84",,"3,947,418.49","6,342,595.41","8,310,552.01","2,957,475.27","5,438,181.40","9,287,846.29","12,942,098.63","2,547,852.61","4,626,502.57","7,959,683.52","14,731,596.87","4,896,790.63"
支付其他与投资活动有关的现金,,,,"1,574,731.03","2,259,731.03","163,000,000.00","187,000,000.00","307,000,000.00","50,440.37",,,,"1,015,624.80",,,,,
收到其他与经营活动有关的现金,"9,672,893.99","9,698,593.69","2,877,377.74","5,500,104.35","6,802,861.30","670,742.18","1,219,517.83","1,892,118.55","5,152,417.11","934,779.03","5,982,790.69","7,384,706.90","9,560,537.07","1,090,920.21","5,237,874.78","10,220,636.94","12,505,163.48","1,491,815.78"
投资活动现金流出小计,"28,856,730.30","32,106,255.14","31,101,428.40","40,228,582.51","40,730,046.11","184,185,003.42","223,372,195.42","357,467,590.64","518,928,641.42","113,471,199.04","230,400,552.56","314,580,818.62","342,876,350.55","265,077,781.43","391,239,699.94","453,981,926.01","532,415,897.79","89,529,657.76"
经营活动现金流入小计,"581,539,688.24","742,784,999.15","646,572,017.03","426,162,908.97","573,896,549.13","112,052,076.41","246,760,724.50","387,608,252.43","447,720,503.43","86,332,727.08","207,869,146.19","326,329,244.24","462,730,422.68","116,906,711.97","271,489,169.53","429,308,792.50","602,118,735.10","141,006,771.80"
投资活动产生的现金流量净额,"-28,356,559.06","-31,859,585.19","-28,219,808.87","-35,358,764.69","-36,102,339.44","-170,548,803.42","-61,293,841.31","-89,117,755.10","-87,529,551.42","-88,319,555.20","-138,742,908.72","-129,190,654.23","-111,810,862.44","-259,843,323.43","-385,869,332.94","-448,570,651.01","-526,108,377.79","-89,187,407.76"
购买商品、接受劳务支付的现金,"290,275,099.35","274,527,161.59","231,235,556.76","157,669,817.08","217,220,357.84","46,808,491.94","98,066,929.80","152,093,024.89","99,508,186.67","28,422,812.71","69,864,558.03","109,591,163.12","132,542,266.77","54,525,453.55","109,760,012.12","181,597,464.35","216,845,764.18","57,722,134.18"
吸收投资收到的现金,"85,960,000.00",,,,,"265,900,000.00","265,900,000.00","265,900,000.00","295,900,000.00","19,000,000.00","19,000,000.00","19,000,000.00","29,000,000.00","14,000,000.00","44,000,000.00","49,000,000.00","60,000,000.00","13,000,000.00"
