科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"29,415,557.72","82,941,765.47","148,719,900.47","92,126,327.62","135,658,563.29","205,744,068.96","34,376,006.57","100,971,739.55","147,851,064.65","211,814,946.72","45,159,835.57","129,927,697.08","240,660,998.53","446,190,668.24","81,608,544.57","271,328,292.23","363,469,636.03","583,294,729.24","121,687,378.48","366,856,180.31","491,686,585.75","723,251,613.28","104,858,373.37","373,604,453.08","507,222,583.31","839,805,308.17","157,756,201.09","560,559,010.53","865,151,981.57","1,352,144,100.67","596,360,736.11","1,553,211,582.96","2,541,276,841.05","2,933,483,520.08","547,961,098.45","842,830,977.18","1,082,129,040.57","1,488,450,311.14","324,262,195.21"
二、营业利润,"8,119,140.32","24,620,098.10","54,267,741.13","26,386,408.57","39,618,747.42","67,437,647.52","9,488,424.22","44,491,493.07","66,662,273.46","86,849,842.45","14,332,499.22","51,578,798.32","66,101,211.23","136,025,538.25","20,107,803.47","81,403,006.76","101,965,740.39","166,314,245.62","22,532,671.46","110,762,230.27","128,961,557.86","146,547,159.72","-10,702,225.84","63,821,277.87","95,141,119.83","135,105,316.01","-16,606,538.00","15,995,416.39","8,748,326.94","131,588,588.11","-10,325,719.66","85,525,252.50","98,932,562.33","-395,082,987.64","-1,540,710.19","46,116,294.86","20,826,727.42","44,404,630.92","-315,393.41"
减:营业成本,"10,454,559.13","21,772,896.50","41,103,336.52","30,916,555.10","49,367,649.14","70,524,751.88","14,133,502.76","37,242,807.84","54,878,369.29","76,954,857.63","20,902,607.95","50,262,152.62","125,335,753.77","234,011,071.62","39,557,249.13","136,664,903.75","192,861,492.62","287,389,999.63","60,515,955.81","175,371,184.70","239,294,051.40","369,640,106.51","65,855,153.44","202,759,868.22","255,109,501.91","423,452,924.76","106,120,056.66","368,414,935.49","588,980,792.71","964,723,789.45","538,879,432.73","1,388,168,173.32","2,232,532,447.88","2,514,707,328.85","465,307,405.33","654,999,171.61","846,795,461.22","1,113,785,015.58","260,279,056.28"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,351,269.56","4,057,603.51","4,062,227.16","4,619,117.45","5,769,992.02","7,560,414.66","1,387,842.83","4,035,965.53","6,485,280.80","9,125,298.27","1,820,120.60","4,797,631.75","6,076,110.83","6,913,835.58","470,696.40","1,639,624.14","1,830,739.28","4,700,070.77","861,008.10","1,393,421.48","2,113,078.57","5,227,963.37","381,688.03","1,334,475.24","2,465,466.81","5,764,815.19","711,833.89","2,885,733.31","4,214,625.20","12,559,025.68","1,268,685.13","4,646,131.66","8,563,611.15","14,267,216.17","4,358,253.86","7,562,899.66","10,336,314.28","16,936,117.22","3,068,419.01"
营业外收入,"1,117,606.79","1,741,604.02","3,480,581.63","3,133,182.92","6,791,275.98","9,049,570.61","2,608,282.74","3,111,008.48","4,028,003.02","7,894,276.42","1,978,699.44","5,958,182.42","9,781,664.50","14,057,496.46","1,219,887.04","8,632,544.19","11,598,421.91","19,683,334.76","2,242,846.19","4,004,422.62","5,013,130.15","9,801,543.76","1,912,565.48","3,995,688.59","4,735,770.86","10,072,303.91","616,973.49","7,047,742.40","10,701,453.99","19,182,684.26","847,579.97","2,507,411.54","5,616,972.84","3,929,608.33","1,916,420.96","3,778,843.54","9,600,765.16","16,424,820.47","3,001,232.47"
销售费用,"5,414,217.77","10,219,548.20","18,170,346.74","10,182,663.84","15,047,628.48","22,754,073.81","6,616,310.32","10,385,278.75","17,236,215.06","21,160,156.76","6,335,119.93","12,609,401.85","19,966,353.80","31,491,373.53","12,161,175.44","21,129,284.10","27,787,076.46","39,930,195.00","12,643,028.89","21,667,170.49","30,791,266.22","44,515,997.63","10,705,032.08","24,031,615.51","36,409,262.75","51,295,822.83","10,341,801.11","34,025,211.89","47,174,548.62","55,954,321.75","8,454,954.67","18,099,451.46","38,011,915.07","40,922,702.05","10,136,143.42","19,145,581.02","28,637,387.96","39,618,307.94","6,695,185.48"
减:营业外支出,,"500,240.17","601,488.60",,"47,266.20","47,266.20",,"53,807.70","153,807.70","265,903.08",,,,"75,322.23","12,622.10","488,434.15","549,115.70","320,857.73","153,448.32","256,815.69","428,013.11","6,782,438.01","284,003.70","307,434.30","309,555.41","489,965.88",256.27,"54,681.51","69,355.72","3,867,155.47","21,952.65","54,464.55","123,643.32","114,455.37","73,858.68","140,799.98","151,345.93","553,743.75","1,817.85"
管理费用,"3,448,458.43","18,814,253.43","30,328,536.06","17,071,565.50","22,267,418.18","30,376,464.21","5,875,518.94","12,790,848.98","19,549,456.23","40,448,636.97","9,345,363.67","17,613,342.41","33,559,708.23","56,185,723.21","15,864,916.29","32,467,346.02","43,825,858.55","82,482,741.23","23,214,971.64","54,149,904.74","82,293,887.67","119,958,682.13","29,559,128.75","59,479,762.44","86,975,990.93","133,101,037.49","33,172,097.91","82,225,657.85","124,607,043.77","179,970,648.70","30,871,165.15","65,886,754.96","109,525,580.08","155,101,502.75","37,834,076.24","84,944,445.85","100,414,446.48","139,633,191.30","33,384,870.38"
其中:非流动资产处置净损失,,114.83,"601,488.60",,,"47,266.20",,"3,807.70",,"115,903.08",,,,"75,322.23",,"7,797.90","7,797.90","7,797.90","5,175.80","58,928.49","124,480.49","154,019.28","283,769.87","303,090.21","303,090.31","343,165.47",232.91,"51,447.94","51,546.87","3,393,359.67","19,443.42","18,643.42","18,643.42",,,,,,
