科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"51,712,064.23","67,638,502.61","100,378,832.24","337,947,665.24","230,741,458.91","355,495,871.29","551,207,754.79","957,564,365.61","255,658,656.99","422,669,317.47","568,187,751.57","735,097,820.58","255,604,727.49","406,896,965.81","606,741,417.84","803,467,392.84","288,713,875.43","483,126,416.15","660,754,919.57","844,354,557.52","220,570,635.25","434,228,790.34","610,186,207.35","770,352,810.13","533,639,523.87","788,666,719.20","1,053,848,627.20","1,312,496,768.09","330,312,375.34","592,088,640.29","833,726,187.40","1,157,842,689.93","350,067,461.74","656,705,642.60","905,179,664.61","1,204,907,717.91","366,427,357.06","622,612,008.34","894,124,552.56","1,223,715,996.21","375,749,234.52","653,430,359.48","941,295,243.74"
取得借款收到的现金,,"30,462,000.00","14,812,200.02","93,849,500.80","1,332,496,000.00","1,354,708,658.40","1,400,875,400.20","1,432,047,478.00","132,794,118.40","358,116,488.80","631,370,307.20","814,600,061.60","306,600,406.80","1,073,542,445.20","1,355,011,008.00","1,827,776,674.00","352,242,685.60","937,715,158.40","1,584,494,585.60","2,429,578,012.80",,"772,966,375.20","1,302,440,925.60","2,025,560,480.00","146,829,864.00","291,957,081.60","731,976,967.80","1,517,248,164.00","243,876,000.00","859,676,000.00","1,133,821,280.00","2,728,899,730.00",,,,"1,482,229,506.80","306,913,899.60","799,102,899.00","804,302,604.00","2,689,156,747.60","249,643,600.00","914,231,600.00","1,265,758,600.00"
支付的各项税费,"32,446,085.39","161,418,721.63","204,005,013.85","302,693,824.06","92,515,843.67","233,138,852.89","345,375,802.96","376,981,818.54","48,915,452.85","140,899,034.57","182,202,961.71","201,339,686.49","13,443,171.92","22,992,628.71","24,261,731.15","49,716,635.60","13,992,460.63","127,716,179.57","135,062,200.33","319,200,315.40","9,915,280.75","83,218,045.84","88,983,931.84","95,674,968.79","18,028,738.71","50,774,647.58","69,924,702.81","89,528,326.60","18,822,723.69","36,480,721.48","54,133,463.86","77,927,211.91","16,620,034.71","31,280,148.32","50,122,727.60","68,748,648.25","19,093,385.89","36,987,369.25","52,424,165.13","73,012,001.25","14,743,707.68","33,357,280.91","39,755,552.06"
收到其他与筹资活动有关的现金,,,,,,,"9,356,536.91","12,467,914.71","2,890,739.88","3,300,008.69","3,787,436.47","3,788,756.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"16,174,598.31","15,672,407.87","44,223,798.75","32,916,791.56","72,545,701.38","42,441,952.99","96,758,546.99","185,595,863.91","312,646,085.87","93,808,954.87","225,527,479.59","397,735,558.16","68,329,775.38","156,604,754.17","199,112,964.59","191,719,864.95","17,168,212.44","79,611,305.72","94,797,109.79","73,742,471.35","42,505,260.12","74,642,023.27","94,701,668.43","158,561,230.37","61,778,424.77","216,717,956.07","385,845,001.80","600,123,816.47","35,289,975.73","73,776,197.74","4,221,880,309.16","668,128,694.94","20,180,960.67","98,742,423.87","150,696,622.23","182,149,907.12","36,234,521.89","56,930,713.21","105,874,651.53","137,167,581.89","51,270,125.28","59,615,883.55","93,042,565.65"
筹资活动现金流入小计,,"30,462,000.00","14,812,200.02","93,849,500.80","1,332,496,000.00","1,354,708,658.40","1,410,231,937.11","1,444,515,392.71","135,684,858.28","361,416,497.49","635,610,486.08","818,841,604.62","306,600,406.80","1,673,542,445.20","1,955,011,008.00","2,427,776,674.00","2,451,776,983.99","3,037,249,456.79","3,684,028,883.99","4,529,112,311.19",,"772,966,375.20","1,302,440,925.60","2,025,560,480.00","146,829,864.00","291,957,081.60","731,976,967.80","1,517,248,164.00","243,876,000.00","859,676,000.00","1,133,821,280.00","2,728,899,730.00",,,,"1,482,229,506.80","2,790,212,986.66","3,282,401,986.06","3,287,601,691.06","5,174,156,739.04","249,643,600.00","914,231,600.00","1,265,758,600.00"
经营活动现金流出小计,"666,722,328.44","1,555,219,237.62","2,437,113,311.75","3,794,719,916.51","1,136,667,597.44","2,459,430,646.97","3,917,170,900.74","5,354,702,285.84","1,054,744,151.17","1,982,250,569.76","2,840,841,826.57","3,742,791,327.72","890,667,923.73","1,789,698,267.91","2,788,877,216.46","3,805,871,562.79","987,657,471.07","2,314,296,168.12","3,560,259,188.10","5,179,479,966.84","1,082,882,069.35","2,871,544,096.11","4,194,610,884.43","5,898,271,737.34","1,450,650,768.10","3,183,347,621.44","4,902,006,600.80","7,585,153,027.20","1,383,678,432.02","3,210,827,794.19","5,109,739,960.42","7,407,078,975.12","1,523,234,677.96","3,218,532,762.62","4,796,574,514.79","6,422,451,636.59","1,243,217,531.16","2,488,872,281.95","4,125,659,480.08","5,979,971,054.41","1,559,395,832.29","2,854,636,088.62","4,320,115,464.21"
偿还债务支付的现金,"21,088,356.27","41,541,579.09","131,654,177.26","189,359,049.43","20,835,775.05","158,078,484.81","181,251,404.41","200,038,278.14","138,384,752.49","140,094,817.81","150,879,114.00","303,270,280.60","17,876,161.18","537,470,468.26","585,394,343.77","635,359,615.93","200,903,138.90","671,060,905.91","1,016,848,139.21","1,290,755,830.88","202,875,662.26","720,219,180.70","991,019,684.47","1,074,197,757.77","143,744,232.79","911,938,139.84","1,463,667,520.56","1,615,661,725.78","1,309,725,950.00","1,666,587,472.11","2,250,377,501.95","2,857,875,771.57","270,164,941.77","1,109,251,155.01","1,386,954,174.28","2,154,843,397.02","170,786,593.38","969,956,869.25","1,205,665,539.01","2,731,473,321.40","507,734,560.31","679,648,208.39","1,218,832,167.17"
经营活动产生的现金流量净额,"327,463,634.03","576,527,148.00","891,111,878.27","1,304,721,833.88","442,842,564.42","1,016,278,943.03","1,375,041,067.80","1,727,085,990.65","-116,342,899.94","-97,559,308.14","-26,056,487.55","161,649,348.97","24,757,588.70","237,983,848.74","344,119,666.42","597,594,180.85","146,779,311.03","104,404,897.46","231,207,823.46","42,517,678.16","108,114,973.43","-35,117,102.09","268,077,493.55","631,470,518.61","-183,742,007.57","-34,425,544.11","167,879,079.38","303,561,354.50","194,734,563.91","363,295,520.82","566,722,223.50","779,844,208.83","412,560,646.58","633,154,822.53","721,678,108.48","1,029,170,661.73","101,511,912.01","289,821,693.33","325,211,177.82","638,959,782.32","131,586,260.64","463,443,135.99","824,747,652.33"
分配股利、利润或偿还利息支付的现金,"9,375,599.79","19,053,453.68","284,867,666.96","291,591,040.31","7,894,349.78","472,783,385.77","606,973,527.82","615,513,680.48","10,735,347.18","47,037,326.81","311,623,611.18","314,485,308.90","10,963,695.28","14,888,567.69","21,903,695.88","29,964,612.78","17,917,930.59","56,783,526.51","137,242,956.32","157,550,102.51","27,087,853.52","71,299,528.45","124,434,868.46","145,970,156.02","37,440,090.40","89,589,511.44","111,800,552.15","132,258,740.88","32,151,642.61","83,778,454.47","105,319,232.61","147,464,174.17","32,209,678.09","91,572,833.63","163,644,188.45","206,349,768.09","47,643,425.93","96,960,564.26","182,767,859.40","222,652,422.46","86,853,228.89","126,361,936.04","214,690,371.41"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,820,836.19","36,691,170.77",,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,"17,750,000.00","18,250,000.00","19,106,320.34","19,682,413.34",,"26,092.94","121,345.31","328,808.31",,,,,,,,,,,,,,,,,,,,,,,,"4,524,725.62","564,401.38","1,028,142.19","1,409,750.58","3,813,159.84","3,586,835.50","3,967,739.63","7,938,058.55"
取得投资收益收到的现金,,,"11,629,309.17","11,629,309.17",,"22,632,133.89","22,632,133.89","22,632,133.89",,"5,491,811.48","5,491,811.48","5,491,811.48",,,,,,,,,,"7,987,144.63","7,987,144.63","7,987,144.63",,"22,200,000.00","22,200,000.00","52,627,265.92",,"67,823,459.06","67,823,459.06","132,566,073.77",,"8,870,791.63","98,792,476.73","145,431,026.47",,"3,459,958.44","27,069,504.81","82,017,209.67",,"7,260,169.98","43,801,523.98"
