科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"553,196,993.21","917,012,342.46","981,790,294.73","371,540,811.63","831,487,007.73","1,182,287,549.90","1,829,875,588.54","530,694,449.22","1,001,792,345.06","1,530,174,206.62","1,809,434,551.65","292,266,119.90","615,705,755.69","1,071,284,113.60","1,714,412,303.04","287,711,113.15","698,270,581.05","1,184,052,851.59","1,730,358,923.18","305,315,399.47","896,724,592.62","1,471,125,772.52","1,788,088,159.38","460,444,811.80","1,212,434,420.20","1,793,007,733.69","2,698,687,407.22","651,906,405.96","1,494,881,166.55","2,571,443,919.66","3,007,490,855.64","979,583,238.10","2,262,090,218.42","3,690,882,349.43","4,944,921,202.89","1,227,940,264.63","3,154,734,693.26"
取得子公司及其他营业单位支付的现金净额,,,,"15,569,477.13",,"29,961,986.48",,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,193,971.54","7,439,706.41","9,264,847.66",,
收到的税费返还,"953,273.30","835,468.85",,,,,,,,,"704,864.41",,"326,261.74","368,681.71","2,041,293.16","250,592.48","1,279,215.81","1,955,862.02","6,606,505.95","207,697.80","296,919.13","649,699.70","63,250.33","204,180.54","933,896.21","2,639,313.38","2,104,544.74","198,878.73","566,292.16","1,088,429.17","1,530,776.54","1,931.72","1,490,445.98","1,765,375.48","1,622,457.51","1,514,162.33","1,833,578.18"
支付其他与投资活动有关的现金,,"3,920,000.00",,"2,743,511.27",,,"20,000,000.00","9,604,254.35",,,,"1,000.00",,,,"-10,356,722.78","3,342,100.00","4,263,317.84","100,000,000.00",,,,"35,038,261.76",,"19,994,931.50","2,649,939.36","121,000,000.00",,"35,000,000.00","65,000,000.00","117,453,930.79","68,038,248.72","131,500,000.00","189,500,715.47","95,922,544.67",,"58,709,426.01"
收到其他与经营活动有关的现金,"19,223,551.35","3,943,227.69","39,744,014.54","1,995,512.79","19,038,652.24","3,305,368.63","29,997,627.87","4,638,230.33","31,708,847.17","34,310,035.73","58,098,348.70","17,345,412.73","30,785,219.24","56,195,217.81","42,191,767.68","9,987,018.63","29,009,447.41","45,216,502.84","17,705,951.73","5,844,858.66","18,675,326.77","23,073,869.29","7,044,866.53","15,634,435.06","26,315,147.23","71,510,180.72","18,077,755.46","5,573,262.39","14,938,966.64","63,587,774.45","42,020,991.49","12,675,149.25","6,272,384.03","39,168,477.24","35,502,808.71","1,705,416.56","16,520,497.03"
投资活动现金流出小计,"30,527,003.59","27,775,932.86","146,429,727.67","47,561,023.90","94,116,064.11","147,090,563.21","254,673,674.52","64,369,010.11","229,129,166.72","344,683,086.91","394,279,537.27","32,093,481.70","51,408,457.91","88,297,708.52","246,999,568.62","49,965,772.58","166,263,455.80","258,303,239.62","636,702,004.74","250,258,092.66","464,502,829.55","638,911,519.36","585,644,722.05","144,990,122.44","190,248,648.34","321,428,615.31","414,341,569.68","20,713,597.47","91,167,553.97","105,182,800.94","197,269,194.31","167,808,764.04","311,499,724.57","386,907,713.23","343,337,230.02","9,652,178.94","72,848,974.79"
经营活动现金流入小计,"573,373,817.86","921,791,039.00","1,021,534,309.27","373,536,324.42","850,525,659.97","1,185,592,918.53","1,859,873,216.41","535,332,679.55","1,033,501,192.23","1,564,484,242.35","1,868,237,764.76","309,611,532.63","646,817,236.67","1,127,848,013.12","1,758,645,363.88","297,948,724.26","728,559,244.27","1,231,225,216.45","1,754,671,380.86","311,367,955.93","915,696,838.52","1,494,849,341.51","1,795,196,276.24","476,283,427.40","1,239,683,463.64","1,867,157,227.79","2,718,869,707.42","657,678,547.08","1,510,386,425.35","2,636,120,123.28","3,051,042,623.67","992,260,319.07","2,269,853,048.43","3,731,816,202.15","4,982,046,469.11","1,231,159,843.52","3,173,088,768.47"
投资活动产生的现金流量净额,"-21,260,824.34","-26,657,504.58","-146,380,696.75","-47,561,023.90","-94,116,064.11","-147,090,563.21","-254,591,738.56","-64,369,010.11","-227,490,541.88","-342,985,712.07","-394,245,187.87","-31,971,481.70","-51,386,457.91","-83,825,005.01","-212,295,764.50","-55,339,224.45","-158,912,912.25","-250,920,483.86","-605,197,978.08","-152,236,854.42","-463,376,415.99","-637,569,783.57","-477,337,925.23","-134,964,943.70","-190,248,648.34","-321,428,615.31","-240,453,287.28","25,023,133.60","-49,965,645.74","-10,042,472.06","-78,178,629.50","-92,629,186.64","-152,021,644.86","-206,373,253.14","-213,892,401.05","-9,652,178.94","-24,027,375.32"
购买商品、接受劳务支付的现金,"472,494,799.53","750,342,310.97","881,135,781.00","391,337,823.53","720,665,197.53","1,181,503,610.16","1,705,784,450.84","646,807,704.44","1,227,776,554.00","1,775,287,940.78","1,961,406,795.37","342,250,017.26","653,690,554.81","1,064,580,663.10","1,404,266,170.78","426,797,061.35","827,215,982.09","1,205,933,953.11","1,481,429,386.28","482,012,487.54","989,412,235.60","1,455,890,830.02","2,058,674,958.95","428,972,727.19","933,238,634.92","1,398,279,241.41","2,527,916,248.46","611,393,881.44","1,352,546,419.39","2,285,381,805.01","2,643,105,626.15","979,494,284.00","1,967,858,919.32","3,058,293,196.16","4,498,274,996.39","1,393,493,089.10","2,696,012,704.36"
吸收投资收到的现金,"52,500,000.00",,"83,280,000.00",,"2,185,840,000.00","2,205,840,000.00","2,222,839,243.40","9,554,700.00","46,554,700.00","46,554,700.00","46,554,700.00",,"20,316,800.00","71,032,424.79","93,045,724.79",,"34,183,652.25","34,189,191.42","34,189,191.42","12,000,000.00","12,000,000.00","12,000,000.00","12,000,000.00",,"8,000,000.00","12,000,000.00","12,000,000.00","5,200,000.00","10,400,000.00","10,400,000.00","10,400,000.00",,,"28,788,750.00","28,788,750.00",,"2,922,000.00"
支付给职工以及为职工支付的现金,"7,243,379.57","7,515,137.54","10,772,956.22","3,930,795.27","9,246,794.55","16,046,101.71","22,643,573.81","7,516,904.98","15,343,626.93","22,733,812.82","34,292,105.66","8,868,301.74","15,931,996.38","26,401,581.71","40,875,592.95","12,106,679.93","20,683,598.03","28,943,967.36","49,239,397.68","10,750,121.12","22,335,782.09","36,681,153.51","68,077,508.30","26,113,159.52","47,193,711.65","68,129,170.48","94,354,285.97","26,801,672.14","47,792,798.79","69,757,769.60","104,540,268.29","23,688,127.49","45,687,398.30","66,394,011.82","103,923,967.23","31,483,378.46","64,843,692.39"
取得借款收到的现金,"97,321,400.00","125,400,000.00","501,152,341.41","9,794,930.71","160,770,527.95","37,673,650.00","120,000,000.00",,"102,000,000.00","212,000,000.00","339,880,000.00","144,600,000.00","316,600,000.00","421,600,000.00","442,000,000.00","125,000,000.00","216,040,000.00","466,721,936.00","576,311,936.00","213,275,771.60","673,275,771.60","1,036,838,971.60","1,119,838,971.60","264,557,459.89","608,777,122.46","774,764,752.74","1,232,870,295.20","354,639,927.81","696,386,102.76","1,025,688,307.90","1,535,218,354.31","566,865,049.60","1,178,634,827.37","1,583,800,706.78","2,362,967,240.52","738,783,573.04","1,512,456,371.22"
支付的各项税费,"34,211,784.58","54,256,531.03","84,497,869.90","13,696,475.89","34,119,357.84","69,361,894.68","99,198,628.59","34,116,389.45","80,496,412.14","106,686,925.83","126,015,887.66","16,371,137.00","45,912,816.60","64,612,538.48","91,532,249.88","10,226,738.65","21,487,367.48","44,023,841.65","74,512,782.39","15,922,327.72","36,027,381.34","69,923,745.97","83,673,367.59","20,744,714.35","29,634,848.39","41,769,781.19","45,848,137.07","4,591,306.71","42,893,579.33","52,630,399.94","40,065,988.29","104,409,435.97","47,434,572.51","102,187,333.90","146,580,567.51","36,165,492.37","71,253,974.47"
收到其他与筹资活动有关的现金,"180,000.00",,,,"7,654,398.96","7,970,000.00","6,750,000.00",,,,"2,000,000.00",,,,"63,000,000.00",,,"118,537,740.00","10,700,000.00",,,,"5,742,800.00",,,,"1,000,000.00",,,,"21,750,000.00",,,,"810,000.00",,
支付其他与经营活动有关的现金,"22,636,203.48","39,697,629.51","44,362,483.26","12,890,219.19","27,784,073.52","35,173,388.71","74,829,422.79","11,410,556.29","24,706,350.61","34,277,790.30","91,476,589.15","24,868,220.53","18,514,698.41","32,225,578.17","61,524,120.63","20,318,852.40","25,942,770.21","43,201,470.25","37,442,919.07","56,586,889.95","60,051,784.27","72,913,367.85","59,939,647.55","21,013,076.26","31,663,695.22","85,082,212.06","49,551,469.35","25,405,053.15","37,700,895.03","104,013,431.70","47,005,781.00","57,652,245.90","155,902,752.13","258,521,666.00","93,864,826.65","33,784,506.57","107,392,312.82"
筹资活动现金流入小计,"150,001,400.00","125,400,000.00","584,432,341.41","9,794,930.71","2,354,264,926.91","2,251,483,650.00","2,349,589,243.40","9,554,700.00","148,554,700.00","258,554,700.00","388,434,700.00","144,600,000.00","336,916,800.00","492,632,424.79","598,045,724.79","125,000,000.00","250,223,652.25","619,448,867.42","621,201,127.42","225,275,771.60","685,275,771.60","1,048,838,971.60","1,137,581,771.60","264,557,459.89","616,777,122.46","786,764,752.74","1,245,870,295.20","359,839,927.81","706,786,102.76","1,036,088,307.90","1,567,368,354.31","566,865,049.60","1,178,634,827.37","1,612,589,456.78","2,392,565,990.52","738,783,573.04","1,515,378,371.22"
经营活动现金流出小计,"536,586,167.16","851,811,609.05","1,020,769,090.38","421,855,313.88","791,815,423.44","1,302,084,995.26","1,902,456,076.03","699,851,555.16","1,348,322,943.68","1,938,986,469.73","2,213,191,377.84","392,357,676.53","734,050,066.20","1,187,820,361.46","1,598,198,134.24","469,449,332.33","895,329,717.81","1,322,103,232.37","1,642,624,485.42","565,271,826.33","1,107,827,183.30","1,635,409,097.35","2,270,365,482.39","496,843,677.32","1,041,730,890.18","1,593,260,405.14","2,717,670,140.85","668,191,913.44","1,480,933,692.54","2,511,783,406.25","2,834,717,663.73","1,165,244,093.36","2,216,883,642.26","3,485,396,207.88","4,842,644,357.78","1,494,926,466.50","2,939,502,684.04"
偿还债务支付的现金,"60,946,539.09","93,000,000.00","210,000,000.00","40,000,000.00","462,326,350.00","380,615,069.70","467,533,720.48","1,000,000.00","2,000,000.00","3,000,000.00","91,250,000.00","27,080,000.00","114,630,000.00","350,230,000.00","407,630,000.00","72,000,000.00","247,000,000.00","362,183,333.33","462,000,000.00","26,500,000.00","252,037,809.14","513,537,809.14","482,275,771.60","192,063,200.00","366,951,660.00","622,783,695.98","1,107,532,329.53","149,114,178.62","552,811,904.88","987,903,035.93","1,466,886,929.20","380,907,766.17","1,093,259,702.76","1,643,541,759.77","2,241,068,359.91","512,245,684.47","1,438,089,646.79"
经营活动产生的现金流量净额,"36,787,650.70","69,979,429.95","765,218.89","-48,318,989.46","58,710,236.53","-116,492,076.73","-42,582,859.62","-164,518,875.61","-314,821,751.45","-374,502,227.38","-344,953,613.08","-82,746,143.90","-87,232,829.53","-59,972,348.34","160,447,229.64","-171,500,608.07","-166,770,473.54","-90,878,015.92","112,046,895.44","-253,903,870.40","-192,130,344.78","-140,559,755.84","-475,169,206.15","-20,560,249.92","197,952,573.46","273,896,822.65","1,199,566.57","-10,513,366.36","29,452,732.81","124,336,717.03","216,324,959.94","-172,983,774.29","52,969,406.17","246,419,994.27","139,402,111.33","-263,766,622.98","233,586,084.43"
分配股利、利润或偿还利息支付的现金,"3,377,361.81","20,541,107.87","43,858,195.23","69,531,281.08","70,729,014.47","104,836,942.83","108,580,133.86","325,180.55","63,531,571.19","65,407,045.39","75,731,326.68","8,982,736.42","98,510,827.12","98,948,559.71","115,139,087.29","5,591,728.07","63,520,885.97","68,862,081.23","73,593,254.07","5,761,587.09","63,576,427.86","76,808,231.18","110,847,294.86","15,255,157.81","77,228,854.73","92,231,873.25","122,805,110.20","15,817,166.18","65,116,794.22","83,194,679.51","94,149,719.93","14,437,678.30","74,351,460.62","89,641,008.32","104,971,567.91","14,770,750.13","131,467,987.79"
收回投资收到的现金,"1,273,033.00",,,,,,,,,,,,,,,,,,,,,,"50,892,400.00",,,,,,,"12,155,700.00",,,,,,,
支付其他与筹资活动有关的现金,"145,516.00","13,000.00","2,546,889.36","2,000.00","9,119,976.88","11,307,092.35","11,226,006.28",,"250,000.00","631,225.00",,"5,000.00",,,"572,975.00",,,"5,000,000.00","43,000,000.00",,,,,,,,,,,,,,,,"6,500,000.00",,
取得投资收益收到的现金,"28,574.67",,,,,,756.60,,,,,,,,,,,,,,,,,,,,"546,186.49",,,"2,687,320.22","6,966,145.71",,"308,183.56","502,003.17","1,811,284.71",,"2,941,599.47"
筹资活动现金流出小计,"64,469,416.90","113,554,107.87","256,405,084.59","109,533,281.08","542,175,341.35","496,759,104.88","587,339,860.62","1,325,180.55","65,781,571.19","69,038,270.39","166,981,326.68","36,067,736.42","213,140,827.12","449,178,559.71","523,342,062.29","77,591,728.07","310,520,885.97","436,045,414.56","578,593,254.07","32,261,587.09","315,614,237.00","590,346,040.32","593,123,066.46","207,318,357.81","444,180,514.73","715,015,569.23","1,230,337,439.73","164,931,344.80","617,928,699.10","1,071,097,715.44","1,561,036,649.13","395,345,444.47","1,167,611,163.38","1,733,182,768.09","2,352,539,927.82","527,016,434.60","1,569,557,634.58"
处置固定资产、无形资产和其他长期资产收回的现金净额,"896,327.57","1,118,428.28","49,030.92",,,,"81,179.36",,,,"34,349.40","22,000.00","22,000.00","376,895.78","13,671,826.97","2,880,000.00","2,950,543.55","2,950,543.55","9,805,100.43","-1,978,761.76",,"150,000.00","606,047.01",,,,"22,129.21","27,000.00","27,149.57","27,000.00","314,609.03",,,"8,970.00","13,300,961.24",,
筹资活动产生的现金流量净额,"85,531,983.10","11,845,892.13","328,027,256.82","-99,738,350.37","1,812,089,585.56","1,754,724,545.12","1,762,249,382.78","8,229,519.45","82,773,128.81","189,516,429.61","221,453,373.32","108,532,263.58","123,775,972.88","43,453,865.08","74,703,662.50","47,408,271.93","-60,297,233.72","183,403,452.86","42,607,873.35","193,014,184.51","369,661,534.60","458,492,931.28","544,458,705.14","57,239,102.08","172,596,607.73","71,749,183.51","15,532,855.47","194,908,583.01","88,857,403.66","-35,009,407.54","6,331,705.18","171,519,605.13","11,023,663.99","-120,593,311.31","40,026,062.70","211,767,138.44","-54,179,263.36"
处置子公司及其他营业单位收到的现金净额,"7,068,244.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,824,300.00","5,378,556.47",,"-11,229,463.82","-13,375,873.05",,,
四、汇率变动对现金的影响,,,"-1,835.58",,,,,,,,,,,,"1,213,290.90",,,,,,,,"-20,640.26",,,,"-1,468,348.52",,,,878.26,,,,"-729,276.45",,"112,342.69"
收到其他与投资活动有关的现金,,,,,,,,,"1,638,624.84","1,697,374.84",,"100,000.00",,"4,095,807.73","21,031,977.15","-8,253,451.87","4,400,000.00","4,432,212.21","21,698,926.23","100,000,000.00","1,126,413.56","1,191,735.79","56,808,349.81","10,025,178.74",,,"173,319,966.70","45,709,731.07","41,174,758.66","76,446,008.66","106,431,253.60","75,179,577.40","170,399,359.97","193,399,359.97","114,332,583.02",,"45,880,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"9,266,179.25","1,118,428.28","49,030.92",,,,"81,935.96",,"1,638,624.84","1,697,374.84","34,349.40","122,000.00","22,000.00","4,472,703.51","34,703,804.12","-5,373,451.87","7,350,543.55","7,382,755.76","31,504,026.66","98,021,238.24","1,126,413.56","1,341,735.79","108,306,796.82","10,025,178.74",,,"173,888,282.40","45,736,731.07","41,201,908.23","95,140,328.88","119,090,564.81","75,179,577.40","159,478,079.71","180,534,460.09","129,444,828.97",,"48,821,599.47"
五、现金及现金等价物净增加额,"101,058,809.46","55,167,817.50","182,409,943.38","-195,618,363.73","1,776,683,757.98","1,491,141,905.18","1,465,074,784.60","-220,658,366.27","-459,539,164.52","-527,971,509.84","-517,745,427.63","-6,185,362.02","-14,843,314.56","-100,343,488.27","24,068,418.54","-179,431,560.59","-385,980,619.51","-158,395,046.92","-450,543,209.29","-213,126,540.31","-285,845,226.17","-319,636,608.13","-408,069,066.50","-98,286,091.54","180,300,532.85","24,217,390.85","-225,189,213.76","209,418,350.25","68,344,490.73","79,284,837.43","144,478,913.88","-94,093,355.80","-88,028,574.70","-80,546,570.18","-35,193,503.47","-61,651,663.48","155,491,788.44"
购建固定资产、无形资产和其他长期资产支付的现金,"30,527,003.59","23,855,932.86","111,429,727.67","29,248,035.50","64,154,077.63","97,128,576.73","204,711,688.04","44,764,755.76","214,129,166.72","304,683,086.91","354,279,537.27","32,092,481.70","51,408,457.91","88,297,708.52","236,199,568.62","60,322,495.36","119,721,355.80","210,839,921.78","493,502,004.74","249,818,092.66","464,062,829.55","638,471,519.36","550,166,460.29","144,990,122.44","170,253,716.84","188,778,675.95","163,341,569.68","20,713,597.47","56,167,553.97","40,182,800.94","75,571,876.37","99,770,515.32","181,193,696.11","189,967,291.35","238,149,837.69","9,652,178.94","14,139,548.78"
期初现金及现金等价物余额,"7,850,035.21","108,908,844.67","164,076,662.17","346,486,605.55","360,879,114.90","360,879,114.90","360,879,114.90","1,834,604,008.91","1,825,953,899.50","1,834,604,008.91","1,825,953,899.50","1,326,382,175.11","1,308,208,471.87","1,326,382,175.11","1,308,208,471.87","1,332,276,890.41","1,332,276,890.41","1,332,276,890.41","1,332,276,890.41","881,733,681.12","881,733,681.12","881,733,681.12","881,733,681.12","473,664,614.62","473,664,614.62","473,664,614.62","473,664,614.62","248,475,400.86","248,475,400.86","248,475,400.86","248,475,400.86","392,954,314.74","392,954,314.74","392,954,314.74","392,954,314.74","357,760,811.27","357,760,811.27"
投资支付的现金,,,"35,000,000.00",,"29,961,986.48","20,000,000.00","29,961,986.48","10,000,000.00","15,000,000.00","40,000,000.00","40,000,000.00",,,,"10,800,000.00",,"43,200,000.00","43,200,000.00","43,200,000.00","440,000.00","440,000.00","440,000.00","440,000.00",,,"130,000,000.00","130,000,000.00",,,,"4,243,387.15",,,,,,
期末现金及现金等价物余额,"108,908,844.67","164,076,662.17","346,486,605.55","150,868,241.82","2,137,562,872.88","1,852,021,020.08","1,825,953,899.50","1,613,945,642.64","1,366,414,734.98","1,306,632,499.07","1,308,208,471.87","1,320,196,813.09","1,293,365,157.31","1,226,038,686.84","1,332,276,890.41","1,152,845,329.82","946,296,270.90","1,173,881,843.49","881,733,681.12","668,607,140.81","595,888,454.95","562,097,072.99","473,664,614.62","375,378,523.08","653,965,147.47","497,882,005.47","248,475,400.86","457,893,751.11","316,819,891.59","327,760,238.29","392,954,314.74","298,860,958.94","304,925,740.04","312,407,744.56","357,760,811.27","296,109,147.79","513,252,599.71"
