科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"123,389,779.52","178,084,582.71","193,633,259.31","79,375,117.64","290,318,391.76","211,388,145.57","278,235,878.78","207,247,431.12","248,515,747.11","185,950,157.98","243,660,736.56","190,179,406.97","202,488,183.17","185,448,611.59","204,280,183.56","171,916,198.81","401,781,248.96"
短期借款,"148,000,000.00","153,000,000.00","128,000,000.00","118,000,000.00","73,000,000.00","40,000,000.00","59,500,000.00","74,500,000.00","85,000,000.00","85,000,000.00","105,000,000.00","196,000,000.00","255,050,000.00","250,550,000.00","274,140,000.00","314,140,000.00","324,640,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,,"175,457.00","870,000.00","157,400.00",,"230,000.00",,"117,842.00","26,000.00","250,000.00",,"459,113.10",,,,"695,000.00",
应付票据,"39,623,400.00","57,819,800.69","59,297,345.50","57,502,151.76","54,273,888.53","51,830,319.20","47,725,909.10","41,266,000.00","47,195,146.00","56,076,055.66","60,600,693.90","58,132,106.85","51,072,592.90","56,214,409.19","36,726,553.90","35,543,208.55","31,275,652.04"
应收账款,"229,723,314.74","254,780,070.89","245,053,239.09","292,005,551.91","285,373,309.77","304,196,354.11","268,769,900.15","294,556,630.06","262,337,381.69","313,489,123.49","294,777,240.92","364,508,197.19","333,060,319.54","341,490,502.47","304,049,038.78","335,506,275.73","275,984,492.53"
应付账款,"229,551,847.18","263,970,996.34","270,127,895.87","229,606,524.83","251,966,448.77","255,039,567.96","275,777,288.53","225,464,710.48","234,901,065.54","260,808,891.57","300,470,319.24","230,302,711.46","238,239,013.56","250,113,998.53","276,927,946.18","251,428,411.81","198,153,354.28"
预付款项,"5,708,906.93","4,371,229.28","4,763,919.08","4,264,162.48","6,404,322.27","7,537,156.11","3,167,587.53","7,739,895.85","7,640,706.92","9,624,094.15","5,907,001.91","8,266,082.00","9,618,622.25","6,635,510.96","20,596,736.48","9,764,676.99","17,263,241.63"
预收款项,"816,056.71","389,339.38","258,939.74","62,977.44","8,532,943.76","476,312.76","769,270.43","223,298.83","325,754.93","421,114.92","681,448.37","753,079.54","393,670.24","613,951.72","1,173,131.00","447,964.83","846,800.00"
其他应收款,"8,527,179.07","8,910,403.07","9,283,646.13","5,002,478.15","2,551,732.32","8,529,582.06","5,494,129.21","5,534,105.76","5,779,325.88","6,360,286.44","4,083,735.50","5,038,022.62","7,031,748.03","7,743,198.83","9,395,770.08","9,073,318.15","7,798,507.96"
应付职工薪酬,"2,965,009.63","3,662,834.87","3,531,110.89","3,492,651.81","3,531,110.89","3,761,110.89","5,608,498.22","3,967,783.22","4,135,034.24","5,589,915.00","5,962,645.51","4,785,591.27","4,786,245.51","4,802,950.51","8,010,490.25","5,887,243.49","5,887,243.49"
应收关联公司款,,,,,,,,,,,,,,,,,
应交税费,"7,426,567.10","9,952,465.05","7,221,826.42","5,685,605.14","5,274,868.77","6,751,015.61","6,181,568.77","5,575,433.19","5,124,848.49","2,757,480.34","5,165,851.80","5,814,434.89","5,342,550.30","4,254,452.62","8,371,174.81","6,631,379.00","6,740,528.57"
应收利息,,,,,,,"1,829,901.25","2,557,188.75","1,992,000.00","2,376,500.00","2,120,820.00","1,947,107.50","1,598,157.50","2,418,750.00","2,409,481.25","2,298,293.75",
应付利息,"311,395.62","289,666.67","241,600.00","130,822.22","125,000.00","70,000.00","87,081.11","98,255.55","98,255.55","141,702.77","141,702.77","185,498.28","320,951.29","301,980.46","345,913.05","345,913.05","399,795.82"
应收股利,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,
存货,"103,745,680.62","115,081,080.83","118,173,297.52","129,663,758.38","137,409,189.46","141,237,562.79","146,650,933.17","142,989,357.99","140,152,916.94","166,116,403.97","191,798,235.62","165,794,370.33","178,544,511.69","180,590,496.31","213,074,124.08","229,582,677.21","226,700,861.75"
其他应付款,"937,250.84","944,127.33","1,901,017.45","1,430,703.29","7,402,001.95","3,054,268.13","2,733,488.74","2,386,067.58","3,459,851.83","5,019,249.13","14,234,080.53","14,533,913.59","20,272,900.38","7,959,811.71","16,803,438.62","18,303,181.46","23,678,216.69"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,"801,839.43",,"803,638.36","1,218,672.79","4,102,697.72","1,303,316.59","3,498,795.93","987,066.77","3,451,674.35","2,378,913.92","749,329.85"
其他流动负债,,,,,,,,,,,,,,,,,
流动资产合计,"471,094,860.88","561,402,823.78","571,777,361.13","510,468,468.56","722,056,945.58","673,118,800.64","704,950,169.52","660,742,451.53","667,247,716.90","685,385,238.82","746,450,468.23","737,495,616.30","735,840,338.11","725,314,136.93","757,257,008.58","761,215,354.56","930,277,682.68"
流动负债合计,"429,631,527.08","490,029,230.33","470,579,735.87","415,911,436.49","404,106,262.67","360,982,594.55","398,383,104.90","353,481,548.85","380,239,956.58","415,814,409.39","492,256,742.12","510,507,335.88","575,477,924.18","574,811,554.74","622,498,647.81","632,727,302.19","591,621,590.89"
可供出售金融资产,,,"3,190,297.11","1,690,297.11","1,972,297.11","1,972,297.11","1,972,297.11","1,972,297.11","1,972,297.11","1,972,297.11","1,972,297.11","1,972,297.11","1,972,297.11","1,972,297.11","1,672,297.11","1,672,297.11","1,672,297.11"
长期借款,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,"166,516,244.79"
长期应收款,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,
长期股权投资,"3,504,413.40","3,073,212.58",,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,
