科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"301,651,999.26","338,170,463.47","340,557,734.54",,"175,975,356.83",,"375,001,081.63","71,962,960.40","163,284,728.48","240,053,430.16","403,416,797.81","96,788,366.82","184,374,261.07","298,395,861.70","442,227,321.51","112,213,300.34","225,911,216.92"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,538.32,,,,,,
收到其他与经营活动有关的现金,"1,144,137.58","863,778.36","287,128.34",,"93,011.78",,"369,194.60","127,808.68","2,367,129.96","2,650,076.93","2,986,830.78","419,882.53","2,450,988.70","4,549,397.76","7,365,642.48","1,417,157.93","4,169,917.55"
投资活动现金流出小计,"1,220,655.33","16,520,355.11","3,716,756.43",,"1,561,864.41",,"2,284,476.38","18,128.98","98,567,030.67","99,740,461.44","250,418,102.10","13,898,916.78","129,988,036.52","131,022,622.13","147,931,481.46","2,137,308.19","209,421,440.38"
经营活动现金流入小计,"302,796,136.84","339,034,241.83","340,844,862.88",,"176,068,368.61",,"375,370,276.23","72,090,769.08","165,651,858.44","242,703,507.09","406,403,628.59","97,208,249.35","186,825,249.77","302,945,259.46","449,592,963.99","113,630,458.27","230,081,134.47"
投资活动产生的现金流量净额,"-1,213,155.33","-16,513,831.19","-3,697,997.20","-482,100.00","-1,558,740.97","-2,352,400.00","-2,280,090.74","-18,128.98","-65,434,797.07","-65,954,121.27","-61,029,209.48","54,743,074.18","-61,321,146.10","-62,355,731.71","-79,289,490.51","-2,137,308.19","-209,421,440.38"
购买商品、接受劳务支付的现金,"185,979,101.26","237,287,888.99","208,389,056.30",,"105,016,263.94",,"237,085,851.76","62,124,238.07","116,248,197.85","187,988,573.72","264,777,565.54","80,321,023.61","126,321,361.52","222,779,534.11","312,888,457.86","73,729,622.38","128,356,653.98"
吸收投资收到的现金,,,,,,,"142,140,000.00",,"15,130,547.20","15,130,547.20","15,130,547.20",,,"400,000.00","254,954,639.50",,
支付给职工以及为职工支付的现金,"30,395,873.70","36,804,456.10","45,960,985.96",,"27,196,717.47",,"53,197,852.49","16,874,508.05","30,240,543.21","43,857,708.07","63,120,326.43","21,077,107.14","39,429,288.63","58,463,820.82","81,891,680.00","21,860,468.48","43,754,666.12"
取得借款收到的现金,"2,190,054.59","6,864,042.00","7,027,148.26",,"2,000,000.00",,"2,000,000.00","100,000.00","100,000.00","5,000,000.00","5,000,000.00","10,000,000.00","100,958,586.41","128,185,138.48","142,435,875.94","38,381,380.86","61,760,827.67"
支付的各项税费,"26,017,299.19","31,050,072.82","35,395,665.34",,"17,794,729.40",,"32,714,510.93","18,671,086.44","23,134,140.71","28,890,943.22","33,618,788.50","19,546,711.24","22,771,886.82","27,889,231.77","32,676,566.50","14,266,976.35","19,294,551.20"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"23,371,275.27","30,577,302.65","33,842,429.33",,"17,343,422.21",,"40,958,880.09","13,947,022.22","26,655,075.74","42,210,648.60","45,799,225.33","15,854,410.80","31,913,284.23","52,994,073.24","57,039,279.92","23,270,539.26","35,593,852.07"
筹资活动现金流入小计,"2,190,054.59","6,864,042.00","7,027,148.26",,"2,000,000.00",,"144,140,000.00","100,000.00","15,230,547.20","20,130,547.20","20,130,547.20","10,000,000.00","100,958,586.41","128,585,138.48","397,390,515.44","38,381,380.86","61,760,827.67"
经营活动现金流出小计,"265,763,549.42","335,719,720.56","323,588,136.93",,"167,351,133.02",,"363,957,095.27","111,616,854.78","196,277,957.51","302,947,873.61","407,315,905.80","136,799,252.79","220,435,821.20","362,126,659.94","484,495,984.28","133,127,606.47","226,999,723.37"
偿还债务支付的现金,"2,138,736.00","2,190,054.59","6,864,042.00",,"3,000,000.00",,"7,027,148.26","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","100,000.00","100,000.00","28,000,000.00","31,000,000.00","10,000,000.00","63,378,625.65"
经营活动产生的现金流量净额,"37,032,587.42","3,314,521.27","17,256,725.95","-25,096,400.00","8,717,235.59","-22,457,100.00","11,413,180.96","-39,526,085.70","-30,626,099.07","-60,244,366.52","-912,277.21","-39,591,003.44","-33,610,571.43","-59,181,400.48","-34,903,020.29","-19,497,148.20","3,081,411.10"
分配股利、利润或偿还利息支付的现金,"167,150.51","3,896,288.70","7,340,247.99",,"1,271,200.80",,"1,064,530.33","28,117.22","6,314,645.92","6,699,992.60","6,786,340.61","112,199.08","4,451,284.88","5,526,773.77","7,347,536.85","1,527,928.94","3,376,817.19"
收回投资收到的现金,,,,,,,,,"33,000,000.00","33,000,000.00","188,000,000.00","68,000,000.00","68,000,000.00","68,000,000.00","68,000,000.00",,
支付其他与筹资活动有关的现金,"1,600,000.00","650,000.00","471,698.12",,"617,602.18",,"7,077,000.00",,,,"185,643.21","240,439.02","828,439.02","926,610.81",,,"3,955,927.01"
取得投资收益收到的现金,,,,,,,,,"120,233.60","773,140.17","1,382,755.06","414,990.96","439,890.42","439,890.42","414,990.95",,
筹资活动现金流出小计,"3,905,886.51","6,736,343.29","14,675,988.11",,"4,888,802.98",,"15,168,678.59","2,028,117.22","8,314,645.92","8,699,992.60","8,971,983.82","452,638.10","5,379,723.90","34,453,384.58","38,347,536.85","11,527,928.94","70,711,369.85"
处置固定资产、无形资产和其他长期资产收回的现金净额,"7,500.00","6,523.92","18,759.23",,"3,123.44",,"4,385.64",,"12,000.00","13,200.00","6,137.56","227,000.00","227,000.00","227,000.00","227,000.00",,
筹资活动产生的现金流量净额,"-1,715,831.92","127,698.71","-7,648,839.85","-2,415,200.00","-2,888,802.98","-7,010,500.00","128,971,321.41","-1,928,117.22","6,915,901.28","11,430,554.60","11,158,563.38","9,547,361.90","95,578,862.51","94,131,753.90","359,042,978.59","26,853,451.92","-8,950,542.18"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"7,500.00","6,523.92","18,759.23",,"3,123.44",,"4,385.64",,"33,132,233.60","33,786,340.17","189,388,892.62","68,641,990.96","68,666,890.42","68,666,890.42","68,641,990.95",,
五、现金及现金等价物净增加额,"34,103,600.17","-13,071,611.21","5,909,888.90","-27,993,700.00","4,269,691.64","-31,820,000.00","138,104,411.63","-41,472,331.90","-89,144,994.86","-114,767,933.19","-50,782,923.31","24,699,432.64","647,144.98","-27,405,378.29","244,850,467.79","5,218,995.53","-215,290,571.46"
购建固定资产、无形资产和其他长期资产支付的现金,"1,220,655.33","16,520,355.11","3,716,756.43",,"1,561,864.41",,"2,284,476.38","18,128.98","567,030.67","740,461.44","2,417,563.78","1,578,916.78","117,668,036.52","118,702,622.13","125,981,481.46","2,137,308.19","4,421,440.38"
期初现金及现金等价物余额,"38,412,441.32","72,516,041.49","59,444,430.28",,"65,354,319.18",,"65,354,319.18","203,458,730.81","203,458,730.81","203,458,730.81","203,458,730.81","152,675,807.50","152,675,807.50","152,675,807.50","152,675,807.50","397,526,275.29","397,526,275.29"
投资支付的现金,,,,,,,,,"98,000,000.00","99,000,000.00","248,000,000.00","12,320,000.00","12,320,000.00","12,320,000.00","21,950,000.00",,"205,000,000.00"
期末现金及现金等价物余额,"72,516,041.49","59,444,430.28","65,354,319.18",,"69,624,010.82",,"203,458,730.81","161,986,398.91","114,313,735.95","88,690,797.62","152,675,807.50","177,375,240.14","153,322,952.48","125,270,429.21","397,526,275.29","402,745,270.82","182,235,703.83"
