科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"325,870,641.35","470,074,856.90","720,206,954.45","117,899,835.17","223,618,550.79","398,947,829.92","750,451,913.58","132,433,768.26","410,896,336.65","661,884,280.90","1,313,859,360.78","103,644,471.25","307,254,064.52","555,912,786.66","1,184,002,816.82","70,633,077.41","140,507,136.26","227,902,320.49","592,765,465.43","88,528,959.98","295,907,102.51","577,579,612.57","872,753,513.92","297,496,332.81","417,478,303.37","647,766,950.90","806,712,450.66","325,142,539.82","611,534,505.25","852,749,475.57","1,094,486,691.80","153,380,749.28"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"54,027,541.89",,,"13,300,000.00","59,916,040.20",,"248,234,851.97","248,234,851.97","248,234,851.97",,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,"149,491.90","8,524.95","204,208.51","377,501.78","377,501.78",,"3,190.67","2,204,913.88","3,405,308.36","2,321.32"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,"1,273,974.00","1,573,974.00",,,,"15,000,000.00","6,450,995.15",,,,,"17,000,000.00",,,,,
收到其他与经营活动有关的现金,"5,128,111.32","9,175,444.92","4,953,672.40","6,148,635.83","20,506,967.10","27,102,953.86","10,849,787.63","8,373,177.10","17,878,700.66","99,348,920.91","32,148,367.84","3,156,377.89","29,992,089.89","71,375,739.97","45,589,532.06","8,344,964.62","29,842,205.54","72,020,724.89","36,335,024.17","35,059,253.26","38,651,232.73","166,357,286.39","53,852,593.81","8,229,652.03","31,064,455.23","37,312,637.26","42,028,738.20","6,300,132.39","44,835,549.19","96,351,196.53","238,804,927.67","31,573,197.88"
投资活动现金流出小计,"25,416,861.62","49,590,479.58","109,315,676.70","25,469,694.16","96,220,434.26","156,289,607.00","272,826,331.96","110,721,898.66","232,139,023.85","220,684,326.41","262,510,982.03","19,059,236.55","24,760,571.54","33,912,006.76","213,103,343.81","44,740,904.23","69,174,328.43","121,067,472.30","314,351,795.46","55,077,507.60","354,726,628.21","445,259,195.14","449,644,304.26","59,864,307.05","71,542,505.11","99,423,432.16","141,806,791.18","23,464,385.73","31,199,878.80","33,957,482.97","49,615,273.83","9,611,784.54"
经营活动现金流入小计,"330,998,752.67","479,250,301.82","725,160,626.85","124,048,471.00","244,125,517.89","426,050,783.78","761,301,701.21","140,806,945.36","428,775,037.31","761,233,201.81","1,346,007,728.62","106,800,849.14","337,246,154.41","627,288,526.63","1,229,592,348.88","78,978,042.03","170,349,341.80","299,923,045.38","629,100,489.60","123,588,213.24","334,558,335.24","743,936,898.96","926,755,599.63","305,734,509.79","448,746,967.11","685,457,089.94","849,118,690.64","331,442,672.21","656,373,245.11","951,305,585.98","1,336,696,927.83","184,956,268.48"
投资活动产生的现金流量净额,"-25,405,296.24","-46,973,844.06","-93,698,351.52","-25,469,694.16","-96,218,434.26","-156,269,607.00","-272,749,172.64","-110,721,898.66","-223,187,200.47","-185,807,759.41","-253,110,566.77","-18,990,236.55","-23,369,774.69","-31,800,288.40","-209,533,539.68","-44,740,904.23","-68,884,328.43","-120,717,472.30","-313,960,167.48","-55,057,507.60","-354,648,250.21","-445,027,612.46","-449,110,988.25","-59,864,307.05","-71,542,505.11","-95,303,432.16","-140,417,328.61","-23,464,385.73","-30,980,582.80","-33,387,264.97","-26,825,090.37","-9,345,944.42"
购买商品、接受劳务支付的现金,"213,590,047.84","316,126,716.31","500,672,035.01","78,674,040.84","233,709,867.82","281,304,060.62","597,698,114.74","116,839,643.03","230,730,929.69","485,984,872.48","857,483,667.43","214,067,578.90","473,103,342.30","845,017,628.29","1,045,851,076.61","154,676,992.35","246,869,803.46","332,670,070.05","308,335,909.54","72,362,489.72","116,349,158.95","229,618,959.20","362,771,214.22","208,798,611.12","264,904,679.06","359,869,486.12","453,951,186.62","235,406,866.64","373,031,664.34","561,846,904.03","722,942,987.15","95,068,844.30"
吸收投资收到的现金,"40,750,000.00",,,,"477,600,000.00","477,600,000.00","466,643,679.57",,,,"468,508,189.80","5,869,719.00","67,908,219.00","65,691,582.00","78,028,100.00",,,,,,"337,999,986.06","337,999,986.06","337,999,986.06",,,,,,"15,000,000.00","15,000,000.00","15,000,000.00",
