科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"41,609,228.30","27,924,499.12","60,996,172.52",,"114,890,174.43","263,000,536.57","305,335,222.17","153,102,789.06","131,861,057.58","185,341,933.08","325,935,266.25","207,069,783.70","243,216,845.03","242,706,943.62","494,124,513.14","290,557,797.90"
短期借款,"8,596,904.82","20,192,976.82","331,599,285.86",,"193,362,184.30","134,832,410.53","155,972,039.07","106,472,235.01","109,363,719.67","109,991,608.76","109,767,547.80","109,273,685.49","139,218,469.22","191,141,665.51","198,157,137.76","180,182,240.96"
交易性金融资产,,"62,910.00","1,729,684.01",,,,"1,899,954.84",,,,,,"7,801,441.31","8,561,019.73",,"3,386,969,889.33"
交易性金融负债,,,,,"1,164,097.00","1,528,069.50",,"1,690,958.06","6,724,107.67","9,861,037.47","6,836,879.10","10,733,397.52",,,,"5,122,234.00"
应收票据,"2,200,000.00","1,153,790.26","80,154.40",,"1,744,515.89","591,850.70","2,485,389.70","6,246,380.00","5,166,580.00","3,911,900.00","1,020,158.00","1,156,158.00","447,757.00","100,000.00","983,419.00","1,583,419.00"
应付票据,,,"28,934,010.88",,"98,784,558.75","150,200,035.21","97,982,346.05","42,937,905.79","15,402,980.15","10,843,737.95","629,760.98",,,,"167,482,773.56",
应收账款,"125,675,439.37","156,474,358.07","268,337,429.64",,"307,048,289.04","277,752,003.25","306,115,093.58","349,207,744.04","375,860,172.28","372,392,294.98","424,985,472.24","437,276,247.06","532,083,165.73","616,312,396.23","610,731,991.17","486,410,636.19"
应付账款,"409,029,631.72","525,634,601.60","401,405,330.17",,"440,402,006.96","509,314,767.45","610,171,760.57","661,921,378.11","885,092,520.85","962,151,601.32","959,069,193.22","966,176,219.37","1,050,615,898.67",,"1,202,636,479.17",
预付款项,"13,636,141.20","12,412,871.13","13,334,250.55",,"13,037,151.52","22,702,621.81","19,187,841.54","25,792,628.68","42,296,717.68","55,642,493.15","22,298,321.97","35,590,901.02","44,102,831.78","49,051,623.37","10,727,511.02","13,094,155.59"
预收款项,"85,267,372.00","61,568,261.74","61,913,231.22",,"65,284,897.25","98,854,717.92","100,012,572.73","88,069,998.01","109,697,764.05","125,723,609.88","153,871,171.99","113,037,599.42","134,382,938.64","151,171,931.15","130,009,835.11","166,155,994.64"
其他应收款,"19,282,554.07","17,518,108.39","25,699,609.86",,"31,223,962.53","30,734,235.62","29,833,006.27","28,342,039.64","31,479,828.56","32,281,674.95","39,441,300.52","35,500,492.60","43,615,670.13","41,811,497.90","35,634,276.30","41,069,186.05"
应付职工薪酬,"132,159,763.80","150,287,396.29","160,884,828.42",,"126,755,797.99","169,959,799.09","240,931,819.23","136,347,210.94","184,800,666.95","226,260,191.99","321,168,775.16","195,379,962.23","233,288,931.50","286,291,724.91","268,389,221.01","164,335,484.64"
应收关联公司款,,,,,,,,,,,,,,,,
应交税费,"68,825,316.79","59,553,150.79","81,913,207.27",,"67,184,019.11","65,524,826.44","137,389,501.48","70,085,156.52","98,029,606.83","77,855,523.78","176,423,267.86","81,009,019.97","103,184,433.25","75,275,935.80","99,284,581.68","119,638,224.26"
应收利息,,,,,,,,,,,,,,,,
应付利息,,,"242,183.51",,"301,985.43","375,547.62","392,568.40","438,239.26","283,484.55","204,108.64","299,514.73","197,206.05","318,951.29","473,457.76","1,031,682.87","420,189.11"
应收股利,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,"232,655,401.60",,,
存货,"292,389,477.71","487,339,387.75","411,672,451.59",,"425,107,248.37","512,494,360.86","454,907,063.47","575,919,552.37","609,887,947.29","708,079,707.10","688,841,250.30","745,354,515.69","765,146,253.69","931,523,748.64","889,789,353.89","793,167,618.15"
其他应付款,"86,350,373.40","89,046,187.32","111,794,587.06",,"132,734,659.24","152,450,523.64","133,455,038.50","144,769,340.11","174,806,486.34","173,297,570.29","181,928,445.53","158,018,296.82","249,024,991.65","237,954,742.48","264,663,690.20","240,802,988.28"
其中:消耗性生物资产,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"1,000,000.00","1,000,000.00","1,000,000.00",,"1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,550,000.00","1,550,000.00","1,994,533.85","1,994,533.85"
其他流动资产,"1,129,003,752.96","930,687,376.60","1,156,524,054.78",,"1,257,570,991.87","2,179,728,705.21","2,675,522,305.03","2,558,583,340.82","2,815,145,305.71","2,955,303,708.46","3,323,725,501.88","3,030,386,410.32","3,335,572,647.28","3,286,293,046.84","3,543,260,556.04","69,782,435.13"
其他流动负债,"267,851,576.60","249,133,353.48","288,926,866.44",,"386,254,485.16","438,148,520.22","532,352,589.65","633,462,561.29","645,687,979.22","711,229,468.58","749,713,542.76","780,429,068.02","666,499,788.47","713,397,980.46","652,389,153.76","646,266,961.63"
流动资产合计,"1,623,796,593.61","1,633,573,301.32","1,938,373,807.35",,"2,150,622,333.65","3,287,004,314.02","3,795,285,876.60","3,697,194,474.61","4,011,697,609.10","4,312,953,711.72","4,826,247,271.16","4,492,334,508.39","4,971,986,611.95","5,176,360,276.33","5,585,251,620.56","5,082,635,137.34"
流动负债合计,"1,059,080,939.13","1,156,415,928.04","1,468,613,530.83",,"1,513,228,691.19","1,722,189,217.62","2,009,660,235.68","1,887,194,983.10","2,230,889,316.28","2,408,418,458.66","2,660,708,099.13","2,415,254,454.89","2,810,739,804.29","2,819,312,569.48","2,985,007,406.10","2,361,138,580.46"
可供出售金融资产,"20,155,900.00","20,155,900.00","20,155,900.00",,"20,155,900.00","20,155,900.00","20,155,900.00","20,155,900.00","48,155,900.00","48,155,900.00","48,155,900.00","198,155,900.00","198,155,900.00","198,155,900.00","150,000,000.00",
长期借款,,,,,,,,,,,,,,,,
