科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"174,052,936.56","238,617,148.32","285,098,190.46","1,236,908,903.95","734,852,439.21","705,259,642.43","836,418,961.62","502,328,468.05","457,031,267.28","550,703,965.79","711,596,439.21","636,464,630.51","409,593,389.80","587,635,340.99","605,701,386.05","633,217,141.96","488,034,445.87","541,798,059.17","673,068,648.26","769,457,263.79","520,935,178.21","567,661,061.61","702,839,957.93","801,167,481.39","676,032,483.57","762,285,433.40","881,827,490.38","907,855,642.79","576,882,713.26","659,172,841.48","814,566,100.96","859,988,469.24","707,178,190.34","762,958,220.04","862,316,738.11","903,733,322.08"
短期借款,"204,000,000.00","169,000,000.00","109,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,"42,075,122.14","34,239,066.10","33,496,207.67","31,434,433.20","46,859,884.06","40,435,412.84","32,338,672.22","31,017,159.74","42,505,657.42","29,467,270.18","33,211,566.57","30,759,384.83","36,650,912.00","41,523,720.35","22,433,401.91","9,102,255.24","9,655,346.05","10,115,486.36","7,136,040.00","4,174,813.11","4,759,196.96","3,128,605.71","4,724,985.98","3,937,936.81","3,292,612.08","5,639,497.42","3,576,095.37",,"3,602,676.80",
应收账款,"9,731,140.18","15,238,550.60","18,090,051.69","5,293,468.63","5,456,082.81","13,663,029.75","21,511,660.91","6,912,799.42","13,287,089.72","21,222,092.61","25,615,362.34","18,827,616.38","17,046,718.68","17,994,194.79","20,487,423.86","6,488,958.59","4,714,363.57","14,544,924.27","22,146,135.50","4,921,760.44","4,397,672.28","13,835,041.25","19,693,282.87","8,918,609.84","9,990,882.86","19,862,485.23","26,606,815.75","9,171,759.26","9,103,973.82","17,746,366.72","24,917,006.09","14,065,977.43","16,618,912.75","23,661,032.59","35,040,097.98","21,821,639.86"
应付账款,"214,041,071.33","226,950,158.07","254,218,005.54","203,658,309.83","179,872,850.97","217,700,764.19","229,882,624.17","173,495,859.76","147,102,026.70","183,160,285.45","236,143,264.22","180,871,371.14","166,761,359.68","176,640,745.39","219,719,331.87","164,752,633.45","159,942,803.31","176,675,546.27","212,936,073.44","224,190,911.57","174,153,359.86","175,564,118.00","221,600,958.85","224,579,174.84","205,429,202.42","208,624,472.24","275,371,360.82","201,356,477.13","188,910,847.68","198,131,720.81","274,720,652.85","244,673,787.41","192,657,700.80",,"240,112,355.05",
预付款项,"3,730,829.05","3,990,913.76","5,550,700.54","5,680,985.27","4,910,462.82","6,508,295.83","4,856,527.48","6,226,994.45","5,798,953.67","6,980,848.78","6,166,814.32","6,476,736.49","6,533,417.63","8,739,841.25","5,535,938.07","6,069,981.64","6,879,072.99","6,372,579.14","5,419,273.96","5,409,703.82","5,320,724.72","5,639,415.60","4,398,124.42","5,456,835.24","5,508,685.83","5,477,389.55","4,202,027.44","4,694,937.07","5,972,750.09","5,841,490.16","4,061,344.14","5,408,047.76","5,812,236.98","6,176,071.82","11,392,322.62","11,585,925.68"
预收款项,"90,743,569.86","75,786,349.49","70,714,670.10","64,630,753.01","59,270,357.45","54,943,313.28","57,607,962.48","48,823,386.10","51,214,642.16","57,529,280.66","58,563,366.63","59,653,323.59","52,096,379.60","52,756,105.90","44,490,544.71","48,187,545.43","48,273,770.19","46,903,881.29","41,310,753.12","36,801,101.36","42,095,048.87","37,848,368.70","34,592,684.28","34,440,628.51","32,961,563.49","41,944,104.32","31,664,137.53","38,777,525.71","35,218,775.32","35,629,782.03","35,795,396.77","36,005,330.43","32,891,353.42","32,714,963.66","34,155,825.97","28,066,954.15"
其他应收款,"8,121,317.95","15,088,032.59","12,867,772.74","12,217,108.25","7,361,323.05","10,143,693.22","8,105,473.97","10,232,119.29","7,703,789.26","22,182,125.72","7,393,805.16","7,738,409.03","8,028,201.33","8,995,605.40","8,148,893.42","7,774,977.08","7,475,591.92","8,205,286.99","7,001,071.79","7,192,140.01","9,477,343.23","8,459,665.98","4,062,774.25","4,693,227.13","4,196,430.03","5,128,516.11","3,490,692.97","3,989,749.00","3,780,646.94","4,812,301.39","4,491,601.41","4,473,547.69","4,614,618.61","21,643,389.56","10,792,655.00","16,331,065.28"
应付职工薪酬,"3,724,935.97","3,715,093.00","3,113,784.82","7,908,356.33","12,622,173.92","17,402,551.81","2,906,886.79","7,992,129.20","13,161,721.61","18,347,020.03","2,716,206.09","7,750,432.70","13,161,415.67","18,593,060.30","2,477,220.29","7,264,062.98","12,416,362.29","17,736,731.14","2,333,807.40","7,171,053.21","12,452,549.59","17,681,745.09","2,244,210.83","8,599,032.33","14,896,757.81","19,224,941.12","2,071,702.02","7,344,892.57","12,475,352.56","17,799,568.02","4,660,685.09","10,146,447.31","16,000,845.43","22,095,539.34","4,560,288.08","10,549,722.19"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"53,445,342.16","53,819,001.34","57,642,633.06","50,432,796.73","40,903,625.88","54,077,225.28","64,532,303.78","38,393,649.59","23,074,779.32","39,703,464.78","49,035,812.56","38,760,864.02","25,078,413.38","39,024,589.27","44,591,171.68","36,719,328.64","21,600,489.62","38,013,533.49","47,522,288.31","32,417,522.81","27,309,395.40","42,338,178.71","52,797,362.95","63,552,823.79","38,385,481.17","52,498,986.27","52,094,450.75","52,396,916.28","20,846,436.99","35,469,639.91","46,776,971.42","32,849,353.44","24,344,584.15","36,301,604.48","45,748,051.46","45,727,460.29"
