科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"37,870,521.27","121,289,810.97","76,743,189.37","747,373,289.29","584,096,392.31","525,446,743.79","517,589,380.39","484,540,402.96","334,536,407.58","264,272,659.90","227,258,775.15","226,682,673.61","236,052,327.22","254,683,317.82","220,823,320.41","181,581,083.69","176,530,981.70","158,226,966.54","124,128,828.93","117,875,650.92","121,681,869.10","56,421,737.41","30,625,436.46","58,644,895.80","56,619,221.04","37,024,233.15","59,396,703.67","66,793,008.85","82,513,957.69","94,264,602.74","89,009,993.19","142,064,589.25","149,077,320.75","99,492,624.15","132,359,655.40","119,510,532.55","136,703,091.52"
短期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,058,650.00","10,003,985.00",,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,252,788.99","10,780,031.18","10,895,359.96","16,331,078.44","16,481,858.03","16,380,058.67","17,544,464.09","17,331,854.36","17,333,031.51","13,840,634.50"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,"70,000.00",,"9,674,741.00","5,461,770.00","1,550,000.00","5,560,000.00","8,712,598.99","5,130,000.00","1,971,360.00","497,900.00","423,251.60","1,274,244.42","51,980.00","1,433,953.80","680,000.00","270,000.00","998,400.00","1,360,000.00",,"862,000.00",,"2,400,000.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"49,236,918.81","27,787,554.28","47,605,788.16","56,609,953.73","48,297,607.28","55,737,460.97","50,817,465.36","54,518,785.81","77,592,025.14","64,087,954.44","63,246,625.86","58,786,539.82","57,775,847.51","57,151,551.54","68,743,054.84","58,971,657.30","51,936,501.02","60,827,042.09","47,595,109.29","56,829,707.14","68,186,983.48","76,642,894.85","68,579,491.60","80,373,692.48","78,161,865.88","76,360,653.83","76,235,003.42","79,195,307.08","79,727,024.38","86,011,545.62","71,166,629.64","105,163,382.37","122,858,732.79","114,370,769.67","143,013,610.25","155,509,695.14","173,093,511.86"
应付账款,"15,381,679.40","17,116,057.80","20,715,041.71","15,200,752.01","14,788,334.37","15,205,141.03","15,277,295.30","25,730,193.25","35,116,532.02","46,951,899.03","47,120,950.40","50,105,319.04","49,062,118.82","58,630,193.57","58,113,500.85","59,297,194.48","60,416,303.64","51,536,034.65","69,213,112.35","37,217,553.76","40,453,246.89","43,238,263.04","32,209,969.75","31,280,958.20","31,785,786.52","36,130,207.16","43,573,251.99","34,583,179.03","28,146,173.82","36,392,038.31","38,598,925.92","25,840,059.89","24,161,305.14","30,854,765.24","47,942,665.77","93,677,145.23","103,204,385.08"
预付款项,"25,868,207.53","26,413,849.63","31,524,866.96","39,795,132.39","56,560,882.80","81,581,926.96","82,983,823.44","121,773,686.64","181,444,364.48","138,047,850.69","115,720,419.97","127,059,227.75","120,968,525.10","79,721,283.52","64,825,033.78","69,686,446.66","75,653,060.04","70,109,708.53","69,131,922.93","48,768,385.42","35,844,407.84","40,888,475.23","26,235,921.85","23,421,403.78","20,253,198.47","33,777,588.42","12,806,701.91","15,512,176.07","16,809,175.20","32,513,670.30","20,092,757.80","20,923,659.95","20,429,033.99","103,531,647.44","17,618,382.54","12,871,957.80","9,368,589.39"
预收款项,"1,157,486.58","1,073,025.00","802,105.93","2,507,808.40","1,370,077.57","1,518,176.98","788,819.91","1,266,407.86","952,699.18","492,445.21","1,170,538.12","940,224.37","903,503.18","1,949,166.84","570,007.05","1,781,959.69","3,444,376.09","13,241,906.11","9,871,485.72","1,147,477.13","8,467,838.74","2,266,640.26","2,568,941.05","3,420,424.28","2,426,502.13","2,821,193.37","2,621,544.62","1,885,312.38","4,134,302.83","1,739,688.28","5,469,334.32","3,430,107.55","12,975,140.24","7,070,384.70","8,163,822.19","9,206,049.71","14,050,455.50"
其他应收款,"1,687,943.91","1,271,233.04","1,303,252.79","1,348,624.91","2,667,366.27","1,458,602.20","1,815,563.63","1,323,312.49","5,082,499.06","9,780,870.44","10,153,651.95","4,429,132.38","8,591,838.55","11,469,932.76","10,178,574.21","8,831,634.18","12,441,359.49","7,770,966.99","11,574,909.70","8,530,608.43","10,052,987.59","6,349,458.65","8,437,995.33","9,650,141.81","13,943,344.64","15,445,353.10","11,107,597.71","10,557,913.11","10,094,589.41","11,202,363.56","10,019,463.79","23,521,497.31","6,724,466.70","7,835,146.51","10,257,312.44","16,556,889.06","20,162,226.66"
应付职工薪酬,"1,635,067.25","2,985,468.51","2,925,782.30","2,019,833.37","2,170,374.38","2,410,310.18","3,474,208.76","2,282,610.61","2,473,989.08","3,095,122.39","4,222,818.15","3,928,971.34","4,834,496.47","5,137,762.51","4,129,287.13","5,311,518.83","6,035,967.09","6,517,218.27","5,763,396.78","5,598,777.96","5,663,522.11","5,995,661.19","6,928,724.38","6,906,859.76","6,923,790.50","6,913,472.65","9,459,714.57","8,343,403.94","9,255,484.12","10,430,803.60","18,670,174.71","9,077,787.08","9,939,299.26","14,993,112.03","22,330,850.32","14,232,199.17","16,818,579.92"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
