科目,2004年1-9月
销售商品、提供劳务收到的现金,"1,505,158,326.69"
取得子公司及其他营业单位支付的现金净额,
收到的税费返还,"239,925.61"
支付其他与投资活动有关的现金,
收到其他与经营活动有关的现金,"31,354,156.15"
投资活动现金流出小计,"122,867,204.08"
经营活动现金流入小计,"1,536,752,408.45"
投资活动产生的现金流量净额,"-93,802,656.91"
购买商品、接受劳务支付的现金,"1,202,226,180.47"
吸收投资收到的现金,
支付给职工以及为职工支付的现金,"80,997,688.70"
取得借款收到的现金,"355,000,000.00"
支付的各项税费,"53,075,050.11"
收到其他与筹资活动有关的现金,"1,848.00"
支付其他与经营活动有关的现金,"167,865,696.91"
筹资活动现金流入小计,"355,001,848.00"
经营活动现金流出小计,"1,504,164,616.19"
偿还债务支付的现金,"490,000,000.00"
经营活动产生的现金流量净额,"32,587,792.26"
分配股利、利润或偿还利息支付的现金,"13,215,303.10"
收回投资收到的现金,"28,554,761.84"
支付其他与筹资活动有关的现金,
取得投资收益收到的现金,"316,036.50"
筹资活动现金流出小计,"503,215,303.10"
处置固定资产、无形资产和其他长期资产收回的现金净额,"193,748.83"
筹资活动产生的现金流量净额,"-148,213,455.10"
处置子公司及其他营业单位收到的现金净额,
四、汇率变动对现金的影响,
收到其他与投资活动有关的现金,
四(2)、其他原因对现金的影响,
投资活动现金流入小计,"29,064,547.17"
五、现金及现金等价物净增加额,"-209,428,319.75"
购建固定资产、无形资产和其他长期资产支付的现金,"122,867,204.08"
期初现金及现金等价物余额,"305,689,914.25"
投资支付的现金,
期末现金及现金等价物余额,"96,261,594.50"
