科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"277,463,653.50","387,081,850.72","434,789,665.03","70,253,547.95","189,551,477.54","269,611,046.29","421,555,013.89","89,160,197.51","207,973,111.35","318,489,633.73","470,037,772.25","117,428,364.94","258,117,430.94","387,613,051.02","352,740,249.29","70,609,220.21","175,520,102.65","253,653,983.64","376,622,383.73","54,373,578.90","139,592,854.43","220,660,927.57","343,527,079.42","59,625,426.43","144,850,127.35","223,088,735.72","359,443,667.16"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"393,379.67","1,750,803.29","2,291,633.92","756,423.26","3,081,605.89","4,115,537.40","7,129,426.15","4,003,056.31","5,010,930.89","6,563,636.26","8,537,133.61","2,421,237.54","5,465,141.56","9,074,720.26","11,052,931.29","1,222,271.92","1,222,271.92","2,022,418.90","2,987,742.12","585,972.56","585,972.56","2,089,452.88","2,089,452.88","2,009,634.96","2,120,656.80","4,172,199.01","10,734,821.69"
支付其他与投资活动有关的现金,,,,,,,"22,973,211.20",,,,,,,,"20,329,453.27",,,,,,,,,"85,293,700.00","105,023,700.00","115,023,700.00","151,902,900.00"
收到其他与经营活动有关的现金,"19,004,837.80","233,256.07","9,724,108.91","10,091,807.24","18,813,600.04","18,979,704.47","21,597,606.93","11,781,826.27","11,823,922.56","19,401,288.35","22,383,487.79","7,840,110.91","8,165,847.27","8,249,091.77","10,532,711.35","6,956,037.49","23,721,595.83","37,444,178.52","48,291,243.63","15,162,537.82","20,311,045.73","24,495,381.56","30,071,193.70","273,970.95","5,503,215.08","11,616,051.63","21,693,192.80"
投资活动现金流出小计,"5,367,426.14","40,719,971.87","146,400,364.45","11,688,391.51","43,646,082.77","61,657,516.68","99,908,280.85","23,964,078.15","33,790,410.74","60,207,511.81","83,681,026.19","18,444,117.73","30,089,271.36","37,735,971.36","62,177,536.72","5,230,388.45","6,229,798.45","7,696,764.32","9,372,504.82","4,643,954.00","8,504,027.87","8,924,517.87","7,536,421.74","97,203,341.20","124,951,101.91","146,241,151.91","176,906,424.70"
经营活动现金流入小计,"296,861,870.97","389,065,910.08","446,805,407.86","81,101,778.45","211,446,683.47","292,706,288.16","450,282,046.97","104,945,080.09","224,807,964.80","344,454,558.34","500,958,393.65","127,689,713.39","271,748,419.77","404,936,863.05","374,325,891.93","78,787,529.62","200,463,970.40","293,120,581.06","427,901,369.48","70,122,089.28","160,489,872.72","247,245,762.01","375,687,726.00","61,909,032.34","152,473,999.23","238,876,986.36","391,871,681.65"
投资活动产生的现金流量净额,"699,073.86","-40,719,971.87","-146,400,364.45","-11,688,391.51","-43,646,082.77","-61,537,516.68","-83,788,280.85","-23,953,078.15","-30,751,410.74","-51,119,666.81","-74,274,026.19","-15,244,117.73","-26,889,271.36","-34,507,402.45","-61,983,906.72","-5,222,388.45","-6,221,798.45","10,323,235.68","8,647,495.18","-4,651,480.00","-8,111,553.87","-8,532,043.87","-7,475,747.74","-96,403,341.20","-110,867,202.51","-60,010,877.88","-39,921,051.94"
购买商品、接受劳务支付的现金,"217,689,798.45","281,779,728.87","317,791,910.37","105,512,742.36","198,267,398.80","260,120,951.68","343,951,674.41","71,565,481.58","155,643,759.28","252,697,057.58","386,189,708.28","98,196,149.47","194,388,241.43","284,537,579.22","172,193,360.73","37,593,077.46","98,524,883.23","172,436,967.68","229,800,834.98","73,921,256.80","102,199,919.34","126,469,721.38","212,181,404.57","36,263,882.74","99,243,037.56","155,358,573.28","252,808,807.75"
吸收投资收到的现金,"13,200,000.00",,,,"237,982,000.00","237,982,000.00","237,982,000.00",,,,"4,900,000.00",,,,,,,,,,,,,,,,
