科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"358,762,468.98","484,571,191.58","581,585,122.31","257,375,583.79","384,637,457.41","604,429,653.91","111,856,213.67","323,875,219.28","533,069,834.80","802,069,348.02","184,457,938.61","455,788,888.66","728,770,127.66","992,337,302.47","223,424,540.12","530,764,773.68","846,645,974.62","1,210,595,383.91","239,098,855.66","553,156,634.85","815,007,206.55","1,212,453,343.66","173,980,392.40","667,196,535.20","944,964,053.57","1,435,606,586.81","272,950,704.12","838,008,655.83","1,315,457,682.12"
二、营业利润,"207,344,189.12","269,359,164.37","290,690,733.91","110,632,780.39","170,567,685.15","287,361,773.30","35,657,005.36","130,771,281.67","232,245,885.52","348,812,252.74","70,964,817.06","199,706,168.67","324,964,504.81","461,295,637.57","88,206,608.57","214,589,710.12","350,899,282.44","454,517,854.93","111,739,485.54","236,992,496.76","306,818,939.43","405,081,061.56","46,099,829.51","191,242,736.10","271,273,444.07","347,886,048.31","38,928,102.10","150,200,534.31","234,401,099.01"
减:营业成本,"109,487,798.23","140,871,546.86","199,696,936.39","91,127,728.07","130,114,234.57","200,945,707.79","36,981,890.10","92,491,772.44","144,939,235.21","204,310,603.27","48,703,308.80","117,157,113.73","196,671,589.68","268,699,009.03","69,680,567.98","153,947,220.74","240,163,449.04","366,450,400.93","67,637,520.56","173,574,335.98","258,975,609.13","399,415,087.03","54,127,933.91","192,406,500.77","267,802,847.02","370,875,881.47","57,647,035.61","163,677,864.15","396,156,331.76"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,279,525.71","5,260,948.40","7,792,314.04","2,588,760.19","4,113,109.01","8,025,743.69","199,039.46","3,166,876.52","5,758,133.08","8,971,192.59","3,260,938.90","7,904,856.31","11,368,279.17","14,514,505.17","2,965,359.17","7,293,952.50","11,204,440.94","16,577,398.48","3,162,866.97","7,086,453.69","10,169,362.15","15,478,384.49","1,187,190.94","7,137,913.84","11,215,771.38","22,979,189.75","4,004,726.72","14,155,348.23","20,305,167.41"
营业外收入,"21,098,796.94","61,679,127.31","73,613,317.50","36,503,074.46","68,050,603.22","83,555,262.84","60,624,292.43","78,329,028.68","101,568,793.04","138,375,252.58","16,124,969.91","49,600,323.59","65,732,504.36","111,584,368.35","2,128,199.42","43,502,770.05","47,399,491.73","50,758,162.89","2,797,764.57","5,228,411.65","10,021,654.60","13,654,512.77","2,954,931.48","78,188,624.87","83,116,363.89","155,511,764.15","8,256,041.24","1,395,192.49","3,033,307.87"
销售费用,"11,739,328.34","19,231,015.50","20,489,589.66","11,747,269.42","19,181,420.57","26,681,220.92","13,675,958.74","43,166,774.30","73,030,261.04","127,784,703.56","24,137,314.86","59,204,532.56","92,278,865.62","144,401,562.77","29,061,721.62","82,367,991.20","134,935,353.68","215,536,295.50","29,715,445.04","58,562,733.30","106,913,943.09","178,183,071.33","16,405,256.98","168,867,529.34","242,601,970.67","479,372,063.87","125,583,619.48","428,173,605.38","559,009,909.10"
减:营业外支出,"11,303,118.72","15,436,372.53","435,034.42","150,446.10","70,584.60","1,529,151.57","18,135.49","294,528.01","7,893,708.62","6,855,879.44","379,416.90","1,769,114.61","1,906,001.44","4,042,347.17","133,735.44","345,880.86","672,699.72","728,562.90","196,406.03","2,055,558.35","2,097,832.78","3,515,992.10","65,564.35","544,257.40","1,707,127.10","3,321,456.21","179,827.36","239,847.23","446,710.44"
管理费用,"23,353,066.83","52,762,910.01","65,075,860.14","43,933,901.89","64,998,208.48","87,331,243.24","29,138,148.97","65,614,991.54","98,042,054.85","139,894,559.53","46,323,201.90","90,640,586.13","131,397,393.11","147,638,810.11","51,469,553.37","104,391,664.00","162,518,486.57","223,539,696.34","45,596,300.85","113,942,677.73","186,544,204.56","278,954,735.69","72,017,250.42","133,335,995.57","194,605,397.72","272,510,677.20","70,213,546.70","125,704,906.61","202,928,070.92"
其中:非流动资产处置净损失,"245,881.51","1,422,804.70","238,988.69",,,"1,040,203.11",,,,"3,498,297.11",,"739,603.93",,"2,925,298.47",,"36,882.61","53,545.22","173,329.86","135,764.15","149,264.36","408,611.92","522,590.72","23,874.98","211,837.10","824,782.76","698,501.21","16,707.62","51,352.03","178,127.97"
