科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
应交税费,"9,667,855.97","12,700,751.55","13,093,423.41","8,320,817.54","9,781,434.39","11,536,921.53","17,785,934.33","13,566,878.48","17,196,143.25","18,092,636.37","17,826,619.92","20,234,805.42","17,354,022.28","15,699,903.53","12,228,576.91","17,941,189.48","16,181,290.74","18,297,692.31","17,639,876.71","22,588,124.91","19,173,380.00","22,361,594.16","19,408,474.71","17,599,364.94","26,383,999.45","22,196,357.41","14,043,411.38","19,561,988.60","26,017,876.61","23,803,022.83","12,912,477.86","20,551,305.55","68,387,413.72","25,171,238.79","29,456,436.21","39,412,015.48"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,"149,919.00","149,919.00","149,919.00","9,386.50","7,174.36",,,,,,,,,,,"16,666.67",,,,,,,"15,197.55","44,861.13","53,149.38","39,253.61",,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,"1,133,212.58","1,133,212.58","1,133,212.58","1,133,212.58","2,574,593.01","1,851,465.03","1,802,214.99","45,356,061.69","1,616,550.04","1,616,550.04","1,616,550.04","62,702,557.15","201,986.43","201,986.43","201,986.43","6,238.35","2,620,800.00","1,705,383.75"
存货,"11,352,673.02","12,748,428.45","12,400,477.21","13,520,510.86","15,530,478.61","17,526,045.41","16,748,190.34","18,228,433.35","18,570,488.09","20,267,568.79","19,140,449.12","21,847,685.92","17,252,393.70","20,634,762.66","20,042,808.89","23,274,891.35","24,383,799.65","25,502,056.69","25,080,382.14","30,560,431.20","28,879,667.79","29,664,966.31","28,229,003.66","32,530,693.53","32,438,514.46","39,782,923.40","37,503,305.04","44,260,793.91","53,323,857.88","53,746,732.07","55,127,933.06","58,644,845.59","61,387,614.69","78,965,651.76","79,668,550.46","78,847,846.65"
其他应付款,"5,626,945.91","5,880,254.76","5,819,309.39","14,939,149.61","8,633,467.02","12,045,550.39","24,425,622.69","22,869,027.60","18,284,436.75","12,560,240.56","12,087,938.68","13,861,904.71","8,457,139.04","12,142,715.93","9,984,833.70","12,752,937.92","9,523,147.53","15,969,390.96","25,651,269.32","23,538,326.50","10,409,551.96","12,732,338.87","22,412,203.54","16,359,658.75","61,430,772.77","27,229,239.52","40,807,478.59","14,371,384.30","13,992,127.13","18,117,812.76","341,882,031.30","329,670,046.38","283,658,649.03","290,892,722.06","291,133,448.29","246,588,806.20"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"25,000,000.00","5,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
