科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,009,505,135.75","756,007,919.53","1,089,528,011.82","237,541,140.89","546,622,277.94","852,203,008.59","1,310,024,040.75","335,343,142.49","882,350,501.93","1,390,163,606.89","1,734,535,510.59","373,554,430.74","888,604,100.40","1,185,027,912.75","1,622,954,831.21","453,856,709.01","858,232,832.12","1,184,107,278.76","1,772,452,148.79","330,467,344.43","960,703,675.08","1,424,392,223.91","1,769,157,017.77","463,314,727.33","799,717,466.30","1,120,298,719.23","1,416,172,753.48","251,249,869.57","515,938,092.33","762,309,672.98","1,345,566,520.33","265,955,762.30","667,897,757.64","1,113,856,837.18","1,560,257,556.44","305,840,131.74","767,414,501.51","1,164,781,745.06","1,746,297,978.18","284,949,514.54"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,289,716.46","24,224,055.04","24,289,716.46",,,,,,,,,
收到的税费返还,,,,,,,"173,406.41","27,655.14","51,412.51","64,628.32","64,628.32",,,,,,,,,,,,,"82,035.06","130,302.66","183,894.91","220,262.71","15,642.20","71,754.80","229,835.64","2,500,414.16","135,211.60","210,257.74","369,018.18","550,592.30","633,855.86","1,071,634.57","1,374,731.03","105,504,437.52","1,158,639.13"
支付其他与投资活动有关的现金,,,,,,,,"48,131.25",,,,,,,,,,,"1,700,000.00",,,,"50,000,000.00",,,,,,,,"8,401,050.00",,,,,,,,,
收到其他与经营活动有关的现金,"20,801,415.11","8,747,695.11","36,561,745.90","1,117,432.82","6,172,775.25","9,618,385.14","28,222,760.91","2,654,507.29","4,425,809.73","8,157,677.50","10,202,854.14","9,654,765.40","20,370,511.32","25,670,202.53","25,850,451.65","1,681,847.97","3,060,058.45","5,068,554.46","16,019,887.78","3,857,664.80","4,410,527.54","4,494,569.85","16,864,159.17","5,377,608.59","27,157,844.59","35,239,065.32","39,598,247.16","22,947,084.84","35,146,443.35","40,034,588.17","53,154,195.80","5,542,350.42","10,570,989.07","17,876,252.01","34,118,878.84","7,125,599.98","3,671,928.96","116,855,396.51","27,524,772.91","42,058,967.12"
投资活动现金流出小计,"288,473,891.82","91,373,959.84","32,137,149.19","13,556,502.81","28,212,280.44","65,732,030.34","128,656,428.27","64,062,880.24","106,320,029.74","289,303,613.54","362,084,233.29","51,278,788.88","120,316,062.19","178,381,416.68","218,882,171.62","40,216,248.05","59,941,346.37","80,622,188.93","126,449,416.82","24,377,351.52","45,353,557.55","72,062,646.56","140,845,236.35","31,439,720.31","105,955,200.95","158,569,724.45","205,093,853.29","9,727,710.38","69,304,097.62","98,939,806.68","125,753,956.84","76,816,250.43","106,087,510.65","133,618,011.60","180,620,787.78","28,898,372.29","53,728,436.67","90,587,281.55","131,798,863.35","47,429,764.34"
经营活动现金流入小计,"1,030,306,550.86","764,755,614.64","1,126,089,757.72","238,658,573.71","552,795,053.19","861,821,393.73","1,338,420,208.07","338,025,304.92","886,827,724.17","1,398,385,912.71","1,744,802,993.05","383,209,196.14","908,974,611.72","1,210,698,115.28","1,648,805,282.86","455,538,556.98","861,292,890.57","1,189,175,833.22","1,788,472,036.57","334,325,009.23","965,114,202.62","1,428,886,793.76","1,786,021,176.94","468,774,370.98","827,005,613.55","1,155,721,679.46","1,455,991,263.35","274,212,596.61","551,156,290.48","802,574,096.79","1,401,221,130.29","271,633,324.32","678,679,004.45","1,132,102,107.37","1,594,927,027.58","313,599,587.58","772,158,065.04","1,283,011,872.60","1,879,327,188.61","328,167,120.79"
投资活动产生的现金流量净额,"-217,914,596.34","-90,771,015.73","-25,798,282.39","-13,556,502.81","-28,170,280.44","-65,690,030.34","-128,026,628.60","-63,663,580.24","-105,761,529.74","-288,715,113.54","-360,478,583.52","-51,263,788.88","-120,273,259.45","-177,858,208.19","-188,033,664.71","-40,165,640.05","-55,575,929.97","-75,450,745.49","-118,386,966.38","8,338,200.38","-2,317,342.05","-28,472,911.36","-95,071,840.55","-21,230,345.31","-39,441,814.35","-90,447,522.45","-131,601,124.23","-487,475.08","-40,442,872.72","-45,180,920.28","-51,910,622.60","-66,458,844.99","-87,872,856.74","-113,636,365.09","-159,764,126.39","-28,347,999.85","-28,614,669.44","-64,555,638.52","-110,543,787.57","-47,023,880.94"
购买商品、接受劳务支付的现金,"774,479,701.20","459,556,540.00","767,141,916.33","279,374,546.23","635,488,350.45","857,530,454.69","1,254,182,920.74","420,175,209.57","732,067,169.35","1,027,595,417.45","1,282,358,234.00","320,353,287.39","503,140,974.93","748,232,753.96","1,067,986,758.46","128,013,746.94","557,352,701.40","972,377,738.34","1,215,940,477.36","265,572,225.25","646,894,082.70","1,036,321,585.56","1,241,211,289.30","247,004,170.10","470,796,060.55","739,154,018.75","866,724,572.67","164,516,002.76","338,749,744.68","515,613,356.02","940,293,907.55","299,826,066.11","740,840,837.79","1,219,840,730.92","1,415,214,570.05","301,790,473.12","580,870,378.94","1,016,548,982.06","1,186,301,006.54","180,275,932.70"
吸收投资收到的现金,"159,375,000.00",,,"521,980,000.00","521,980,000.00","521,980,000.00","521,980,000.00",,,,,,,,,,,,,,,,"597,799,996.79",,,,,,,,,,,,"1,000,000.00","780,000.00","2,780,000.00","2,780,000.00","2,780,000.00",
