科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"2,050,328,396.90","2,160,854,747.95","1,392,831,011.09","1,913,207,732.09","1,086,939,627.91","1,727,982,505.69","2,344,285,294.76","533,050,452.10","1,116,571,753.74","1,771,232,145.75","2,582,600,307.59","732,643,421.48","1,356,757,641.73","2,028,713,939.81","2,853,414,061.52","653,496,109.09","1,499,316,231.82","2,277,460,261.87","3,038,367,388.20","692,304,726.05","1,401,470,159.43","2,332,558,130.12","3,079,529,061.32","759,705,381.84"
取得子公司及其他营业单位支付的现金净额,"6,392,833.20",,,,,"50,000,000.00",,,,,"1,499,947.37",,,,"9,263,895.01",,,,,,,,,
收到的税费返还,"2,692,472.47","1,551,171.55","3,357,566.80","3,223,989.58","1,837,596.48","4,128,308.19","6,901,638.13","3,748,919.02","3,538,431.60","4,407,660.77","5,843,960.59","2,411,559.35","5,923,155.04","7,934,285.88","11,327,250.25","1,945,104.15","7,650,608.48","15,740,427.86","19,255,201.82","1,419,225.95","19,186,301.13","49,794,492.65","60,494,175.87","9,046,207.01"
支付其他与投资活动有关的现金,,"770,650.00",,,"50,000,000.00",,"50,000,000.00",,"100,000,000.00",,"981,050.82","4,582,179.97",,,"170,000,000.00",,"50,000,000.00","50,000,000.00","80,000,000.00",,,"39,861,621.79","46,090,000.00","203,440,000.00"
收到其他与经营活动有关的现金,"3,077,780.56","4,199,622.80","2,875,399.68","6,206,558.81","2,786,635.53","6,479,183.68","7,152,124.44","9,677,945.99","4,117,873.48","77,784,133.80","10,484,336.75","9,472,662.35","12,921,483.36","22,220,690.87","34,384,186.11","4,105,002.51","10,697,436.95","42,914,748.17","18,672,938.80","129,214.42","24,433,060.78","24,639,349.55","72,175,869.41","40,782,172.55"
投资活动现金流出小计,"49,719,597.67","57,090,356.67","23,359,574.07","33,557,421.10","88,866,112.26","95,804,363.52","126,841,144.46","21,120,359.05","149,570,851.24","202,291,587.52","341,178,649.70","37,090,203.72","113,817,265.75","175,273,770.26","405,220,605.90","1,163,726.59","84,518,052.78","176,447,162.57","196,917,433.13","7,907,737.54","35,832,150.39","166,631,250.49","407,116,234.55","262,821,104.30"
经营活动现金流入小计,"2,056,098,649.93","2,166,605,542.30","1,399,063,977.57","1,922,638,280.48","1,091,563,859.92","1,738,589,997.56","2,358,339,057.33","546,477,317.11","1,124,228,058.82","1,853,423,940.32","2,598,928,604.93","744,527,643.18","1,375,602,280.13","2,058,868,916.56","2,899,125,497.88","659,546,215.75","1,517,664,277.25","2,336,115,437.90","3,076,295,528.82","693,853,166.42","1,445,089,521.34","2,406,991,972.32","3,212,199,106.60","809,533,761.40"
投资活动产生的现金流量净额,"-36,527,479.02","-48,859,517.58","-9,698,050.63","-18,515,428.51","-86,322,785.48","-85,535,764.50","-114,117,604.40","33,630,722.67","-138,894,895.99","-134,731,048.50","-253,850,612.87","-34,644,250.06","-104,615,104.46","-156,540,742.16","-380,464,186.25","625,112.86","-47,893,285.49","-137,255,470.37","-132,979,551.36","-6,379,518.36","-29,823,426.89","-157,771,596.94","-142,458,870.69","-213,821,104.30"
购买商品、接受劳务支付的现金,"1,546,137,093.37","1,781,261,332.86","1,113,560,100.58","1,560,468,409.27","810,669,608.44","1,334,502,917.65","1,859,151,998.70","452,556,009.19","853,398,397.51","1,453,630,937.45","2,150,784,652.94","636,670,846.84","1,151,388,955.02","1,638,572,298.70","2,322,073,847.54","530,984,398.00","1,168,087,903.81","1,868,615,961.20","2,742,691,774.69","518,080,521.61","1,050,333,165.43","1,933,257,169.86","2,444,510,830.71","473,446,477.83"
吸收投资收到的现金,"725,098.24",,"786,600.00",,,,"447,440,000.00",,,,,,,"916,974,409.90","916,630,070.28",,,,,,,"200,000,000.00","199,953,823.92","10,000,000.00"
支付给职工以及为职工支付的现金,"148,822,880.22","194,364,179.39","123,000,271.07","171,074,980.43","97,024,201.48","155,571,279.88","217,896,931.93","61,345,434.50","119,661,579.40","177,580,563.21","239,170,978.73","64,475,050.91","126,587,911.75","234,754,996.62","258,151,870.82","72,901,531.81","139,211,217.47","199,594,437.12","269,467,710.95","69,795,094.98","156,111,039.72","222,134,000.13","269,908,084.16","67,214,745.26"
