科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"143,775,766.17","140,880,884.58","94,410,625.06","149,221,772.19","210,914,572.19","65,763,375.38","106,644,041.54","165,665,960.49","223,009,134.89","62,803,671.20","119,727,834.62","188,540,783.55","253,102,627.38","109,244,859.99","194,910,715.79","286,976,414.36","382,305,844.43","141,714,165.68","208,682,500.87","323,631,112.05","415,091,935.89","114,345,736.50","177,963,697.08","277,288,961.78","343,114,661.54","180,916,538.10","313,238,918.41","460,846,736.33","1,309,152,071.07","376,325,682.02","665,416,917.12","963,131,753.06","1,187,871,371.51","298,977,829.51","554,284,725.72","824,776,714.40","1,084,921,143.89","269,413,588.37"
取得子公司及其他营业单位支付的现金净额,,"18,324,714.02","14,160,000.00","14,160,000.00","14,160,000.00",,,,"66,716,932.92","24,082,310.38","25,934,901.35","29,347,681.93","43,395,822.73","56,903,113.08","56,573,522.60","60,027,397.98","44,739,980.10","21,624,657.72","21,624,657.72","21,624,657.72","21,624,657.72",,,,,"12,092,000.00","12,092,000.00","49,259,112.70","1,013,656,168.70",,,,,"675,000.00","675,000.00","675,000.00",,
收到的税费返还,,"1,017,128.47",,,,,,,,,,,,,,,,,,,,,,,,,,,"482,176.41","432,254.15","432,254.15","836,264.54","1,115,675.94",,,,,
支付其他与投资活动有关的现金,"1,511,896.00","3,570,752.02","811,469.68","1,657,695.69","1,808,335.93","400,132.58","3,714,430.67","6,021,141.01","1,505,636.38","337,144.13","4,180,436.18","999,999.07","1,370,332.38","352,360.07","816,017.31","1,202,627.59","65,948,468.18","2,280,680.43","1,024,482.71","1,369,291.00","3,206,927.80","426,401.29","720,579.85","1,066,540.91","1,568,356.72","471,043.97","2,335,402.98","3,602,671.85","25,206,301.53","2,048,870.81","1,630,886.08","2,028,145.45","2,267,361.21","178,007.80","599,452.02","2,376,335.05","7,040,951.42","3,653,741.90"
收到其他与经营活动有关的现金,"41,177,440.16","25,750,525.17","7,670,877.37","13,063,730.94","13,221,067.86","4,093,600.02","23,065,356.74","25,504,210.16","23,096,100.63","3,435,754.61","6,590,733.38","7,070,345.50","20,763,248.99","969,315.53","19,486,384.66","24,395,953.70","41,053,692.87","2,835,102.95","20,662,940.49","25,520,433.62","32,395,789.05","8,553,161.07","47,574,104.19","79,753,327.70","90,962,439.37","18,315,187.91","19,836,468.13","27,290,096.87","47,141,667.16","1,949,164.09","7,362,862.20","21,842,451.27","17,288,504.24","484,814.96","917,423.37","1,819,846.58","23,375,820.74","2,160,711.87"
投资活动现金流出小计,"31,827,668.44","38,353,931.19","23,950,649.48","37,574,132.32","58,216,145.89","6,789,175.20","36,396,288.08","54,715,637.79","116,368,990.69","35,005,124.82","54,408,633.79","74,870,471.34","135,249,247.58","76,532,542.01","107,039,610.66","146,118,702.49","275,949,225.12","47,394,318.99","230,063,774.49","408,483,928.81","428,094,615.55","262,181,736.83","446,955,627.63","555,711,003.89","695,072,766.10","70,348,947.04","97,037,428.97","496,764,973.16","1,718,915,588.57","270,518,528.30","340,482,106.17","422,297,377.06","472,803,442.97","11,357,374.40","38,646,008.19","66,466,404.44","106,903,839.92","16,374,182.75"
经营活动现金流入小计,"184,953,206.33","167,648,538.22","102,081,502.43","162,285,503.13","224,135,640.05","69,856,975.40","129,709,398.28","191,170,170.65","246,105,235.52","66,239,425.81","126,318,568.00","195,611,129.05","273,865,876.37","110,214,175.52","214,397,100.45","311,372,368.06","423,359,537.30","144,549,268.63","229,345,441.36","349,151,545.67","447,487,724.94","122,898,897.57","225,537,801.27","357,042,289.48","434,077,100.91","199,231,726.01","333,075,386.54","488,136,833.20","1,356,775,914.64","378,707,100.26","673,212,033.47","985,810,468.87","1,206,275,551.69","299,462,644.47","555,202,149.09","826,596,560.98","1,108,296,964.63","271,574,300.24"
投资活动产生的现金流量净额,"-20,739,613.17","-20,930,202.11","-20,076,592.73","-29,497,549.02","-49,172,902.97","-5,990,925.20","-35,396,838.48","-50,467,837.00","-98,835,414.72","-30,054,212.82","-49,976,563.44","-70,714,513.46","-106,121,951.42","-76,296,142.01","-83,922,436.34","-120,323,733.96","-176,306,371.64","-47,103,963.20","-228,599,543.30","-255,639,308.74","-270,883,555.29","-108,149,122.37","-142,352,741.17","-147,393,915.72","-198,285,845.86","-67,243,593.76","78,758,407.01","17,448,734.88","-1,046,459,283.94","-222,024,699.16","-272,241,135.56","-243,123,329.80","-275,576,555.50","-1,106,750.76","21,580,751.42","11,277,031.86","-3,268,239.08","-1,254,204.60"
购买商品、接受劳务支付的现金,"44,211,717.77","39,467,438.27","21,512,308.27","35,188,701.46","50,122,749.22","13,406,481.31","23,016,884.31","32,031,301.96","40,800,917.22","5,033,927.26","10,522,525.63","17,830,873.08","32,976,432.88","7,685,561.31","17,234,984.06","25,373,652.61","35,568,563.76","8,940,967.97","17,281,003.01","27,511,348.05","41,171,526.34","9,251,766.25","18,644,684.54","31,053,744.14","44,041,746.76","40,383,160.00","100,126,906.29","165,662,102.09","587,376,287.25","172,914,695.21","293,581,276.17","419,455,047.17","459,249,080.94","110,568,139.57","224,837,795.00","337,180,448.05","449,787,286.35","100,873,718.84"
吸收投资收到的现金,"50,000.00",,,,,"297,370,000.00","297,370,000.00","297,370,000.00","297,370,000.00",,,,,,,"4,000,000.00","4,300,000.00",,,,"400,000.00",,,,,,,,"1,960,000.00",,,,"949,000.00",,,,,
支付给职工以及为职工支付的现金,"29,223,362.72","31,761,364.07","20,708,327.92","29,779,181.55","39,433,015.61","14,383,759.89","24,008,978.46","34,086,055.87","45,424,526.79","16,344,169.29","28,986,919.66","42,377,190.68","57,231,584.10","25,368,343.45","46,700,232.53","68,301,967.01","95,853,132.93","34,656,619.00","59,099,683.97","87,429,829.89","116,836,977.68","37,202,069.76","63,434,430.40","92,009,273.53","122,931,261.94","39,789,617.49","75,399,445.42","107,534,491.65","313,754,823.86","102,444,293.71","180,386,552.09","257,867,507.59","351,081,636.88","93,905,581.38","160,632,768.82","226,104,231.34","294,298,631.52","81,466,100.57"
取得借款收到的现金,"164,100,000.00","42,200,000.00","46,000,000.00","46,000,000.00","46,000,000.00","3,500,000.00","23,500,000.00","23,500,000.00","23,500,000.00",,"20,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,,,,,,,"68,000,000.00","605,500,000.00","173,000,000.00","302,700,000.00","447,200,000.00","447,200,000.00","173,000,000.00","343,000,000.00","370,000,000.00","424,000,000.00","173,000,000.00"
支付的各项税费,"20,781,813.47","23,636,495.23","12,381,851.63","20,099,667.88","21,854,629.35","4,225,153.71","10,190,850.01","13,642,258.08","15,505,117.13","6,910,713.91","14,802,303.50","23,655,546.77","28,552,416.34","15,819,701.08","28,925,904.79","37,952,182.21","49,047,952.06","13,021,555.10","30,926,588.80","39,514,573.34","48,575,501.40","9,621,868.60","29,333,842.62","39,318,418.45","51,497,685.18","10,600,668.30","29,854,054.08","43,243,030.91","124,229,102.97","20,603,004.02","61,596,617.55","80,093,754.33","109,229,417.79","22,530,703.34","50,615,901.25","69,275,943.45","90,833,309.52","21,617,413.50"
收到其他与筹资活动有关的现金,"82,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,"113,183.63","177,440.21","100,299,847.34","100,381,146.70","383,138,643.86","48,547.95","215,465.88","1,377,366.79","1,479,632.03","98,653.60","531,253.70","1,531,166.96","24,371,043.03","208,176.72"
支付其他与经营活动有关的现金,"9,492,720.79","11,925,824.41","8,093,306.96","13,368,090.05","23,617,173.25","4,450,677.55","10,861,159.21","11,277,591.86","14,034,160.38","4,720,322.33","7,654,945.79","29,131,632.55","20,483,449.27","10,488,150.76","16,293,260.84","26,772,185.72","34,394,112.06","16,184,086.67","18,946,718.41","27,975,095.71","33,130,610.57","14,476,138.74","18,912,088.25","18,210,685.21","23,706,880.41","7,576,498.77","17,870,138.86","22,750,572.35","34,665,971.93","21,880,253.29","26,388,050.94","40,819,531.49","49,138,579.25","13,204,138.00","21,070,650.55","30,021,780.23","63,823,941.21","23,771,468.91"
筹资活动现金流入小计,"246,150,000.00","42,200,000.00","46,000,000.00","46,000,000.00","46,000,000.00","300,870,000.00","320,870,000.00","320,870,000.00","320,870,000.00",,"20,000,000.00","20,000,000.00","20,000,000.00",,,"4,000,000.00","4,300,000.00",,,,"400,000.00",,,,"113,183.63","177,440.21","100,299,847.34","168,381,146.70","990,598,643.86","173,048,547.95","302,915,465.88","448,577,366.79","449,628,632.03","173,098,653.60","343,531,253.70","371,531,166.96","448,371,043.03","173,208,176.72"
经营活动现金流出小计,"103,709,614.75","106,791,121.98","62,695,794.78","98,435,640.94","135,027,567.43","36,466,072.46","68,077,871.99","91,037,207.77","115,764,721.52","33,009,132.79","61,966,694.58","112,995,243.08","139,243,882.59","59,361,756.60","109,154,382.22","158,399,987.55","214,863,760.81","72,803,228.74","126,253,994.19","182,430,846.99","239,714,615.99","70,551,843.35","130,325,045.81","180,592,121.33","242,177,574.29","98,349,944.56","223,250,544.65","339,190,197.00","1,060,026,186.01","317,842,246.23","561,952,496.75","798,235,840.58","968,698,714.86","240,208,562.29","457,157,115.62","662,582,403.07","898,743,168.60","227,728,701.82"
偿还债务支付的现金,"294,900,000.00","43,600,000.00","35,200,000.00","35,200,000.00","38,700,000.00","9,500,000.00","49,500,000.00","49,500,000.00","49,500,000.00",,"20,000,000.00","20,000,000.00","20,000,000.00",,"20,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,,,,"199,152,500.00","40,000,000.00","80,700,000.00","194,000,000.00","222,500,000.00","173,000,000.00","359,200,000.00","475,700,000.00","554,200,000.00","173,000,000.00"
经营活动产生的现金流量净额,"81,243,591.58","60,857,416.24","39,385,707.65","63,849,862.19","89,108,072.62","33,390,902.94","61,631,526.29","100,132,962.88","130,340,514.00","33,230,293.02","64,351,873.42","82,615,885.97","134,621,993.78","50,852,418.92","105,242,718.23","152,972,380.51","208,495,776.49","71,746,039.89","103,091,447.17","166,720,698.68","207,773,108.95","52,347,054.22","95,212,755.46","176,450,168.15","191,899,526.62","100,881,781.45","109,824,841.89","148,946,636.20","296,749,728.63","60,864,854.03","111,259,536.72","187,574,628.29","237,576,836.83","59,254,082.18","98,045,033.47","164,014,157.91","209,553,796.03","43,845,598.42"
分配股利、利润或偿还利息支付的现金,"8,025,263.91","21,718,471.51","5,876,798.07","6,624,754.49","7,326,526.97","1,697,100.07","10,270,040.57","10,544,154.57","11,996,984.21","295,158.47","12,377,410.72","12,796,326.03","13,595,005.17","1,734,926.67","33,306,960.37","33,306,960.37","34,686,564.86","926,200.00","41,886,520.14","41,974,355.69","42,041,140.39","11,784,000.00","21,722,064.02","21,722,064.02","21,722,064.02",,"25,686,756.32","25,686,756.32","119,635,482.30","18,829,686.92","86,444,110.10","95,953,971.11","109,650,459.77","10,472,561.92","75,108,507.45","83,875,839.19","91,803,501.11","7,991,143.60"
收回投资收到的现金,"12,000.00","15,873,283.43",,,,,,,,,,,,,,,"75,600,000.00",,,"151,293,750.00","150,000,000.00","153,412,500.00","300,000,000.00","400,000,000.00","470,000,000.00",,"155,000,000.00","485,000,000.00","594,378,023.36","12,900,001.00","12,900,001.00","71,855,506.25","87,642,396.25",,"250,000.00","250,000.00","15,312,700.00",
支付其他与筹资活动有关的现金,,,"376,000.00","402,712.75","3,283,865.51","6,113,935.67","7,475,521.53","7,549,975.76","7,511,382.11","28,725.65",,,,,,,,,"67,191.85","67,191.85",,"35,352.00","33,647.75","45,455.34","50,017.04","2,282.74","544,668.35","564,724.04","79,914,427.56","25,154,498.68","57,705,729.07","128,533,619.59","140,516,107.11","1,332,807.40","1,868,341.50","2,108,718.36","16,874,709.98","576,963.59"
取得投资收益收到的现金,143.00,,,,,,,,,,,,,"275,000.00","275,000.00","275,000.00","275,000.00",,"100,000.00","100,000.00","1,493,750.00","602,895.87","4,579,145.87","8,279,701.43","9,143,578.14","2,290,393.28","8,800,393.28","9,858,393.28","35,406,895.67","13,916,538.78","25,125,130.26","35,565,502.83","27,653,548.17","9,377,000.00","32,196,649.08","32,784,649.08","32,935,885.21","10,547,000.00"
筹资活动现金流出小计,"302,925,263.91","65,318,471.51","41,452,798.07","42,227,467.24","49,310,392.48","17,311,035.74","67,245,562.10","67,594,130.33","69,008,366.32","323,884.12","32,377,410.72","32,796,326.03","33,595,005.17","1,734,926.67","53,306,960.37","53,306,960.37","54,686,564.86","926,200.00","41,953,711.99","42,041,547.54","42,041,140.39","11,819,352.00","21,755,711.77","21,767,519.36","21,772,081.06","2,282.74","26,231,424.67","26,251,480.36","398,702,409.86","83,984,185.60","224,849,839.17","418,487,590.70","472,666,566.88","184,805,369.32","436,176,848.95","561,684,557.55","662,878,211.09","181,568,107.19"
处置固定资产、无形资产和其他长期资产收回的现金净额,"11,075,912.27","557,993.98","1,774,056.75","5,800,083.30","6,603,242.92","98,250.00","299,449.60","3,547,800.79","4,138,575.97","4,950,912.00","3,972,310.35","3,696,197.88","4,025,261.14","-38,600.00","18,642,174.32","20,722,468.53","18,967,853.48","290,355.79","1,364,231.19","1,450,870.07","3,337,310.26","17,218.59","23,740.59","37,386.74","5,643,342.10","14,960.00","195,442.70","355,314.76","12,871,385.60","21,677,289.36","25,534,839.35","62,253,011.83","63,356,815.16","126,681.40","25,662,128.03","40,087,629.90","49,231,257.38","3,079,063.17"
筹资活动产生的现金流量净额,"-56,775,263.91","-23,118,471.51","4,547,201.93","3,772,532.76","-3,310,392.48","283,558,964.26","253,624,437.90","253,275,869.67","251,861,633.68","-323,884.12","-12,377,410.72","-12,796,326.03","-13,595,005.17","-1,734,926.67","-53,306,960.37","-49,306,960.37","-50,386,564.86","-926,200.00","-41,953,711.99","-42,041,547.54","-41,641,140.39","-11,819,352.00","-21,755,711.77","-21,767,519.36","-21,658,897.43","175,157.47","74,068,422.67","142,129,666.34","591,896,234.00","89,064,362.35","78,065,626.71","30,089,776.09","-23,037,934.85","-11,706,715.72","-92,645,595.25","-190,153,390.59","-214,507,168.06","-8,359,930.47"
处置子公司及其他营业单位收到的现金净额,,"992,451.67",,,,,,,,,,,"25,102,035.02",,"4,200,000.00","4,797,500.00","4,800,000.00",,,,,,,,,,,,,,"681,000.00","700,026.35","1,334,574.87",,,"376,180.00",1.00,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,"2,100,000.00","2,276,500.00","2,440,000.00","700,000.00","700,000.00","700,000.00","13,395,000.00",,"459,760.00","459,760.00",,,,,,,,,"2,380,000.00",,,,"12,000,000.00","800,000.00","11,800,000.00","19,000,000.00","29,800,000.00",,"4,000,000.00","8,800,000.00","17,239,553.02","746,942.24","2,117,982.50","4,244,977.32","6,155,757.25","1,493,914.98"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"11,088,055.27","17,423,729.08","3,874,056.75","8,076,583.30","9,043,242.92","798,250.00","999,449.60","4,247,800.79","17,533,575.97","4,950,912.00","4,432,070.35","4,155,957.88","29,127,296.16","236,400.00","23,117,174.32","25,794,968.53","99,642,853.48","290,355.79","1,464,231.19","152,844,620.07","157,211,060.26","154,032,614.46","304,602,886.46","408,317,088.17","496,786,920.24","3,105,353.28","175,795,835.98","514,213,708.04","672,456,304.63","48,493,829.14","68,240,970.61","179,174,047.26","197,226,887.47","10,250,623.64","60,226,759.61","77,743,436.30","103,635,600.84","15,119,978.15"
