科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"655,857,486.39","746,518,668.78","672,840,455.93",,"274,568,037.21",,"725,021,373.95","56,205,387.79","217,748,128.02","318,996,318.56","654,533,646.98","107,615,279.31","266,539,596.30","336,314,424.66","617,896,378.87","70,049,987.82","241,490,604.52"
取得子公司及其他营业单位支付的现金净额,"67,468,722.83",,,,,,,,,,,,,,,,
收到的税费返还,"9,408,039.30","13,637,296.19","11,745,597.65",,,,"18,101,959.17",,,,"9,710,644.90",,,,"8,776,221.59",,"269,625.65"
支付其他与投资活动有关的现金,"33,000,000.00","52,213,392.65","426,738.97",,,,"39,154.39",,,,,,,,,,
收到其他与经营活动有关的现金,"53,981,957.53","40,623,871.10","44,943,291.00",,"17,234,723.95",,"33,934,089.85","8,408,026.43","15,274,038.81","34,362,923.68","49,161,909.21","10,956,596.72","13,411,536.15","25,053,993.63","28,177,494.74","8,344,679.50","18,680,173.16"
投资活动现金流出小计,"174,433,344.02","335,025,878.69","90,125,863.57",,"39,803,364.05",,"65,454,474.14","4,632,846.98","355,666,333.98","356,615,247.82","767,292,104.19","72,284,121.57","584,578,398.02","686,126,741.87","998,189,744.38","309,010,321.83","521,200,930.26"
经营活动现金流入小计,"719,247,483.22","800,779,836.07","729,529,344.58",,"291,802,761.16",,"777,057,422.97","64,613,414.22","233,022,166.83","353,359,242.24","713,406,201.09","118,571,876.03","279,951,132.45","361,368,418.29","654,850,095.20","78,394,667.32","260,440,403.33"
投资活动产生的现金流量净额,"-174,054,172.89","-54,338,749.57","33,337,306.51","-37,778,700.00","-39,241,293.64","-59,259,000.00","-63,590,764.04","5,576,248.91","-345,396,569.08","-346,345,482.92","-440,283,898.71","28,941,357.88","-255,424,675.83","-255,903,036.74","-264,276,089.90","-106,358,321.83","186,854,310.58"
购买商品、接受劳务支付的现金,"445,054,031.49","488,837,821.98","464,140,865.91",,"261,490,028.15",,"502,229,218.21","43,493,358.19","132,696,456.84","258,797,232.05","411,343,385.86","67,363,609.40","190,499,090.97","337,819,647.11","448,836,397.83","69,700,234.05","195,112,997.60"
吸收投资收到的现金,"27,400,000.00",,,,"42,000,000.00",,"559,200,000.00",,,,,,,,"1,411,800.00",,
支付给职工以及为职工支付的现金,"63,272,740.16","75,253,958.81","77,625,624.97",,"47,346,317.12",,"83,361,559.32","30,205,921.69","49,414,534.87","65,438,727.66","83,119,700.09","36,302,199.57","51,334,391.21","68,626,002.80","87,029,249.50","36,327,388.27","56,687,151.11"
取得借款收到的现金,"10,000,000.00","70,000,000.00",,,,,"10,000,000.00",,,"10,000,000.00","10,000,000.00",,,,"10,000,000.00",,
支付的各项税费,"25,203,952.08","35,479,760.49","30,132,325.55",,"11,592,903.42",,"22,044,096.05","9,109,275.79","12,191,907.50","21,398,210.70","26,521,480.18","10,107,356.26","12,852,995.80","19,474,992.90","21,080,111.00","1,310,979.74","8,335,609.93"
收到其他与筹资活动有关的现金,"3,357,425.29",,,,,,,,,,,,,,"20,000,000.00",,
支付其他与经营活动有关的现金,"36,910,752.11","30,205,518.99","38,852,890.65",,"20,227,328.81",,"42,091,964.16","9,127,628.79","20,839,770.04","33,941,266.40","41,982,559.09","10,490,049.43","27,772,710.83","42,469,221.96","48,025,575.03","13,002,291.50","28,674,031.33"
筹资活动现金流入小计,"40,757,425.29","70,000,000.00",,,"42,000,000.00",,"569,200,000.00",,,"10,000,000.00","10,000,000.00",,,,"31,411,800.00",,
经营活动现金流出小计,"570,441,475.84","629,777,060.27","610,751,707.08",,"340,656,577.50",,"649,726,837.74","91,936,184.46","215,142,669.25","379,575,436.81","562,967,125.22","124,263,214.66","282,459,188.81","468,389,864.77","604,971,333.36","120,340,893.56","288,809,789.97"
偿还债务支付的现金,,"3,000,000.00","3,000,000.00",,"3,000,000.00",,"6,000,000.00",,"3,000,000.00","78,000,000.00","78,000,000.00",,,,"10,000,000.00",,
经营活动产生的现金流量净额,"148,806,007.38","171,002,775.80","118,777,637.50","-42,961,200.00","-48,853,816.34","-26,936,400.00","127,330,585.23","-27,322,770.24","17,879,497.58","-26,216,194.57","150,439,075.87","-5,691,338.63","-2,508,056.36","-107,021,446.48","49,878,761.84","-41,946,226.24","-28,369,386.64"
分配股利、利润或偿还利息支付的现金,"30,000,000.00","29,328,525.00","40,566,978.77",,"1,986,382.50",,"3,866,008.89","758,030.00","32,836,574.44","33,232,841.10","33,537,882.86","108,749.99","12,362,619.45","29,151,220.82","29,410,045.83","142,679.30","23,347,883.35"
收回投资收到的现金,,"237,000,000.00","61,000,000.00",,,,,"10,000,000.00","10,000,000.00","10,000,000.00","310,000,000.00","100,000,000.00","320,000,000.00","420,000,000.00","720,000,000.00","200,000,000.00","700,000,000.00"
支付其他与筹资活动有关的现金,"50,100,000.00","4,120,000.00","300,000.00",,"300,000.00",,"5,989,675.20","1,750,000.00","1,750,000.00","1,750,000.00","2,200,000.00",,,,"20,000,000.00",,
取得投资收益收到的现金,"379,171.13","1,877,029.12","2,284,666.75",,"561,890.41",,"1,863,530.10","209,095.89","269,764.90","269,764.90","4,803,205.48","1,225,479.45","4,033,082.19","5,083,776.63","8,721,835.98","2,220,000.00","7,621,400.84"
筹资活动现金流出小计,"80,100,000.00","36,448,525.00","43,866,978.77",,"5,286,382.50",,"15,855,684.09","2,508,030.00","37,586,574.44","112,982,841.10","113,737,882.86","108,749.99","12,362,619.45","29,151,220.82","59,410,045.83","142,679.30","23,347,883.35"
处置固定资产、无形资产和其他长期资产收回的现金净额,,100.00,170.00,,180.00,,180.00,,,,,,"1,340.00","20,628.50","72,518.50",,"1,840.00"
筹资活动产生的现金流量净额,"-39,342,574.71","33,551,475.00","-43,866,978.77","16,985,300.00","36,713,617.50","45,840,200.00","553,344,315.91","-2,508,030.00","-37,586,574.44","-102,982,841.10","-103,737,882.86","-108,749.99","-12,362,619.45","-29,151,220.82","-27,998,245.83","-142,679.30","-23,347,883.35"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,"432,000.00","432,000.00"
