科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"999,147,352.86","930,684,042.86","1,044,549,618.22","87,268,347.84","261,535,569.97","477,137,461.20","968,652,701.64","85,482,380.48","293,543,857.65","534,619,148.16","1,022,327,211.30","166,846,316.92","460,744,823.63","803,969,854.24","1,359,037,982.98","246,682,267.32","541,084,991.47"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"132,951,193.39",,"169,199,602.72","169,199,602.72","161,699,602.72",,"119,231,514.72"
收到的税费返还,"229,722.62","205,305.95","94,967.75",,"219,941.19","248,608.40","377,618.83","183,727.35","183,727.35","183,727.35","230,927.30",,"2,555,450.78","2,699,056.75","385,116.73","29,937.53","29,937.53"
支付其他与投资活动有关的现金,,,,13.07,13.07,13.07,,,,,"69,000,000.00",,,,,,
收到其他与经营活动有关的现金,"27,372,136.12","25,234,336.94","28,966,975.87","27,450,332.66","9,410,934.00","14,066,016.78","21,395,600.74","4,150,610.61","8,708,174.14","12,911,027.25","25,352,869.90","3,819,570.46","9,467,091.44","32,327,109.75","27,493,720.83","29,943,964.22","43,981,084.39"
投资活动现金流出小计,"5,987,729.53","4,938,209.00","6,892,914.50","1,510,254.37","3,298,035.37","26,961,058.97","100,392,945.61","22,616,697.71","49,998,854.67","175,200,154.68","310,528,787.33","9,596,814.78","185,291,507.92","194,074,159.91","204,236,132.46","5,535,945.33","129,960,360.77"
经营活动现金流入小计,"1,026,749,211.60","956,123,685.75","1,073,611,561.84","114,718,680.50","271,166,445.16","491,452,086.38","990,425,921.21","89,816,718.44","302,435,759.14","547,713,902.76","1,047,911,008.50","170,665,887.38","472,767,365.85","838,996,020.74","1,386,916,820.54","276,656,169.07","585,096,013.39"
投资活动产生的现金流量净额,"-5,928,028.69","-4,772,183.64","-6,889,813.97","-1,510,254.37","-3,298,035.37","-26,961,058.97","-100,189,758.68","-22,616,697.71","-49,885,955.63","-175,087,255.64","-310,415,488.29","59,786,457.22","-115,562,839.44","-124,345,060.84","-132,751,871.30","-3,656,383.99","-114,004,552.60"
购买商品、接受劳务支付的现金,"650,238,486.15","614,272,275.07","647,964,037.14","99,761,847.35","184,085,402.28","377,579,119.56","537,945,148.15","54,341,624.87","173,591,277.36","366,477,966.77","526,090,569.44","157,252,416.72","357,102,970.53","576,081,125.91","815,245,504.71","190,434,496.99","362,791,259.70"
吸收投资收到的现金,,,,,"336,441,642.00","336,441,642.00","336,441,642.00","33,424,000.00","33,424,000.00","33,424,000.00","103,149,350.65",,"6,230,000.00","8,730,000.00","18,650,000.00","50,000.00","4,238,000.00"
支付给职工以及为职工支付的现金,"222,232,935.65","265,414,735.74","303,867,864.57","70,981,539.56","156,047,079.88","221,614,327.75","334,275,002.97","74,419,634.12","164,973,459.09","250,863,774.04","363,281,971.68","133,397,276.91","263,132,657.14","393,040,207.24","520,273,602.80","133,657,587.88","269,468,468.57"
取得借款收到的现金,"120,000,000.00","175,000,000.00","150,590,000.00","30,000,000.00","50,000,000.00","70,000,000.00","70,000,000.00",,,"56,400,000.00","88,926,000.00","30,000,000.00","76,242,872.00","160,128,629.00","186,995,299.00","10,000,000.00","241,844,451.00"
支付的各项税费,"23,940,793.38","38,077,204.97","25,976,957.18","14,603,008.28","20,054,790.96","24,100,531.42","26,794,533.14","9,307,129.91","11,170,854.01","15,777,746.85","27,071,828.62","13,140,650.44","16,370,778.01","21,983,498.01","27,037,904.52","10,241,321.41","26,188,781.78"
收到其他与筹资活动有关的现金,,,,,"12,000,000.00","12,000,000.00","12,000,000.00",,,,,,"148,000,000.00","148,000,000.00","148,000,000.00",,"5,400,000.00"
支付其他与经营活动有关的现金,"58,509,414.03","74,222,511.60","56,267,499.02","39,150,589.93","20,351,641.08","40,693,730.19","60,732,390.75","14,178,826.32","31,187,636.76","52,279,277.11","78,536,413.18","22,045,350.62","45,698,016.67","72,891,345.33","104,807,757.71","23,774,796.45","43,742,222.31"
筹资活动现金流入小计,"120,000,000.00","175,000,000.00","150,590,000.00","30,000,000.00","398,441,642.00","418,441,642.00","418,441,642.00","33,424,000.00","33,424,000.00","89,824,000.00","192,075,350.65","30,000,000.00","230,472,872.00","316,858,629.00","353,645,299.00","10,050,000.00","251,482,451.00"
经营活动现金流出小计,"954,921,629.21","991,986,727.38","1,034,076,357.91","224,496,985.12","380,538,914.20","663,987,708.92","959,747,075.01","152,247,215.22","380,923,227.22","685,398,764.77","994,980,782.92","325,835,694.69","682,304,422.35","1,063,996,176.49","1,467,364,769.74","358,108,202.73","702,190,732.36"
