科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"579,529,596.40","553,556,376.85","391,381,268.34","456,943,285.66","587,280,712.31","35,132,460.67","66,180,396.51","110,132,827.30","661,631,837.64","40,032,924.92","60,606,772.45","83,603,346.49","1,017,944,667.88","60,329,456.42","92,420,632.93","125,936,168.68","2,208,993,164.06","192,889,589.47","688,531,503.77","987,103,217.54","1,655,401,763.90","343,149,713.25","577,457,294.58","680,973,285.83","2,647,233,520.86","359,260,536.64","604,765,306.42","947,044,385.69","3,050,881,882.71","313,362,286.28","1,371,830,611.96","1,779,149,528.38","2,899,068,588.72","382,901,933.74","756,754,626.13","1,583,030,871.56","3,166,120,490.01","300,550,443.15"
二、营业利润,"231,321,384.38","219,014,558.31","92,765,098.86","110,650,799.79","187,472,793.99","4,884,678.36","8,989,839.44","13,472,911.88","258,663,229.21","8,207,742.60","9,140,277.82","8,234,390.92","412,574,989.77","16,520,648.08","21,320,938.53","24,181,104.33","606,441,293.79","31,226,515.00","179,565,516.47","251,821,007.14","656,657,638.07","93,513,216.46","180,133,511.74","206,716,883.98","700,464,459.90","57,695,463.31","-92,422,497.58","-84,875,970.91","192,749,477.62","21,058,746.57","32,759,780.36","41,036,365.95","121,865,657.77","735,172.69","3,215,899.46","16,242,254.03","186,685,470.56","52,655,049.81"
减:营业成本,"263,619,192.90","236,911,646.28","259,119,070.01","292,797,918.74","330,576,634.34","19,612,228.23","33,484,281.19","54,759,500.59","257,601,283.43","14,444,661.88","22,615,240.34","31,930,447.84","400,254,837.69","16,461,173.23","27,062,185.33","39,243,316.35","1,192,154,222.92","126,660,898.64","372,600,013.19","553,623,154.80","859,819,595.84","187,873,966.29","273,920,642.04","302,219,296.56","1,493,180,908.81","192,921,680.53","332,341,267.54","561,527,440.93","2,077,935,244.73","202,519,762.06","1,129,406,620.96","1,415,281,263.60","2,148,678,952.55","319,373,472.67","608,188,994.33","1,349,570,331.84","2,652,704,727.08","219,820,299.73"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"54,584,790.34","49,662,270.29","17,051,796.68","23,555,456.47","32,905,895.68","3,199,536.87","11,501,624.28","21,465,015.23","102,402,435.59","6,852,415.64","11,675,187.45","15,590,322.53","136,167,601.28","12,462,623.89","16,064,170.27","20,503,506.30","298,337,416.63","13,590,207.47","90,069,634.02","115,365,509.90","214,012,893.25","24,607,155.42","46,102,300.22","63,485,140.41","337,497,234.47","60,477,390.64","278,007,665.70","348,625,467.22","665,398,561.38","50,013,474.64","125,425,344.13","160,724,761.15","285,966,211.03","23,050,162.27","63,149,393.32","103,685,626.30","301,569,761.87","17,691,522.46"
营业外收入,"5,642,893.51","584,510.31","55,578.12","28,497,950.20","31,786,686.76","51,600.32","82,565.82","258,589.60","1,521,991.85","17,518.18","35,928.33","3,439,235.13","3,699,630.51","63,797.85","142,707.98","173,050.64","1,630,552.19","46,990.72","137,583.87","391,877.79","1,231,142.38","110,115.29","291,735.38","362,033.96","1,118,388.34","84,721.11","103,398.73","475,819.67","1,012,634.10","148,686.16","1,017,737.17","1,416,589.43","1,638,490.59","254,611.10","588,383.70","1,567,549.31","2,118,929.11","902,663.11"
销售费用,"26,737,681.10","21,498,347.77","8,636,552.45","10,236,963.17","12,380,303.98","911,273.10","3,147,508.30","5,577,305.55","14,774,022.37","3,357,494.14","6,338,452.21","10,809,765.70","30,786,667.69","8,032,888.93","13,769,681.13","19,721,292.14","56,602,149.13","9,720,256.75","20,286,620.05","33,257,876.15","61,754,530.82","16,829,096.58","39,796,279.18","59,337,019.14","69,965,567.80","33,303,056.31","56,847,685.37","75,500,599.19","137,528,675.27","39,617,323.58","68,940,893.90","137,164,043.53","236,542,078.52","23,491,623.14","58,926,345.55","84,142,214.82","160,527,072.08","16,900,772.87"
减:营业外支出,"760,724.21","2,596,450.46","375,253.00","675,920.32","977,364.97","105,594.00","219,748.00","509,031.00","500,534.00","4,000.00","175,000.00","349,936.30","524,941.77","150,000.00","634,498.75","786,866.75","934,805.12","202,724.98","253,309.34","471,066.87","781,717.24","39,596.00","58,797.87","1,066,909.42","775,291.49","70,000.00","75,075.00","102,794.01","124,274.10","167,176.00","192,176.00","192,126.00","270,395.41",,,"100,000.00","171,662.05","1,000.00"
管理费用,"3,999,598.40","23,003,714.27","11,944,010.56","18,178,792.18","25,679,982.72","7,279,093.67","13,638,353.14","20,796,899.52","29,055,302.19","8,507,657.75","16,934,608.03","23,355,629.52","44,904,474.58","8,155,095.15","19,494,971.60","30,053,646.87","58,352,557.15","15,075,539.99","24,324,802.39","32,508,512.13","62,835,043.41","24,642,030.95","38,497,613.26","50,156,399.77","69,919,831.62","18,141,897.16","42,748,024.48","57,313,940.37","76,286,876.34","20,829,731.34","32,910,800.85","44,354,446.83","59,622,117.66","6,826,894.63","19,259,168.62","29,345,451.65","49,643,616.89","10,347,730.63"
其中:非流动资产处置净损失,"50,377.42","38,938.31",,,"2,010.12",,,,,,,,,,"6,003.19","6,003.19","28,543.49",,,,,,,,,,,,,,,,,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-395,979.61","-69,444.99","107,185.94","-232,262.33","-2,402,037.10","-471,598.39","-3,168,849.37","-4,832,621.18","-6,378,040.78","-1,160,801.10","-6,601,537.45","-8,264,468.16","-7,702,961.45","-1,214,168.40","-2,104,332.28","-5,050,502.11","-10,465,948.81","-1,254,693.56","-2,096,029.11","-5,578,251.44","-3,601,646.28","-2,763,988.47","-4,348,944.41","-6,691,339.31","-640,677.67","-1,478,466.58","-1,670,763.89","-2,732,128.83","-9,322,102.85","-12,858,598.37","-14,525,295.54","-14,290,996.44","46,918,765.31","7,552,225.98","8,573,688.69","4,107,310.10","1,486,569.07","-13,609,888.98"
三、利润总额,"236,203,553.68","217,002,618.16","92,445,423.98","138,472,829.67","218,282,115.78","4,830,684.68","8,852,657.26","13,222,470.48","259,684,687.06","8,221,260.78","9,001,206.15","11,323,689.75","415,749,678.51","16,434,445.93","20,829,147.76","23,567,288.22","607,137,040.86","31,070,780.74","179,449,791.00","251,741,818.06","657,107,063.21","93,583,735.75","180,366,449.25","206,012,008.52","700,807,556.75","57,710,184.42","-92,394,173.85","-84,502,945.25","193,637,837.62","21,040,256.73","33,585,341.53","42,260,829.38","123,233,752.95","989,783.79","3,804,283.16","17,709,803.34","188,632,737.62","53,556,712.92"
资产减值损失,"-337,071.11","3,721,991.32","1,757,553.84","1,755,617.64","667,138.70","-282,751.17","-1,412,360.47","-1,106,184.29","5,513,605.63","-176,245.99","504,544.05","1,947,258.14","1,701,905.41","-632,544.01","-4,048,203.41","-4,289,222.89","5,470,312.95","-3,222,475.58","2,215,699.05","3,789,345.68","2,438,197.56","-3,429,086.00","-662,776.19","811,572.42","14,915,216.75","-1,958,409.35","-9,101,847.14","-5,094,145.45","7,088,180.35","-5,209,757.99","-1,494,928.01","-2,072,633.13","-237,454.37","-4,162,043.28","-13,044,829.44","-21,237,083.69","-17,316,709.32","-5,528,286.16"
减:所得税,"69,770,454.59","56,056,408.13","20,578,619.90","32,266,148.89","52,102,112.65","1,358,832.28","2,523,871.66","6,258,865.12","67,300,910.01","2,219,469.94","2,566,899.74","3,893,442.03","121,788,204.92","6,017,841.77","9,473,244.36","11,449,257.25","161,633,275.26","11,027,350.66","62,840,314.70","78,436,653.49","116,884,667.68","31,338,257.65","63,849,796.92","67,023,634.03","210,253,438.75","19,624,495.13","29,006,691.03","33,162,085.56","109,874,073.55","9,791,857.60","9,489,698.80","8,681,995.26","83,290,026.42","872,890.45","3,442,342.23","5,601,603.79","113,279,527.38","12,232,507.17"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,"933,431.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,"186,706.40",,,,,,,,,,,"742,847.09","-543,739.55","-861,221.76","-1,573,027.69","-2,101,160.30","-1,093,340.76","-1,565,247.71","-2,316,063.18","198,514,488.77","-1,877,322.02","-4,018,668.74","-4,938,312.86","38,069,020.82","-157,924.62","1,984,228.06","3,220,816.83","96,783,030.13","2,608,395.55","1,592,604.69","3,047,723.11","287,739.75","-6,034,425.64","-8,485,965.60","-17,174,766.51","169,180,018.22","-2,273,242.79"
四、净利润,"167,366,530.58","160,946,210.03","71,866,804.08","106,206,680.78","166,180,003.13","3,471,852.40","6,328,785.60","6,963,605.36","192,383,777.05","6,001,790.84","6,434,306.41","7,430,247.72","293,961,473.59","10,416,604.16","11,355,903.40","12,118,030.97","445,503,765.60","20,043,430.08","116,609,476.30","173,305,164.57","540,222,395.53","62,245,478.10","116,516,652.33","138,988,374.49","490,554,118.00","38,085,689.29","-121,400,864.88","-117,665,030.81","83,763,764.07","11,248,399.13","24,095,642.73","33,578,834.12","39,943,726.53","116,893.34","361,940.93","12,108,199.55","75,353,210.24","41,324,205.75"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,"-653,493.10","-543,739.55","-861,221.76","-1,573,027.69","-2,101,160.30","-1,093,340.76",,"-2,316,063.18","-4,774,440.45","-1,877,322.02","-4,018,668.74","-4,938,312.86","-6,179,951.37","-157,924.62","1,984,228.06","3,220,816.83","4,786,873.19","2,608,395.55","1,592,604.69","3,047,723.11","287,739.75","-6,034,425.64","-8,485,965.60","-17,174,766.51","-31,143,649.56","-2,273,242.79"
