科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"410,636,034.66","575,427,363.13","136,973,150.41","599,180,893.14","138,103,472.71","315,121,934.12","462,331,944.16","587,825,202.22","195,640,636.28","427,882,039.09","606,097,876.49","737,000,837.96","171,030,975.71","369,033,538.13","516,448,408.66","605,935,096.32","122,574,232.72","300,100,350.74","483,359,080.71","703,666,588.28","156,506,791.79","367,979,189.74","575,154,432.24","856,701,777.78","206,171,986.05","442,939,791.12","679,329,407.09","902,525,213.01","232,714,251.03","482,561,320.10","697,772,150.89","946,065,765.65","252,266,370.60","634,837,447.35","1,075,943,431.27"
二、营业利润,"27,576,748.81","47,792,989.30","14,610,524.41","66,692,576.87","17,765,882.00","41,034,638.14","55,482,117.05","47,968,143.71","23,877,827.56","57,039,066.48","73,757,317.97","68,490,574.61","12,627,008.74","29,486,400.35","26,704,306.00","-23,534,379.31","-17,708,618.30","-19,736,363.41","-18,667,439.48","-6,426,567.41","2,929,496.21","5,865,791.21","9,654,251.18","14,807,824.38","11,571,644.85","24,202,161.03","33,314,696.61","34,676,679.01","21,907,284.43","33,962,757.52","50,255,648.81","44,973,983.87","23,194,032.30","78,427,672.23","111,153,700.72"
减:营业成本,"328,911,524.81","458,583,213.41","106,389,986.67","457,195,468.58","99,967,747.74","232,702,265.86","343,051,252.44","446,969,014.18","149,420,555.12","318,851,150.05","450,571,459.10","560,256,030.30","134,015,426.72","279,106,344.21","397,026,044.38","491,713,311.46","110,237,785.37","258,296,726.09","404,804,995.53","574,497,313.44","122,884,665.59","291,040,714.34","452,130,038.03","665,044,594.88","155,403,057.16","331,209,578.73","514,024,891.18","664,661,253.99","160,995,507.56","341,075,889.37","489,865,602.05","680,122,258.40","182,205,575.83","453,641,189.58","803,105,335.69"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,479,173.32","3,268,050.10","1,372,722.64","4,226,890.48","1,340,023.36","2,341,130.91","2,926,644.18","3,407,697.88","1,310,536.88","2,942,924.82","4,221,861.38","4,592,903.99","405,170.27","1,448,243.31","1,944,201.15","2,203,339.89","210,911.76","499,657.81","1,305,989.07","2,393,784.13","614,349.23","1,890,838.00","2,214,153.78","3,044,378.68","995,003.81","2,136,261.43","3,785,363.44","5,582,151.61","2,865,382.42","5,253,343.91","7,188,980.54","10,568,875.59","1,783,628.16","3,566,616.16","9,637,742.72"
营业外收入,"1,116,502.78","2,849,250.52","5,180,325.06","14,255,055.00","311,982.91","311,982.91","496,782.91","27,284,181.95",216.55,"278,583.50","375,844.50","4,375,562.81","1,351,720.00","1,418,005.00","1,588,556.00","3,013,242.60","365,702.03","1,442,293.33","3,100,803.33","9,739,093.43","715,833.69","1,080,452.35","1,250,912.35","2,961,676.17","701,920.16","1,398,980.16","3,109,604.49","5,914,310.85","979,531.00","2,950,767.00","4,420,445.56","11,053,774.86","645,123.69","1,096,041.01","1,804,077.19"
销售费用,"27,529,056.35","32,859,262.57","5,118,265.91","33,100,829.65","8,507,244.11","17,175,692.50","27,860,931.91","37,652,117.31","8,931,932.48","17,150,951.90","28,342,259.83","35,518,873.66","8,126,882.44","16,037,295.67","26,517,836.95","41,871,456.76","9,245,467.84","18,931,598.30","28,468,519.25","40,921,620.80","8,434,884.68","18,641,795.23","32,491,811.56","50,344,922.66","9,001,104.65","17,704,794.12","30,266,016.76","47,444,470.07","8,731,207.46","18,354,385.77","27,899,669.39","45,518,116.97","7,562,817.82","16,043,396.99","28,742,031.52"
减:营业外支出,"578,699.55","912,796.85",,"6,420,313.48","35,839.49","35,839.49","35,839.49","10,396,719.89","13,734.70","406,085.74","408,158.95","860,690.10","67,918.58","285,691.16","305,920.73","336,259.88","1,860.00","11,630.95","134,161.67","224,088.10","134,733.09","157,575.22","226,199.15","270,139.73","128,912.48","563,614.78","569,175.42","563,775.42","40,718.05","55,616.89","2,286,771.67","2,303,663.32","195,533.56","423,237.50","405,951.44"
管理费用,"19,019,837.90","23,543,470.46","5,376,668.17","26,718,576.29","7,723,709.63","16,045,128.88","25,261,952.04","44,925,165.21","11,010,511.85","23,745,330.05","39,739,443.17","55,721,552.77","13,566,210.46","32,288,835.13","49,728,897.35","66,971,212.64","15,879,968.59","33,340,649.34","54,545,944.51","68,055,088.24","15,654,025.32","35,904,388.32","57,447,348.69","81,054,310.68","18,792,806.54","46,983,736.07","68,858,154.75","96,467,241.23","23,861,519.18","52,199,998.78","77,876,576.64","96,657,480.77","22,157,274.04","51,131,024.55","77,525,791.52"
其中:非流动资产处置净损失,,,,,,,,,,,,"411,536.56",,"255,336.87",,"275,164.74",,"9,470.95",,"15,202.68",,"134,733.09","138,542.09","176,755.09",,"498,087.18","498,087.18","498,087.18",,"33,721.05","1,975,166.67","1,977,419.10",,"13,422.96","39,726.64"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
