科目,2011年度,2012年度,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"3,302,487,188.50","3,533,460,282.70","3,585,272,216.24","2,166,181,803.27","4,353,330,286.78","1,053,247,704.19","2,113,605,148.29","3,195,506,822.32","4,029,261,578.80","1,052,482,439.90","2,165,799,222.17","3,488,281,182.76","4,889,385,103.39","1,747,176,309.12","3,788,477,669.34","6,145,961,356.59"
二、营业利润,"191,612,971.54","185,854,953.42","168,713,678.48","83,003,240.18","209,552,486.57","16,406,439.32","7,796,998.68","-36,908,340.15","-324,984,350.88","-33,942,743.61","-55,290,597.00","-5,363,827.62","75,878,062.43","338,081,894.62","839,718,377.28","1,344,495,459.08"
减:营业成本,"2,757,856,168.25","2,940,679,855.18","2,978,840,709.55","1,791,290,361.33","3,609,255,169.79","871,863,287.17","1,752,008,424.08","2,689,800,205.16","3,584,099,346.57","936,087,399.41","1,871,879,913.06","3,013,826,208.59","4,091,582,594.32","1,204,703,684.55","2,537,241,962.55","4,102,622,155.79"
加:补贴收入,,,,,,,,,,,,,,,,
营业税金及附加,"29,067,946.93","32,997,289.83","36,417,778.96","24,674,703.70","53,834,240.65","13,931,001.87","23,062,063.16","34,682,591.67","46,075,081.70","7,071,888.67","14,150,063.24","20,845,597.72","40,007,474.68","15,704,758.48","35,795,603.18","57,063,037.58"
营业外收入,"18,794,471.79","13,065,498.48","7,080,546.03","1,670,661.78","13,499,230.75","8,421,924.85","13,540,339.55","16,660,710.19","27,150,558.69","2,001,135.68","5,446,974.14","8,436,951.77","16,671,398.89","3,525,440.15","9,781,655.40","13,645,120.38"
销售费用,"67,255,013.93","75,242,104.84","73,953,969.81","43,586,598.74","86,528,119.15","18,001,574.76","36,194,101.80","45,706,153.69","66,582,948.80","10,715,531.49","21,601,974.80","41,355,287.18","63,626,317.82","19,990,533.98","41,424,811.17","56,136,357.45"
减:营业外支出,"5,527,569.51","2,301,180.87","4,118,034.72","4,340,328.29","6,915,749.87","1,069,675.68","2,386,649.48","4,059,197.04","5,132,389.77","1,198,232.00","3,546,162.44","4,895,769.27","6,375,605.79","1,964,334.75","7,992,167.62","40,871,766.87"
管理费用,"180,977,111.52","201,223,970.80","206,746,056.24","114,419,466.46","240,428,168.07","53,937,130.05","114,994,920.16","175,696,802.07","232,769,244.90","59,951,028.85","129,776,286.77","191,003,844.96","244,094,350.82","73,671,835.71","163,052,781.73","331,124,049.35"
其中:非流动资产处置净损失,"354,829.40","164,317.72","846,751.04","2,014,324.25","2,266,486.31","65,077.72",,,"368,844.88","118,885.28",,,"1,948,551.15","1,639,791.26",,"35,900,053.17"
