科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月
销售商品、提供劳务收到的现金,"159,602,516.21","393,974,755.88","657,063,142.86","1,104,490,758.89","209,362,303.60","604,113,729.45","970,849,123.11","1,364,687,531.55","203,657,813.67","456,075,026.74","718,750,950.86","1,792,643,949.19","286,913,607.05","678,060,062.49","991,177,644.71","1,284,917,662.04","244,942,017.00","600,850,782.93","692,632,788.26","1,102,840,364.15","181,397,092.50","475,425,912.86","738,175,222.82","1,056,556,890.96","234,960,273.25","403,979,510.60","605,681,142.01","843,591,648.10","86,471,107.80","241,427,309.68","395,611,730.27","719,557,197.67","86,857,560.70","197,628,482.04","330,195,318.68","498,328,604.90","59,175,917.35","205,730,295.80","318,636,828.29","448,272,120.47","36,120,794.85","189,748,822.39"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,074,642,685.99",,
收到的税费返还,,"729,121.67","1,034,391.50","965,768.52",,"1,629,820.45","1,725,457.91","4,479,707.72",,"1,155,308.03","527,385.47","546,515.74",,"3,150,387.71","6,343,341.96","4,637,225.65",,"1,330,630.71","2,060,765.85","2,060,765.85","2,860,129.23","2,860,129.23","3,884,019.83","5,890,152.64","1,976,746.94","1,976,746.94","1,976,746.94","1,976,746.94",,"1,267,785.86","1,468,259.99","1,554,263.65",,"821,380.63","821,380.63","821,380.63","317,992.71","2,081,829.91","4,483,165.36","73,636,644.94","50,000.00","3,152,267.56"
支付其他与投资活动有关的现金,"4,642,011.79","7,899,023.10","10,174,742.24","37,338,876.77","154,074.89","293,487.89","615,297.02",,,,,,,,,"1,680,278.68",,,,,,,,,,,,,,,,,,,,,,,,,"13,679,457.00",
收到其他与经营活动有关的现金,"7,398,792.43","37,419,427.81","22,289,018.19","3,819,674.44","2,115,916.16","5,348,110.05","8,701,191.01","205,869,597.44","3,098,048.05","3,168,631.54","9,677,932.14","5,960,246.53","3,763,957.06","12,744,406.96","8,999,755.90","94,007,127.20","2,642,391.28","5,284,782.56","178,393,885.18","392,602,069.42","2,622,309.08","5,324,029.32","122,339,841.40","123,177,896.07","2,727,616.96","76,834,200.48","85,892,614.55","103,474,847.54","3,820,212.13","9,629,966.38","17,583,557.74","28,192,885.01","2,345,761.88","9,992,534.63","15,201,665.10","22,555,499.27","6,331,222.67","9,088,443.56","13,549,144.46","1,535,444,922.35","2,704,572,929.80","20,708,250,820.88"
投资活动现金流出小计,"46,124,465.48","78,092,792.82","74,641,675.69","119,886,213.85","19,375,111.53","24,798,636.28","34,238,684.47","99,904,852.19","11,127,185.10","14,008,118.56","18,240,991.14","132,863,621.84","29,954,130.20","48,487,068.11","56,171,967.03","36,312,613.62","1,991,425.07","9,327,318.44","10,138,385.88","12,857,302.25","10,848,249.80","18,605,391.92","18,605,391.92","19,637,597.56","1,876,244.02","1,876,244.02","1,876,244.02","3,589,877.99",,"246,752.60","252,402.60","1,122,727.05","399,226.07","399,226.07","399,226.07","399,226.07","195,292.44","313,894.44","313,894.44","239,947,342,379.86","66,503,519,745.07","125,089,176,887.23"
经营活动现金流入小计,"167,001,308.64","432,123,305.36","680,386,552.55","1,109,276,201.85","211,478,219.76","611,091,659.95","981,275,772.03","1,575,036,836.71","206,755,861.72","460,398,966.31","728,956,268.47","1,799,150,711.46","290,677,564.11","693,954,857.16","1,006,520,742.57","1,383,562,014.89","247,584,408.28","607,466,196.20","873,087,439.29","1,497,503,199.42","186,879,530.81","483,610,071.41","864,399,084.05","1,185,624,939.67","239,664,637.15","482,790,458.02","693,550,503.50","949,043,242.58","90,291,319.93","252,325,061.92","414,663,548.00","749,304,346.33","89,203,322.58","208,442,397.30","346,218,364.41","521,705,484.80","65,825,132.73","216,900,569.27","336,669,138.11","57,606,624,031.43","15,869,625,506.64","51,190,395,210.20"
投资活动产生的现金流量净额,"-46,103,565.48","-75,296,653.26","-54,267,342.03","-94,984,708.76","-13,446,317.88","-18,733,122.63","-27,958,639.82","-87,537,018.24","-8,191,427.10","-2,041,460.56","-13,202,744.11","-87,642,635.85","-29,950,450.20","-43,633,388.11","-56,165,527.03","-36,289,956.03","-1,991,425.07","-9,327,318.44","-10,066,495.88","-12,785,412.25","-10,848,249.80","-18,605,391.92","-18,601,191.92","410,432,902.17","-1,875,784.02","-1,875,784.02","-1,875,784.02","-3,567,093.99","221,600.00","18,157.40","15,507.40","-853,137.05","-388,046.07","-388,046.07","-388,046.07","-388,046.07","-195,292.44","-297,994.44","-297,994.44","-17,047,648,094.83","-33,516,684,087.34","-26,760,157,460.58"
购买商品、接受劳务支付的现金,"193,804,651.49","334,101,210.10","534,475,025.13","862,201,377.08","190,978,418.33","529,354,607.71","793,659,760.65","1,077,514,965.64","210,533,313.52","421,061,851.02","740,571,375.92","1,472,695,442.22","250,511,824.90","626,889,168.77","922,693,642.34","1,058,901,592.53","309,237,547.37","637,502,343.95","708,732,210.34","1,035,256,990.36","196,267,743.48","572,218,799.30","757,021,097.28","881,381,275.31","119,538,600.32","336,675,130.26","461,116,852.51","635,886,868.61","138,179,965.53","292,797,412.08","324,634,684.11","463,679,662.44","110,473,265.60","192,047,151.15","250,058,496.23","341,266,210.09","80,265,206.62","171,654,936.39","245,506,740.82","250,663,768.36","506,633.86","64,635,622.69"
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,474,355,203.46","1,868,695,402.77","1,868,695,402.77"
