科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,663,755,043.55","1,802,384,454.18","1,945,315,792.71","1,043,467,778.87","1,662,907,713.31","2,446,928,656.94","666,013,109.69","1,343,746,743.21","1,984,249,421.87","2,476,521,043.75","509,911,413.68","986,813,507.37","1,310,553,993.78","1,818,635,946.89","383,826,295.80","847,369,514.00","1,313,888,634.97","1,988,711,936.25","358,632,928.56","853,144,677.85","1,298,977,201.00","1,933,189,813.16","351,179,656.57","766,202,810.90","1,106,435,979.57","1,609,392,196.65","316,597,054.43","715,937,493.06","1,119,360,947.82","1,561,533,707.93","306,417,004.06","780,950,306.33","1,245,338,586.06","1,738,589,233.32"
取得子公司及其他营业单位支付的现金净额,,"27,605,000.00",,,,,,,,,,,,"2,639,204.33",,,,,,,,,,,,,,,,,,,,
收到的税费返还,"4,311,586.67","21,168,919.24","5,626,494.84","7,179,175.48","7,680,823.80","9,367,148.22","5,872,012.02","6,674,290.34","10,616,253.01","13,393,856.93","5,292,194.04","6,735,906.40","7,986,599.72","11,472,111.04","3,560,089.19","6,779,060.99","10,855,019.31","20,445,157.45","2,493,883.13","5,033,847.52","7,611,357.56","9,841,450.80","910,783.52","2,789,744.78","5,940,799.28","13,731,952.22","1,213,340.00","2,911,829.39","6,848,449.82","9,016,286.49","1,694,418.83","4,141,429.00","8,894,976.79","13,692,457.84"
支付其他与投资活动有关的现金,"107,625.65",,,"20,000,000.00","20,113,896.15","230,500,000.00",,,"6,370.70",,,,"400,000.00",,"17,412,372.13","311,614,555.17","478,035,750.00",,"62,001,310.60",,,"7,847,000.00","1,005,423.40",,"1,000,000.00","26,450,000.00",,,,"19,427,133.00",,,,
收到其他与经营活动有关的现金,"13,393,013.00","17,738,384.62","25,730,570.29","15,826,071.27","25,895,629.76","27,848,422.35","12,363,903.52","31,597,169.94","83,838,169.43","42,864,047.52","14,668,234.82","43,235,285.11","76,920,485.40","57,938,583.61","5,731,863.98","25,331,751.55","33,291,949.26","40,954,230.15","6,407,239.50","17,673,806.43","56,021,478.79","31,330,945.05","3,343,227.21","7,744,954.10","13,402,527.68","17,043,269.31","3,374,790.23","9,560,544.63","13,690,390.83","20,161,894.27","3,845,536.07","8,427,592.66","11,711,117.69","11,986,019.56"
投资活动现金流出小计,"219,618,981.42","302,412,834.96","241,449,276.85","112,671,769.97","217,699,629.30","573,579,797.73","156,947,201.90","315,966,568.21","393,724,002.48","562,337,660.00","119,313,424.62","234,867,444.76","265,154,112.82","330,316,315.88","54,507,420.04","382,803,347.57","625,844,712.62","1,171,952,937.72","90,362,976.25","93,713,267.18","194,137,050.61","157,625,704.91","32,224,189.48","104,919,359.39","118,417,107.43","241,466,191.35","79,263,372.51","161,138,643.40","261,172,178.58","422,284,384.02","26,218,904.80","101,054,357.91","103,464,377.57","196,548,217.29"
经营活动现金流入小计,"1,681,459,643.22","1,841,291,758.04","1,976,672,857.84","1,066,473,025.62","1,696,484,166.87","2,484,144,227.51","684,249,025.23","1,382,018,203.49","2,078,703,844.31","2,532,778,948.20","529,871,842.54","1,036,784,698.88","1,395,461,078.90","1,888,046,641.54","393,118,248.97","879,480,326.54","1,358,035,603.54","2,050,111,323.85","367,534,051.19","875,852,331.80","1,362,610,037.35","1,974,362,209.01","355,433,667.30","776,737,509.78","1,125,779,306.53","1,640,167,418.18","321,185,184.66","728,409,867.08","1,139,899,788.47","1,590,711,888.69","311,956,958.96","793,519,327.99","1,265,944,680.54","1,764,267,710.72"
投资活动产生的现金流量净额,"-197,374,233.55","-226,913,164.36","-208,907,039.61","-110,965,302.60","-214,933,170.85","-567,679,935.82","-78,179,489.75","-235,190,131.61","-310,182,082.18","-255,912,147.89","-117,036,983.29","-233,526,098.19","-235,520,078.85","-301,066,094.05","-54,340,134.71","-183,786,507.25","-228,417,087.54","-618,129,553.73","-29,820,362.35","-24,132,319.46","-124,396,453.51","-136,751,226.22","-29,317,749.28","-45,952,774.02","-4,052,776.95","-45,019,884.55","105,288,754.40","111,011,215.08","101,105,242.25","53,851,224.11","69,485,349.17","55,841,716.62","60,327,057.05","19,812,792.11"
购买商品、接受劳务支付的现金,"1,166,309,321.89","1,185,996,941.96","1,366,586,947.44","665,692,430.57","1,115,829,726.77","1,690,003,722.78","510,906,259.24","1,015,069,167.05","1,485,016,819.32","1,907,128,665.81","408,755,838.90","810,810,522.44","1,036,822,982.11","1,292,712,959.72","222,770,310.17","573,831,672.73","941,228,320.26","1,398,609,070.80","196,953,121.03","553,314,493.00","893,474,808.80","1,292,501,656.53","253,626,085.18","567,210,861.58","790,695,031.49","1,198,134,144.31","208,539,415.67","506,486,330.45","797,611,666.53","1,031,575,728.82","237,310,024.26","503,593,418.60","763,498,912.78","985,884,758.55"
吸收投资收到的现金,"30,048,971.57","6,387,014.33","88,556,280.00","9,800,000.00","818,121,800.00","818,121,800.00",,,,,,,"4,900,000.00","4,900,000.00",,,,,,,"40,000,000.00",,,,,,,,,,,,,
