科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
购建固定资产、无形资产和其他长期资产支付的现金,"21,774,682.23","117,881,616.65","9,893,761.44","20,017,435.15","27,933,558.13","31,436,702.85","1,565,926.55","4,537,335.18","5,160,746.99","8,755,407.37","3,146,375.19","5,932,705.48","8,877,948.89","11,109,311.40","3,393,061.43","11,113,337.47","13,473,276.52","16,768,949.35","2,119,144.28","5,881,051.06","9,081,011.84","18,446,582.89","4,911,765.33","8,058,396.90","14,713,372.10","20,814,279.86","1,726,613.17","4,893,947.18","11,771,213.69","30,717,610.31","4,216,166.11","51,844,606.87","120,780,680.64","222,026,841.02","22,565,186.66","35,395,751.94","48,535,025.55","73,271,247.13","18,057,325.05","32,693,750.18","55,457,009.56","79,475,927.12","5,697,973.57","13,371,369.25"
回购业务资金净增加额,,,,"100,000,000.00",,"392,113.15",,,,"415,463,840.27",,,,,"444,982,721.10",,"586,212,013.46","530,894,632.81",,,,,,,"143,952,077.21",,"768,078,559.93",,"33,921.67",,"1,290,688,319.76","1,346,014,189.74",,,,,,,"2,583,243,021.57","3,579,139,922.11","5,013,295,959.64","7,616,184,035.96","2,279,019,976.64","3,345,227,849.87"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"173,646,213.84","108,150,000.00",,,"83,250.00",,,,,,,,,,,,,,,,,,,
销售商品、提供劳务收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计,"21,774,682.23","117,881,616.65","9,893,761.44","20,017,435.15","27,933,558.13","31,436,702.85","1,565,926.55","4,537,335.18","5,160,746.99","10,755,407.37","3,146,375.19","5,932,705.48","8,877,948.89","11,109,311.40","3,393,061.43","11,113,337.47","13,473,276.52","16,768,949.35","2,119,144.28","295,881,051.06","182,727,225.68","126,596,582.89","4,911,765.33","18,058,396.90","116,570,515.18","124,396,293.10","43,302,250.35","156,689,481.30","366,066,971.95","166,286,644.42","166,482,330.16","408,194,645.78","2,330,884,714.00","2,506,382,528.82","452,862,673.16","689,278,583.78","838,763,433.16","2,688,241,952.07","105,097,931.82","50,838,535.84","316,332,385.98","722,301,057.14","189,213,052.13","797,061,717.86"
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动产生的现金流量净额,"-21,774,682.23","-117,881,616.65","-9,893,761.44","-19,953,225.01","-27,869,347.99","-31,370,712.84","-1,563,033.11","-4,531,096.52","-5,147,746.12","-10,734,557.50","-3,145,382.83","-5,920,343.31","-8,853,066.37","-11,048,886.63","-3,316,083.63","-10,977,609.67","-13,183,354.12","-16,479,026.95","-2,089,765.28","-153,814,257.06","-181,329,612.64","-123,627,592.29","76,157,616.74","16,758,596.50","-25,475,527.05","-29,076,268.11","-43,458,628.87","-156,189,707.07","-358,806,333.07","-148,686,040.44","-161,212,963.09","-373,513,366.31","-2,283,102,997.07","-2,410,480,725.78","-199,849,218.55","-552,352,337.01","-763,655,365.99","-2,301,052,932.11","1,865,411,376.85","1,420,349,558.24","16,187,451.40","217,711,283.33","-235,727,384.28","-803,528,550.48"
收到原保险合同保费取得的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保业务现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收投资收到的现金,"835,000,000.00","835,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"4,900,000.00","3,786,624,000.00","4,285,158,084.67","4,466,656,751.00",,"806,035,111.01","1,068,281,239.35","484,370,000.00","4,244,612,706.49","4,214,262,706.49","4,260,962,886.49","4,455,851,246.49","81,195,603.33","50,000,000.00","-378,522,437.91","121,501,652.00","-3,036,000.00","-3,036,000.00"
保户储金及投资款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发行债券收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,448,479.38","1,123,197,400.00","11,010,079,243.83","10,946,708,700.00","11,503,894,600.00",,"6,430,000,000.00","10,006,624,600.00","11,306,624,600.00","909,971,500.00","5,019,838,000.00","9,228,368,000.00","10,041,098,000.00","2,643,530,000.00","5,339,022,400.00"
收到其他与经营活动有关的现金,"1,690,695,675.91","2,075,536,515.83","78,970,077.92","7,735,691.99","7,815,822.85","504,752.48","1,011,024,652.60","987,475,586.11","1,853,330,865.92","1,899,657,046.99","43,639.37","1,318,580.11","1,336,413.66","1,444,467.93","52,180.00","2,335,982.67","3,398,855.73","54,408,258.52","278,370,998.36","232,485,788.79","2,768,620.84","4,730,085.27","101,782,143.78","24,915,121.51","2,055,309.37","10,145,182.01","4,042,541.69","311,787,078.20","1,073,253,408.44","2,356,690,913.89","1,907,808,347.20","5,276,047,293.95","2,199,216,429.05","1,676,857,965.60","1,296,993,697.62","1,114,271,358.26","1,264,400,418.01","958,918,255.69","100,263,469.80","240,791,261.15","129,207,451.68","906,753,558.57","16,585,030.79","231,667,175.74"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"208,319,946.57",,,,,,"853,271,146.63","2,059,524,480.17","346,605,596.85",,,"137,986,000.00","162,585,600.00","159,285,600.00","156,820,800.00",,"510,000,000.00"
经营活动现金流入小计,"2,032,647,172.08","2,643,104,985.21","-259,093,363.70","-435,350,364.86","-341,582,904.78","414,126,413.56","1,402,858,503.10","1,499,922,585.80","2,511,375,627.98","3,022,903,939.59","729,736,968.58","890,062,698.51","1,504,994,719.07","1,330,834,028.74","642,227,105.11","393,022,950.69","1,386,840,549.65","1,190,034,339.43","395,543,314.90","696,787,643.68","401,963,884.74","514,758,483.02","489,890,523.98","921,787,607.05","668,963,551.38","792,479,309.07","864,997,402.50","566,452,061.34","1,688,574,956.49","3,238,412,760.79","3,550,305,121.26","7,776,933,187.71","3,932,996,314.10","4,060,502,276.92","1,781,097,194.57","2,136,706,554.91","2,843,382,059.21","3,404,696,229.59","3,614,131,454.03","4,864,599,090.97","6,624,839,020.11","10,645,589,220.62","2,774,232,718.35","5,897,706,578.63"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
客户贷款及垫款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流入小计,"835,000,000.00","835,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"4,900,000.00","3,994,943,946.57","4,285,158,084.67","4,475,105,230.38","1,123,197,400.00","11,816,114,354.84","12,014,989,939.35","12,841,535,746.63","6,304,137,186.66","10,990,868,303.34","14,267,587,486.49","15,762,475,846.49","1,129,153,103.33","5,232,423,600.00","9,009,131,162.09","10,319,420,452.00","2,640,494,000.00","5,845,986,400.00"
存放中央银行和同业款项净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偿还债务支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,370,000,000.00","5,700,000,000.00","6,405,083,019.31","7,624,570,263.95","1,557,294,047.52","9,527,317,428.79","11,497,133,559.07","12,098,940,072.66","2,327,691,999.96","9,249,356,685.92"
支付的手续费及佣金的现金,"9,195,884.78","26,599,325.57","5,716,569.00","13,060,407.95","17,931,482.27","21,153,860.33","7,780,798.57","18,411,312.99","31,055,196.99","41,331,927.08","12,478,617.55","19,629,796.02","33,545,854.24","63,527,114.20","25,607,675.42","54,129,969.31","387,933,449.64","110,669,912.75","32,549,246.95","64,626,669.61","81,312,854.47","95,930,103.05","25,720,944.71","62,968,000.79","78,492,508.38","101,167,899.66","27,056,817.26","53,546,390.14","92,562,602.19","126,820,426.36","84,134,301.61","244,520,327.17","390,942,232.22","501,780,845.90","90,481,446.93","185,034,889.60","215,681,673.18","293,651,077.02","103,465,286.23","226,410,184.59","378,905,849.57","537,107,509.57","170,563,745.94","345,095,746.82"
分配股利、利润或偿付利息支付的现金,,,,,,,,,,,,"5,185,935.28","30,066,266.98","30,066,266.98",,,,,,,"52,615,967.38","52,615,967.38",,,"24,804,670.46","24,804,670.46",,"35,304,670.27","51,962,732.72","56,234,991.94","17,455,209.08","239,282,833.60","195,938,175.03","252,483,138.66","81,653,208.71","984,396,694.27","1,006,689,324.72","1,023,420,655.76","57,107,294.20","796,038,207.42","895,409,088.33","926,392,818.24","115,003,996.89","520,519,364.57"
购买商品、提供劳务支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"164,807,094.92",,,,,,,,,"606,320,625.11",,,,
支付原保险合同赔付款项的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,,,,,,,,,,,,"5,185,935.28","30,066,266.98","30,066,266.98",,,,,,,"52,615,967.38","52,615,967.38",,,"24,804,670.46","24,804,670.46",,"35,304,670.27","51,962,732.72","56,234,991.94","182,262,304.00","239,282,833.60","195,938,175.03","252,483,138.66","1,451,653,208.71","6,684,396,694.27","7,411,772,344.03","8,647,990,919.71","1,614,401,341.72","10,929,676,261.32","12,392,542,647.40","13,025,332,890.90","2,442,695,996.85","9,769,876,050.49"
支付保单红利的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动产生的现金流量净额,"835,000,000.00","835,000,000.00",,,,,,,,,,"-5,185,935.28","-30,066,266.98","-30,066,266.98",,,,,,,"-52,615,967.38","-52,615,967.38",,,"-24,804,670.46","-24,804,670.46","4,900,000.00","3,959,639,276.30","4,233,195,351.95","4,418,870,238.44","940,935,096.00","11,576,831,521.24","11,819,051,764.32","12,589,052,607.97","4,852,483,977.95","4,306,471,609.07","6,855,815,142.46","7,114,484,926.78","-485,248,238.39","-5,697,252,661.32","-3,383,411,485.31","-2,705,912,438.90","197,798,003.15","-3,923,889,650.49"
