科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"3,455,339,856.68","8,654,965,873.90","12,511,448,973.25","5,158,677,927.76","12,548,948,735.00","999,961,236.29","2,849,298,625.17","3,821,218,839.63","5,079,710,241.83","1,390,491,272.31","3,584,400,007.15","4,406,680,620.20","5,749,623,118.46","850,705,113.67","1,820,143,118.88","2,816,629,652.43","4,061,944,085.26","621,794,859.78","1,215,980,515.63","1,663,157,198.42","2,811,533,215.85","231,244,447.44","515,414,141.97","1,499,178,451.75","2,112,139,603.41","178,477,767.20","433,188,112.92","875,979,776.61","1,402,499,613.15","126,237,147.86","364,460,233.35","726,369,852.82","1,031,353,271.21","222,681,222.38","424,103,578.39"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,466,068.52"
收到的税费返还,,,,,,,,,"7,394.79","151,968.03","14,975,641.10","14,975,641.10","44,523,123.72","1,518,348.24","1,518,348.24","1,518,348.24","101,606,725.28","25,016,305.19","50,944,379.99","50,944,379.99","53,107,797.05","15,006.99","70,893,142.66","72,021,410.51","69,341,863.98",,"292,710.53","292,710.53","1,144,500.00",,"1,249,888.65","1,249,888.65","3,546,266.93",,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"14,192,252.15",,,,,,,,,,,,"5,796,461.85",,,,"31,546,126.96",,
收到其他与经营活动有关的现金,"6,624,464.98","17,194,052.56","277,034,983.30","47,471,439.91","181,312,733.34","83,264,694.77","244,672,907.80","405,284,797.13","475,245,088.59","128,470,472.58","191,963,516.73","325,339,841.66","434,776,378.46","42,057,447.25","70,059,145.30","116,559,649.59","806,974,966.51","115,809,723.19","542,809,373.05","564,817,739.93","372,463,505.59","129,851,494.67","278,621,823.97","300,300,141.16","572,758,135.61","125,691,402.53","113,299,033.00","295,659,706.58","301,759,042.13","66,317,394.18","65,703,496.40","188,403,628.49","170,416,367.25","27,197,486.39","37,211,183.97"
投资活动现金流出小计,"7,509,509.00","245,408,309.53","337,290,327.01","410,538,504.84","1,009,696,774.68","206,484,855.90","542,218,683.11","697,843,369.81","797,527,533.93","85,502,964.90","782,758,463.05","908,088,273.92","2,518,540,897.91","15,373,156.04","726,461,435.19","736,088,180.69","74,435,807.67","18,559,911.49","34,304,820.06","46,263,220.41","34,630,385.00","16,462,298.38","22,367,119.83","88,610,905.51","145,087,925.44","12,672,840.00","15,594,272.80","35,044,071.68","78,884,330.63","4,483,311.00","4,688,363.00","6,857,684.22","50,265,370.40","9,991,966.31","50,547,373.87"
经营活动现金流入小计,"3,461,964,321.66","8,672,159,926.46","12,788,483,956.55","5,206,149,367.67","12,730,261,468.34","1,083,225,931.06","3,093,971,532.97","4,226,503,636.76","5,554,962,725.21","1,519,113,712.92","3,791,339,164.98","4,746,996,102.96","6,228,922,620.64","894,280,909.16","1,891,720,612.42","2,934,707,650.26","4,970,525,777.05","762,620,888.16","1,809,734,268.67","2,278,919,318.34","3,237,104,518.49","361,110,949.10","864,929,108.60","1,871,500,003.42","2,754,239,603.00","304,169,169.73","546,779,856.45","1,171,932,193.72","1,705,403,155.28","192,554,542.04","431,413,618.40","916,023,369.96","1,205,315,905.39","249,878,708.77","461,314,762.36"
投资活动产生的现金流量净额,"-7,509,509.00","-197,928,309.53","-299,063,667.23","-373,990,008.61","-883,453,757.27","-193,991,648.30","-517,797,967.23","-671,577,810.48","-769,232,849.81","-85,115,581.10","-776,342,690.89","-901,535,164.76","-656,457,815.17","-14,363,226.24","-233,157,679.58","-178,861,355.80","440,029,604.64","12,306,205.35","55,359,154.03","90,686,207.92","82,387,884.32","183,054,558.88","175,240,534.30","111,048,239.35","61,561,070.64","-12,463,499.69","-15,378,995.73","-34,790,767.28","-50,655,633.63","-4,483,311.00","5,321,637.00","12,050,315.78","-31,462,718.40","-9,967,425.25","-50,525,813.87"
购买商品、接受劳务支付的现金,"2,714,003,921.68","6,387,765,636.39","10,688,319,841.82","5,116,275,425.80","12,432,482,966.95","2,580,819,500.78","6,483,123,716.50","7,153,338,031.79","10,000,003,250.85","2,086,305,299.08","3,718,668,821.63","4,398,324,588.97","5,680,633,520.89","1,290,452,546.74","2,727,844,975.22","3,659,671,296.56","5,336,609,134.31","978,218,083.93","1,378,803,106.11","1,951,361,832.84","2,628,984,466.31","448,954,670.10","766,668,255.02","1,459,185,648.00","1,078,092,686.16","16,786,330.22","374,114,534.46","693,679,452.29","1,296,692,963.46","132,281,136.72","249,345,170.95","362,879,550.60","683,583,031.14","124,372,820.45","428,210,717.22"
吸收投资收到的现金,"14,000,000.00","135,180,616.77","15,000,000.00",,,"9,330,615,000.00","9,330,615,000.00","9,330,615,000.00","9,330,615,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
