科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"147,931,222.50","122,392,186.52","161,966,491.57","121,074,422.43","86,749,966.05","607,897,976.67","524,623,549.69","477,766,999.23","640,075,487.91"
短期借款,"123,920,000.00","65,000,000.00","40,000,000.00",,"40,000,000.00",,,,
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,"3,500,000.00",,"12,964,316.00","21,864,316.00","3,274,098.00","42,267,280.00","31,535,660.00","22,000,000.00","3,729,471.00"
应付票据,"209,969,081.25","138,200,844.81","190,989,084.83","174,792,975.20","116,026,461.09","84,985,168.20","84,393,304.20","133,093,720.08","213,607,601.61"
应收账款,"231,921,503.70","265,001,639.93","365,020,798.51","449,464,315.90","471,787,635.09","425,499,495.70","441,291,269.95","420,726,459.12","372,637,327.18"
应付账款,"112,084,884.79","157,085,235.46","160,847,313.11","111,437,159.00","137,658,904.23","193,116,589.89","211,865,618.86","165,122,741.57","84,185,145.86"
预付款项,"83,752,090.85","32,289,436.13","10,689,959.51","12,894,362.88","14,947,340.31","32,748,930.88","84,130,847.87","36,325,132.61","53,889,340.63"
预收款项,"251,370,942.86","286,581,951.63","345,806,350.60","214,737,354.88","168,106,396.01","161,642,640.61","180,298,645.55","157,032,222.26","233,702,494.94"
其他应收款,"7,517,347.76","3,631,826.34","6,756,006.82","19,353,483.37","23,364,886.49","16,913,826.88","11,017,787.72","13,755,569.68","18,073,849.54"
应付职工薪酬,"2,545,863.94","3,071,939.74","3,252,451.54","4,317,680.22","3,240,216.32","6,519,565.24","3,302,812.41","2,829,627.58","3,097,838.15"
应收关联公司款,,,,,,,,,
应交税费,"12,296,319.16","24,115,789.02","24,087,917.96","26,150,869.57","16,094,020.45","12,146,623.79","12,323,916.67","7,481,295.01","5,972,603.15"
应收利息,,,,,,,,,
应付利息,"550,754.67","75,000.00","64,368.06",,,,,,
应收股利,,,,,,,,,
应付股利,,,,,,,,,
存货,"459,294,757.63","448,928,613.34","480,937,713.09","324,123,716.03","307,631,813.20","300,677,238.93","306,016,089.21","340,819,462.01","426,747,726.84"
其他应付款,"16,203,967.15","74,123.07","301,409.09","13,058,388.75","7,743,917.71","7,570,368.57","1,718,117.06","1,647,836.41","1,858,628.88"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,
其他流动资产,,"62,353,806.33","146,950,576.64","101,619,158.39","134,705,165.04","414,662,302.15","504,195,650.12","543,326,778.24","388,099,286.12"
其他流动负债,,,,,,,,,
流动资产合计,"933,916,922.44","934,597,508.59","1,185,285,862.14","1,050,393,775.00","1,042,460,904.18","1,840,667,051.21","1,902,810,854.56","1,854,720,400.89","1,903,252,489.22"
流动负债合计,"728,941,813.82","674,204,883.73","765,348,895.19","544,494,427.62","488,869,915.81","465,980,956.30","493,902,414.75","467,207,442.91","542,424,312.59"
可供出售金融资产,,,,,,,,,
长期借款,,,,,,,,,
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,,,,,,,,,
专项应付款,,,,,,,,,
投资性房地产,,,,,,,,,
预计负债,,,,,,,,,
固定资产,"120,136,592.07","134,669,805.06","128,103,631.85","141,339,172.57","138,080,841.02","137,366,843.83","135,530,570.79","134,084,613.23","131,421,554.27"
