科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"4,129,711,346.71","3,590,684,204.64","4,812,511,750.82","4,130,978,834.98","7,943,661,213.95","5,239,307,684.84","4,365,893,038.37","3,666,298,569.35","16,015,211,782.28","23,235,866,204.95","25,833,663,251.65","22,904,842,912.31","24,549,446,855.74","23,406,612,749.62","19,717,654,655.25","15,166,127,512.15","23,854,910,671.01","23,118,957,392.75","19,909,926,827.14","16,040,809,751.08","36,751,255,257.02","34,256,482,591.95","32,717,469,775.09","28,943,921,701.45","46,874,923,371.95","44,024,177,451.13","44,215,080,957.86","38,541,684,470.83","60,954,046,695.58","57,797,761,427.19","58,291,049,863.26","54,545,673,449.14","79,441,307,456.42","86,866,973,124.10","84,038,509,882.34","88,819,798,560.53","96,283,536,194.74","99,421,338,271.59","97,233,682,681.51","95,613,130,731.47","109,270,142,432.62","105,317,780,491.57","93,379,231,775.14","99,610,431,730.40","105,175,366,822.32","101,945,480,371.83","104,269,795,692.01","113,079,030,368.11","113,287,866,794.74"
短期借款,,,,,,"219,172,867.65","514,669,333.02","8,401,564.87","48,512,568.73","316,740,655.65","466,099,285.83","961,632,918.57","1,646,701,703.70","2,501,561,573.28","1,929,016,613.01","1,900,379,493.81","2,879,184,557.75","3,038,964,145.05","2,377,956,865.36","2,739,286,399.90","2,208,501,253.60","1,754,232,442.04","1,838,351,186.61","3,520,642,063.91","4,341,361,164.09","3,340,621,109.89","3,345,040,104.70","3,316,971,153.31","2,843,166,132.75","5,151,027,591.37","4,538,484,901.61","3,578,773,331.48","4,953,212,939.70","8,321,127,742.65","9,453,284,478.37","6,276,660,136.03","6,550,888,798.13","6,888,413,424.34","10,199,268,718.60","10,701,081,645.32","16,388,722,126.80","20,346,922,605.21","19,311,768,483.28","18,646,095,044.32","20,217,697,972.20","19,680,810,111.85","25,728,955,060.00","22,067,750,002.70","19,854,181,169.60"
交易性金融资产,,,,,,,,,,,"43,500.00","2,371,100.10","27,183,946.24","79,905,244.60","47,303,373.41","72,195,706.43","60,376,646.93","72,855,595.41","42,697,069.45","16,489,122.00","13,466,863.90","20,122,496.95","76,590,064.10","263,460,017.40","728,912,643.19","699,346,139.52","846,963,917.64","1,246,106,661.88","133,477,711.40","120,000,000.00","269,824,000.78",,,,,,,,,,,,,"602,045,597.22","305,093,362.79","514,840,242.42","408,341,647.20","1,012,470,387.43","1,602,483,198.65"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,488,048.67",,,,,,,,,,,,,,,,,,,
应收票据,"2,174,811,549.01","3,255,281,483.54","6,675,430,644.95","7,410,326,930.58","3,387,713,191.95","4,588,788,590.67","11,876,904,568.50","13,277,429,017.10","5,582,852,210.07","5,006,711,578.61","15,182,134,038.38","10,836,551,337.90","5,861,718,421.77","4,802,761,013.54","20,166,864,361.86","22,055,819,308.23","9,919,875,858.35","14,043,748,036.38","36,432,763,801.76","33,665,090,026.64","11,147,895,455.18","13,026,984,915.92","37,355,352,577.84","34,292,168,999.99","19,688,406,895.25","16,653,124,094.03","41,056,223,891.56","46,297,242,328.98","24,497,148,264.29","19,923,502,219.79","50,341,686,889.52","50,480,571,355.46","29,884,507,063.24","17,783,640,754.88","31,706,832,794.32","14,879,805,537.96","17,111,144,057.13","10,775,719,710.53","27,355,163,103.23","29,963,355,478.45","18,054,606,382.30","20,996,380,299.95","51,604,419,892.06","32,256,413,538.14","21,560,945,304.17","27,988,220,198.89","50,152,115,246.20","35,911,567,876.04","31,422,360,479.14"
应付票据,"1,995,930,839.20","2,016,057,690.31","1,706,187,976.97","1,890,705,917.47","3,512,204,062.21","2,347,317,273.51","2,069,100,472.13","2,584,807,861.44","4,902,090,102.07","9,792,957,309.03","12,305,192,992.51","8,393,337,570.01","6,967,045,533.64","7,609,558,030.53","9,394,553,623.23","8,944,563,957.38","7,318,323,164.70","9,316,088,070.40","9,735,784,183.90","10,644,121,238.23","8,112,005,799.06","8,771,842,187.26","8,580,544,272.68","7,983,581,180.17","8,133,990,860.78","9,258,841,322.31","9,272,830,839.87","8,230,208,196.99","9,563,125,019.98","9,594,438,489.62","7,743,452,447.10","6,881,963,087.81","7,280,381,725.38","7,256,102,393.70","7,942,467,400.75","7,427,635,753.74","8,416,380,304.16","8,810,932,373.06","8,199,161,640.21","9,127,336,849.68","11,296,168,130.56","11,246,271,957.97","9,381,964,223.31","9,766,929,541.33","10,079,424,362.08","9,429,534,235.68",,"10,835,428,282.29",
应收账款,"3,128,501,442.09","2,901,343,669.19","1,447,955,310.71","894,573,479.89","2,621,894,305.49","3,931,365,573.74","1,734,021,975.32","565,501,518.20","1,631,311,776.54","1,683,406,979.24","928,666,558.50","914,525,966.38","2,153,456,896.55","1,932,552,665.43","1,119,109,687.51","1,198,924,905.03","2,098,542,615.24","2,825,380,923.60","2,032,820,536.25","1,226,793,775.32","1,918,760,221.08","2,804,003,721.46","1,822,765,384.51","1,474,872,971.56","2,286,997,568.89","3,650,876,486.64","2,085,568,304.35","1,849,275,342.79","2,793,832,635.39","5,103,931,419.32","2,515,572,128.58","2,661,347,628.69","3,889,472,839.13","5,115,110,423.66","2,983,346,776.14","2,879,212,111.93","5,235,150,323.46","5,911,516,049.59","3,523,258,092.12","2,960,534,651.37","6,105,301,579.24","7,520,506,373.64","4,813,254,632.46","5,814,491,641.18","8,550,333,342.44","9,636,871,209.07","6,602,739,787.21","7,699,658,990.16","11,140,497,009.42"
应付账款,"6,955,630,242.92","9,412,596,444.49","9,954,830,975.75","8,901,338,057.23","9,691,578,664.87","11,635,577,019.90","10,301,974,324.85","8,716,985,497.25","9,547,457,133.66","12,572,379,820.08","12,252,069,984.08","11,650,132,271.77","11,040,777,674.94","11,354,629,198.13","13,015,310,284.63","13,794,914,414.17","12,243,206,844.31","15,518,458,141.01","15,584,160,621.91","15,636,363,281.52","14,331,904,770.97","18,738,269,307.56","21,496,705,247.84","22,665,011,613.66","21,749,688,176.95","24,168,593,446.38","24,985,522,459.95","27,434,494,665.72","24,859,305,925.62","26,838,549,149.18","29,358,763,557.82","26,784,952,481.63","25,668,963,149.48","28,332,824,621.50","25,276,764,234.71","24,794,268,372.47","23,246,650,747.88","24,442,447,172.39","29,096,457,285.22","29,541,466,861.10","30,815,964,573.82","31,506,922,290.72","33,760,114,470.10","34,552,886,331.56","31,761,438,435.50","36,229,817,497.57",,"38,987,371,471.02",
预付款项,"58,840,779.62","675,730,709.00","398,164,382.06","1,187,782,832.80","672,730,495.78","1,079,526,624.48","753,802,597.33","896,768,965.02","1,089,684,886.34","930,995,798.33","1,084,215,235.18","1,488,444,519.77","1,670,526,155.58","1,420,888,228.03","2,559,619,803.47","2,559,799,033.82","2,903,542,053.45","2,730,224,003.51","2,711,991,537.91","2,315,615,532.19","2,780,722,300.26","2,945,810,342.63","2,635,154,723.23","1,739,713,886.10","2,787,313,848.22","2,215,096,552.74","2,005,170,619.71","1,498,649,670.64","2,199,433,479.81","1,833,797,663.79","2,541,917,009.08","1,591,487,357.94","2,620,158,079.18","2,567,809,023.93","1,955,625,893.78","847,929,149.71","1,917,587,773.57","2,174,768,708.87","4,318,277,916.85","1,814,945,790.78","3,941,782,741.49","3,531,339,946.13","4,930,263,273.03","3,717,874,635.44","4,550,379,167.83","4,738,151,789.11","5,887,023,620.68","2,161,876,009.22","4,254,686,929.47"
预收款项,"5,403,415,067.92","2,159,369,853.29","4,413,185,331.44","4,612,698,321.97","4,064,727,700.24","1,179,717,917.45","4,885,219,025.58","5,829,108,434.66","4,874,700,533.91","2,317,242,715.96","12,172,397,501.36","8,871,946,777.01","9,089,535,937.21","4,598,982,357.82","12,619,290,427.83","12,006,210,896.84","7,910,046,358.86","6,545,344,160.49","22,941,187,339.48","19,752,693,733.70","16,598,006,851.83","8,752,928,719.33","22,702,777,788.89","16,630,113,200.83","18,201,776,712.01","7,201,010,190.43","20,821,364,045.16","11,986,433,741.28","11,540,125,983.57","2,143,052,267.44","16,254,342,631.10","6,427,722,358.11","8,667,356,458.34","5,731,899,900.54","15,321,066,751.77","7,619,598,042.86","13,720,738,584.43","4,612,234,606.58","11,741,684,515.11","10,021,885,515.93","13,361,623,007.18","6,294,605,526.51","28,187,512,321.70","14,143,038,242.58","12,382,848,652.17","2,075,876,609.85","13,524,560,792.51","9,792,041,417.16","10,235,038,693.78"
