科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"85,269,573.19","188,639,690.85","126,915,518.14","59,627,772.19","80,018,428.51","132,384,670.26","23,757,367.20","56,134,012.20","86,193,107.80","236,157,189.54","39,357,621.19","115,750,633.99","247,653,941.85","390,129,952.55","98,254,446.54","266,807,629.92","442,540,337.42","539,754,859.11","106,440,008.36","135,509,769.67","214,542,771.49","322,661,949.21","313,873,390.38","387,025,178.06","476,594,413.51","749,627,882.36","134,166,658.91","225,854,198.40","339,661,725.69","472,531,933.43","86,339,790.77","160,256,959.65","292,020,468.25","582,132,896.53","171,405,795.03","304,255,580.40","471,509,034.05","693,282,575.15","67,274,108.78"
取得子公司及其他营业单位支付的现金净额,,,,,,"2,481,310.20",,,,,,,"14,191,877.87","38,191,877.87",,,,,,,,,,,,,,,,,,,,"1,599,999.82",,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,"50,000.00","50,000.00","50,000.00","50,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"739,583.10","912,462.73","1,001,418.63","1,439,870.61","2,188,823.50","3,063,259.31","1,394,555.55","3,877,050.67","13,012,346.60","11,549,891.57","7,204,792.75","4,248,210.67","6,748,784.82","9,027,273.05","5,817,083.32","12,217,502.69","18,051,026.83","14,336,757.93","3,202,472.78","12,291,843.85","20,123,444.18","16,987,053.37","6,668,541.67","12,098,492.31","22,431,276.88","39,655,065.03","32,534,703.70","24,993,947.51","44,598,102.70","25,379,994.01","7,860,294.43","14,214,533.61","17,822,414.89","14,434,342.64","7,439,748.31","10,987,838.05","21,295,295.82","13,700,858.31","10,935,191.67"
投资活动现金流出小计,"1,404,471.00","1,138,538.82","767,432.00","443,845.00","569,722.00","3,159,822.20","2,060,003.00","92,823,498.00","97,957,103.69","101,505,953.69","2,430,718.00","6,376,893.79","22,568,221.52","50,014,603.20","4,561,092.51","5,902,138.96","7,160,472.36","8,379,012.00","60,648,943.00","93,848,956.00","174,874,912.95","425,480,029.95","82,004,666.99","173,444,636.93","198,304,423.93","242,785,022.84","150,559,237.00","361,599,247.30","376,998,706.40","477,491,049.45","370,482,535.00","501,373,270.25","803,513,784.35","926,571,208.11","384,055,725.90","546,038,456.91","907,214,804.06","953,123,292.81","400,512,163.97"
经营活动现金流入小计,"86,009,156.29","189,552,153.58","127,916,936.77","61,067,642.80","82,207,252.01","135,447,929.57","25,151,922.75","60,011,062.87","99,205,454.40","247,707,081.11","46,562,413.94","119,998,844.66","254,402,726.67","399,157,225.60","104,071,529.86","279,025,132.61","460,591,364.25","554,091,617.04","109,642,481.14","147,801,613.52","234,666,215.67","339,649,002.58","320,541,932.05","399,123,670.37","499,025,690.39","789,282,947.39","166,701,362.61","250,848,145.91","384,259,828.39","497,911,927.44","94,200,085.20","174,471,493.26","309,842,883.14","596,567,239.17","178,845,543.34","315,243,418.45","492,804,329.87","706,983,433.46","78,209,300.45"
投资活动产生的现金流量净额,"-1,034,471.00","-416,138.82","-765,707.00","-443,845.00","-569,267.00","-3,159,367.20","-2,057,503.00","-92,810,448.00","-97,944,053.69","-101,492,903.69","-2,430,718.00","-6,376,893.79","-22,568,221.52","-50,014,603.20","-4,557,427.51","-5,895,673.96","-7,153,857.36","-8,372,397.00","-30,484,970.40","-33,545,257.37","-84,442,534.87","-152,971,281.82","-31,739,598.50","-40,887,721.22","-50,115,414.71","91,327,581.82","-110,229,127.38","-284,751,493.84","-288,020,497.54","-105,505,359.33","-178,321,745.99","114,806,810.39","-175,205,035.20","5,305,916.03","-93,619,064.43","-249,554,140.87","-251,560,077.07","127,896,316.00","-399,162,110.97"
购买商品、接受劳务支付的现金,"19,540,386.47","95,965,904.00","80,876,626.43","17,515,058.01","28,278,849.19","46,244,780.13","13,841,576.91","24,562,170.74","52,466,776.08","102,730,306.61","87,246,997.11","172,932,675.73","220,797,947.87","279,060,388.35","123,187,128.10","188,168,742.50","249,570,031.44","290,335,398.90","58,068,862.97","111,680,487.81","167,833,005.81","254,634,145.67","141,378,009.86","202,917,241.71","279,718,379.54","373,865,192.18","82,471,039.98","141,154,229.36","179,791,574.80","188,964,829.78","122,387,497.98","225,544,857.61","344,485,955.30","423,756,405.36","127,203,590.63","220,961,409.12","286,982,458.49","409,381,907.75","96,350,679.54"
吸收投资收到的现金,,"23,227,702.08",,,"531,738,000.00","531,738,000.00",,,,,,,,"8,000,000.00",,,,"15,454,125.00",,,"18,540,697.50","18,540,697.50",,,"23,349,300.00","25,749,300.00",,,,,,,"918,000.00","6,618,000.00",,,"300,000.00","300,000.00",
