科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"249,063,024.60","278,114,141.86","298,775,441.15","71,658,694.13","142,007,139.35","238,143,811.37","309,456,780.91","65,706,134.57","138,527,436.68","281,560,549.85","66,732,926.32","145,134,319.66","233,807,760.59","331,108,197.98"
二、营业利润,"54,220,382.66","60,706,038.56","68,482,395.33","18,584,561.07","32,124,387.70","57,517,949.79","75,340,020.02","16,971,275.87","33,533,346.67","64,686,782.06","12,819,344.51","31,930,531.87","50,435,280.38","68,298,094.12"
减:营业成本,"167,621,713.85","185,958,710.39","197,348,914.20","45,664,226.22","89,890,308.39","148,271,005.89","191,958,062.33","40,310,262.91","83,566,214.32","174,600,392.29","45,514,605.26","94,391,033.02","151,445,124.53","215,484,518.93"
加:补贴收入,,,,,,,,,,,,,,
营业税金及附加,"1,000,575.42","1,357,012.12","2,078,588.03",,"1,202,602.56","2,117,128.63","2,710,578.63","541,976.35","1,084,531.14","2,789,800.23","710,238.03","1,513,630.96","2,268,816.32","2,895,342.63"
营业外收入,"748,790.00","1,348,500.00","579,858.00",,"881,653.00","1,296,653.00","1,943,658.00","477,500.00","1,053,400.00","4,640,757.13","436,558.50","1,504,458.50","3,719,648.50","4,316,430.96"
销售费用,"9,041,178.95","10,221,699.16","11,094,905.59",,"8,758,141.80","15,624,243.94","19,181,083.58","2,610,675.89","9,710,221.19","20,205,819.55","3,673,048.64","8,928,798.66","15,752,525.42","22,992,081.07"
减:营业外支出,"11,123.62","19,408.00","45,920.55",,,,,"1,088.05","1,088.05","1,161,716.27","11,538.44","141,538.44","284,771.15","386,488.98"
管理费用,"16,346,531.39","18,489,170.50","18,921,865.35",,"9,649,058.42","14,625,215.02","22,664,192.90","5,674,551.73","12,284,713.70","24,316,397.68","6,732,986.38","13,098,973.45","19,750,180.39","29,787,210.89"
其中:非流动资产处置净损失,,,"40,920.55",,,,,"1,088.05","1,088.05","111,716.27","11,538.44","11,538.44","148,959.19",
堪探费用,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,
财务费用,"752,205.48","1,193,142.13","-164,715.95",,"-549,761.33","-1,125,745.18","-1,543,220.15","-363,930.34","-561,747.88","-1,043,298.72","-555,788.97","-1,075,418.10","-680,779.63","-817,952.51"
三、利润总额,"54,958,049.04","62,035,130.56","69,016,332.78","19,303,661.07","33,006,040.70","58,814,602.79","77,283,678.02","17,447,687.82","34,585,658.62","68,165,822.92","13,244,364.57","33,293,451.93","53,870,157.73","72,228,036.10"
资产减值损失,"80,436.85","188,369.00","1,013,488.60",,"932,401.81","1,114,013.28","-853,936.40","14,850.94","6,048.84","290,205.43","87,992.07","12,778.83","190,246.07","433,063.30"
减:所得税,"6,449,694.42","8,306,138.10","10,221,402.94",,"4,676,348.43","8,402,568.52","11,110,236.51","2,532,473.13","4,960,363.70","9,608,621.65","1,799,732.02","4,645,404.50","7,566,443.54","10,174,985.02"
加:公允价值变动净收益,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,
投资收益,,,,,,,,"53,528.78","1,095,891.30","4,285,548.67","2,249,499.60","3,666,009.03","5,353,632.89","7,961,865.00"
四、净利润,"48,508,354.62","53,728,992.46","58,794,929.84","16,552,241.21","28,329,692.27","50,412,034.27","66,173,441.51","14,915,214.69","29,625,294.92","58,557,201.27","11,444,632.55","28,648,047.43","46,303,714.19","62,053,051.08"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"48,508,354.62","53,728,992.46","58,794,929.84","16,552,241.21","28,329,692.27","50,412,034.27","66,173,441.51","14,915,214.69","29,625,294.92","58,557,201.27","11,444,632.55","28,648,047.43","46,303,714.19","62,053,051.08"
影响营业利润的其他科目,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,
