科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"5,805,591,553.90","6,149,160,043.60","5,329,296,542.34","3,306,074,740.16","6,770,774,187.28","1,775,052,552.58","4,136,322,950.35","6,373,335,740.97","8,630,354,473.37","1,871,798,201.59","4,026,800,765.32","6,069,899,621.18","8,678,739,436.63","2,449,197,129.74","4,670,021,466.06","6,816,938,356.42","10,073,236,942.96","2,496,163,011.46","4,899,585,479.47","7,221,107,410.76","11,416,748,432.97","2,549,364,923.57","5,063,339,552.65","7,804,886,003.48","12,411,109,766.16","2,652,369,474.71","5,074,787,681.56","7,854,096,539.66","11,046,668,573.80","3,380,753,915.91","6,297,810,167.14","9,080,633,118.39","12,600,443,527.05","3,259,322,315.90"
二、营业利润,"372,730,301.34","219,332,847.58","347,237,102.71","227,720,919.90","432,197,405.06","100,957,865.90","216,338,500.82","300,898,082.76","335,194,098.66","97,311,082.55","203,299,237.18","295,065,569.77","269,101,442.03","52,690,251.47","132,489,017.71","185,710,821.37","275,560,169.29","118,738,571.46","247,039,391.56","321,311,404.05","329,348,732.73","125,782,976.45","204,100,556.24","265,763,080.96","334,404,352.88","109,272,772.29","157,849,466.80","137,310,128.47","11,801,987.74","48,588,828.66","95,391,543.46","126,048,970.15","172,496,146.08","71,076,529.42"
减:营业成本,"4,793,228,838.29","5,092,842,527.03","4,315,381,690.81","2,698,978,606.51","5,521,604,633.07","1,478,063,937.60","3,435,073,179.11","5,309,315,703.69","7,221,436,068.21","1,557,068,791.80","3,274,630,006.69","4,931,745,812.03","7,103,125,376.52","2,002,040,985.75","3,762,114,422.28","5,473,871,647.34","8,160,363,570.92","2,021,083,407.77","3,927,021,848.61","5,800,430,728.88","9,372,798,385.57","2,069,426,342.99","4,127,153,023.82","6,416,492,314.61","10,147,120,360.72","2,227,071,954.90","4,311,120,867.75","6,675,083,345.86","9,814,627,595.87","2,969,350,892.54","5,451,401,701.40","7,758,642,314.17","10,962,233,841.63","2,820,957,030.83"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"100,891,640.75","92,661,613.47","107,819,202.37","58,597,271.27","108,528,326.45","24,875,678.33","67,549,957.03","98,059,591.67","150,124,585.41","31,123,039.09","67,174,667.87","95,566,959.70","149,503,174.79","30,345,261.22","67,816,262.79","89,133,312.03","147,642,950.72","18,621,898.89","57,843,203.70","96,187,776.42","166,598,476.50","23,567,719.39","52,261,640.18","79,838,853.71","124,732,400.49","11,802,654.62","38,099,466.13","74,933,048.48","152,560,115.70","26,158,750.74","78,766,067.04","129,996,958.54","210,654,320.75","41,806,011.65"
营业外收入,"52,829,573.09","11,947,036.78","6,907,170.58","6,791,026.46","17,578,789.16","12,592,532.15","23,285,551.49","49,308,954.76","114,654,080.88","5,881,218.20","15,314,037.77","37,000,849.60","84,303,659.83","38,240,520.71","67,518,746.90","96,830,909.13","181,677,589.24","2,509,631.41","11,409,997.47","19,786,868.83","94,329,852.47","5,541,925.62","11,209,729.33","20,222,079.40","44,762,973.15","10,760,674.62","23,016,088.66","33,550,540.97","99,843,956.88","4,846,272.59","14,835,748.46","30,265,673.16","7,082,582.66","2,100,079.85"
销售费用,"252,759,457.97","360,938,343.63","277,575,719.49","161,292,156.61","343,441,615.36","75,046,146.32","199,546,177.74","306,632,480.75","436,279,282.37","88,685,164.23","226,163,104.95","351,674,611.68","573,830,555.68","162,016,056.92","321,843,602.83","472,747,836.67","716,675,780.22","144,949,446.24","310,930,692.53","466,108,205.58","728,072,031.88","132,361,206.85","300,354,376.52","471,028,958.40","598,080,637.88","132,021,490.42","282,118,783.46","475,069,869.07","694,033,231.69","141,656,111.94","302,188,862.25","504,426,511.10","657,972,412.15","130,702,937.90"
减:营业外支出,"8,284,466.93","10,152,429.20","7,000,622.53","4,936,402.05","6,830,121.91","2,055,101.56","3,992,807.49","5,919,214.10","8,855,695.35","1,564,582.94","4,844,462.15","12,293,675.02","6,974,449.31","707,895.92","3,016,197.17","8,307,081.09","6,850,841.24","684,131.65","3,168,013.99","5,089,230.56","13,814,312.22","3,139,056.18","3,508,860.92","5,099,078.45","11,495,054.54","1,474,212.59","2,315,081.88","3,139,030.29","5,793,590.63","1,603,693.64","4,074,651.66","6,931,580.41","3,644,470.64","401,148.20"
管理费用,"209,505,053.27","271,790,709.63","235,213,450.11","117,305,166.63","271,353,566.30","77,397,596.36","177,792,844.10","280,979,906.58","408,169,770.31","80,648,705.27","198,353,688.21","315,501,720.44","477,703,102.74","126,778,204.63","243,184,225.20","368,509,955.36","582,966,678.14","148,208,191.13","309,042,840.01","462,761,268.62","700,886,356.77","159,903,398.42","333,716,550.42","482,104,368.70","787,439,143.19","192,226,203.71","363,570,774.18","476,290,709.89","721,486,482.36","192,191,748.50","337,766,335.38","507,705,024.94","809,545,766.04","210,698,470.58"
其中:非流动资产处置净损失,"950,008.49","512,728.93","1,044,198.00","393,452.85","578,099.67","1,486,862.98","1,613,342.91","1,795,050.18","2,078,456.27","932,991.44","961,282.38","1,572,622.65","1,778,574.47","148,299.38","253,352.24","409,505.90","1,502,568.79","218,963.73","1,603,198.83","1,720,856.51","4,659,329.84","1,378,334.86","1,431,669.89","1,579,601.80","5,992,944.01","46,607.38","612,210.77","1,062,433.50","2,446,685.66","478,678.34","1,485,788.53","2,984,477.71",,
