科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"55,921,402.13","240,757,532.89","115,767,366.21","269,954,554.71","139,046,087.99","208,841,314.78","297,377,600.07","64,674,587.32","144,053,193.09","237,378,817.39","335,618,252.34","122,261,081.45","231,716,851.38","322,311,074.64","521,831,457.76","124,337,868.33","242,592,963.98","361,216,532.37","509,673,143.32","152,048,136.20","525,714,910.42","688,708,564.95","714,872,101.38","289,215,862.91","509,121,816.81","691,650,455.40","777,551,914.28","122,393,816.33","387,356,920.88","440,774,485.91","584,589,083.62","146,918,607.73","364,788,006.67","495,242,487.88","764,268,288.72","147,547,003.40","369,757,705.40"
取得子公司及其他营业单位支付的现金净额,"1,340,000.00","200,000.00",,,,,,,,,"38,600,000.00","82,864,471.05","85,682,368.12","85,682,368.12","82,881,931.05",,,"3,000,000.00",,,,"6,000,000.00",,,"124,460,000.00","124,460,000.00","52,700,495.92",,"25,443,203.60",,"96,800,000.00",,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,"724,700.87",,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,"1,084.61","1,084.61",,"5,215,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"13,239,838.84","9,064,754.81","2,789,926.94","11,678,422.48","5,561,682.34","17,304,076.28","16,576,594.68","9,423,162.04","9,618,439.05","23,350,353.89","21,265,867.58","9,352,646.52","11,078,453.88","16,253,254.74","29,756,685.00","8,430,580.96","10,304,954.35","15,366,519.53","28,755,228.05","32,414,620.12","9,076,608.19","26,681,410.26","36,420,755.92","8,375,960.25","54,747,421.29","70,984,880.52","126,088,299.90","146,839,959.07","254,705,141.04","296,258,956.49","267,144,132.80","157,421,678.95","293,685,889.16","423,798,900.98","411,020,259.81","164,142,589.36","280,270,747.15"
投资活动现金流出小计,"13,467,974.90","19,787,787.24","13,189,313.20","37,696,251.93","8,869,835.05","41,529,994.87","60,889,551.37","26,031,791.25","41,571,841.62","101,433,261.50","101,259,262.43","116,568,186.55","159,132,206.23","172,547,129.43","223,874,858.67","9,742,600.39","28,229,107.04","39,533,922.28","80,214,430.31","11,703,975.77","23,459,056.00","73,745,675.26","151,570,286.37","110,803,651.88","170,456,037.97","193,173,000.00","348,539,676.99","27,861,448.72","66,847,501.06","86,681,239.89","285,281,360.02","25,614,434.13","80,488,365.51","99,118,982.88","135,924,433.43","18,682,497.35","26,129,383.35"
经营活动现金流入小计,"69,161,240.97","249,822,287.70","118,557,293.15","281,632,977.19","144,607,770.33","226,145,391.06","313,954,194.75","74,097,749.36","153,671,632.14","260,729,171.28","356,884,119.92","131,613,727.97","242,795,305.26","338,564,329.38","551,588,142.76","132,768,449.29","252,897,918.33","376,583,051.90","538,428,371.37","184,462,756.32","534,791,518.61","715,389,975.21","752,017,558.17","297,591,823.16","563,869,238.10","762,635,335.92","903,640,214.18","269,233,775.40","642,062,061.92","737,033,442.40","851,733,216.42","304,340,286.68","658,473,895.83","919,041,388.86","1,175,288,548.53","311,689,592.76","650,028,452.55"
投资活动产生的现金流量净额,"-13,467,974.90","-19,772,787.24","-13,189,313.20","-37,149,662.93","-8,744,835.05","-41,384,994.87","-60,724,551.37","-26,031,791.25","-41,571,841.62","-101,433,261.50","-100,921,647.23","-116,568,186.55","-159,132,206.23","-172,502,129.43","-216,180,954.29","-9,742,600.39","-28,229,107.04","-39,527,516.81","-79,168,968.77","-11,703,975.77","-23,441,016.69","-73,576,370.10","-151,148,942.03","-110,803,651.88","-170,456,037.97","-193,173,000.00","-348,261,680.36","-27,861,448.72","-66,847,501.06","-86,681,239.89","-282,244,854.02","-25,614,434.13","-80,488,365.51","-99,109,378.82","-127,963,909.56","-18,682,497.35","79,670,016.65"
购买商品、接受劳务支付的现金,"36,770,904.28","211,205,941.63","100,971,913.56","278,071,670.06","128,806,706.06","191,546,521.18","318,456,212.85","74,038,811.20","139,881,159.34","235,548,140.86","353,875,534.12","113,340,191.51","197,162,612.39","280,576,423.49","451,947,304.66","110,112,240.58","208,438,613.78","315,023,031.06","488,532,320.90","155,980,328.65","467,279,709.40","626,361,393.67","809,108,486.34","232,322,522.40","462,184,363.90","625,313,874.28","616,858,328.60","160,677,405.54","501,584,557.60","580,557,666.37","596,183,825.02","179,864,884.37","389,297,939.71","556,814,701.90","647,458,127.62","159,120,600.66","325,923,439.77"
吸收投资收到的现金,"2,000,000.00","14,062,938.00","4,000,000.00","8,000,000.00",,"331,580,000.00","335,180,000.00",,"3,600,000.00","3,600,000.00","3,600,000.00",,,,,,,,"2,000,000.00",,,,"40,000,000.00",,,,,"390,425,641.11","390,425,641.11","390,425,641.11","507,661,713.29",,,,,,
支付给职工以及为职工支付的现金,"3,338,582.72","4,611,087.65","3,390,736.42","7,857,108.91","5,431,726.26","8,466,085.10","13,194,414.27","4,401,565.86","7,442,691.31","14,780,642.85","19,155,937.17","7,649,894.43","13,171,154.38","18,868,624.47","33,237,665.82","8,197,637.31","15,407,555.67","24,131,775.65","45,075,246.01","12,267,852.27","25,066,214.53","41,036,826.33","60,221,233.63","15,837,400.44","31,350,796.62","51,013,984.91","79,375,412.14","16,369,163.97","40,504,333.73","58,880,116.98","82,050,866.14","19,973,634.60","48,036,570.97","72,283,663.72","97,134,619.92","23,772,514.67","41,745,801.57"
取得借款收到的现金,"29,501,000.00","52,665,950.00","30,000,000.00","98,000,000.00","50,000,000.00","65,000,000.00","106,983,500.00","20,000,000.00","30,000,000.00","78,000,000.00","118,438,200.00","73,738,000.00","97,240,000.00","175,540,000.00","272,515,000.00","79,000,000.00","174,000,000.00","344,000,000.00","443,060,000.00","60,000,000.00","225,399,958.50","524,999,958.50","779,480,000.00","87,000,000.00","394,839,629.46","593,000,000.00","1,085,930,000.00","46,000,000.00","307,500,000.00","643,500,000.00","1,150,170,000.00","241,000,000.00","462,500,000.00","522,500,000.00","866,139,000.00","261,000,000.00","649,000,000.00"
支付的各项税费,"352,451.03","439,468.00","154,554.18","552,044.95","498,765.51","713,593.70","524,225.45","86,174.23","335,332.52","610,254.10","662,484.58","3,415,240.36","4,531,485.20","5,837,533.28","3,150,231.00","643,896.91","3,667,460.23","4,124,624.90","4,140,113.65","1,167,379.75","4,271,261.25","6,428,245.03","9,211,595.83","2,856,960.12","5,443,000.60","9,531,526.63","9,491,334.85","323,735.76","2,971,523.06","3,457,199.25","5,791,806.39","1,228,118.53","9,830,694.66","10,954,935.95","12,718,552.76","404,285.78","2,668,237.72"
收到其他与筹资活动有关的现金,"792,155.64","394,863.66",,,,,,,,,,,,,,,,,,,,"182,000.00","40,820,000.00",,,,"7,342,700.00",,,,"9,152,615.00",,,,"130,000,000.00",,
支付其他与经营活动有关的现金,"6,155,343.47","9,862,792.02","4,011,022.00","7,129,150.75","8,123,438.02","23,045,304.94","3,892,385.02","5,311,533.72","7,687,455.72","25,072,424.66","4,851,190.46","6,750,479.42","17,151,059.79","26,336,508.99","37,442,579.63","7,254,189.71","17,849,395.55","27,853,055.25","34,515,167.33","8,928,424.66","18,320,968.82","32,703,931.02","40,101,237.52","16,417,576.19","41,610,926.96","60,956,503.53","125,139,222.14","162,008,424.59","259,334,650.38","337,463,348.13","437,272,731.88","260,251,731.06","264,227,204.74","264,386,667.68","337,030,388.35","152,754,901.20","239,559,475.63"
