科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
其他应收款,"88,224,335.69","64,952,871.30","55,341,032.97","84,520,539.74","88,090,079.56","48,535,557.33","105,948,379.12","67,491,668.99","70,077,466.27","81,263,584.41","102,625,142.33","72,223,926.92","85,018,695.00","77,069,699.84","78,515,957.24","118,103,684.97","110,242,415.47","161,922,093.06","74,571,494.29","93,455,762.63","114,487,183.57","79,917,393.33","76,288,732.27","96,760,842.79","68,097,887.40","91,119,447.53","56,526,737.65","318,888,692.39","266,551,562.68","114,790,547.91","94,384,769.25","57,706,220.73","41,964,454.65","71,285,035.47","67,618,080.44","135,563,678.64","75,313,204.27","150,518,805.12","123,639,374.47","126,991,038.44","32,884,730.59","19,734,198.00","16,337,768.64","33,110,562.18","40,606,008.14","40,298,981.47"
应付职工薪酬,"17,028,860.60","25,504,453.70","27,517,465.93","28,091,717.22","19,344,399.46","19,541,116.75","21,423,939.61","20,008,969.54","14,866,063.49","18,665,161.41","20,079,488.22","20,822,654.60","14,154,003.24","17,445,770.92","24,600,439.47","4,926,257.64","4,077,732.33","4,019,948.20","5,405,203.27","2,274,666.40","6,774,833.80","9,800,805.40","6,470,067.04","10,894,829.73","9,636,104.45","11,880,032.97","14,450,925.26","51,383,690.66","37,617,866.03","46,437,212.43","56,538,188.36","56,732,781.18","47,401,445.70","54,686,712.92","57,226,118.49","62,393,057.16","48,360,775.84","59,068,633.43","65,658,756.59","47,899,786.92","34,805,800.94","37,635,368.74","41,948,124.99","49,945,468.43","37,588,507.96","38,140,721.79"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"38,819,303.94","39,519,888.71","27,493,234.93","79,596,210.02","71,600,022.24","68,288,379.27","57,172,148.06","44,670,363.02","47,697,831.54","46,459,249.00","64,309,182.56","110,274,203.46","70,990,881.33","57,670,369.61","80,584,004.87","69,202,452.08","67,719,376.01","30,013,018.84","41,998,844.02","25,425,580.05","28,885,097.77","12,936,386.10","30,551,710.33","28,701,937.08","41,119,742.92","25,143,946.74","28,698,946.84","77,441,998.18","73,103,200.78","69,852,919.96","65,755,631.92","97,225,396.62","95,829,564.32","54,304,554.96","89,556,455.91","91,085,884.95","84,477,095.22","60,172,211.54","60,705,791.50","60,555,329.18","65,386,136.49","53,790,260.51","34,494,380.45","49,525,838.43","41,933,212.75","47,342,716.92"
应收利息,,,,,,,,,,,,,,,,,,,,,,"873,972.60","6,419,178.08","841,742.76","6,341,742.76","2,505,555.56","8,066,666.67","3,530,629.90","9,030,629.90",,,"796,216.67",,,,"2,275,972.60","2,275,972.60","289,315.07","3,278,308.45","232,465.08","193,813.70",,,,,
应付利息,"1,783,994.44","1,241,690.67","1,365,612.64","920,114.46","599,319.87","728,811.23","681,245.16","994,067.89","839,508.08","768,442.11","1,201,706.61","609,437.83","961,185.33","1,185,847.05","1,654,607.61","573,743.99","760,356.49","823,864.27","552,724.94","675,115.06","675,115.06","3,700,000.00","11,100,000.01","18,689,851.49","25,953,232.76","3,649,915.93","11,143,515.94","18,741,607.48","26,141,607.49","3,774,940.83","11,099,963.86","18,499,963.87","25,899,963.88","2,744,845.01","9,356,535.02","13,836,005.85","20,335,915.04","2,783,477.47","8,362,868.06","13,724,225.07","19,422,915.08","209,000.00","209,000.00","878,467.44","671,133.91","612,408.33"
应收股利,"15,000,000.00","10,000,000.00",,,,,,"15,000,000.00","15,000,000.00",,,"30,000,000.00",,"20,170,805.04",,"33,102,627.69","33,102,627.69","56,520,734.35","50,512,456.79","50,512,456.79","70,912,456.79","48,093,901.45","48,133,681.89","48,133,681.89","48,133,681.89","3,633,616.69","3,423,427.69",,,,,,,,,,,,,,,,,,,
应付股利,"1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","2,721,598.88","1,239,578.60","1,239,578.60","34,242,372.75","34,242,372.75","103,323,972.75","2,080,678.83","1,239,578.60","1,239,578.60","35,780,378.60","23,038,197.60","1,239,578.60","1,239,578.60","39,429,205.14","1,239,578.60","1,239,578.60","1,239,578.60","1,239,578.60","19,090,437.28","1,239,578.60","1,239,578.60","11,601,818.60"
存货,"660,135,357.77","696,530,443.23","753,658,339.18","603,225,343.87","657,135,327.47","725,254,954.85","765,092,738.83","633,653,661.82","611,083,498.34","674,319,169.28","717,390,947.84","630,911,790.89","673,294,046.66","772,709,645.93","700,245,832.62","336,946,158.76","291,737,889.73","321,674,150.15","306,026,691.01","353,780,284.80","310,935,334.45","323,514,055.40","295,522,935.74","363,091,418.32","297,706,349.93","307,621,279.40","278,458,028.20","516,812,654.35","456,290,633.08","453,525,192.72","473,710,825.86","515,708,296.24","459,952,371.14","520,176,043.60","521,349,863.16","543,162,430.17","490,317,102.61","583,846,093.29","677,994,788.64","213,578,716.32","263,388,588.06","467,883,032.53","614,709,942.55","533,465,666.49","669,576,545.97","383,309,996.18"
其他应付款,"161,635,501.92","138,038,663.43","152,654,843.03","114,309,625.90","137,717,998.97","78,137,132.66","68,377,817.92","104,726,325.32","108,797,511.35","101,118,947.99","79,951,907.83","97,489,967.49","142,099,269.49","117,360,939.03","101,568,409.52","60,820,350.50","58,736,749.68","59,416,092.42","66,650,784.28","256,492,777.42","144,370,766.76","122,834,468.15","172,394,454.78","170,700,487.11","144,123,088.83","125,527,251.41","139,289,589.29","358,646,661.57","497,652,447.18","337,671,252.69","332,996,236.81","372,104,983.89","286,018,783.72","300,791,631.70","181,819,085.74","279,622,724.73","241,145,953.98","269,890,299.33","270,776,614.32","264,931,467.39","374,505,136.43","331,635,068.21","374,155,506.24","386,707,152.91","532,826,945.55","456,733,790.90"
