科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,966,267,730.20","2,606,697,907.53","2,964,378,554.17","1,188,887,046.10",,"2,400,553,395.38","806,488,950.30","1,520,811,695.25","2,142,793,003.61","2,884,563,700.94","866,246,532.04","1,708,224,386.50","2,539,463,596.93","3,558,092,264.41","1,254,480,387.95"
取得子公司及其他营业单位支付的现金净额,,"12,982,433.53",,,,,,,,,,,,,
收到的税费返还,"2,120,997.01","3,732,107.80","4,062,101.60","2,002,255.82",,"5,302,807.58","1,289,826.72","2,992,381.05","4,029,051.38","6,468,519.16","1,724,402.86","3,529,893.53","4,952,506.91","6,671,109.91","625,023.86"
支付其他与投资活动有关的现金,,,"20,000,000.00","30,223,440.00",,"30,000,000.00","262,000,000.00","429,000,000.00","659,000,000.00","692,500,000.00","100,000,000.00","108,000,000.00","108,000,000.00","108,000,000.00","2,000,000.00"
收到其他与经营活动有关的现金,"2,446,156.96","2,823,551.35","5,015,013.37","2,001,008.65",,"6,341,516.74","1,226,029.15","954,178.60","6,212,085.49","1,961,636.17","4,154,810.40","16,637,636.95","26,089,948.45","5,767,146.74","774,520.78"
投资活动现金流出小计,"320,538,678.93","393,264,895.58","267,305,464.49","228,680,326.16",,"387,929,057.52","332,571,804.22","555,219,348.55","876,413,902.22","934,493,243.27","164,275,042.46","205,709,337.10","258,341,368.22","319,917,400.09","72,188,606.10"
经营活动现金流入小计,"1,970,834,884.17","2,613,253,566.68","2,973,455,669.14","1,192,890,310.57",,"2,412,197,719.70","809,004,806.17","1,524,758,254.90","2,153,034,140.48","2,892,993,856.27","872,125,745.30","1,728,391,916.98","2,570,506,052.29","3,570,530,521.06","1,255,879,932.59"
投资活动产生的现金流量净额,"-318,217,510.43","-389,194,843.21","-261,722,122.86","-206,778,390.16","-243,138,600.00","-364,847,577.18","-331,047,857.62","-283,953,139.82","-390,557,440.82","-223,854,583.76","-162,741,891.66","-92,770,768.09","-142,892,393.43","-193,131,736.09","-69,063,888.61"
购买商品、接受劳务支付的现金,"1,699,725,558.49","2,248,633,896.01","2,685,734,161.36","937,340,591.47",,"2,018,334,690.26","695,304,994.11","1,270,011,671.13","1,795,345,390.52","2,480,204,828.19","717,818,193.45","1,488,590,557.99","2,109,758,895.28","3,084,234,645.76","999,847,488.72"
吸收投资收到的现金,"17,150,000.00","98,025,000.00","157,085,810.00","1,470,000.00",,"6,888,500.00","641,247,600.00","642,247,600.00","642,247,600.00","647,047,600.00",,"7,000,000.00","7,000,000.00","7,000,000.00",
支付给职工以及为职工支付的现金,"39,812,540.87","64,751,272.70","70,233,180.65","37,330,938.52",,"82,641,701.24","20,747,312.29","41,021,037.38","53,462,033.67","89,122,072.35","24,302,549.46","46,068,837.94","69,285,292.50","101,316,687.08","28,921,206.08"
