科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"268,569,267.74","419,834,030.67","481,317,324.61","230,087,272.00","378,207,724.26","541,858,594.47","109,486,107.42","258,258,801.30","399,628,382.53","582,802,425.74","129,074,665.95","296,575,468.69","490,591,323.50","705,034,002.11","135,946,539.52","300,901,803.05","487,624,319.61","712,439,442.14","153,114,640.22"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,"158,946,995.01","158,946,995.01","158,946,995.01",
收到的税费返还,,,,,,,,,,,,,,,,,"1,845.95","1,845.95",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,"1,125.71","1,125.71","1,125.71",
收到其他与经营活动有关的现金,"10,808,245.91","6,016,159.77","5,484,133.31","3,723,362.54","11,681,882.66","16,595,007.25","1,294,987.24","29,880,972.71","6,788,286.26","9,732,886.67","1,150,121.18","11,299,902.45","10,781,067.49","14,879,301.11","2,836,758.61","8,048,878.53","9,187,052.37","12,756,369.68","4,146,258.48"
投资活动现金流出小计,"94,132,613.98","20,438,813.46","9,891,058.28","1,491,290.00","1,737,558.00","6,863,078.00","2,130,487.00","4,392,799.31","15,845,337.95","53,079,611.64","8,969,599.77","23,765,064.67","47,408,942.91","76,623,561.61","2,346,186.90","164,028,765.37","166,688,251.17","184,194,189.16","11,895,652.18"
经营活动现金流入小计,"279,377,513.65","425,850,190.44","486,801,457.92","233,810,634.54","389,889,606.92","558,453,601.72","110,781,094.66","288,139,774.01","406,416,668.79","592,535,312.41","130,224,787.13","307,875,371.14","501,372,390.99","719,913,303.22","138,783,298.13","308,950,681.58","496,813,217.93","725,197,657.77","157,260,898.70"
投资活动产生的现金流量净额,"-23,980,723.44","-20,438,813.46","-9,711,058.28","-1,320,290.00","-1,566,558.00","-6,692,078.00","-2,130,487.00","-4,392,799.31","-15,797,337.95","-53,031,611.64","-8,969,599.77","-23,765,064.67","-47,408,942.91","-76,623,561.61","-2,346,186.90","-164,028,765.37","-166,688,251.17","-184,194,189.16","-11,895,652.18"
购买商品、接受劳务支付的现金,"145,216,987.60","172,616,644.90","173,410,143.14","88,671,709.47","155,795,849.59","200,539,306.99","46,065,870.24","115,569,274.81","178,803,923.64","229,760,245.10","61,601,417.59","130,658,788.95","180,089,394.07","242,863,866.56","50,176,562.56","105,984,365.68","187,185,209.57","252,044,985.77","57,310,888.51"
吸收投资收到的现金,,,,,,"311,144,253.81",,,"26,504,728.56","26,504,728.56",,,"2,126,192.20","2,126,192.20","10,604,609.96","10,604,609.96","10,604,609.96","18,604,600.14",
支付给职工以及为职工支付的现金,"14,318,141.98","20,883,764.28","26,720,505.88","16,705,898.56","23,691,850.24","33,475,710.30","8,759,107.00","19,101,547.24","26,771,271.21","35,406,753.28","11,158,248.65","22,840,886.57","31,727,332.84","41,759,749.66","13,694,974.33","27,926,826.14","41,259,663.93","54,224,679.92","18,824,118.19"
取得借款收到的现金,"5,000,000.00","5,000,000.00",,,,,,,,,,,,,,,,,
支付的各项税费,"39,633,050.13","58,624,241.20","86,198,285.77","48,170,003.19","73,296,084.42","99,638,965.74","26,173,698.73","53,517,730.23","80,364,412.66","112,360,778.99","31,250,851.50","59,926,407.49","93,422,596.16","120,507,950.33","30,188,244.56","61,831,528.93","96,292,479.71","127,774,274.06","38,190,786.47"
收到其他与筹资活动有关的现金,,"50,000.00",,,,"85,350,946.19",,,,,,,,,,,,,
支付其他与经营活动有关的现金,"34,310,999.16","48,239,397.26","53,278,850.96","29,370,691.98","49,213,811.60","67,860,663.52","18,632,620.44","40,658,621.43","59,411,798.38","72,421,089.45","13,900,635.08","32,889,735.26","49,964,394.30","71,575,285.70","21,158,581.12","44,038,682.18","64,093,724.77","83,246,234.98","18,623,034.52"
筹资活动现金流入小计,"5,000,000.00","5,050,000.00",,,,"396,495,200.00",,,"26,504,728.56","26,504,728.56",,,"2,126,192.20","2,126,192.20","10,604,609.96","10,604,609.96","10,604,609.96","18,604,600.14",
经营活动现金流出小计,"233,479,178.87","300,364,047.64","339,607,785.75","182,918,303.20","301,997,595.85","401,514,646.55","99,631,296.41","228,847,173.71","345,351,405.89","449,948,866.82","117,911,152.82","246,315,818.27","355,203,717.37","476,706,852.25","115,218,362.57","239,781,402.93","388,831,077.98","517,290,174.73","132,948,827.69"
偿还债务支付的现金,"5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,,,,,,,,
