科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"229,462,979.94","324,818,951.68","307,542,915.63","62,650,133.16","114,122,370.58","181,351,449.57","242,970,977.52","81,648,315.75","158,343,453.48","255,010,922.56","352,606,113.38","76,939,082.14","190,203,192.67","352,391,150.44","575,528,614.32","143,933,028.19","324,638,815.06","489,383,095.82","693,058,105.67","158,986,006.52","309,162,233.45","519,040,812.91","674,999,861.25","126,257,968.50","307,210,679.10","457,098,609.13"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,"1,230.16",,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"176,490.00","200,115.00",,,,,"610,183.22",,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"2,424,174.15","1,838,735.25","2,807,948.84","253,035.79","910,340.35","2,488,096.16","7,645,683.69","1,069,795.65","389,867.41","601,473.41","4,487,385.96","27,775.89","367,028.58","741,410.93","1,247,134.15","95,532.08","1,531,799.45","3,609,365.77","4,241,769.64","439,565.83","2,236,791.26","3,362,894.08","5,560,948.03","1,139,234.30","1,720,721.77","12,138,157.24"
投资活动现金流出小计,"17,389,660.17","41,022,295.43","28,761,171.36","822,689.69","3,046,846.18","25,374,562.90","27,392,446.10","10,092,441.91","31,857,499.16","41,028,676.49","52,107,683.27","15,499,995.78","24,874,770.25","49,506,559.83","66,721,065.00","18,654,909.03","28,468,654.52","32,573,378.12","37,317,618.11","46,512,306.93","61,953,328.45","112,176,512.13","120,111,639.93","8,776,809.05","350,536,408.11","240,569,440.72"
经营活动现金流入小计,"231,887,154.09","326,657,686.93","310,352,094.63","62,903,168.95","115,032,710.93","183,839,545.73","250,616,661.21","82,718,111.40","158,733,320.89","255,612,395.97","357,093,499.34","76,966,858.03","190,570,221.25","353,132,561.37","576,775,748.47","144,028,560.27","326,170,614.51","492,992,461.59","697,299,875.31","159,425,572.35","311,399,024.71","522,403,706.99","680,560,809.28","127,397,202.80","308,931,400.87","469,236,766.37"
投资活动产生的现金流量净额,"-16,553,590.47","-37,084,482.38","-23,358,916.55","-818,189.69","-3,042,438.79","-25,359,274.15","-27,377,157.33","-10,092,441.91","-28,271,556.64","-36,367,236.53","-44,230,379.65","-14,779,899.65","-22,958,920.00","-46,671,677.85","-63,167,853.72","-18,168,281.88","-26,896,680.58","-30,971,182.24","-35,658,423.73","-46,116,348.77","-61,369,593.75","-111,591,801.99","-119,093,619.21","-7,154,575.55","-344,676,973.76","-229,244,189.78"
购买商品、接受劳务支付的现金,"147,908,655.41","217,979,203.45","204,522,771.86","60,897,023.19","94,716,798.54","133,111,658.45","168,418,273.36","63,098,581.66","113,654,249.66","195,030,054.04","262,210,253.48","69,234,782.66","139,652,757.78","256,890,050.16","396,918,567.81","139,438,100.73","278,465,556.32","426,241,277.42","546,809,819.37","108,023,728.82","196,993,266.42","321,683,952.59","459,987,190.71","88,295,166.84","177,590,930.10","281,916,860.22"
吸收投资收到的现金,,"50,000,000.00",,,"265,970,683.76","265,970,683.76","300,000,000.00",,,,,,,,,,,,,,,,"849,999,987.60",,,"1,000,000.00"
支付给职工以及为职工支付的现金,"18,238,439.21","22,509,525.08","25,525,730.80","9,429,554.92","16,903,807.65","23,400,289.10","29,324,971.72","10,787,355.75","17,938,279.91","26,553,129.40","36,896,812.72","12,098,105.47","20,980,499.10","32,434,116.77","44,927,787.72","22,163,434.39","34,465,067.97","47,563,097.90","62,211,849.96","25,421,658.80","40,515,586.45","56,224,646.56","72,959,718.09","25,173,879.43","40,464,990.01","57,996,111.99"
取得借款收到的现金,"26,259,934.09","25,000,000.00","35,000,000.00",,"15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","30,000,000.00","35,000,000.00","50,000,000.00","10,000,000.00","25,000,000.00","45,000,000.00","50,000,000.00","10,000,000.00","25,000,000.00","140,000,000.00","155,000,000.00","30,000,000.00","75,000,000.00","125,000,000.00","170,000,000.00","15,000,000.00","25,000,000.00","30,000,000.00"
支付的各项税费,"18,344,250.41","34,017,128.55","29,196,152.62","6,494,801.40","12,640,683.41","19,718,964.86","24,778,446.38","4,565,780.41","11,869,748.07","18,099,771.48","25,413,917.68","4,580,905.01","14,156,526.64","23,228,002.59","38,737,325.49","14,642,109.11","30,059,101.97","44,811,729.25","66,481,747.26","7,961,526.04","23,361,213.35","40,631,117.02","49,718,891.84","6,383,542.02","17,987,261.62","25,993,083.83"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"21,156,852.73","30,368,426.18","27,782,277.88","5,573,663.04","8,764,805.79","19,601,787.58","27,673,243.64","4,681,788.28","11,824,205.66","23,458,190.03","32,241,441.33","5,647,629.50","17,586,509.85","27,644,145.39","41,509,388.74","9,309,688.35","22,127,829.50","36,615,874.22","52,552,628.38","10,345,378.67","22,628,010.37","36,759,350.45","45,275,656.27","8,934,049.46","37,111,713.96","44,695,218.94"
筹资活动现金流入小计,"26,259,934.09","75,000,000.00","35,000,000.00",,"280,970,683.76","280,970,683.76","315,000,000.00","15,000,000.00","30,000,000.00","35,000,000.00","50,000,000.00","10,000,000.00","25,000,000.00","45,000,000.00","50,000,000.00","10,000,000.00","25,000,000.00","140,000,000.00","155,000,000.00","30,000,000.00","75,000,000.00","125,000,000.00","1,019,999,987.60","15,000,000.00","25,000,000.00","31,000,000.00"
经营活动现金流出小计,"205,648,197.76","304,874,283.26","287,026,933.16","82,395,042.55","133,026,095.39","195,832,699.99","250,194,935.10","83,133,506.10","155,286,483.30","263,141,144.95","356,762,425.21","91,561,422.64","192,376,293.37","340,196,314.91","522,093,069.76","185,553,332.58","365,117,555.76","555,231,978.79","728,056,044.97","151,752,292.33","283,498,076.59","455,299,066.62","627,941,456.91","128,786,637.75","273,154,895.69","410,601,274.98"
偿还债务支付的现金,"21,000,000.00","26,259,934.09","25,000,000.00",,"45,000,000.00","45,000,000.00","45,000,000.00",,"5,000,000.00","20,000,000.00","20,000,000.00",,"15,000,000.00","30,000,000.00","40,000,000.00","10,000,000.00","25,000,000.00","40,000,000.00","150,000,000.00","20,000,000.00","45,000,000.00","70,000,000.00","110,000,000.00","35,000,000.00","60,000,000.00","95,000,000.00"
经营活动产生的现金流量净额,"26,238,956.33","21,783,403.67","23,325,161.47","-19,491,873.60","-17,993,384.46","-11,993,154.26","421,726.11","-415,394.70","3,446,837.59","-7,528,748.98","331,074.13","-14,594,564.61","-1,806,072.12","12,936,246.46","54,682,678.71","-41,524,772.31","-38,946,941.25","-62,239,517.20","-30,756,169.66","7,673,280.02","27,900,948.12","67,104,640.37","52,619,352.37","-1,389,434.95","35,776,505.18","58,635,491.39"
分配股利、利润或偿还利息支付的现金,"5,812,992.30","31,497,103.26","2,308,336.09","505,711.94","932,129.16","1,007,569.16","1,080,789.16","287,160.00","31,752,743.34","32,218,143.34","32,970,145.85","490,500.00","13,269,888.89","15,220,919.96","17,723,860.73","728,572.92","15,763,443.74","16,578,377.07","17,805,461.10","1,649,940.28","24,042,779.87","25,707,698.98","26,705,775.14","1,317,614.00","18,816,311.79","19,457,576.78"
收回投资收到的现金,,"3,681,800.00",,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,"33,829,316.24",,,,,,,,,,,,,,,,"22,561,500.00",,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,"180,890.00","180,890.00","180,890.00",,"180,890.00","180,890.00","180,890.00",,"1,697,750.69","4,169,568.36"
筹资活动现金流出小计,"26,812,992.30","57,757,037.35","27,308,336.09","505,711.94","45,932,129.16","46,007,569.16","79,910,105.40","287,160.00","36,752,743.34","52,218,143.34","52,970,145.85","490,500.00","28,269,888.89","45,220,919.96","57,723,860.73","10,728,572.92","40,763,443.74","56,578,377.07","167,805,461.10","21,649,940.28","69,042,779.87","95,707,698.98","159,267,275.14","36,317,614.00","78,816,311.79","114,457,576.78"
